Date,NDDATA.InIcuCum,NDDATA.InIcuCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,0
2020-5-11,0,0
2020-5-12,0,0
2020-5-13,0,0
2020-5-14,0,0
2020-5-15,0,0
2020-5-16,0,0
2020-5-17,0,0
2020-5-18,0,0
2020-5-19,0,0
2020-5-20,0,0
2020-5-21,0,0
2020-5-22,0,0
2020-5-23,0,0
2020-5-24,0,0
2020-5-25,0,0
2020-5-26,0,0
2020-5-27,0,0
2020-5-28,0,0
2020-5-29,0,0
2020-5-30,0,0
2020-5-31,0,0
2020-6-1,0,0
2020-6-2,0,0
2020-6-3,0,0
2020-6-4,0,0
2020-6-5,0,0
2020-6-6,0,0
2020-6-7,0,0
2020-6-8,0,0
2020-6-9,0,0
2020-6-10,0,0
2020-6-11,0,0
2020-6-12,0,0
2020-6-13,0,0
2020-6-14,0,0
2020-6-15,0,0
2020-6-16,0,0
2020-6-17,0,0
2020-6-18,0,0
2020-6-19,0,0
2020-6-20,0,0
2020-6-21,0,0
2020-6-22,0,0
2020-6-23,0,0
2020-6-24,0,0
2020-6-25,0,0
2020-6-26,0,0
2020-6-27,0,0
2020-6-28,0,0
2020-6-29,0,0
2020-6-30,0,0
2020-7-1,0,0
2020-7-2,0,0
2020-7-3,0,0
2020-7-4,0,0
2020-7-5,0,0
2020-7-6,0,0
2020-7-7,0,0
2020-7-8,0,0
2020-7-9,0,0
2020-7-10,0,0
2020-7-11,0,0
2020-7-12,0,0
2020-7-13,0,0
2020-7-14,0,0
2020-7-15,0,0
2020-7-16,0,0
2020-7-17,0,0
2020-7-18,0,0
2020-7-19,0,0
2020-7-20,0,0
2020-7-21,0,0
2020-7-22,0,0
2020-7-23,0,0
2020-7-24,0,0
2020-7-25,0,0
2020-7-26,0,0
2020-7-27,0,0
2020-7-28,0,0
2020-7-29,0,0
2020-7-30,0,0
2020-7-31,0,0
2020-8-1,0,0
2020-8-2,0,0
2020-8-3,0,0
2020-8-4,0,0
2020-8-5,0,0
2020-8-6,0,0
2020-8-7,0,0
2020-8-8,0,0
2020-8-9,0,0
2020-8-10,0,0
2020-8-11,0,0
2020-8-12,0,0
2020-8-13,0,0
2020-8-14,0,0
2020-8-15,0,0
2020-8-16,0,0
2020-8-17,0,0
2020-8-18,0,0
2020-8-19,136,15
2020-8-20,136,15
2020-8-21,139,15
2020-8-22,140,16
2020-8-23,141,17
2020-8-24,141,16
2020-8-25,140,16
2020-8-26,142,17
2020-8-27,142,17
2020-8-28,144,17
2020-8-29,147,17
2020-8-30,147,17
2020-8-31,149,17
2020-9-1,152,15
2020-9-2,153,16
2020-9-3,156,16
2020-9-4,158,17
2020-9-5,159,18
2020-9-6,161,18
2020-9-7,162,19
2020-9-8,162,19
2020-9-9,163,18
2020-9-10,165,21
2020-9-11,169,22
2020-9-12,169,18
2020-9-13,170,18
2020-9-14,171,19
2020-9-15,171,18
2020-9-16,176,20
2020-9-17,181,24
2020-9-18,183,24
2020-9-19,184,22
2020-9-20,185,22
2020-9-21,186,23
2020-9-22,192,26
2020-9-23,192,25
2020-9-24,194,26
2020-9-25,200,25
2020-9-26,201,22
2020-9-27,201,18
2020-9-28,201,18
2020-9-29,204,16
2020-9-30,210,18
2020-10-1,214,22
2020-10-2,217,21
2020-10-3,220,22
2020-10-4,222,21
2020-10-5,226,24
2020-10-6,233,27
2020-10-7,235,27
2020-10-8,238,40
2020-10-9,245,39
2020-10-10,248,42
2020-10-11,249,46
2020-10-12,250,33
2020-10-13,255,41
2020-10-14,262,39
2020-10-15,268,38
2020-10-16,271,39
2020-10-17,274,39
2020-10-18,277,35
2020-10-19,277,38
2020-10-20,279,39
2020-10-21,281,33
2020-10-22,282,38
2020-10-23,286,44
2020-10-24,287,41
2020-10-25,291,37
2020-10-26,293,38
2020-10-27,297,37
2020-10-28,304,41
2020-10-29,308,41
2020-10-30,312,44
2020-10-31,314,46
2020-11-1,314,38
2020-11-2,317,36
2020-11-3,322,46
2020-11-4,324,54
2020-11-5,333,51
2020-11-6,337,48
2020-11-7,341,46
2020-11-8,343,51
2020-11-9,345,48
2020-11-10,345,48
2020-11-11,351,51
2020-11-12,361,53
2020-11-13,364,50
2020-11-14,367,47
2020-11-15,368,38
2020-11-16,369,39
2020-11-17,374,48
2020-11-18,378,44
2020-11-19,381,46
2020-11-20,385,45
2020-11-21,387,42
2020-11-22,389,39
2020-11-23,392,42
2020-11-24,394,36
2020-11-25,406,33
2020-11-26,407,33
2020-11-27,408,39
2020-11-28,416,43
2020-11-29,417,39
2020-11-30,425,38
2020-12-1,430,35
2020-12-2,435,38
2020-12-3,440,45
2020-12-4,444,48
2020-12-5,448,47
2020-12-6,450,48
2020-12-7,452,45
2020-12-8,452,45
2020-12-9,460,41
2020-12-10,460,41
2020-12-11,460,41
2020-12-12,460,41
2020-12-13,460,41
2020-12-14,479,48
2020-12-15,479,48
2020-12-16,479,48
2020-12-17,479,48
2020-12-18,496,16
2020-12-19,500,17
2020-12-20,501,18
2020-12-21,501,18
2020-12-22,505,19
2020-12-23,509,20
2020-12-24,512,21
2020-12-25,512,21
2020-12-26,516,21
2020-12-27,516,17
2020-12-28,518,18
2020-12-29,522,18
2020-12-30,521,15
2020-12-31,524,16
2021-1-1,524,16
2021-1-2,527,16
2021-1-3,527,16
2021-1-4,528,15
2021-1-5,529,15
2021-1-6,530,13
2021-1-7,533,12
2021-1-8,534,11
2021-1-9,535,9
2021-1-10,536,10
2021-1-11,536,10
2021-1-12,539,10
2021-1-13,539,10
2021-1-14,539,10
2021-1-15,539,10
2021-1-16,539,10
2021-1-17,539,9
2021-1-18,539,9
2021-1-19,539,9
2021-1-20,545,7
2021-1-21,546,7
2021-1-22,546,8
2021-1-23,546,6
2021-1-24,547,7
2021-1-25,547,7
2021-1-26,549,8
2021-1-27,551,10
2021-1-28,551,9
2021-1-29,552,9
2021-1-30,553,8
2021-1-31,553,8
2021-2-1,553,8
2021-2-2,553,7
2021-2-3,554,8
2021-2-4,554,8
2021-2-5,555,7
2021-2-6,556,8
2021-2-7,557,9
2021-2-8,557,9
2021-2-9,556,7
2021-2-10,556,6
2021-2-11,556,5
2021-2-12,556,5
2021-2-13,557,6
2021-2-14,557,6
2021-2-15,557,6
2021-2-16,559,8
2021-2-17,560,7
2021-2-18,561,7
2021-2-19,561,11
2021-2-20,562,8
2021-2-21,562,8
2021-2-22,562,7
2021-2-23,562,5
2021-2-24,563,5
2021-2-25,563,4
2021-2-26,563,2
2021-2-27,565,3
2021-2-28,565,3
2021-3-1,565,3
2021-3-2,566,3
2021-3-3,567,3
2021-3-4,567,3
2021-3-5,567,3
2021-3-6,567,3
2021-3-7,567,3
