Date,NJDATA.InIcuCum,NJDATA.InIcuCurr
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,1651
2020-4-8,0,1617
2020-4-9,0,1523
2020-4-10,0,1679
2020-4-11,0,1746
2020-4-12,0,1914
2020-4-13,0,1886
2020-4-14,0,2051
2020-4-15,0,1980
2020-4-16,0,2014
2020-4-17,0,1961
2020-4-18,0,2024
2020-4-19,0,1940
2020-4-20,0,2018
2020-4-21,0,1930
2020-4-22,0,1983
2020-4-23,0,1990
2020-4-24,0,1933
2020-4-25,0,1971
2020-4-26,0,1804
2020-4-27,0,1801
2020-4-28,0,1809
2020-4-29,0,1811
2020-4-30,0,1765
2020-5-1,0,1724
2020-5-2,0,1715
2020-5-3,0,1623
2020-5-4,0,1610
2020-5-5,0,1534
2020-5-6,0,1549
2020-5-7,0,1470
2020-5-8,0,1439
2020-5-9,0,1416
2020-5-10,0,1338
2020-5-11,0,1255
2020-5-12,0,1306
2020-5-13,0,1226
2020-5-14,0,1157
2020-5-15,0,1127
2020-5-16,0,1061
2020-5-17,0,1030
2020-5-18,0,1053
2020-5-19,0,977
2020-5-20,0,969
2020-5-21,0,896
2020-5-22,0,846
2020-5-23,0,806
2020-5-24,0,760
2020-5-25,0,719
2020-5-26,0,786
2020-5-27,0,768
2020-5-28,0,740
2020-5-29,0,720
2020-5-30,0,672
2020-5-31,0,522
2020-6-1,0,646
2020-6-2,0,639
2020-6-3,0,612
2020-6-4,0,537
2020-6-5,0,542
2020-6-6,0,539
2020-6-7,0,503
2020-6-8,0,498
2020-6-9,0,510
2020-6-10,0,471
2020-6-11,0,445
2020-6-12,0,415
2020-6-13,0,409
2020-6-14,0,386
2020-6-15,0,399
2020-6-16,0,362
2020-6-17,0,358
2020-6-18,0,319
2020-6-19,0,286
2020-6-20,0,286
2020-6-21,0,278
2020-6-22,0,287
2020-6-23,0,307
2020-6-24,0,275
2020-6-25,0,252
2020-6-26,0,234
2020-6-27,0,236
2020-6-28,0,223
2020-6-29,0,225
2020-6-30,0,211
2020-7-1,0,217
2020-7-2,0,216
2020-7-3,0,216
2020-7-4,0,205
2020-7-5,0,210
2020-7-6,0,187
2020-7-7,0,169
2020-7-8,0,175
2020-7-9,0,170
2020-7-10,0,162
2020-7-11,0,166
2020-7-12,0,163
2020-7-13,0,166
2020-7-14,0,149
2020-7-15,0,151
2020-7-16,0,146
2020-7-17,0,141
2020-7-18,0,141
2020-7-19,0,149
2020-7-20,0,146
2020-7-21,0,169
2020-7-22,0,151
2020-7-23,0,152
2020-7-24,0,138
2020-7-25,0,143
2020-7-26,0,126
2020-7-27,0,128
2020-7-28,0,112
2020-7-29,0,116
2020-7-30,0,123
2020-7-31,0,113
2020-8-1,0,113
2020-8-2,0,113
2020-8-3,0,144
2020-8-4,0,126
2020-8-5,0,117
2020-8-6,0,129
2020-8-7,0,120
2020-8-8,0,94
2020-8-9,0,83
2020-8-10,0,83
2020-8-11,0,101
2020-8-12,0,111
2020-8-13,0,103
2020-8-14,0,91
2020-8-15,0,99
2020-8-16,0,83
2020-8-17,0,91
2020-8-18,0,106
2020-8-19,0,92
