Date,NVDATA.InIcuCum,NVDATA.InIcuCurr
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,116
2020-5-11,0,117
2020-5-12,0,121
2020-5-13,0,121
2020-5-14,0,126
2020-5-15,0,115
2020-5-16,0,105
2020-5-17,0,105
2020-5-18,0,105
2020-5-19,0,106
2020-5-20,0,107
2020-5-21,0,92
2020-5-22,0,90
2020-5-23,0,99
2020-5-24,0,92
2020-5-25,0,91
2020-5-26,0,91
2020-5-27,0,108
2020-5-28,0,123
2020-5-29,0,92
2020-5-30,0,92
2020-5-31,0,71
2020-6-1,0,87
2020-6-2,0,88
2020-6-3,0,84
2020-6-4,0,79
2020-6-5,0,72
2020-6-6,0,80
2020-6-7,0,80
2020-6-8,0,74
2020-6-9,0,86
2020-6-10,0,70
2020-6-11,0,72
2020-6-12,0,77
2020-6-13,0,81
2020-6-14,0,83
2020-6-15,0,85
2020-6-16,0,87
2020-6-17,0,96
2020-6-18,0,93
2020-6-19,0,87
2020-6-20,0,87
2020-6-21,0,87
2020-6-22,0,100
2020-6-23,0,100
2020-6-24,0,96
2020-6-25,0,98
2020-6-26,0,118
2020-6-27,0,117
2020-6-28,0,122
2020-6-29,0,124
2020-6-30,0,134
2020-7-1,0,142
2020-7-2,0,196
2020-7-3,0,219
2020-7-4,0,205
2020-7-5,0,226
2020-7-6,0,201
2020-7-7,0,236
2020-7-8,0,233
2020-7-9,0,237
2020-7-10,0,248
2020-7-11,0,241
2020-7-12,0,239
2020-7-13,0,250
2020-7-14,0,247
2020-7-15,0,251
2020-7-16,0,251
2020-7-17,0,269
2020-7-18,0,285
2020-7-19,0,287
2020-7-20,0,304
2020-7-21,0,301
2020-7-22,0,299
2020-7-23,0,306
2020-7-24,0,315
2020-7-25,0,314
2020-7-26,0,314
2020-7-27,0,310
2020-7-28,0,319
2020-7-29,0,325
2020-7-30,0,327
2020-7-31,0,333
2020-8-1,0,333
2020-8-2,0,333
2020-8-3,0,326
2020-8-4,0,310
2020-8-5,0,320
2020-8-6,0,307
2020-8-7,0,289
2020-8-8,0,278
2020-8-9,0,278
2020-8-10,0,266
2020-8-11,0,257
2020-8-12,0,268
2020-8-13,0,260
2020-8-14,0,260
2020-8-15,0,258
2020-8-16,0,258
2020-8-17,0,256
2020-8-18,0,267
2020-8-19,0,262
2020-8-20,0,263
2020-8-21,0,246
2020-8-22,0,247
2020-8-23,0,247
2020-8-24,0,229
2020-8-25,0,216
2020-8-26,0,211
2020-8-27,0,207
2020-8-28,0,197
2020-8-29,0,182
2020-8-30,0,182
2020-8-31,0,196
2020-9-1,0,193
2020-9-2,0,199
2020-9-3,0,187
2020-9-4,0,178
2020-9-5,0,184
2020-9-6,0,184
2020-9-7,0,184
2020-9-8,0,170
2020-9-9,0,164
2020-9-10,0,175
2020-9-11,0,165
2020-9-12,0,165
2020-9-13,0,165
2020-9-14,0,158
2020-9-15,0,154
2020-9-16,0,150
2020-9-17,0,150
2020-9-18,0,136
2020-9-19,0,127
2020-9-20,0,127
2020-9-21,0,130
2020-9-22,0,140
2020-9-23,0,134
2020-9-24,0,137
2020-9-25,0,130
2020-9-26,0,125
2020-9-27,0,125
2020-9-28,0,128
2020-9-29,0,136
2020-9-30,0,129
2020-10-1,0,125
2020-10-2,0,130
2020-10-3,0,140
2020-10-4,0,140
2020-10-5,0,114
2020-10-6,0,125
2020-10-7,0,137
2020-10-8,0,130
2020-10-9,0,127
2020-10-10,0,133
2020-10-11,0,133
2020-10-12,0,136
2020-10-13,0,130
2020-10-14,0,133
2020-10-15,0,142
2020-10-16,0,142
2020-10-17,0,139
2020-10-18,0,139
2020-10-19,0,148
2020-10-20,0,141
2020-10-21,0,147
2020-10-22,0,161
2020-10-23,0,134
2020-10-24,0,134
2020-10-25,0,134
2020-10-26,0,148
2020-10-27,0,144
2020-10-28,0,142
2020-10-29,0,162
2020-10-30,0,163
2020-10-31,0,165
2020-11-1,0,165
2020-11-2,0,182
2020-11-3,0,176
2020-11-4,0,162
2020-11-5,0,170
2020-11-6,0,183
2020-11-7,0,206
2020-11-8,0,206
2020-11-9,0,254
2020-11-10,0,231
2020-11-11,0,233
2020-11-12,0,229
2020-11-13,0,247
2020-11-14,0,243
2020-11-15,0,243
2020-11-16,0,251
2020-11-17,0,237
2020-11-18,0,264
2020-11-19,0,261
2020-11-20,0,271
2020-11-21,0,266
2020-11-22,0,266
2020-11-23,0,278
2020-11-24,0,296
2020-11-25,0,312
2020-11-26,0,306
2020-11-27,0,306
2020-11-28,0,317
2020-11-29,0,317
2020-11-30,0,307
2020-12-1,0,344
2020-12-2,0,352
2020-12-3,0,373
2020-12-4,0,356
2020-12-5,0,382
2020-12-6,0,382
2020-12-7,0,379
2020-12-8,0,385
2020-12-9,0,371
2020-12-10,0,382
2020-12-11,0,394
2020-12-12,0,416
2020-12-13,0,416
2020-12-14,0,400
2020-12-15,0,414
2020-12-16,0,329
2020-12-17,0,416
2020-12-18,0,433
2020-12-19,0,434
2020-12-20,0,434
2020-12-21,0,437
2020-12-22,0,437
2020-12-23,0,460
2020-12-24,0,458
2020-12-25,0,442
2020-12-26,0,442
2020-12-27,0,442
2020-12-28,0,427
2020-12-29,0,414
2020-12-30,0,408
2020-12-31,0,404
2021-1-1,0,398
