Date,NYDATA.InIcuCum,NYDATA.InIcuCurr
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,1290
2020-3-27,0,1583
2020-3-28,0,1755
2020-3-29,0,2037
2020-3-30,0,2352
2020-3-31,0,2710
2020-4-1,0,3022
2020-4-2,0,3396
2020-4-3,0,3731
2020-4-4,0,4126
2020-4-5,0,4376
2020-4-6,0,4504
2020-4-7,0,4539
2020-4-8,0,4841
2020-4-9,0,4925
2020-4-10,0,4908
2020-4-11,0,5009
2020-4-12,0,5198
2020-4-13,0,5156
2020-4-14,0,5225
2020-4-15,0,5205
2020-4-16,0,5071
2020-4-17,0,5039
2020-4-18,0,4996
2020-4-19,0,4878
2020-4-20,0,4814
2020-4-21,0,4729
2020-4-22,0,4690
2020-4-23,0,4597
2020-4-24,0,4540
2020-4-25,0,4410
2020-4-26,0,4284
2020-4-27,0,4157
2020-4-28,0,4071
2020-4-29,0,3923
2020-4-30,0,3769
2020-5-1,0,3640
2020-5-2,0,3501
2020-5-3,0,3430
2020-5-4,0,3330
2020-5-5,0,3281
2020-5-6,0,3098
2020-5-7,0,2976
2020-5-8,0,2811
2020-5-9,0,2664
2020-5-10,0,2488
2020-5-11,0,2450
2020-5-12,0,2375
2020-5-13,0,2308
2020-5-14,0,2223
2020-5-15,0,2156
2020-5-16,0,2077
2020-5-17,0,1981
2020-5-18,0,1908
2020-5-19,0,1836
2020-5-20,0,1761
2020-5-21,0,1695
2020-5-22,0,1581
2020-5-23,0,1502
2020-5-24,0,1406
2020-5-25,0,1366
2020-5-26,0,1273
2020-5-27,0,1261
2020-5-28,0,1219
2020-5-29,0,1164
2020-5-30,0,1124
2020-5-31,0,1050
2020-6-1,0,999
2020-6-2,0,907
2020-6-3,0,865
2020-6-4,0,832
2020-6-5,0,758
2020-6-6,0,720
2020-6-7,0,704
2020-6-8,0,678
2020-6-9,0,663
2020-6-10,0,630
2020-6-11,0,581
2020-6-12,0,552
2020-6-13,0,517
2020-6-14,0,499
2020-6-15,0,470
2020-6-16,0,449
2020-6-17,0,431
2020-6-18,0,388
2020-6-19,0,359
2020-6-20,0,335
2020-6-21,0,332
2020-6-22,0,330
2020-6-23,0,302
2020-6-24,0,290
2020-6-25,0,270
2020-6-26,0,244
2020-6-27,0,230
2020-6-28,0,229
2020-6-29,0,216
2020-6-30,0,217
2020-7-1,0,226
2020-7-2,0,209
2020-7-3,0,188
2020-7-4,0,190
2020-7-5,0,178
2020-7-6,0,170
2020-7-7,0,160
2020-7-8,0,166
2020-7-9,0,173
2020-7-10,0,178
2020-7-11,0,177
2020-7-12,0,174
2020-7-13,0,175
2020-7-14,0,167
2020-7-15,0,165
2020-7-16,0,165
2020-7-17,0,179
2020-7-18,0,172
2020-7-19,0,160
2020-7-20,0,158
2020-7-21,0,163
2020-7-22,0,179
2020-7-23,0,160
2020-7-24,0,156
2020-7-25,0,149
2020-7-26,0,155
2020-7-27,0,149
2020-7-28,0,152
2020-7-29,0,154
2020-7-30,0,142
2020-7-31,0,140
2020-8-1,0,147
2020-8-2,0,143
2020-8-3,0,136
2020-8-4,0,139
2020-8-5,0,134
2020-8-6,0,132
2020-8-7,0,139
2020-8-8,0,133
2020-8-9,0,131
2020-8-10,0,127
2020-8-11,0,120
2020-8-12,0,123
2020-8-13,0,124
2020-8-14,0,127
2020-8-15,0,120
2020-8-16,0,128
2020-8-17,0,133
2020-8-18,0,126
2020-8-19,0,131
2020-8-20,0,120
2020-8-21,0,119
2020-8-22,0,116
2020-8-23,0,110
2020-8-24,0,120
2020-8-25,0,133
2020-8-26,0,136
2020-8-27,0,126
2020-8-28,0,122
2020-8-29,0,116
2020-8-30,0,112
2020-8-31,0,109
2020-9-1,0,109
2020-9-2,0,117
2020-9-3,0,117
2020-9-4,0,116
2020-9-5,0,115
2020-9-6,0,119
2020-9-7,0,115
2020-9-8,0,114
2020-9-9,0,121
2020-9-10,0,120
2020-9-11,0,120
2020-9-12,0,127
2020-9-13,0,131
2020-9-14,0,143
2020-9-15,0,144
2020-9-16,0,138
2020-9-17,0,135
2020-9-18,0,141
2020-9-19,0,144
2020-9-20,0,132
2020-9-21,0,134
2020-9-22,0,133
2020-9-23,0,141
2020-9-24,0,145
2020-9-25,0,154
2020-9-26,0,164
2020-9-27,0,155
2020-9-28,0,135
2020-9-29,0,147
2020-9-30,0,144
2020-10-1,0,141
2020-10-2,0,146
2020-10-3,0,149
2020-10-4,0,138
2020-10-5,0,149
2020-10-6,0,158
2020-10-7,0,176
2020-10-8,0,172
2020-10-9,0,168
2020-10-10,0,179
2020-10-11,0,186
2020-10-12,0,185
2020-10-13,0,181
2020-10-14,0,201
2020-10-15,0,197
2020-10-16,0,200
2020-10-17,0,195
2020-10-18,0,200
2020-10-19,0,198
2020-10-20,0,194
2020-10-21,0,201
2020-10-22,0,209
2020-10-23,0,223
2020-10-24,0,231
2020-10-25,0,227
2020-10-26,0,237
2020-10-27,0,233
2020-10-28,0,236
2020-10-29,0,237
2020-10-30,0,243
2020-10-31,0,248
2020-11-1,0,259
2020-11-2,0,276
2020-11-3,0,268
2020-11-4,0,284
2020-11-5,0,268
2020-11-6,0,285
2020-11-7,0,308
2020-11-8,0,295
2020-11-9,0,282
2020-11-10,0,296
2020-11-11,0,304
2020-11-12,0,308
2020-11-13,0,331
2020-11-14,0,367
2020-11-15,0,378
2020-11-16,0,391
2020-11-17,0,408
2020-11-18,0,423
2020-11-19,0,437
2020-11-20,0,445
2020-11-21,0,467
2020-11-22,0,502
2020-11-23,0,545
2020-11-24,0,559
2020-11-25,0,596
2020-11-26,0,628
2020-11-27,0,636
2020-11-28,0,654
2020-11-29,0,667
2020-11-30,0,681
2020-12-1,0,718
2020-12-2,0,742
2020-12-3,0,783
2020-12-4,0,795
2020-12-5,0,825
2020-12-6,0,850
2020-12-7,0,872
2020-12-8,0,906
2020-12-9,0,952
2020-12-10,0,994
2020-12-11,0,1007
2020-12-12,0,1029
2020-12-13,0,1009
2020-12-14,0,1040
2020-12-15,0,1065
2020-12-16,0,1098
2020-12-17,0,1095
2020-12-18,0,1068
2020-12-19,0,1088
2020-12-20,0,1045
2020-12-21,0,1095
2020-12-22,0,1126
2020-12-23,0,1166
2020-12-24,0,1160
2020-12-25,0,1148
2020-12-26,0,1129
2020-12-27,0,1187
2020-12-28,0,1222
2020-12-29,0,1224
2020-12-30,0,1250
2020-12-31,0,1276
2021-1-1,0,1292
2021-1-2,0,1321
2021-1-3,0,1344
2021-1-4,0,1357
2021-1-5,0,1392
2021-1-6,0,1408
2021-1-7,0,1424
2021-1-8,0,1475
2021-1-9,0,1428
2021-1-10,0,1436
2021-1-11,0,1426
2021-1-12,0,1492
2021-1-13,0,1501
2021-1-14,0,1536
2021-1-15,0,1570
2021-1-16,0,1580
2021-1-17,0,1550
2021-1-18,0,1523
2021-1-19,0,1614
2021-1-20,0,1621
2021-1-21,0,1560
2021-1-22,0,1546
2021-1-23,0,1562
2021-1-24,0,1527
2021-1-25,0,1522
2021-1-26,0,1544
2021-1-27,0,1558
2021-1-28,0,1584
2021-1-29,0,1543
2021-1-30,0,1551
2021-1-31,0,1534
2021-2-1,0,1500
2021-2-2,0,1503
2021-2-3,0,1522
2021-2-4,0,1506
2021-2-5,0,1516
2021-2-6,0,1481
2021-2-7,0,1459
2021-2-8,0,1454
2021-2-9,0,1412
2021-2-10,0,1423
2021-2-11,0,1402
2021-2-12,0,1358
2021-2-13,0,1328
2021-2-14,0,1285
2021-2-15,0,1270
2021-2-16,0,1271
2021-2-17,0,1273
2021-2-18,0,1258
2021-2-19,0,1199
2021-2-20,0,1162
2021-2-21,0,1162
2021-2-22,0,1148
2021-2-23,0,1176
2021-2-24,0,1154
2021-2-25,0,1124
2021-2-26,0,1132
2021-2-27,0,1121
2021-2-28,0,1083
2021-3-1,0,1065
2021-3-2,0,1076
2021-3-3,0,1047
2021-3-4,0,1043
2021-3-5,0,1030
2021-3-6,0,1012
2021-3-7,0,999
