Date,OHDATA.InIcuCum,OHDATA.InIcuCurr
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,74,0
2020-3-26,91,0
2020-3-27,107,0
2020-3-28,123,0
2020-3-29,139,0
2020-3-30,163,0
2020-3-31,198,0
2020-4-1,222,0
2020-4-2,260,0
2020-4-3,288,0
2020-4-4,326,0
2020-4-5,346,0
2020-4-6,371,0
2020-4-7,417,0
2020-4-8,472,0
2020-4-9,497,0
2020-4-10,548,0
2020-4-11,572,0
2020-4-12,595,0
2020-4-13,613,0
2020-4-14,654,0
2020-4-15,677,0
2020-4-16,707,0
2020-4-17,740,0
2020-4-18,760,0
2020-4-19,765,0
2020-4-20,798,0
2020-4-21,838,0
2020-4-22,880,0
2020-4-23,900,0
2020-4-24,920,0
2020-4-25,938,0
2020-4-26,952,0
2020-4-27,978,0
2020-4-28,1004,0
2020-4-29,1014,0
2020-4-30,1035,0
2020-5-1,1056,0
2020-5-2,1066,424
2020-5-3,1078,393
2020-5-4,1090,412
2020-5-5,1123,402
2020-5-6,1151,407
2020-5-7,1167,418
2020-5-8,1188,393
2020-5-9,1200,368
2020-5-10,1205,381
2020-5-11,1217,391
2020-5-12,1232,401
2020-5-13,1248,353
2020-5-14,1268,360
2020-5-15,1277,370
2020-5-16,1277,366
2020-5-17,1305,343
2020-5-18,1328,367
2020-5-19,1357,365
2020-5-20,1369,333
2020-5-21,1397,349
2020-5-22,1416,362
2020-5-23,1429,333
2020-5-24,1438,317
2020-5-25,1443,323
2020-5-26,1450,351
2020-5-27,1492,313
2020-5-28,1516,285
2020-5-29,1533,326
2020-5-30,1548,339
2020-5-31,1556,310
2020-6-1,1569,324
2020-6-2,1583,295
2020-6-3,1604,283
2020-6-4,1623,267
2020-6-5,1632,259
2020-6-6,1650,256
2020-6-7,1657,240
2020-6-8,1668,245
2020-6-9,1708,238
2020-6-10,1714,232
2020-6-11,1732,225
2020-6-12,1745,217
2020-6-13,1754,230
2020-6-14,1762,216
2020-6-15,1776,216
2020-6-16,1784,216
2020-6-17,1797,215
2020-6-18,1807,219
2020-6-19,1820,200
2020-6-20,1833,186
2020-6-21,1844,194
2020-6-22,1852,217
2020-6-23,1876,205
2020-6-24,1886,202
2020-6-25,1897,206
2020-6-26,1904,205
2020-6-27,1916,190
2020-6-28,1946,182
2020-6-29,1961,245
2020-6-30,1994,242
2020-7-1,2008,244
2020-7-2,2035,244
2020-7-3,2044,233
2020-7-4,2052,226
2020-7-5,2058,236
2020-7-6,2077,267
2020-7-7,2101,289
2020-7-8,2127,289
2020-7-9,2146,289
2020-7-10,2161,289
2020-7-11,2169,299
2020-7-12,2185,289
2020-7-13,2201,293
2020-7-14,2223,314
2020-7-15,2259,316
2020-7-16,2280,310
2020-7-17,2305,319
2020-7-18,2311,315
2020-7-19,2315,318
2020-7-20,2344,318
2020-7-21,2367,342
2020-7-22,2386,347
2020-7-23,2403,365
2020-7-24,2419,354
2020-7-25,2437,356
2020-7-26,2444,357
2020-7-27,2466,356
2020-7-28,2488,363
2020-7-29,2513,348
2020-7-30,2534,319
2020-7-31,2552,330
2020-8-1,2557,340
2020-8-2,2560,334
2020-8-3,2570,348
2020-8-4,2593,340
2020-8-5,2609,340
2020-8-6,2627,342
2020-8-7,2641,334
2020-8-8,2654,363
2020-8-9,2665,365
2020-8-10,2680,351
2020-8-11,2699,338
2020-8-12,2721,320
2020-8-13,2743,329
2020-8-14,2755,319
2020-8-15,2767,318
2020-8-16,2771,334
2020-8-17,2786,316
2020-8-18,2805,314
2020-8-19,2827,296
2020-8-20,2844,294
2020-8-21,2864,283
2020-8-22,2876,281
2020-8-23,2878,271
2020-8-24,2888,276
2020-8-25,2903,250
2020-8-26,2920,259
2020-8-27,2929,257
2020-8-28,2946,271
2020-8-29,2952,260
2020-8-30,2954,254
2020-8-31,2961,244
2020-9-1,2975,241
2020-9-2,2989,244
2020-9-3,3003,244
2020-9-4,3022,266
2020-9-5,3032,253
2020-9-6,3033,252
2020-9-7,3034,244
2020-9-8,3042,238
2020-9-9,3054,230
2020-9-10,3070,231
2020-9-11,3081,222
2020-9-12,3088,216
2020-9-13,3088,215
2020-9-14,3097,224
2020-9-15,3111,223
2020-9-16,3134,222
2020-9-17,3149,214
2020-9-18,3161,223
2020-9-19,3175,199
2020-9-20,3180,191
2020-9-21,3199,188
2020-9-22,3210,196
2020-9-23,3218,200
2020-9-24,3228,199
2020-9-25,3243,194
2020-9-26,3247,205
2020-9-27,3251,199
2020-9-28,3261,197
2020-9-29,3274,183
2020-9-30,3288,194
2020-10-1,3297,197
2020-10-2,3312,187
2020-10-3,3319,210
2020-10-4,3320,216
2020-10-5,3331,189
2020-10-6,3367,207
2020-10-7,3384,222
2020-10-8,3395,229
2020-10-9,3413,240
2020-10-10,3425,223
2020-10-11,3428,220
2020-10-12,3434,242
2020-10-13,3447,271
2020-10-14,3464,268
2020-10-15,3507,266
2020-10-16,3522,279
2020-10-17,3539,282
2020-10-18,3547,289
2020-10-19,3561,303
2020-10-20,3597,322
2020-10-21,3632,345
2020-10-22,3657,345
2020-10-23,3682,370
2020-10-24,3705,383
2020-10-25,3714,377
2020-10-26,3751,408
2020-10-27,3771,418
2020-10-28,3790,416
2020-10-29,3816,416
2020-10-30,3841,427
2020-10-31,3859,432
2020-11-1,3876,453
2020-11-2,3899,472
2020-11-3,3924,509
2020-11-4,3946,502
2020-11-5,3969,541
2020-11-6,3991,547
2020-11-7,4005,575
2020-11-8,4013,584
2020-11-9,4047,628
2020-11-10,4086,656
2020-11-11,4122,716
2020-11-12,4143,756
2020-11-13,4164,735
2020-11-14,4187,767
2020-11-15,4204,755
2020-11-16,4223,850
2020-11-17,4250,897
2020-11-18,4280,923
2020-11-19,4318,943
2020-11-20,4360,966
2020-11-21,4394,966
2020-11-22,4418,1013
2020-11-23,4454,1079
2020-11-24,4483,1046
2020-11-25,4527,1077
2020-11-26,4527,1077
2020-11-27,4571,1113
2020-11-28,4608,1120
2020-11-29,4644,1142
2020-11-30,4682,1180
2020-12-1,4729,1233
2020-12-2,4781,1222
2020-12-3,4814,1204
2020-12-4,4847,1208
2020-12-5,4870,1163
2020-12-6,4903,1215
2020-12-7,4943,1163
2020-12-8,5010,1210
2020-12-9,5059,1229
2020-12-10,5090,1193
