Date,TXDATA.InIcuCum,TXDATA.InIcuCurr
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,563
2020-4-12,0,591
2020-4-13,0,594
2020-4-14,0,688
2020-4-15,0,663
2020-4-16,0,694
2020-4-17,0,583
2020-4-18,0,624
2020-4-19,0,620
2020-4-20,0,636
2020-4-21,0,691
2020-4-22,0,689
2020-4-23,0,670
2020-4-24,0,651
2020-4-25,0,645
2020-4-26,0,660
2020-4-27,0,684
2020-4-28,0,718
2020-4-29,0,704
2020-4-30,0,736
2020-5-1,0,711
2020-5-2,0,624
2020-5-3,0,619
2020-5-4,0,689
2020-5-5,0,726
2020-5-6,0,716
2020-5-7,0,697
2020-5-8,0,674
2020-5-9,0,661
2020-5-10,0,610
2020-5-11,0,699
2020-5-12,0,674
2020-5-13,0,673
2020-5-14,0,683
2020-5-15,0,687
2020-5-16,0,604
2020-5-17,0,618
2020-5-18,0,675
2020-5-19,0,694
2020-5-20,0,690
2020-5-21,0,665
2020-5-22,0,666
2020-5-23,0,643
2020-5-24,0,657
2020-5-25,0,647
2020-5-26,0,671
2020-5-27,0,694
2020-5-28,0,747
2020-5-29,0,753
2020-5-30,0,731
2020-5-31,0,748
2020-6-1,0,762
2020-6-2,0,748
2020-6-3,0,730
2020-6-4,0,742
2020-6-5,0,737
2020-6-6,0,763
2020-6-7,0,743
2020-6-8,0,784
2020-6-9,0,857
2020-6-10,0,809
2020-6-11,0,810
2020-6-12,0,828
2020-6-13,0,817
2020-6-14,0,861
2020-6-15,0,895
2020-6-16,0,964
2020-6-17,0,1010
2020-6-18,0,1088
2020-6-19,0,1113
2020-6-20,0,1143
2020-6-21,0,1220
2020-6-22,0,1325
2020-6-23,0,1399
2020-6-24,0,1460
2020-6-25,0,1586
2020-6-26,0,1727
2020-6-27,0,1684
2020-6-28,0,1828
2020-6-29,0,1894
2020-6-30,0,1993
2020-7-1,0,2155
2020-7-2,0,2231
2020-7-3,0,2338
2020-7-4,0,2449
2020-7-5,0,2517
2020-7-6,0,2658
2020-7-7,0,2730
2020-7-8,0,2878
2020-7-9,0,2923
2020-7-10,0,2913
2020-7-11,0,2995
2020-7-12,0,3053
2020-7-13,0,3144
2020-7-14,0,3104
2020-7-15,0,3169
2020-7-16,0,3216
2020-7-17,0,3263
2020-7-18,0,3412
2020-7-19,0,3197
2020-7-20,0,3281
2020-7-21,0,3329
2020-7-22,0,3160
2020-7-23,0,3228
2020-7-24,0,3180
2020-7-25,0,3209
2020-7-26,0,3352
2020-7-27,0,3136
2020-7-28,0,3087
2020-7-29,0,3036
2020-7-30,0,3117
2020-7-31,0,3115
2020-8-1,0,3014
2020-8-2,0,3045
2020-8-3,0,3045
2020-8-4,0,3006
2020-8-5,0,2917
2020-8-6,0,2917
2020-8-7,0,2742
2020-8-8,0,2730
2020-8-9,0,2608
2020-8-10,0,2552
2020-8-11,0,2495
2020-8-12,0,2479
2020-8-13,0,2435
2020-8-14,0,2380
2020-8-15,0,2306
2020-8-16,0,2269
2020-8-17,0,2240
2020-8-18,0,2179
2020-8-19,0,2107
2020-8-20,0,1979
2020-8-21,0,1979
2020-8-22,0,1963
2020-8-23,0,1878
2020-8-24,0,1809
2020-8-25,0,1799
2020-8-26,0,1723
2020-8-27,0,1704
2020-8-28,0,1636
2020-8-29,0,1648
2020-8-30,0,1566
2020-8-31,0,1525
2020-9-1,0,1525
2020-9-2,0,1476
2020-9-3,0,1433
2020-9-4,0,1433
2020-9-5,0,1409
2020-9-6,0,1409
2020-9-7,0,1322
2020-9-8,0,1322
2020-9-9,0,1347
2020-9-10,0,1267
2020-9-11,0,1198
2020-9-12,0,1174
2020-9-13,0,1140
2020-9-14,0,1165
2020-9-15,0,1151
2020-9-16,0,1139
2020-9-17,0,1140
2020-9-18,0,1107
2020-9-19,0,1083
2020-9-20,0,1057
2020-9-21,0,1073
2020-9-22,0,1065
2020-9-23,0,1041
2020-9-24,0,1051
2020-9-25,0,1051
2020-9-26,0,1056
2020-9-27,0,1056
2020-9-28,0,1056
2020-9-29,0,1044
2020-9-30,0,1076
2020-10-1,0,1075
2020-10-2,0,1091
2020-10-3,0,1101
2020-10-4,0,1071
2020-10-5,0,1107
2020-10-6,0,1080
2020-10-7,0,1052
2020-10-8,0,1098
2020-10-9,0,1138
2020-10-10,0,1137
2020-10-11,0,1142
2020-10-12,0,1196
2020-10-13,0,1237
2020-10-14,0,1237
2020-10-15,0,1290
2020-10-16,0,1290
2020-10-17,0,1348
2020-10-18,0,1340
2020-10-19,0,1349
2020-10-20,0,1349
2020-10-21,0,1424
2020-10-22,0,1454
2020-10-23,0,1511
2020-10-24,0,1513
2020-10-25,0,1550
2020-10-26,0,1545
2020-10-27,0,1601
2020-10-28,0,1636
2020-10-29,0,1599
2020-10-30,0,1606
2020-10-31,0,1631
2020-11-1,0,1631
2020-11-2,0,1692
2020-11-3,0,1734
2020-11-4,0,1744
2020-11-5,0,1749
2020-11-6,0,1785
2020-11-7,0,1759
2020-11-8,0,1786
2020-11-9,0,1816
2020-11-10,0,1828
2020-11-11,0,1879
2020-11-12,0,1879
2020-11-13,0,1959
2020-11-14,0,1976
2020-11-15,0,2047
2020-11-16,0,2047
2020-11-17,0,2127
2020-11-18,0,2127
2020-11-19,0,2154
2020-11-20,0,2214
2020-11-21,0,2195
2020-11-22,0,2215
2020-11-23,0,2299
2020-11-24,0,2331
2020-11-25,0,2356
2020-11-26,0,2444
2020-11-27,0,2449
2020-11-28,0,2427
2020-11-29,0,2487
2020-11-30,0,2536
2020-12-1,0,2583
2020-12-2,0,2544
2020-12-3,0,2623
2020-12-4,0,2645
2020-12-5,0,2663
2020-12-6,0,2592
2020-12-7,0,2631
2020-12-8,0,2646
2020-12-9,0,2647
2020-12-10,0,2644
2020-12-11,0,2604
2020-12-12,0,2642
2020-12-13,0,2644
2020-12-14,0,2679
2020-12-15,0,2725
2020-12-16,0,2742
2020-12-17,0,2771
2020-12-18,0,2739
2020-12-19,0,2747
2020-12-20,0,2777
2020-12-21,0,2767
2020-12-22,0,2767
2020-12-23,0,2874
2020-12-24,0,2865
2020-12-25,0,2856
2020-12-26,0,2856
2020-12-27,0,2856
2020-12-28,0,2969
2020-12-29,0,3012
2020-12-30,0,3012
2020-12-31,0,3107
2021-1-1,0,3124
2021-1-2,0,3072
2021-1-3,0,3184
2021-1-4,0,3317
2021-1-5,0,3356
2021-1-6,0,3477
2021-1-7,0,3502
2021-1-8,0,3521
2021-1-9,0,3521
2021-1-10,0,3478
2021-1-11,0,3424
2021-1-12,0,3619
2021-1-13,0,3662
2021-1-14,0,3662
2021-1-15,0,3663
2021-1-16,0,3656
2021-1-17,0,3605
2021-1-18,0,3619
2021-1-19,0,3619
2021-1-20,0,3686
2021-1-21,0,3609
2021-1-22,0,3536
2021-1-23,0,3475
2021-1-24,0,3384
2021-1-25,0,3352
2021-1-26,0,3348
2021-1-27,0,3439
2021-1-28,0,3343
2021-1-29,0,3255
2021-1-30,0,3183
2021-1-31,0,3195
2021-2-1,0,3111
2021-2-2,0,3073
2021-2-3,0,3014
2021-2-4,0,3014
2021-2-5,0,2931
2021-2-6,0,2885
2021-2-7,0,2843
2021-2-8,0,2667
2021-2-9,0,2777
2021-2-10,0,2740
2021-2-11,0,2703
2021-2-12,0,2582
2021-2-13,0,2543
2021-2-14,0,2473
2021-2-15,0,2428
2021-2-16,0,2397
2021-2-17,0,2324
2021-2-18,0,2459
2021-2-19,0,2367
2021-2-20,0,2321
2021-2-21,0,2268
2021-2-22,0,2114
2021-2-23,0,2085
2021-2-24,0,2063
2021-2-25,0,2061
2021-2-26,0,1839
2021-2-27,0,1813
2021-2-28,0,1740
2021-3-1,0,1747
2021-3-2,0,1728
2021-3-3,0,1713
