Date,UTDATA.InIcuCum,UTDATA.InIcuCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,159,0
2020-5-8,162,0
2020-5-9,166,0
2020-5-10,168,0
2020-5-11,169,0
2020-5-12,178,0
2020-5-13,182,0
2020-5-14,187,0
2020-5-15,190,0
2020-5-16,194,0
2020-5-17,196,0
2020-5-18,197,0
2020-5-19,197,0
2020-5-20,200,0
2020-5-21,207,0
2020-5-22,210,0
2020-5-23,213,0
2020-5-24,215,0
2020-5-25,215,0
2020-5-26,217,0
2020-5-27,223,0
2020-5-28,231,0
2020-5-29,237,0
2020-5-30,241,0
2020-5-31,242,0
2020-6-1,242,0
2020-6-2,243,0
2020-6-3,250,0
2020-6-4,258,0
2020-6-5,262,0
2020-6-6,266,0
2020-6-7,269,0
2020-6-8,270,0
2020-6-9,274,0
2020-6-10,276,0
2020-6-11,282,0
2020-6-12,294,0
2020-6-13,300,0
2020-6-14,302,0
2020-6-15,304,72
2020-6-16,311,0
2020-6-17,321,64
2020-6-18,326,66
2020-6-19,330,63
2020-6-20,333,66
2020-6-21,338,67
2020-6-22,338,67
2020-6-23,344,77
2020-6-24,355,77
2020-6-25,365,79
2020-6-26,375,80
2020-6-27,388,77
2020-6-28,389,83
2020-6-29,394,80
2020-6-30,406,83
2020-7-1,423,84
2020-7-2,430,81
2020-7-3,434,85
2020-7-4,436,88
2020-7-5,438,84
2020-7-6,438,83
2020-7-7,455,84
2020-7-8,465,76
2020-7-9,472,74
2020-7-10,477,79
2020-7-11,483,84
2020-7-12,486,84
2020-7-13,487,86
2020-7-14,505,80
2020-7-15,515,83
2020-7-16,523,89
2020-7-17,532,96
2020-7-18,541,91
2020-7-19,543,102
2020-7-20,543,105
2020-7-21,554,96
2020-7-22,563,94
2020-7-23,568,98
2020-7-24,574,97
2020-7-25,576,79
2020-7-26,577,83
2020-7-27,580,83
2020-7-28,592,90
2020-7-29,605,88
2020-7-30,610,87
2020-7-31,618,81
2020-8-1,627,82
2020-8-2,628,84
2020-8-3,630,83
2020-8-4,640,81
2020-8-5,650,81
2020-8-6,657,80
2020-8-7,657,81
2020-8-8,667,77
2020-8-9,669,78
2020-8-10,673,79
2020-8-11,685,81
2020-8-12,690,79
2020-8-13,694,74
2020-8-14,702,69
2020-8-15,707,64
2020-8-16,707,64
2020-8-17,708,64
2020-8-18,718,61
2020-8-19,727,63
2020-8-20,732,62
2020-8-21,737,58
2020-8-22,740,56
2020-8-23,743,58
2020-8-24,744,57
2020-8-25,753,47
2020-8-26,760,40
2020-8-27,764,41
2020-8-28,773,44
2020-8-29,774,48
2020-8-30,776,45
2020-8-31,776,45
2020-9-1,780,44
2020-9-2,785,47
2020-9-3,788,43
2020-9-4,794,54
2020-9-5,799,49
2020-9-6,802,49
2020-9-7,802,49
2020-9-8,803,41
2020-9-9,812,45
2020-9-10,814,48
2020-9-11,817,48
2020-9-12,827,48
2020-9-13,828,52
2020-9-14,829,54
2020-9-15,833,50
2020-9-16,837,54
2020-9-17,843,54
2020-9-18,848,52
2020-9-19,850,49
2020-9-20,853,59
2020-9-21,857,61
2020-9-22,869,63
2020-9-23,876,65
2020-9-24,884,76
2020-9-25,886,76
2020-9-26,890,77
2020-9-27,895,76
2020-9-28,895,66
2020-9-29,908,71
2020-9-30,912,75
2020-10-1,916,76
2020-10-2,920,73
2020-10-3,921,65
2020-10-4,923,69
2020-10-5,928,74
2020-10-6,937,79
2020-10-7,941,87
2020-10-8,947,86
2020-10-9,957,86
2020-10-10,968,89
2020-10-11,969,99
2020-10-12,970,94
2020-10-13,984,90
2020-10-14,991,97
2020-10-15,1001,99
2020-10-16,1007,96
2020-10-17,1016,96
2020-10-18,1022,102
2020-10-19,1022,103
2020-10-20,1030,104
2020-10-21,1040,111
2020-10-22,1050,110
2020-10-23,1056,109
2020-10-24,1062,110
2020-10-25,1067,120
2020-10-26,1067,112
2020-10-27,1083,111
2020-10-28,1098,117
2020-10-29,1112,123
2020-10-30,1117,133
2020-10-31,1138,132
2020-11-1,1144,130
2020-11-2,1147,138
2020-11-3,1170,152
2020-11-4,1183,158
2020-11-5,1202,158
2020-11-6,1216,167
2020-11-7,1232,175
2020-11-8,1237,170
2020-11-9,1240,185
2020-11-10,1267,185
2020-11-11,1277,182
2020-11-12,1277,191
2020-11-13,1294,184
2020-11-14,1297,184
2020-11-15,1298,186
2020-11-16,1303,198
2020-11-17,1334,196
2020-11-18,1350,201
2020-11-19,1363,195
2020-11-20,1384,182
2020-11-21,1393,183
2020-11-22,1398,197
2020-11-23,1400,199
2020-11-24,1422,201
2020-11-25,1440,207
2020-11-26,1440,207
2020-11-27,1458,205
2020-11-28,1470,207
2020-11-29,1474,207
2020-11-30,1476,205
2020-12-1,1498,205
2020-12-2,1506,202
2020-12-3,1517,209
2020-12-4,1528,203
2020-12-5,1544,212
2020-12-6,1548,213
2020-12-7,1552,215
2020-12-8,1576,220
2020-12-9,1586,223
2020-12-10,1604,220
2020-12-11,1620,213
2020-12-12,1630,211
2020-12-13,1636,215
2020-12-14,1641,211
2020-12-15,1676,203
2020-12-16,1686,210
2020-12-17,1694,211
2020-12-18,1707,206
2020-12-19,1715,218
2020-12-20,1717,201
2020-12-21,1725,195
2020-12-22,1757,202
2020-12-23,1765,198
2020-12-24,1776,180
2020-12-25,1776,180
2020-12-26,1777,172
2020-12-27,1780,166
2020-12-28,1784,168
2020-12-29,1806,164
2020-12-30,1813,156
2020-12-31,1824,158
2021-1-1,1824,158
2021-1-2,1828,158
2021-1-3,1830,164
2021-1-4,1837,167
2021-1-5,1859,177
2021-1-6,1866,192
2021-1-7,1880,187
2021-1-8,1889,196
2021-1-9,1897,181
2021-1-10,1902,189
2021-1-11,1909,194
2021-1-12,1933,187
2021-1-13,1945,194
2021-1-14,1957,194
2021-1-15,1967,210
2021-1-16,1979,231
2021-1-17,1980,226
2021-1-18,1980,214
2021-1-19,1994,216
2021-1-20,2023,210
2021-1-21,2028,209
2021-1-22,2044,192
2021-1-23,2052,196
2021-1-24,2054,182
2021-1-25,2054,179
2021-1-26,2074,158
2021-1-27,2082,161
2021-1-28,2092,157
2021-1-29,2103,148
2021-1-30,2113,139
2021-1-31,2114,131
2021-2-1,2115,129
2021-2-2,2136,130
2021-2-3,2146,119
2021-2-4,2158,125
2021-2-5,2162,117
2021-2-6,2169,123
2021-2-7,2170,120
2021-2-8,2173,112
2021-2-9,2194,124
2021-2-10,2202,131
2021-2-11,2212,128
2021-2-12,2217,118
2021-2-13,2225,116
2021-2-14,2227,111
2021-2-15,2228,104
2021-2-16,2231,106
2021-2-17,2248,99
2021-2-18,2255,105
2021-2-19,2265,103
2021-2-20,2269,99
2021-2-21,2269,100
2021-2-22,2270,99
2021-2-23,2280,95
2021-2-24,2288,91
2021-2-25,2295,87
