Date,WIDATA.InIcuCum,WIDATA.InIcuCurr
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,103
2020-4-3,0,117
2020-4-4,0,117
2020-4-5,175,134
2020-4-6,186,136
2020-4-7,200,157
2020-4-8,218,157
2020-4-9,230,196
2020-4-10,247,185
2020-4-11,257,184
2020-4-12,261,176
2020-4-13,264,163
2020-4-14,283,161
2020-4-15,290,162
2020-4-16,299,147
2020-4-17,306,141
2020-4-18,307,136
2020-4-19,307,137
2020-4-20,307,142
2020-4-21,324,137
2020-4-22,324,137
2020-4-23,342,146
2020-4-24,346,146
2020-4-25,353,137
2020-4-26,353,141
2020-4-27,355,124
2020-4-28,363,123
2020-4-29,363,121
2020-4-30,382,119
2020-5-1,391,127
2020-5-2,400,119
2020-5-3,402,116
2020-5-4,404,116
2020-5-5,414,91
2020-5-6,423,107
2020-5-7,435,107
2020-5-8,441,110
2020-5-9,452,110
2020-5-10,456,113
2020-5-11,460,117
2020-5-12,464,115
2020-5-13,469,122
2020-5-14,478,120
2020-5-15,485,125
2020-5-16,488,128
2020-5-17,494,131
2020-5-18,496,127
2020-5-19,503,130
2020-5-20,515,128
2020-5-21,526,126
2020-5-22,535,134
2020-5-23,542,128
2020-5-24,541,126
2020-5-25,543,121
2020-5-26,544,135
2020-5-27,550,139
2020-5-28,556,138
2020-5-29,567,144
2020-5-30,577,144
2020-5-31,585,133
2020-6-1,586,136
2020-6-2,593,139
2020-6-3,606,130
2020-6-4,616,117
2020-6-5,625,124
2020-6-6,636,118
2020-6-7,638,107
2020-6-8,637,110
2020-6-9,649,117
2020-6-10,654,114
2020-6-11,660,101
2020-6-12,670,104
2020-6-13,677,99
2020-6-14,680,101
2020-6-15,680,100
2020-6-16,687,100
2020-6-17,696,93
2020-6-18,701,82
2020-6-19,704,91
2020-6-20,708,90
2020-6-21,710,94
2020-6-22,711,93
2020-6-23,716,93
2020-6-24,723,89
2020-6-25,734,94
2020-6-26,741,95
2020-6-27,746,92
2020-6-28,746,93
2020-6-29,747,90
2020-6-30,750,79
2020-7-1,757,77
2020-7-2,763,74
2020-7-3,768,75
2020-7-4,771,67
2020-7-5,771,65
2020-7-6,772,69
2020-7-7,777,69
2020-7-8,787,74
2020-7-9,787,76
2020-7-10,792,77
2020-7-11,797,75
2020-7-12,800,74
2020-7-13,800,85
2020-7-14,804,83
2020-7-15,810,88
2020-7-16,811,88
2020-7-17,816,96
2020-7-18,823,90
2020-7-19,826,99
2020-7-20,829,110
2020-7-21,838,101
2020-7-22,848,63
2020-7-23,857,51
2020-7-24,861,60
2020-7-25,868,75
2020-7-26,870,64
2020-7-27,872,85
2020-7-28,880,86
2020-7-29,886,86
2020-7-30,893,111
2020-7-31,900,108
2020-8-1,904,110
2020-8-2,910,110
2020-8-3,910,120
2020-8-4,916,110
2020-8-5,919,112
2020-8-6,927,121
2020-8-7,931,121
2020-8-8,937,104
2020-8-9,938,98
2020-8-10,938,119
2020-8-11,939,111
2020-8-12,941,113
2020-8-13,942,109
2020-8-14,951,110
2020-8-15,954,96
2020-8-16,957,105
2020-8-17,961,124
2020-8-18,964,109
2020-8-19,975,121
2020-8-20,978,120
2020-8-21,982,119
2020-8-22,986,108
2020-8-23,990,106
2020-8-24,991,121
2020-8-25,996,133
2020-8-26,996,107
2020-8-27,1004,96
2020-8-28,1010,103
2020-8-29,1017,90
2020-8-30,1020,104
2020-8-31,1020,96
2020-9-1,1026,100
2020-9-2,1030,91
2020-9-3,1036,104
2020-9-4,1043,116
2020-9-5,1047,95
2020-9-6,1050,96
2020-9-7,1052,91
2020-9-8,1052,88
2020-9-9,1058,86
2020-9-10,1068,93
2020-9-11,1074,97
2020-9-12,1078,94
2020-9-13,1080,93
2020-9-14,1083,98
2020-9-15,1090,95
2020-9-16,1098,103
2020-9-17,1105,103
2020-9-18,1110,98
2020-9-19,1112,105
2020-9-20,1115,111
2020-9-21,1117,131
2020-9-22,991,134
2020-9-23,998,140
2020-9-24,1006,151
2020-9-25,1150,147
2020-9-26,1153,161
2020-9-27,1156,166
2020-9-28,1162,173
2020-9-29,1171,205
2020-9-30,1179,198
2020-10-1,1187,208
2020-10-2,1196,181
2020-10-3,1202,200
2020-10-4,1205,194
2020-10-5,1212,209
2020-10-6,1225,261
2020-10-7,1233,219
2020-10-8,1253,228
2020-10-9,1261,229
2020-10-10,1270,232
2020-10-11,1271,229
2020-10-12,1277,240
2020-10-13,1287,243
2020-10-14,1304,246
2020-10-15,1308,264
2020-10-16,1325,274
2020-10-17,1325,268
2020-10-18,1325,284
2020-10-19,1340,302
2020-10-20,1354,315
2020-10-21,1371,299
2020-10-22,1386,324
2020-10-23,1396,332
2020-10-24,1405,276
2020-10-25,1412,320
2020-10-26,1424,329
2020-10-27,1442,339
2020-10-28,1453,339
2020-10-29,1465,330
2020-10-30,1463,350
2020-10-31,1479,349
2020-11-1,1491,343
2020-11-2,1499,352
2020-11-3,1514,347
2020-11-4,1530,360
2020-11-5,1542,376
2020-11-6,1557,385
2020-11-7,1570,373
2020-11-8,1572,397
2020-11-9,1575,396
2020-11-10,1590,418
2020-11-11,1617,441
2020-11-12,1625,424
2020-11-13,1637,435
2020-11-14,1652,435
2020-11-15,1665,446
2020-11-16,1666,456
2020-11-17,1688,456
2020-11-18,1706,428
2020-11-19,1715,427
2020-11-20,1729,441
2020-11-21,1742,441
2020-11-22,1747,428
2020-11-23,1754,438
2020-11-24,1767,436
2020-11-25,1781,441
2020-11-26,1788,441
2020-11-27,1788,363
2020-11-28,1797,400
2020-11-29,1801,398
2020-11-30,1808,395
2020-12-1,1824,415
2020-12-2,1835,397
2020-12-3,1853,376
2020-12-4,1865,371
2020-12-5,1879,371
2020-12-6,1880,371
2020-12-7,1882,326
2020-12-8,1889,325
2020-12-9,1897,326
2020-12-10,1902,332
2020-12-11,1916,328
2020-12-12,1928,328
2020-12-13,1930,328
2020-12-14,1933,319
2020-12-15,1944,331
2020-12-16,1951,314
2020-12-17,1963,298
2020-12-18,1968,290
2020-12-19,1976,290
2020-12-20,1978,292
2020-12-21,1980,272
2020-12-22,1997,281
2020-12-23,2006,260
2020-12-24,2016,260
2020-12-25,2015,260
2020-12-26,2015,260
2020-12-27,2018,240
2020-12-28,2021,237
2020-12-29,2031,249
2020-12-30,2034,244
2020-12-31,2049,244
2021-1-1,2051,244
2021-1-2,2053,230
2021-1-3,2057,230
2021-1-4,2058,225
2021-1-5,2066,231
2021-1-6,2074,245
2021-1-7,2080,243
2021-1-8,2080,244
2021-1-9,2093,242
2021-1-10,2098,242
2021-1-11,2100,219
2021-1-12,2107,221
2021-1-13,2113,225
2021-1-14,2115,224
2021-1-15,2117,229
2021-1-16,2123,227
2021-1-17,2124,227
2021-1-18,2127,209
2021-1-19,2136,203
2021-1-20,2138,193
2021-1-21,2140,173
2021-1-22,2144,178
2021-1-23,2148,178
2021-1-24,2153,169
2021-1-25,2158,175
2021-1-26,2164,155
2021-1-27,2167,160
2021-1-28,2170,166
2021-1-29,2171,185
2021-1-30,2178,185
2021-1-31,2179,185
2021-2-1,2181,168
2021-2-2,2185,146
2021-2-3,2186,158
2021-2-4,2186,173
2021-2-5,2192,160
2021-2-6,2194,164
2021-2-7,2201,144
2021-2-8,2202,134
2021-2-9,2208,133
2021-2-10,2214,127
2021-2-11,2217,127
2021-2-12,2218,120
2021-2-13,2219,120
2021-2-14,2220,116
2021-2-15,2226,118
2021-2-16,2231,117
2021-2-17,2236,107
2021-2-18,2239,107
2021-2-19,2239,96
2021-2-20,2240,96
2021-2-21,2242,83
2021-2-22,2247,95
2021-2-23,2249,92
2021-2-24,2250,92
2021-2-25,2251,93
2021-2-26,2252,89
2021-2-27,2254,89
2021-2-28,2254,73
2021-3-1,2256,73
2021-3-2,2259,71
2021-3-3,2264,69
2021-3-4,2266,67
2021-3-5,2268,77
2021-3-6,2271,77
2021-3-7,2273,66
