Date,LADATA.Death,LADATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,2,2
2020-3-16,2,0
2020-3-17,4,2
2020-3-18,6,2
2020-3-19,8,2
2020-3-20,12,4
2020-3-21,16,4
2020-3-22,20,4
2020-3-23,34,14
2020-3-24,46,12
2020-3-25,65,19
2020-3-26,83,18
2020-3-27,119,36
2020-3-28,137,18
2020-3-29,151,14
2020-3-30,185,34
2020-3-31,239,54
2020-4-1,273,34
2020-4-2,310,37
2020-4-3,370,60
2020-4-4,409,39
2020-4-5,477,68
2020-4-6,512,35
2020-4-7,582,70
2020-4-8,652,70
2020-4-9,702,50
2020-4-10,755,53
2020-4-11,806,51
2020-4-12,840,34
2020-4-13,884,44
2020-4-14,1013,129
2020-4-15,1103,90
2020-4-16,1156,53
2020-4-17,1213,57
2020-4-18,1267,54
2020-4-19,1296,29
2020-4-20,1328,32
2020-4-21,1405,77
2020-4-22,1532,127
2020-4-23,1599,67
2020-4-24,1660,61
2020-4-25,1703,43
2020-4-26,1729,26
2020-4-27,1740,11
2020-4-28,1801,61
2020-4-29,1845,44
2020-4-30,1905,60
2020-5-1,1970,65
2020-5-2,1993,23
2020-5-3,2012,19
2020-5-4,2064,52
2020-5-5,2115,51
2020-5-6,2115,0
2020-5-7,2208,93
2020-5-8,2227,19
2020-5-9,2267,40
2020-5-10,2286,19
2020-5-11,2308,22
2020-5-12,2347,39
2020-5-13,2381,34
2020-5-14,2417,36
2020-5-15,2448,31
2020-5-16,2479,31
2020-5-17,2491,12
2020-5-18,2563,72
2020-5-19,2581,18
2020-5-20,2608,27
2020-5-21,2629,21
2020-5-22,2668,39
2020-5-23,2668,0
2020-5-24,2690,22
2020-5-25,2690,0
2020-5-26,2701,11
2020-5-27,2722,21
2020-5-28,2740,18
2020-5-29,2766,26
2020-5-30,2785,19
2020-5-31,2791,6
2020-6-1,2801,10
2020-6-2,2835,34
2020-6-3,2870,35
2020-6-4,2883,13
2020-6-5,2912,29
2020-6-6,2925,13
2020-6-7,2936,11
2020-6-8,2944,8
2020-6-9,2957,13
2020-6-10,2968,11
2020-6-11,2987,19
2020-6-12,2996,9
2020-6-13,3004,8
2020-6-14,3014,10
2020-6-15,3018,4
2020-6-16,3042,24
2020-6-17,3062,20
2020-6-18,3062,0
2020-6-19,3084,22
2020-6-20,3104,20
2020-6-21,3105,1
2020-6-22,3117,12
2020-6-23,3134,17
2020-6-24,3152,18
2020-6-25,3164,12
2020-6-26,3190,26
2020-6-27,3190,0
2020-6-28,3199,9
2020-6-29,3199,0
2020-6-30,3221,22
2020-7-1,3238,17
2020-7-2,3255,17
2020-7-3,3278,23
2020-7-4,3278,0
2020-7-5,3288,10
2020-7-6,3296,8
2020-7-7,3319,23
2020-7-8,3339,20
2020-7-9,3355,16
2020-7-10,3380,25
2020-7-11,3403,23
2020-7-12,3416,13
2020-7-13,3423,7
2020-7-14,3445,22
2020-7-15,3461,16
2020-7-16,3485,24
2020-7-17,3509,24
2020-7-18,3509,0
2020-7-19,3543,34
2020-7-20,3572,29
2020-7-21,3608,36
2020-7-22,3670,62
2020-7-23,3686,16
2020-7-24,3715,29
2020-7-25,3715,0
2020-7-26,3763,48
2020-7-27,3786,23
2020-7-28,3812,26
2020-7-29,3883,71
2020-7-30,3925,42
2020-7-31,3949,24
2020-8-1,3949,0
2020-8-2,4007,58
2020-8-3,4024,17
2020-8-4,4051,27
2020-8-5,4096,45
2020-8-6,4146,50
2020-8-7,4207,61
2020-8-8,4207,0
2020-8-9,4263,56
2020-8-10,4287,24
2020-8-11,4313,26
2020-8-12,4361,48
2020-8-13,4402,41
2020-8-14,4430,28
2020-8-15,4430,0
2020-8-16,4507,77
2020-8-17,4526,19
2020-8-18,4554,28
2020-8-19,4609,55
2020-8-20,4637,28
2020-8-21,4687,50
2020-8-22,4687,0
2020-8-23,4746,59
2020-8-24,4764,18
2020-8-25,4797,33
2020-8-26,4851,54
2020-8-27,4874,23
2020-8-28,4904,30
2020-8-29,4904,0
2020-8-30,4931,27
2020-8-31,4950,19
2020-9-1,4984,34
2020-9-2,5004,20
2020-9-3,5021,17
2020-9-4,5035,14
2020-9-5,5035,0
2020-9-6,5093,58
2020-9-7,5105,12
2020-9-8,5118,13
2020-9-9,5140,22
2020-9-10,5161,21
2020-9-11,5202,41
2020-9-12,5202,0
2020-9-13,5235,33
2020-9-14,5252,17
2020-9-15,5278,26
2020-9-16,5294,16
2020-9-17,5311,17
2020-9-18,5340,29
2020-9-19,5340,0
2020-9-20,5366,26
2020-9-21,5375,9
2020-9-22,5386,11
2020-9-23,5407,21
2020-9-24,5423,16
2020-9-25,5444,21
2020-9-26,5444,0
2020-9-27,5465,21
2020-9-28,5480,15
2020-9-29,5490,10
2020-9-30,5511,21
2020-10-1,5519,8
2020-10-2,5545,26
2020-10-3,5545,0
2020-10-4,5577,32
2020-10-5,5586,9
2020-10-6,5592,6
2020-10-7,5604,12
2020-10-8,5609,5
2020-10-9,5635,26
2020-10-10,5635,0
2020-10-11,5655,20
2020-10-12,5669,14
2020-10-13,5679,10
2020-10-14,5695,16
2020-10-15,5707,12
2020-10-16,5727,20
2020-10-17,5727,0
2020-10-18,5750,23
2020-10-19,5766,16
2020-10-20,5772,6
2020-10-21,5790,18
2020-10-22,5799,9
2020-10-23,5820,21
2020-10-24,5820,0
2020-10-25,5837,17
2020-10-26,5854,17
2020-10-27,5872,18
2020-10-28,5890,18
2020-10-29,5908,18
2020-10-30,5919,11
2020-10-31,5919,0
2020-11-1,5926,7
2020-11-2,5934,8
2020-11-3,5951,17
2020-11-4,5975,24
2020-11-5,5995,20
2020-11-6,6016,21
2020-11-7,6016,0
2020-11-8,6036,20
2020-11-9,6048,12
2020-11-10,6058,10
2020-11-11,6058,0
2020-11-12,6097,39
2020-11-13,6121,24
2020-11-14,6121,0
2020-11-15,6132,11
2020-11-16,6139,7
2020-11-17,6156,17
2020-11-18,6184,28
2020-11-19,6199,15
2020-11-20,6233,34
2020-11-21,6233,0
2020-11-22,6260,27
2020-11-23,6284,24
2020-11-24,6323,39
2020-11-25,6350,27
2020-11-26,6350,0
2020-11-27,6391,41
2020-11-28,6391,0
2020-11-29,6407,16
2020-11-30,6420,13
2020-12-1,6455,35
2020-12-2,6501,46
2020-12-3,6524,23
2020-12-4,6548,24
2020-12-5,6548,0
2020-12-6,6584,36
2020-12-7,6607,23
2020-12-8,6652,45
2020-12-9,6684,32
2020-12-10,6724,40
2020-12-11,6767,43
2020-12-12,6767,0
2020-12-13,6818,51
2020-12-14,6845,27
2020-12-15,6895,50
2020-12-16,6933,38
2020-12-17,6964,31
2020-12-18,6994,30
2020-12-19,6994,0
2020-12-20,7042,48
2020-12-21,7107,65
2020-12-22,7158,51
2020-12-23,7226,68
2020-12-24,7272,46
2020-12-25,7272,0
2020-12-26,7272,0
2020-12-27,7291,19
2020-12-28,7336,45
2020-12-29,7397,61
2020-12-30,7448,51
2020-12-31,7488,40
2021-1-1,7488,0
2021-1-2,7488,0
2021-1-3,7537,49
2021-1-4,7585,48
2021-1-5,7635,50
2021-1-6,7681,46
2021-1-7,7728,47
2021-1-8,7833,105
2021-1-9,7833,0
2021-1-10,7873,40
2021-1-11,7918,45
2021-1-12,7971,53
2021-1-13,8022,51
2021-1-14,8080,58
2021-1-15,8080,0
2021-1-16,8080,0
2021-1-17,8203,123
2021-1-18,8253,50
2021-1-19,8324,71
2021-1-20,8383,59
2021-1-21,8442,59
2021-1-22,8483,41
2021-1-23,8483,0
2021-1-24,8565,82
2021-1-25,8590,25
2021-1-26,8621,31
2021-1-27,8688,67
2021-1-28,8743,55
2021-1-29,8801,58
2021-1-30,8801,0
2021-1-31,8859,58
2021-2-1,8912,53
2021-2-2,8953,41
2021-2-3,9006,53
2021-2-4,9044,38
2021-2-5,9076,32
2021-2-6,9076,0
2021-2-7,9119,43
2021-2-8,9142,23
2021-2-9,9162,20
2021-2-10,9212,50
