Date,MADATA.Death,MADATA.DeathIncrease
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,2,2
2020-3-19,3,1
2020-3-20,5,2
2020-3-21,7,2
2020-3-22,11,4
2020-3-23,17,6
2020-3-24,26,9
2020-3-25,33,7
2020-3-26,42,9
2020-3-27,57,15
2020-3-28,72,15
2020-3-29,99,27
2020-3-30,124,25
2020-3-31,153,29
2020-4-1,187,34
2020-4-2,229,42
2020-4-3,265,36
2020-4-4,304,39
2020-4-5,370,66
2020-4-6,448,78
2020-4-7,515,67
2020-4-8,615,100
2020-4-9,725,110
2020-4-10,832,107
2020-4-11,946,114
2020-4-12,1056,110
2020-4-13,1211,155
2020-4-14,1329,118
2020-4-15,1502,173
2020-4-16,1667,165
2020-4-17,1822,155
2020-4-18,1983,161
2020-4-19,2146,163
2020-4-20,2303,157
2020-4-21,2449,146
2020-4-22,2597,148
2020-4-23,2769,172
2020-4-24,2877,108
2020-4-25,2877,0
2020-4-26,2899,22
2020-4-27,3003,104
2020-4-28,3153,150
2020-4-29,3405,252
2020-4-30,3562,157
2020-5-1,3716,154
2020-5-2,3846,130
2020-5-3,4004,158
2020-5-4,4090,86
2020-5-5,4212,122
2020-5-6,4420,208
2020-5-7,4552,132
2020-5-8,4702,150
2020-5-9,4840,138
2020-5-10,4979,139
2020-5-11,5108,129
2020-5-12,5141,33
2020-5-13,5315,174
2020-5-14,5482,167
2020-5-15,5592,110
2020-5-16,5705,113
2020-5-17,5797,92
2020-5-18,5862,65
2020-5-19,5938,76
2020-5-20,6066,128
2020-5-21,6148,82
2020-5-22,6228,80
2020-5-23,6304,76
2020-5-24,6372,68
2020-5-25,6416,44
2020-5-26,6473,57
2020-5-27,6547,74
2020-5-28,6640,93
2020-5-29,6718,78
2020-5-30,6768,50
2020-5-31,6846,78
2020-6-1,7035,189
2020-6-2,7085,50
2020-6-3,7152,67
2020-6-4,7201,49
2020-6-5,7235,34
2020-6-6,7289,54
2020-6-7,7316,27
2020-6-8,7353,37
2020-6-9,7408,55
2020-6-10,7454,46
2020-6-11,7492,38
2020-6-12,7538,46
2020-6-13,7576,38
2020-6-14,7624,48
2020-6-15,7647,23
2020-6-16,7665,18
2020-6-17,7734,69
2020-6-18,7770,36
2020-6-19,7800,30
2020-6-20,7828,28
2020-6-21,7858,30
2020-6-22,7874,16
2020-6-23,7890,16
2020-6-24,7938,48
2020-6-25,7963,25
2020-6-26,8013,50
2020-6-27,8041,28
2020-6-28,8060,19
2020-6-29,8095,35
2020-6-30,8054,0
2020-7-1,8081,27
2020-7-2,8132,51
2020-7-3,8149,17
2020-7-4,8172,23
2020-7-5,8183,11
2020-7-6,8198,15
2020-7-7,8213,15
2020-7-8,8243,30
2020-7-9,8268,25
2020-7-10,8296,28
2020-7-11,8310,14
2020-7-12,8325,15
2020-7-13,8330,5
2020-7-14,8340,10
2020-7-15,8368,28
2020-7-16,8380,12
2020-7-17,8402,22
2020-7-18,8419,17
2020-7-19,8431,12
2020-7-20,8433,2
2020-7-21,8450,17
2020-7-22,8468,18
2020-7-23,8484,16
2020-7-24,8498,14
2020-7-25,8510,12
2020-7-26,8529,19
2020-7-27,8536,7
2020-7-28,8551,15
2020-7-29,8580,29
2020-7-30,8595,15
2020-7-31,8609,14
2020-8-1,8626,17
2020-8-2,8638,12
2020-8-3,8648,10
2020-8-4,8657,9
2020-8-5,8659,2
2020-8-6,8691,32
2020-8-7,8709,18
2020-8-8,8721,12
2020-8-9,8735,14
2020-8-10,8741,6
2020-8-11,8751,10
2020-8-12,8769,18
2020-8-13,8790,21
2020-8-14,8804,14
2020-8-15,8818,14
2020-8-16,8829,11
2020-8-17,8833,4
2020-8-18,8839,6
2020-8-19,8876,37
2020-8-20,8888,12
2020-8-21,8901,13
2020-8-22,8921,20
2020-8-23,8921,0
2020-8-24,8948,27
2020-8-25,8960,12
2020-8-26,8987,27
2020-8-27,9007,20
2020-8-28,9023,16
2020-8-29,9036,13
2020-8-30,9049,13
2020-8-31,9060,11
2020-9-1,9064,4
2020-9-2,9060,0
2020-9-3,9077,17
2020-9-4,9100,23
2020-9-5,9116,16
2020-9-6,9125,9
2020-9-7,9133,8
2020-9-8,9141,8
2020-9-9,9146,5
2020-9-10,9166,20
2020-9-11,9180,14
2020-9-12,9196,16
2020-9-13,9210,14
2020-9-14,9219,9
2020-9-15,9225,6
2020-9-16,9245,20
2020-9-17,9260,15
2020-9-18,9269,9
2020-9-19,9295,26
2020-9-20,9310,15
2020-9-21,9317,7
2020-9-22,9328,11
2020-9-23,9347,19
2020-9-24,9362,15
2020-9-25,9373,11
2020-9-26,9391,18
2020-9-27,9404,13
2020-9-28,9415,11
2020-9-29,9423,8
2020-9-30,9456,33
2020-10-1,9480,24
2020-10-2,9490,10
2020-10-3,9507,17
2020-10-4,9510,3
2020-10-5,9530,20
2020-10-6,9538,8
2020-10-7,9557,19
2020-10-8,9565,8
2020-10-9,9577,12
2020-10-10,9587,10
2020-10-11,9604,17
2020-10-12,9617,13
2020-10-13,9630,13
2020-10-14,9647,17
2020-10-15,9672,25
2020-10-16,9702,30
2020-10-17,9723,21
2020-10-18,9737,14
2020-10-19,9753,16
2020-10-20,9758,5
2020-10-21,9780,22
2020-10-22,9810,30
2020-10-23,9830,20
2020-10-24,9839,9
2020-10-25,9864,25
2020-10-26,9881,17
2020-10-27,9888,7
2020-10-28,9924,36
2020-10-29,9951,27
2020-10-30,9975,24
2020-10-31,9991,16
2020-11-1,10013,22
2020-11-2,10023,10
2020-11-3,10035,12
2020-11-4,10062,27
2020-11-5,10085,23
2020-11-6,10106,21
2020-11-7,10129,23
2020-11-8,10149,20
2020-11-9,10163,14
2020-11-10,10184,21
2020-11-11,10222,38
2020-11-12,10242,20
2020-11-13,10265,23
2020-11-14,10293,28
