Date,MDDATA.Death,MDDATA.DeathIncrease
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,2,2
2020-3-17,2,0
2020-3-18,2,0
2020-3-19,2,0
2020-3-20,3,1
2020-3-21,3,0
2020-3-22,4,1
2020-3-23,4,0
2020-3-24,5,1
2020-3-25,5,0
2020-3-26,7,2
2020-3-27,10,3
2020-3-28,17,7
2020-3-29,24,7
2020-3-30,35,11
2020-3-31,43,8
2020-4-1,52,9
2020-4-2,64,12
2020-4-3,84,20
2020-4-4,101,17
2020-4-5,122,21
2020-4-6,138,16
2020-4-7,160,22
2020-4-8,191,31
2020-4-9,221,30
2020-4-10,255,34
2020-4-11,298,43
2020-4-12,335,37
2020-4-13,384,49
2020-4-14,421,37
2020-4-15,469,48
2020-4-16,499,30
2020-4-17,541,42
2020-4-18,582,41
2020-4-19,626,44
2020-4-20,683,57
2020-4-21,732,49
2020-4-22,779,47
2020-4-23,831,52
2020-4-24,899,68
2020-4-25,948,49
2020-4-26,1001,53
2020-4-27,1045,44
2020-4-28,1099,54
2020-4-29,1168,69
2020-4-30,1226,58
2020-5-1,1276,50
2020-5-2,1323,47
2020-5-3,1372,49
2020-5-4,1424,52
2020-5-5,1476,52
2020-5-6,1520,44
2020-5-7,1580,60
2020-5-8,1643,63
2020-5-9,1692,49
2020-5-10,1739,47
2020-5-11,1788,49
2020-5-12,1834,46
2020-5-13,1881,47
2020-5-14,1935,54
2020-5-15,1991,56
2020-5-16,2040,49
2020-5-17,2090,50
2020-5-18,2122,32
2020-5-19,2164,42
2020-5-20,2198,34
2020-5-21,2221,23
2020-5-22,2274,53
2020-5-23,2306,32
2020-5-24,2341,35
2020-5-25,2379,38
2020-5-26,2417,38
2020-5-27,2458,41
2020-5-28,2501,43
2020-5-29,2538,37
2020-5-30,2562,24
2020-5-31,2596,34
2020-6-1,2625,29
2020-6-2,2646,21
2020-6-3,2666,20
2020-6-4,2668,2
2020-6-5,2702,34
2020-6-6,2740,38
2020-6-7,2749,9
2020-6-8,2776,27
2020-6-9,2811,35
2020-6-10,2844,33
2020-6-11,2875,31
2020-6-12,2900,25
2020-6-13,2926,26
2020-6-14,2939,13
2020-6-15,2947,8
2020-6-16,2982,35
2020-6-17,2996,14
2020-6-18,3016,20
2020-6-19,3030,14
2020-6-20,3052,22
2020-6-21,3066,14
2020-6-22,3074,8
2020-6-23,3092,18
2020-6-24,3108,16
2020-6-25,3129,21
2020-6-26,3142,13
2020-6-27,3157,15
2020-6-28,3168,11
2020-6-29,3175,7
2020-6-30,3190,15
2020-7-1,3205,15
2020-7-2,3212,7
2020-7-3,3223,11
2020-7-4,3236,13
2020-7-5,3243,7
2020-7-6,3246,3
2020-7-7,3266,20
2020-7-8,3275,9
2020-7-9,3288,13
2020-7-10,3303,15
2020-7-11,3310,7
2020-7-12,3319,9
2020-7-13,3325,6
2020-7-14,3334,9
2020-7-15,3341,7
2020-7-16,3347,6
2020-7-17,3359,12
2020-7-18,3368,9
2020-7-19,3377,9
2020-7-20,3382,5
2020-7-21,3402,20
2020-7-22,3405,3
2020-7-23,3409,4
2020-7-24,3422,13
2020-7-25,3433,11
2020-7-26,3440,7
2020-7-27,3447,7
2020-7-28,3458,11
2020-7-29,3478,20
2020-7-30,3488,10
2020-7-31,3493,5
2020-8-1,3506,13
2020-8-2,3515,9
2020-8-3,3523,8
2020-8-4,3530,7
2020-8-5,3536,6
2020-8-6,3551,15
2020-8-7,3565,14
2020-8-8,3577,12
2020-8-9,3585,8
2020-8-10,3591,6
2020-8-11,3604,13
2020-8-12,3612,8
2020-8-13,3620,8
2020-8-14,3631,11
2020-8-15,3636,5
2020-8-16,3639,3
2020-8-17,3641,2
2020-8-18,3650,9
2020-8-19,3661,11
2020-8-20,3669,8
2020-8-21,3674,5
2020-8-22,3685,11
2020-8-23,3691,6
2020-8-24,3694,3
2020-8-25,3707,13
2020-8-26,3717,10
2020-8-27,3722,5
2020-8-28,3736,14
2020-8-29,3746,10
2020-8-30,3752,6
2020-8-31,3755,3
2020-9-1,3761,6
2020-9-2,3766,5
2020-9-3,3778,12
2020-9-4,3789,11
2020-9-5,3796,7
2020-9-6,3799,3
2020-9-7,3804,5
2020-9-8,3807,3
2020-9-9,3816,9
2020-9-10,3824,8
2020-9-11,3828,4
2020-9-12,3836,8
2020-9-13,3838,2
2020-9-14,3839,1
2020-9-15,3849,10
2020-9-16,3855,6
2020-9-17,3861,6
2020-9-18,3869,8
2020-9-19,3876,7
2020-9-20,3879,3
2020-9-21,3883,4
2020-9-22,3895,12
2020-9-23,3902,7
2020-9-24,3909,7
2020-9-25,3917,8
2020-9-26,3925,8
2020-9-27,3935,10
2020-9-28,3938,3
2020-9-29,3946,8
2020-9-30,3949,3
2020-10-1,3949,0
2020-10-2,3950,1
2020-10-3,3957,7
2020-10-4,3958,1
2020-10-5,3961,3
2020-10-6,3967,6
2020-10-7,3973,6
2020-10-8,3979,6
2020-10-9,3990,11
2020-10-10,3995,5
2020-10-11,3999,4
2020-10-12,4003,4
2020-10-13,4012,9
2020-10-14,4022,10
2020-10-15,4028,6
2020-10-16,4032,4
2020-10-17,4036,4
2020-10-18,4037,1
2020-10-19,4041,4
2020-10-20,4050,9
2020-10-21,4058,8
2020-10-22,4070,12
2020-10-23,4078,8
2020-10-24,4091,13
2020-10-25,4096,5
2020-10-26,4099,3
2020-10-27,4108,9
2020-10-28,4115,7
2020-10-29,4127,12
2020-10-30,4137,10
2020-10-31,4147,10
2020-11-1,4152,5
2020-11-2,4155,3
2020-11-3,4162,7
2020-11-4,4172,10
2020-11-5,4182,10
2020-11-6,4194,12
2020-11-7,4201,7
2020-11-8,4212,11
2020-11-9,4221,9
2020-11-10,4233,12
2020-11-11,4249,16
2020-11-12,4261,12
2020-11-13,4273,12
2020-11-14,4293,20
2020-11-15,4302,9
2020-11-16,4309,7
2020-11-17,4335,26
2020-11-18,4351,16
2020-11-19,4372,21
2020-11-20,4398,26
2020-11-21,4415,17
2020-11-22,4434,19
2020-11-23,4448,14
2020-11-24,4481,33
2020-11-25,4518,37
2020-11-26,4547,29
2020-11-27,4569,22
2020-11-28,4602,33
2020-11-29,4625,23
2020-11-30,4641,16
2020-12-1,4673,32
2020-12-2,4715,42
2020-12-3,4764,49
2020-12-4,4790,26
2020-12-5,4820,30
2020-12-6,4846,26
2020-12-7,4865,19
2020-12-8,4916,51
2020-12-9,4962,46
2020-12-10,5012,50
2020-12-11,5064,52
2020-12-12,5100,36
