Date,MIDATA.Death,MIDATA.DeathIncrease
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,1,1
2020-3-13,1,0
2020-3-14,1,0
2020-3-15,1,0
2020-3-16,2,1
2020-3-17,2,0
2020-3-18,5,3
2020-3-19,10,5
2020-3-20,13,3
2020-3-21,23,10
2020-3-22,36,13
2020-3-23,57,21
2020-3-24,86,29
2020-3-25,111,25
2020-3-26,159,48
2020-3-27,212,53
2020-3-28,283,71
2020-3-29,351,68
2020-3-30,437,86
2020-3-31,551,114
2020-4-1,676,125
2020-4-2,801,125
2020-4-3,918,117
2020-4-4,1030,112
2020-4-5,1150,120
2020-4-6,1291,141
2020-4-7,1449,158
2020-4-8,1600,151
2020-4-9,1756,156
2020-4-10,1917,161
2020-4-11,2081,164
2020-4-12,2249,168
2020-4-13,2391,142
2020-4-14,2532,141
2020-4-15,2672,140
2020-4-16,2841,169
2020-4-17,2984,143
2020-4-18,3107,123
2020-4-19,3236,129
2020-4-20,3347,111
2020-4-21,3471,124
2020-4-22,3602,131
2020-4-23,3711,109
2020-4-24,3818,107
2020-4-25,3929,111
2020-4-26,4036,107
2020-4-27,4148,112
2020-4-28,4247,99
2020-4-29,4335,88
2020-4-30,4434,99
2020-5-1,4520,86
2020-5-2,4579,59
2020-5-3,4641,62
2020-5-4,4722,81
2020-5-5,4781,59
2020-5-6,4839,58
2020-5-7,4925,86
2020-5-8,4987,62
2020-5-9,5036,49
2020-5-10,5081,45
2020-5-11,5139,58
2020-5-12,5188,49
2020-5-13,5232,44
2020-5-14,5278,46
2020-5-15,5325,47
2020-5-16,5357,32
2020-5-17,5396,39
2020-5-18,5427,31
2020-5-19,5470,43
2020-5-20,5514,44
2020-5-21,5555,41
2020-5-22,5586,31
2020-5-23,5612,26
2020-5-24,5640,28
2020-5-25,5678,38
2020-5-26,5703,25
2020-5-27,5727,24
2020-5-28,5751,24
2020-5-29,5778,27
2020-5-30,5802,24
2020-5-31,5818,16
2020-6-1,5843,25
2020-6-2,5869,26
2020-6-3,5884,15
2020-6-4,5901,17
2020-6-5,5909,8
2020-6-6,5916,7
2020-6-7,5927,11
2020-6-8,5942,15
2020-6-9,5951,9
2020-6-10,5952,1
2020-6-11,5985,33
2020-6-12,5990,5
2020-6-13,6013,23
2020-6-14,6016,3
2020-6-15,6017,1
2020-6-16,6034,17
2020-6-17,6036,2
2020-6-18,6061,25
2020-6-19,6067,6
2020-6-20,6087,20
2020-6-21,6090,3
2020-6-22,6097,7
2020-6-23,6109,12
2020-6-24,6114,5
2020-6-25,6133,19
2020-6-26,6134,1
2020-6-27,6153,19
2020-6-28,6158,5
2020-6-29,6161,3
2020-6-30,6193,32
2020-7-1,6198,5
2020-7-2,6212,14
2020-7-3,6215,3
2020-7-4,6218,3
2020-7-5,6218,0
2020-7-6,6221,3
2020-7-7,6251,30
2020-7-8,6262,11
2020-7-9,6271,9
2020-7-10,6285,14
2020-7-11,6313,28
2020-7-12,6314,1
2020-7-13,6321,7
2020-7-14,6326,5
2020-7-15,6330,4
2020-7-16,6348,18
2020-7-17,6355,7
2020-7-18,6364,9
2020-7-19,6366,2
2020-7-20,6373,7
2020-7-21,6382,9
2020-7-22,6388,6
2020-7-23,6395,7
2020-7-24,6400,5
2020-7-25,6400,0
2020-7-26,6400,0
2020-7-27,6405,5
2020-7-28,6421,16
2020-7-29,6422,1
2020-7-30,6443,21
2020-7-31,6450,7
2020-8-1,6457,7
2020-8-2,6457,0
2020-8-3,6463,6
2020-8-4,6471,8
2020-8-5,6478,7
2020-8-6,6506,28
2020-8-7,6524,18
2020-8-8,6520,0
2020-8-9,6519,0
2020-8-10,6526,7
2020-8-11,6533,7
2020-8-12,6539,6
2020-8-13,6555,16
2020-8-14,6566,11
2020-8-15,6586,20
2020-8-16,6592,6
2020-8-17,6592,0
2020-8-18,6608,16
2020-8-19,6618,10
2020-8-20,6634,16
2020-8-21,6634,0
2020-8-22,6655,21
2020-8-23,6659,4
2020-8-24,6663,4
2020-8-25,6684,21
2020-8-26,6690,6
2020-8-27,6706,16
2020-8-28,6712,6
2020-8-29,6712,0
2020-8-30,6748,36
2020-8-31,6753,5
