Date,MODATA.Death,MODATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,1,1
2020-3-20,1,0
2020-3-21,3,2
2020-3-22,3,0
2020-3-23,3,0
2020-3-24,3,0
2020-3-25,8,5
2020-3-26,8,0
2020-3-27,8,0
2020-3-28,10,2
2020-3-29,10,0
2020-3-30,13,3
2020-3-31,14,1
2020-4-1,18,4
2020-4-2,19,1
2020-4-3,19,0
2020-4-4,24,5
2020-4-5,34,10
2020-4-6,39,5
2020-4-7,53,14
2020-4-8,58,5
2020-4-9,77,19
2020-4-10,96,19
2020-4-11,109,13
2020-4-12,110,1
2020-4-13,114,4
2020-4-14,133,19
2020-4-15,147,14
2020-4-16,152,5
2020-4-17,165,13
2020-4-18,175,10
2020-4-19,176,1
2020-4-20,177,1
2020-4-21,189,12
2020-4-22,208,19
2020-4-23,218,10
2020-4-24,262,44
2020-4-25,273,11
2020-4-26,274,1
2020-4-27,288,14
2020-4-28,314,26
2020-4-29,318,4
2020-4-30,329,11
2020-5-1,337,8
2020-5-2,351,14
2020-5-3,352,1
2020-5-4,358,6
2020-5-5,377,19
2020-5-6,396,19
2020-5-7,418,22
2020-5-8,449,31
2020-5-9,472,23
2020-5-10,482,10
2020-5-11,488,6
2020-5-12,524,36
2020-5-13,542,18
2020-5-14,562,20
2020-5-15,576,14
2020-5-16,589,13
2020-5-17,594,5
2020-5-18,605,11
2020-5-19,616,11
2020-5-20,631,15
2020-5-21,661,30
2020-5-22,671,10
2020-5-23,676,5
2020-5-24,681,5
2020-5-25,685,4
2020-5-26,686,1
2020-5-27,696,10
2020-5-28,707,11
2020-5-29,738,31
2020-5-30,771,33
2020-5-31,772,1
2020-6-1,773,1
2020-6-2,783,10
2020-6-3,786,3
2020-6-4,786,0
2020-6-5,799,13
2020-6-6,809,10
2020-6-7,809,0
2020-6-8,819,10
2020-6-9,840,21
2020-6-10,848,8
2020-6-11,860,12
2020-6-12,872,12
2020-6-13,879,7
2020-6-14,879,0
2020-6-15,880,1
2020-6-16,882,2
2020-6-17,909,27
2020-6-18,946,37
2020-6-19,948,2
2020-6-20,955,7
2020-6-21,956,1
2020-6-22,961,5
2020-6-23,961,0
2020-6-24,975,14
2020-6-25,982,7
2020-6-26,990,8
2020-6-27,996,6
2020-6-28,997,1
2020-6-29,998,1
2020-6-30,1015,17
2020-7-1,1017,2
2020-7-2,1022,5
2020-7-3,1026,4
2020-7-4,1027,1
2020-7-5,1028,1
2020-7-6,1028,0
2020-7-7,1042,14
2020-7-8,1046,4
2020-7-9,1051,5
2020-7-10,1051,0
2020-7-11,1069,18
2020-7-12,1069,0
2020-7-13,1083,14
2020-7-14,1093,10
2020-7-15,1102,9
2020-7-16,1113,11
2020-7-17,1121,8
2020-7-18,1130,9
2020-7-19,1129,0
2020-7-20,1132,3
2020-7-21,1143,11
2020-7-22,1159,16
2020-7-23,1179,20
2020-7-24,1178,0
2020-7-25,1182,4
2020-7-26,1197,15
2020-7-27,1201,4
2020-7-28,1213,12
2020-7-29,1220,7
2020-7-30,1233,13
2020-7-31,1243,10
2020-8-1,1253,10
2020-8-2,1253,0
2020-8-3,1255,2
2020-8-4,1266,11
2020-8-5,1272,6
2020-8-6,1280,8
2020-8-7,1301,21
2020-8-8,1301,0
2020-8-9,1301,0
2020-8-10,1307,6
2020-8-11,1312,5
2020-8-12,1323,11
2020-8-13,1325,2
2020-8-14,1335,10
2020-8-15,1346,11
2020-8-16,1367,21
2020-8-17,1396,29
2020-8-18,1402,6
2020-8-19,1414,12
2020-8-20,1417,3
2020-8-21,1419,2
2020-8-22,1425,6
2020-8-23,1426,1
2020-8-24,1426,0
2020-8-25,1440,14
2020-8-26,1449,9
2020-8-27,1450,1
2020-8-28,1464,14
2020-8-29,1496,32
2020-8-30,1508,12
2020-8-31,1530,22
2020-9-1,1538,8
2020-9-2,1542,4
2020-9-3,1545,3
2020-9-4,1562,17
2020-9-5,1639,77
2020-9-6,1658,19
2020-9-7,1659,1
2020-9-8,1661,2
2020-9-9,1673,12
2020-9-10,1691,18
2020-9-11,1701,10
2020-9-12,1704,3
2020-9-13,1705,1
2020-9-14,1714,9
2020-9-15,1732,18
2020-9-16,1739,7
2020-9-17,1757,18
2020-9-18,1780,23
2020-9-19,1793,13
2020-9-20,1795,2
2020-9-21,1807,12
2020-9-22,1864,57
2020-9-23,1947,83
2020-9-24,1952,5
2020-9-25,1994,42
2020-9-26,2063,69
2020-9-27,2063,0
2020-9-28,2064,1
2020-9-29,2086,22
2020-9-30,2118,32
2020-10-1,2128,10
2020-10-2,2144,16
2020-10-3,2169,25
2020-10-4,2173,4
2020-10-5,2174,1
2020-10-6,2200,26
2020-10-7,2236,36
2020-10-8,2259,23
2020-10-9,2395,136
2020-10-10,2422,27
2020-10-11,2422,0
2020-10-12,2422,0
2020-10-13,2422,0
2020-10-14,2420,0
2020-10-15,2442,22
2020-10-16,2459,17
2020-10-17,2580,121
2020-10-18,2582,2
2020-10-19,2590,8
2020-10-20,2615,25
2020-10-21,2641,26
2020-10-22,2657,16
2020-10-23,2688,31
2020-10-24,2801,113
2020-10-25,2805,4
2020-10-26,2810,5
2020-10-27,2838,28
2020-10-28,2870,32
2020-10-29,2899,29
2020-10-30,2925,26
2020-10-31,3024,99
2020-11-1,3026,2
2020-11-2,3031,5
2020-11-3,3064,33
2020-11-4,3088,24
2020-11-5,3106,18
2020-11-6,3131,25
2020-11-7,3150,19
2020-11-8,3153,3
2020-11-9,3153,0
2020-11-10,3299,146
2020-11-11,3323,24
2020-11-12,3339,16
2020-11-13,3359,20
2020-11-14,3373,14
2020-11-15,3374,1
2020-11-16,3386,12
2020-11-17,3453,67
2020-11-18,3477,24
2020-11-19,3507,30
2020-11-20,3537,30
2020-11-21,3555,18
2020-11-22,3559,4
2020-11-23,3561,2
2020-11-24,3750,189
2020-11-25,3776,26
2020-11-26,3808,32
2020-11-27,3809,1
2020-11-28,3817,8
2020-11-29,3823,6
2020-11-30,3829,6
2020-12-1,4006,177
2020-12-2,4043,37
2020-12-3,4102,59
2020-12-4,4122,20
2020-12-5,4181,59
2020-12-6,4192,11
2020-12-7,4194,2
2020-12-8,4355,161
2020-12-9,4383,28
2020-12-10,4450,67
2020-12-11,4481,31
2020-12-12,4503,22
2020-12-13,4511,8
2020-12-14,4514,3
2020-12-15,4754,240
2020-12-16,4799,45
2020-12-17,4834,35
2020-12-18,4853,19
2020-12-19,4904,51
2020-12-20,4937,33
2020-12-21,4947,10
2020-12-22,5158,211
2020-12-23,5255,97
2020-12-24,5294,39
2020-12-25,5308,14
2020-12-26,5309,1
2020-12-27,5312,3
2020-12-28,5316,4
2020-12-29,5433,117
2020-12-30,5491,58
2020-12-31,5519,28
2021-1-1,5540,21
2021-1-2,5543,3
2021-1-3,5562,19
2021-1-4,5562,0
2021-1-5,5825,263
2021-1-6,5858,33
2021-1-7,5882,24
2021-1-8,5912,30
2021-1-9,5944,32
2021-1-10,5948,4
2021-1-11,5951,3
2021-1-12,6155,204
2021-1-13,6171,16
2021-1-14,6201,30
2021-1-15,6229,28
2021-1-16,6253,24
2021-1-17,6254,1
2021-1-18,6256,2
2021-1-19,6263,7
2021-1-20,6461,198
2021-1-21,6485,24
2021-1-22,6527,42
2021-1-23,6541,14
2021-1-24,6548,7
2021-1-25,6553,5
2021-1-26,6686,133
2021-1-27,6709,23
2021-1-28,6725,16
2021-1-29,6739,14
2021-1-30,6748,9
2021-1-31,6748,0
2021-2-1,6748,0
2021-2-2,7088,340
2021-2-3,7098,10
2021-2-4,7117,19
2021-2-5,7130,13
2021-2-6,7142,12
2021-2-7,7143,1
2021-2-8,7143,0
2021-2-9,7149,6
2021-2-10,7161,12
2021-2-11,7431,270
2021-2-12,7442,11
2021-2-13,7453,11
2021-2-14,7455,2
2021-2-15,7455,0
2021-2-16,7458,3
2021-2-17,7470,12
