Date,MSDATA.Death,MSDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,1,1
2020-3-21,1,0
2020-3-22,1,0
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,2,1
2020-3-26,6,4
2020-3-27,8,2
2020-3-28,13,5
2020-3-29,14,1
2020-3-30,16,2
2020-3-31,20,4
2020-4-1,22,2
2020-4-2,26,4
2020-4-3,29,3
2020-4-4,35,6
2020-4-5,43,8
2020-4-6,51,8
2020-4-7,59,8
2020-4-8,67,8
2020-4-9,76,9
2020-4-10,82,6
2020-4-11,93,11
2020-4-12,96,3
2020-4-13,98,2
2020-4-14,111,13
2020-4-15,122,11
2020-4-16,129,7
2020-4-17,140,11
2020-4-18,152,12
2020-4-19,159,7
2020-4-20,169,10
2020-4-21,183,14
2020-4-22,193,10
2020-4-23,201,8
2020-4-24,209,8
2020-4-25,221,12
2020-4-26,227,6
2020-4-27,229,2
2020-4-28,239,10
2020-4-29,250,11
2020-4-30,261,11
2020-5-1,281,20
2020-5-2,291,10
2020-5-3,303,12
2020-5-4,310,7
2020-5-5,342,32
2020-5-6,374,32
2020-5-7,396,22
2020-5-8,409,13
2020-5-9,421,12
2020-5-10,430,9
2020-5-11,435,5
2020-5-12,457,22
2020-5-13,465,8
2020-5-14,480,15
2020-5-15,493,13
2020-5-16,510,17
2020-5-17,521,11
2020-5-18,528,7
2020-5-19,554,26
2020-5-20,570,16
2020-5-21,580,10
2020-5-22,596,16
2020-5-23,616,20
2020-5-24,625,9
2020-5-25,635,10
2020-5-26,652,17
2020-5-27,670,18
2020-5-28,693,23
2020-5-29,710,17
2020-5-30,723,13
2020-5-31,734,11
2020-6-1,739,5
2020-6-2,767,28
2020-6-3,782,15
2020-6-4,794,12
2020-6-5,803,9
2020-6-6,803,0
2020-6-7,817,14
2020-6-8,837,20
2020-6-9,837,0
2020-6-10,868,31
2020-6-11,868,0
2020-6-12,881,13
2020-6-13,889,8
2020-6-14,891,2
2020-6-15,895,4
2020-6-16,915,20
2020-6-17,938,23
2020-6-18,938,0
2020-6-19,938,0
2020-6-20,938,0
2020-6-21,938,0
2020-6-22,978,40
2020-6-23,989,11
2020-6-24,1011,22
2020-6-25,1016,5
2020-6-26,1022,6
2020-6-27,1035,13
2020-6-28,1039,4
2020-6-29,1059,20
2020-6-30,1073,14
2020-7-1,1082,9
2020-7-2,1092,10
2020-7-3,1092,0
2020-7-4,1107,15
2020-7-5,1111,4
2020-7-6,1114,3
2020-7-7,1158,44
2020-7-8,1188,30
2020-7-9,1204,16
2020-7-10,1215,11
2020-7-11,1230,15
2020-7-12,1249,19
2020-7-13,1250,1
2020-7-14,1272,22
2020-7-15,1290,18
2020-7-16,1308,18
2020-7-17,1332,24
2020-7-18,1346,14
2020-7-19,1355,9
2020-7-20,1358,3
2020-7-21,1389,31
2020-7-22,1423,34
2020-7-23,1436,13
2020-7-24,1463,27
2020-7-25,1480,17
2020-7-26,1495,15
2020-7-27,1501,6
2020-7-28,1543,42
2020-7-29,1563,20
2020-7-30,1611,48
2020-7-31,1663,52
2020-8-1,1693,30
2020-8-2,1703,10
2020-8-3,1711,8
2020-8-4,1753,42
2020-8-5,1804,51
2020-8-6,1825,21
2020-8-7,1848,23
2020-8-8,1874,26
2020-8-9,1896,22
2020-8-10,1912,16
2020-8-11,1944,32
2020-8-12,1989,45
2020-8-13,2011,22
2020-8-14,2043,32
2020-8-15,2080,37
2020-8-16,2084,4
2020-8-17,2095,11
2020-8-18,2128,33
2020-8-19,2163,35
2020-8-20,2190,27
2020-8-21,2214,24
2020-8-22,2237,23
2020-8-23,2240,3
2020-8-24,2248,8
2020-8-25,2315,67
2020-8-26,2373,58
2020-8-27,2399,26
2020-8-28,2413,14
2020-8-29,2427,14
2020-8-30,2441,14
2020-8-31,2473,32
2020-9-1,2493,20
2020-9-2,2526,33
2020-9-3,2536,10
2020-9-4,2558,22
2020-9-5,2569,11
2020-9-6,2584,15
2020-9-7,2585,1
2020-9-8,2585,0
2020-9-9,2623,38
2020-9-10,2656,33
2020-9-11,2670,14
2020-9-12,2685,15
2020-9-13,2697,12
2020-9-14,2706,9
2020-9-15,2734,28
2020-9-16,2756,22
2020-9-17,2780,24
2020-9-18,2780,0
2020-9-19,2809,29
2020-9-20,2810,1
2020-9-21,2810,0
2020-9-22,2846,36
2020-9-23,2870,24
2020-9-24,2874,4
2020-9-25,2894,20
2020-9-26,2911,17
2020-9-27,2919,8
2020-9-28,2921,2
2020-9-29,2957,36
2020-9-30,2969,12
2020-10-1,2979,10
2020-10-2,2999,20
2020-10-3,3011,12
2020-10-4,3013,2
2020-10-5,3013,0
2020-10-6,3013,0
2020-10-7,3051,38
2020-10-8,3074,23
2020-10-9,3080,6
2020-10-10,3096,16
2020-10-11,3101,5
2020-10-12,3101,0
2020-10-13,3115,14
2020-10-14,3140,25
2020-10-15,3152,12
2020-10-16,3160,8
2020-10-17,3171,11
2020-10-18,3171,0
2020-10-19,3171,0
2020-10-20,3202,31
2020-10-21,3223,21
2020-10-22,3231,8
2020-10-23,3238,7
2020-10-24,3255,17
2020-10-25,3255,0
2020-10-26,3263,8
2020-10-27,3283,20
2020-10-28,3302,19
2020-10-29,3310,8
2020-10-30,3328,18
2020-10-31,3334,6
2020-11-1,3348,14
2020-11-2,3348,0
2020-11-3,3384,36
2020-11-4,3397,13
2020-11-5,3405,8
2020-11-6,3419,14
2020-11-7,3433,14
2020-11-8,3443,10
2020-11-9,3443,0
2020-11-10,3480,37
2020-11-11,3497,17
2020-11-12,3514,17
2020-11-13,3519,5
2020-11-14,3540,21
2020-11-15,3543,3
2020-11-16,3545,2
2020-11-17,3581,36
2020-11-18,3601,20
2020-11-19,3619,18
2020-11-20,3642,23
2020-11-21,3657,15
2020-11-22,3676,19
2020-11-23,3676,0
2020-11-24,3729,53
2020-11-25,3745,16
2020-11-26,3763,18
2020-11-27,3769,6
2020-11-28,3779,10
2020-11-29,3806,27
2020-11-30,3807,1
2020-12-1,3836,29
2020-12-2,3851,15
2020-12-3,3879,28
2020-12-4,3916,37
2020-12-5,3949,33
2020-12-6,3961,12
2020-12-7,3961,0
2020-12-8,4017,56
2020-12-9,4041,24
2020-12-10,4083,42
2020-12-11,4124,41
2020-12-12,4180,56
2020-12-13,4199,19
2020-12-14,4204,5
2020-12-15,4252,48
2020-12-16,4294,42
2020-12-17,4320,26
2020-12-18,4354,34
2020-12-19,4390,36
2020-12-20,4409,19
2020-12-21,4411,2
2020-12-22,4490,79
2020-12-23,4533,43
2020-12-24,4556,23
2020-12-25,4562,6
2020-12-26,4565,3
2020-12-27,4606,41
2020-12-28,4634,28
2020-12-29,4719,85
2020-12-30,4747,28
2020-12-31,4787,40
2021-1-1,4816,29
2021-1-2,4840,24
2021-1-3,4871,31
2021-1-4,4884,13
2021-1-5,4975,91
2021-1-6,5013,38
2021-1-7,5061,48
2021-1-8,5101,40
2021-1-9,5146,45
2021-1-10,5167,21
2021-1-11,5186,19
2021-1-12,5284,98
2021-1-13,5315,31
2021-1-14,5356,41
2021-1-15,5411,55
2021-1-16,5481,70
2021-1-17,5521,40
2021-1-18,5524,3
2021-1-19,5574,50
2021-1-20,5638,64
2021-1-21,5668,30
2021-1-22,5713,45
2021-1-23,5752,39
2021-1-24,5772,20
2021-1-25,5777,5
2021-1-26,5852,75
2021-1-27,5917,65
2021-1-28,5945,28
2021-1-29,5983,38
2021-1-30,6018,35
2021-1-31,6045,27
2021-2-1,6056,11
2021-2-2,6132,76
2021-2-3,6158,26
2021-2-4,6182,24
2021-2-5,6222,40
2021-2-6,6266,44
2021-2-7,6269,3
2021-2-8,6270,1
2021-2-9,6342,72
2021-2-10,6367,25
2021-2-11,6390,23
2021-2-12,6429,39
2021-2-13,6461,32
2021-2-14,6462,1
2021-2-15,6464,2
2021-2-16,6501,37
