Date,NDDATA.Death,NDDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,1,0
2020-3-29,1,0
2020-3-30,2,0
2020-3-31,3,0
2020-4-1,3,0
2020-4-2,3,0
2020-4-3,3,0
2020-4-4,3,0
2020-4-5,3,0
2020-4-6,3,0
2020-4-7,4,0
2020-4-8,4,0
2020-4-9,5,0
2020-4-10,6,0
2020-4-11,7,0
2020-4-12,8,0
2020-4-13,8,0
2020-4-14,9,0
2020-4-15,9,0
2020-4-16,9,0
2020-4-17,9,0
2020-4-18,9,0
2020-4-19,10,0
2020-4-20,13,0
2020-4-21,13,0
2020-4-22,14,0
2020-4-23,15,0
2020-4-24,15,0
2020-4-25,16,0
2020-4-26,17,0
2020-4-27,19,0
2020-4-28,19,0
2020-4-29,19,0
2020-4-30,19,0
2020-5-1,23,0
2020-5-2,24,0
2020-5-3,16,16
2020-5-4,15,15
2020-5-5,17,17
2020-5-6,22,22
2020-5-7,23,23
2020-5-8,24,24
2020-5-9,24,24
2020-5-10,24,24
2020-5-11,24,24
2020-5-12,25,25
2020-5-13,29,29
2020-5-14,31,31
2020-5-15,35,35
2020-5-16,35,35
2020-5-17,35,35
2020-5-18,37,37
2020-5-19,37,37
2020-5-20,37,37
2020-5-21,38,38
2020-5-22,39,39
2020-5-23,39,39
2020-5-24,39,39
2020-5-25,39,39
2020-5-26,40,40
2020-5-27,44,41
2020-5-28,48,45
2020-5-29,48,45
2020-5-30,48,45
2020-5-31,48,45
2020-6-1,50,47
2020-6-2,54,51
2020-6-3,54,51
2020-6-4,58,55
2020-6-5,59,56
2020-6-6,59,56
2020-6-7,59,56
2020-6-8,62,59
2020-6-9,65,62
2020-6-10,67,64
2020-6-11,67,64
2020-6-12,67,64
2020-6-13,67,64
2020-6-14,67,64
2020-6-15,68,65
2020-6-16,69,66
2020-6-17,70,66
2020-6-18,70,64
2020-6-19,71,65
2020-6-20,71,65
2020-6-21,71,65
2020-6-22,72,66
2020-6-23,73,67
2020-6-24,74,66
2020-6-25,76,67
2020-6-26,77,68
2020-6-27,77,68
2020-6-28,77,68
2020-6-29,77,68
2020-6-30,78,69
2020-7-1,78,69
2020-7-2,78,69
2020-7-3,78,69
2020-7-4,78,69
2020-7-5,78,69
2020-7-6,78,69
2020-7-7,81,72
2020-7-8,78,74
2020-7-9,78,74
2020-7-10,78,74
2020-7-11,78,74
2020-7-12,78,74
2020-7-13,78,74
2020-7-14,78,74
2020-7-15,81,77
2020-7-16,82,78
2020-7-17,82,78
2020-7-18,82,78
2020-7-19,82,78
2020-7-20,82,78
2020-7-21,84,80
2020-7-22,88,84
2020-7-23,88,84
2020-7-24,88,84
2020-7-25,91,87
2020-7-26,91,87
2020-7-27,91,87
2020-7-28,92,88
2020-7-29,92,88
2020-7-30,95,91
2020-7-31,95,91
2020-8-1,95,91
2020-8-2,95,91
2020-8-3,95,91
2020-8-4,96,92
2020-8-5,96,92
2020-8-6,98,94
2020-8-7,98,94
2020-8-8,98,94
2020-8-9,98,94
2020-8-10,101,97
2020-8-11,102,98
2020-8-12,104,100
2020-8-13,105,101
2020-8-14,105,101
2020-8-15,105,101
2020-8-16,105,101
2020-8-17,105,101
2020-8-18,109,105
2020-8-19,110,106
2020-8-20,112,108
2020-8-21,112,108
2020-8-22,112,108
2020-8-23,112,108
2020-8-24,112,108
2020-8-25,115,111
2020-8-26,117,113
2020-8-27,118,114
2020-8-28,118,114
2020-8-29,118,114
2020-8-30,118,114
2020-8-31,118,114
2020-9-1,122,118
2020-9-2,122,118
2020-9-3,124,120
2020-9-4,125,121
2020-9-5,125,121
2020-9-6,125,121
2020-9-7,125,121
2020-9-8,129,125
2020-9-9,129,125
2020-9-10,131,128
2020-9-11,133,130
2020-9-12,133,130
2020-9-13,133,130
2020-9-14,134,131
2020-9-15,135,132
2020-9-16,141,138
2020-9-17,142,139
2020-9-18,142,139
2020-9-19,142,139
2020-9-20,142,139
2020-9-21,151,148
2020-9-22,156,153
2020-9-23,156,153
2020-9-24,156,153
2020-9-25,156,153
2020-9-26,156,153
2020-9-27,156,153
2020-9-28,177,174
2020-9-29,185,182
2020-9-30,191,188
2020-10-1,191,188
2020-10-2,191,188
2020-10-3,191,188
2020-10-4,191,188
2020-10-5,191,188
2020-10-6,217,213
2020-10-7,226,222
2020-10-8,234,230
2020-10-9,234,230
2020-10-10,234,230
2020-10-11,234,230
2020-10-12,246,241
2020-10-13,260,255
2020-10-14,277,272
2020-10-15,289,284
2020-10-16,301,296
2020-10-17,301,296
2020-10-18,301,296
2020-10-19,310,305
2020-10-20,315,310
2020-10-21,328,323
2020-10-22,338,333
2020-10-23,345,340
2020-10-24,345,340
2020-10-25,345,340
2020-10-26,351,346
2020-10-27,366,361
2020-10-28,378,373
2020-10-29,382,377
2020-10-30,400,395
