Date,NHDATA.Death,NHDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,1,1
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,2,1
2020-3-28,2,0
2020-3-29,3,1
2020-3-30,3,0
2020-3-31,3,0
2020-4-1,4,1
2020-4-2,5,1
2020-4-3,7,2
2020-4-4,9,2
2020-4-5,9,0
2020-4-6,9,0
2020-4-7,13,4
2020-4-8,18,5
2020-4-9,21,3
2020-4-10,22,1
2020-4-11,23,1
2020-4-12,23,0
2020-4-13,23,0
2020-4-14,27,4
2020-4-15,32,5
2020-4-16,34,2
2020-4-17,37,3
2020-4-18,38,1
2020-4-19,41,3
2020-4-20,42,1
2020-4-21,42,0
2020-4-22,48,6
2020-4-23,51,3
2020-4-24,53,2
2020-4-25,60,7
2020-4-26,60,0
2020-4-27,60,0
2020-4-28,60,0
2020-4-29,66,6
2020-4-30,72,6
2020-5-1,81,9
2020-5-2,84,3
2020-5-3,86,2
2020-5-4,86,0
2020-5-5,92,6
2020-5-6,111,19
2020-5-7,114,3
2020-5-8,121,7
2020-5-9,131,10
2020-5-10,133,2
2020-5-11,133,0
2020-5-12,142,9
2020-5-13,150,8
2020-5-14,151,1
2020-5-15,159,8
2020-5-16,171,12
2020-5-17,172,1
2020-5-18,172,0
2020-5-19,182,10
2020-5-20,190,8
2020-5-21,199,9
2020-5-22,204,5
2020-5-23,208,4
2020-5-24,209,1
2020-5-25,210,1
2020-5-26,214,4
2020-5-27,223,9
2020-5-28,232,9
2020-5-29,238,6
2020-5-30,242,4
2020-5-31,245,3
2020-6-1,245,0
