Date,NMDATA.Death,NMDATA.DeathIncrease
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,1,1
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,1,0
2020-3-28,2,1
2020-3-29,2,0
2020-3-30,4,2
2020-3-31,5,1
2020-4-1,6,1
2020-4-2,7,1
2020-4-3,10,3
2020-4-4,11,1
2020-4-5,12,1
2020-4-6,12,0
2020-4-7,13,1
2020-4-8,16,3
2020-4-9,19,3
2020-4-10,19,0
2020-4-11,20,1
2020-4-12,26,6
2020-4-13,31,5
2020-4-14,36,5
2020-4-15,36,0
2020-4-16,44,8
2020-4-17,51,7
2020-4-18,53,2
2020-4-19,55,2
2020-4-20,58,3
2020-4-21,65,7
2020-4-22,71,6
2020-4-23,78,7
2020-4-24,84,6
2020-4-25,93,9
2020-4-26,99,6
2020-4-27,104,5
2020-4-28,110,6
2020-4-29,112,2
2020-4-30,123,11
2020-5-1,131,8
2020-5-2,139,8
2020-5-3,151,12
2020-5-4,156,5
2020-5-5,162,6
2020-5-6,169,7
2020-5-7,172,3
2020-5-8,181,9
2020-5-9,191,10
2020-5-10,200,9
2020-5-11,208,8
2020-5-12,219,11
2020-5-13,231,12
2020-5-14,242,11
2020-5-15,253,11
2020-5-16,259,6
2020-5-17,265,6
2020-5-18,270,5
2020-5-19,276,6
2020-5-20,283,7
2020-5-21,294,11
2020-5-22,302,8
2020-5-23,308,6
2020-5-24,317,9
2020-5-25,320,3
2020-5-26,325,5
2020-5-27,329,4
2020-5-28,335,6
2020-5-29,344,9
2020-5-30,351,7
2020-5-31,356,5
2020-6-1,362,6
2020-6-2,367,5
2020-6-3,375,8
2020-6-4,383,8
2020-6-5,387,4
2020-6-6,392,5
2020-6-7,396,4
2020-6-8,400,4
2020-6-9,404,4
2020-6-10,410,6
2020-6-11,420,10
2020-6-12,426,6
2020-6-13,431,5
2020-6-14,435,4
2020-6-15,440,5
2020-6-16,447,7
2020-6-17,452,5
2020-6-18,456,4
2020-6-19,464,8
2020-6-20,466,2
2020-6-21,469,3
2020-6-22,469,0
2020-6-23,476,7
2020-6-24,480,4
2020-6-25,485,5
2020-6-26,489,4
2020-6-27,491,2
2020-6-28,492,1
2020-6-29,493,1
2020-6-30,497,4
2020-7-1,500,3
2020-7-2,503,3
2020-7-3,511,8
2020-7-4,513,2
2020-7-5,513,0
2020-7-6,515,2
2020-7-7,519,4
2020-7-8,527,8
2020-7-9,533,6
2020-7-10,539,6
2020-7-11,543,4
2020-7-12,545,2
2020-7-13,548,3
2020-7-14,551,3
2020-7-15,557,6
2020-7-16,562,5
2020-7-17,565,3
2020-7-18,569,4
2020-7-19,571,2
2020-7-20,578,7
2020-7-21,588,10
2020-7-22,591,3
2020-7-23,596,5
2020-7-24,601,5
2020-7-25,607,6
2020-7-26,614,7
2020-7-27,619,5
2020-7-28,626,7
2020-7-29,632,6
2020-7-30,635,3
2020-7-31,642,7
2020-8-1,651,9
2020-8-2,654,3
2020-8-3,655,1
2020-8-4,658,3
2020-8-5,667,9
2020-8-6,669,2
2020-8-7,675,6
2020-8-8,681,6
2020-8-9,685,4
2020-8-10,690,5
2020-8-11,693,3
2020-8-12,695,2
2020-8-13,697,2
2020-8-14,703,6
2020-8-15,711,8
2020-8-16,714,3
2020-8-17,718,4
2020-8-18,723,5
2020-8-19,729,6
2020-8-20,734,5
2020-8-21,739,5
2020-8-22,743,4
2020-8-23,745,2
2020-8-24,747,2
2020-8-25,750,3
2020-8-26,755,5
2020-8-27,764,9
2020-8-28,767,3
2020-8-29,769,2
2020-8-30,770,1
2020-8-31,779,9
2020-9-1,787,8
2020-9-2,790,3
2020-9-3,791,1
2020-9-4,794,3
2020-9-5,800,6
2020-9-6,803,3
2020-9-7,807,4
2020-9-8,807,0
2020-9-9,813,6
2020-9-10,816,3
2020-9-11,818,2
2020-9-12,821,3
2020-9-13,823,2
2020-9-14,823,0
2020-9-15,830,7
2020-9-16,832,2
2020-9-17,836,4
2020-9-18,841,5
2020-9-19,847,6
2020-9-20,849,2
2020-9-21,851,2
2020-9-22,854,3
2020-9-23,857,3
2020-9-24,859,2
2020-9-25,865,6
2020-9-26,870,5
2020-9-27,870,0
2020-9-28,873,3
2020-9-29,875,2
2020-9-30,877,2
2020-10-1,882,5
2020-10-2,887,5
2020-10-3,890,3
2020-10-4,892,2
2020-10-5,894,2
2020-10-6,894,0
2020-10-7,896,2
2020-10-8,899,3
2020-10-9,902,3
2020-10-10,907,5
2020-10-11,911,4
2020-10-12,915,4
2020-10-13,918,3
2020-10-14,921,3
2020-10-15,922,1
2020-10-16,928,6
2020-10-17,929,1
2020-10-18,934,5
2020-10-19,935,1
2020-10-20,942,7
2020-10-21,950,8
2020-10-22,953,3
2020-10-23,960,7
2020-10-24,965,5
2020-10-25,967,2
2020-10-26,976,9
2020-10-27,980,4
2020-10-28,991,11
2020-10-29,994,3
2020-10-30,1007,13
2020-10-31,1018,11
2020-11-1,1026,8
2020-11-2,1036,10
2020-11-3,1045,9
2020-11-4,1059,14
2020-11-5,1082,23
2020-11-6,1088,6
2020-11-7,1104,16
2020-11-8,1118,14
2020-11-9,1130,12
2020-11-10,1144,14
2020-11-11,1158,14
2020-11-12,1176,18
2020-11-13,1198,22
2020-11-14,1208,10
2020-11-15,1215,7
2020-11-16,1236,21
2020-11-17,1264,28
2020-11-18,1290,26
2020-11-19,1302,12
2020-11-20,1325,23
2020-11-21,1350,25
2020-11-22,1383,33
2020-11-23,1400,17
2020-11-24,1428,28
2020-11-25,1451,23
2020-11-26,1469,18
2020-11-27,1504,35
2020-11-28,1527,23
2020-11-29,1540,13
2020-11-30,1568,28
2020-12-1,1589,21
2020-12-2,1629,40
2020-12-3,1673,44
2020-12-4,1706,33
2020-12-5,1738,32
2020-12-6,1749,11
2020-12-7,1756,7
2020-12-8,1789,33
2020-12-9,1823,34
2020-12-10,1846,23
2020-12-11,1889,43
2020-12-12,1913,24
2020-12-13,1957,44
2020-12-14,1978,21
2020-12-15,2006,28
2020-12-16,2049,43
2020-12-17,2097,48
2020-12-18,2128,31
2020-12-19,2155,27
2020-12-20,2171,16
2020-12-21,2180,9
2020-12-22,2203,23
2020-12-23,2243,40
2020-12-24,2272,29
2020-12-25,2307,35
2020-12-26,2316,9
2020-12-27,2346,30
