Date,AKDATA.TotalTestResults,AKDATA.TotalTestResultsInc
2020-3-6,8,0
2020-3-7,12,4
2020-3-8,14,2
2020-3-9,23,9
2020-3-10,23,0
2020-3-11,46,23
2020-3-12,46,0
2020-3-13,60,14
2020-3-14,144,84
2020-3-15,144,0
2020-3-16,144,0
2020-3-17,337,193
2020-3-18,412,75
2020-3-19,438,26
2020-3-20,698,260
2020-3-21,772,74
2020-3-22,968,196
2020-3-23,968,0
2020-3-24,1022,54
2020-3-25,1691,669
2020-3-26,1860,169
2020-3-27,2388,528
2020-3-28,2921,533
2020-3-29,3334,413
2020-3-30,3654,320
2020-3-31,3713,59
2020-4-1,4603,890
2020-4-2,5022,419
2020-4-3,6016,994
2020-4-4,6040,24
2020-4-5,6284,244
2020-4-6,6883,599
2020-4-7,6913,30
2020-4-8,7068,155
2020-4-9,7223,155
2020-4-10,7432,209
2020-4-11,7732,300
2020-4-12,8038,306
2020-4-13,7830,0
2020-4-14,8348,518
2020-4-15,8664,316
2020-4-16,8735,71
2020-4-17,9450,715
2020-4-18,9655,205
2020-4-19,9895,240
2020-4-20,10124,229
2020-4-21,11119,995
2020-4-22,12159,1040
2020-4-23,12161,2
2020-4-24,12281,120
2020-4-25,15732,3451
2020-4-26,16177,445
2020-4-27,16256,79
2020-4-28,17089,833
2020-4-29,19119,2030
2020-4-30,19119,0
2020-5-1,20325,1206
2020-5-2,21399,1074
2020-5-3,21578,179
2020-5-4,21723,145
2020-5-5,22692,969
2020-5-6,23655,963
2020-5-7,24341,686
2020-5-8,25473,1132
2020-5-9,26449,976
2020-5-10,27364,915
2020-5-11,28680,1316
2020-5-12,29961,1281
2020-5-13,30649,688
2020-5-14,31762,1113
2020-5-15,32418,656
2020-5-16,33281,863
2020-5-17,34651,1370
2020-5-18,35611,960
2020-5-19,36380,769
2020-5-20,37045,665
2020-5-21,39545,2500
2020-5-22,41446,1901
2020-5-23,42351,905
2020-5-24,43507,1156
2020-5-25,44472,965
2020-5-26,44964,492
2020-5-27,46363,1399
2020-5-28,47970,1607
2020-5-29,49439,1469
2020-5-30,51695,2256
2020-5-31,51695,0
2020-6-1,54190,2495
2020-6-2,56203,2013
2020-6-3,58182,1979
2020-6-4,60097,1915
2020-6-5,60990,893
2020-6-6,63901,2911
2020-6-7,64904,1003
2020-6-8,65912,1008
2020-6-9,66890,978
2020-6-10,67720,830
2020-6-11,69011,1291
2020-6-12,70880,1869
2020-6-13,71803,923
2020-6-14,73467,1664
2020-6-15,74437,970
2020-6-16,76215,1778
2020-6-17,77709,1494
2020-6-18,81185,3476
2020-6-19,83631,2446
2020-6-20,86918,3287
2020-6-21,88051,1133
2020-6-22,90824,2773
2020-6-23,92947,2123
2020-6-24,96096,3149
2020-6-25,99452,3356
2020-6-26,101792,2340
2020-6-27,105581,3789
2020-6-28,108300,2719
2020-6-29,108709,409
2020-6-30,112185,3476
2020-7-1,114400,2215
2020-7-2,115909,1509
2020-7-3,120208,4299
2020-7-4,122732,2524
2020-7-5,123753,1021
2020-7-6,123753,0
2020-7-7,131420,7667
2020-7-8,133401,1981
2020-7-9,135744,2343
2020-7-10,141931,6187
2020-7-11,143376,1445
2020-7-12,145475,2099
2020-7-13,146590,1115
2020-7-14,149473,2883
2020-7-15,156093,6620
2020-7-16,163022,6929
2020-7-17,165414,2392
2020-7-18,168363,2949
2020-7-19,173010,4647
2020-7-20,175586,2576
2020-7-21,178626,3040
2020-7-22,185333,6707
2020-7-23,189509,4176
2020-7-24,200572,11063
2020-7-25,205066,4494
2020-7-26,207264,2198
2020-7-27,207264,0
2020-7-28,213875,6611
2020-7-29,223664,9789
2020-7-30,225057,1393
2020-7-31,233106,8049
2020-8-1,238633,5527
2020-8-2,243090,4457
2020-8-3,245807,2717
2020-8-4,252649,6842
2020-8-5,257279,4630
2020-8-6,261572,4293
2020-8-7,268851,7279
2020-8-8,273593,4742
2020-8-9,277919,4326
2020-8-10,280343,2424
2020-8-11,290744,10401
2020-8-12,292582,1838
2020-8-13,294053,1471
2020-8-14,295929,1876
2020-8-15,296677,748
2020-8-16,301515,4838
2020-8-17,305648,4133
2020-8-18,310009,4361
2020-8-19,310849,840
2020-8-20,312647,1798
2020-8-21,321535,8888
2020-8-22,326287,4752
2020-8-23,327440,1153
2020-8-24,330503,3063
2020-8-25,333831,3328
2020-8-26,334804,973
2020-8-27,336220,1416
2020-8-28,339538,3318
2020-8-29,345695,6157
2020-8-30,346839,1144
2020-8-31,348630,1791
2020-9-1,374255,25625
2020-9-2,376884,2629
2020-9-3,377936,1052
2020-9-4,381937,4001
2020-9-5,385002,3065
2020-9-6,387057,2055
2020-9-7,388621,1564
2020-9-8,391656,3035
2020-9-9,391937,281
2020-9-10,393077,1140
2020-9-11,394586,1509
2020-9-12,399629,5043
2020-9-13,401213,1584
2020-9-14,403413,2200
2020-9-15,407124,3711
2020-9-16,408564,1440
2020-9-17,415863,7299
2020-9-18,418293,2430
2020-9-19,422850,4557
2020-9-20,426925,4075
2020-9-21,428645,1720
2020-9-22,431191,2546
2020-9-23,433198,2007
2020-9-24,433198,0
2020-9-25,441332,8134
2020-9-26,442869,1537
2020-9-27,442869,0
2020-9-28,444791,1922
2020-9-29,451056,6265
2020-9-30,457207,6151
2020-10-1,462323,5116
2020-10-2,469290,6967
2020-10-3,473256,3966
2020-10-4,476818,3562
2020-10-5,479374,2556
2020-10-6,479374,0
2020-10-7,490074,10700
2020-10-8,491171,1097
2020-10-9,493070,1899
2020-10-10,499253,6183
2020-10-11,502997,3744
2020-10-12,505927,2930
2020-10-13,514789,8862
2020-10-14,517177,2388
2020-10-15,519461,2284
2020-10-16,522664,3203
2020-10-17,530500,7836
2020-10-18,532711,2211
2020-10-19,536223,3512
2020-10-20,546525,10302
2020-10-21,547140,615
2020-10-22,548709,1569
2020-10-23,552746,4037
2020-10-24,552746,0
2020-10-25,559969,7223
2020-10-26,570844,10875
2020-10-27,577429,6585
2020-10-28,580599,3170
2020-10-29,584268,3669
2020-10-30,586323,2055
2020-10-31,604207,17884
2020-11-1,604207,0
2020-11-2,620170,15963
2020-11-3,624755,4585
2020-11-4,627758,3003
2020-11-5,781826,154068
2020-11-6,781301,0
2020-11-7,780694,0
2020-11-8,780174,0
2020-11-9,767997,0
2020-11-10,828140,60143
2020-11-11,834590,6450
2020-11-12,844666,10076
2020-11-13,844666,0
2020-11-14,862264,17598
2020-11-15,867382,5118
2020-11-16,872347,4965
2020-11-17,878622,6275
2020-11-18,885558,6936
2020-11-19,898799,13241
2020-11-20,904712,5913
2020-11-21,918745,14033
2020-11-22,926361,7616
2020-11-23,933016,6655
2020-11-24,943401,10385
2020-11-25,954276,10875
2020-11-26,969573,15297
2020-11-27,990773,21200
2020-11-28,999054,8281
2020-11-29,1006180,7126
2020-11-30,1011396,5216
2020-12-1,1018628,7232
2020-12-2,1024643,6015
2020-12-3,1040505,15862
2020-12-4,1050369,9864
2020-12-5,1067231,16862
2020-12-6,1077776,10545
2020-12-7,1082140,4364
2020-12-8,1088978,6838
