Date,ALDATA.TotalTestResults,ALDATA.TotalTestResultsInc
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,10,10
2020-3-12,10,0
2020-3-13,12,2
2020-3-14,28,16
2020-3-15,40,12
2020-3-16,56,16
2020-3-17,64,8
2020-3-18,74,10
2020-3-19,96,22
2020-3-20,109,13
2020-3-21,152,43
2020-3-22,1602,1450
2020-3-23,1832,230
2020-3-24,2321,489
2020-3-25,2812,491
2020-3-26,4099,1287
2020-3-27,4771,672
2020-3-28,4880,109
2020-3-29,4990,110
2020-3-30,6553,1563
2020-3-31,7279,726
2020-4-1,7774,495
2020-4-2,8736,962
2020-4-3,9619,883
2020-4-4,10853,1234
2020-4-5,13078,2225
2020-4-6,14765,1687
2020-4-7,14916,151
2020-4-8,19122,4206
2020-4-9,20827,1705
2020-4-10,21026,199
2020-4-11,21249,223
2020-4-12,21583,334
2020-4-13,29182,7599
2020-4-14,33117,3935
2020-4-15,34077,960
2020-4-16,36391,2314
2020-4-17,37848,1457
2020-4-18,42538,4690
2020-4-19,45712,3174
2020-4-20,45900,188
2020-4-21,48526,2626
2020-4-22,48760,234
2020-4-23,52641,3881
2020-4-24,52695,54
2020-4-25,71344,18649
2020-4-26,73551,2207
2020-4-27,73997,446
2020-4-28,75827,1830
2020-4-29,80449,4622
2020-4-30,87196,6747
2020-5-1,91933,4737
2020-5-2,92209,276
2020-5-3,92500,291
2020-5-4,103117,10617
2020-5-5,106766,3649
2020-5-6,109516,2750
2020-5-7,115173,5657
2020-5-8,120114,4941
2020-5-9,125494,5380
2020-5-10,127421,1927
2020-5-11,129444,2023
2020-5-12,133218,3774
2020-5-13,133218,0
2020-5-14,136372,3154
2020-5-15,146063,9691
2020-5-16,153494,7431
2020-5-17,156350,2856
2020-5-18,157123,773
2020-5-19,157566,443
2020-5-20,164450,6884
2020-5-21,170739,6289
2020-5-22,177768,7029
2020-5-23,182676,4908
2020-5-24,185799,3123
2020-5-25,190315,4516
2020-5-26,193759,3444
2020-5-27,195794,2035
2020-5-28,200481,4687
2020-5-29,208883,8402
2020-5-30,212201,3318
2020-5-31,221307,9106
2020-6-1,223235,1928
2020-6-2,223802,567
2020-6-3,231297,7495
2020-6-4,235299,4002
2020-6-5,239159,3860
2020-6-6,245310,6151
2020-6-7,259232,13922
2020-6-8,259232,0
2020-6-9,267388,8156
2020-6-10,272694,5306
2020-6-11,278455,5761
2020-6-12,286008,7553
2020-6-13,292872,6864
2020-6-14,297075,4203
2020-6-15,302294,5219
2020-6-16,305036,2742
2020-6-17,310325,5289
2020-6-18,322124,11799
2020-6-19,330906,8782
2020-6-20,339100,8194
2020-6-21,344255,5155
2020-6-22,348687,4432
2020-6-23,353611,4924
2020-6-24,358319,4708
2020-6-25,369005,10686
2020-6-26,377857,8852
2020-6-27,384026,6169
2020-6-28,385803,1777
2020-6-29,392800,6997
2020-6-30,406143,13343
2020-7-1,413433,7290
2020-7-2,419221,5788
2020-7-3,430128,10907
2020-7-4,441585,11457
2020-7-5,449383,7798
2020-7-6,454592,5209
2020-7-7,460842,6250
2020-7-8,467754,6912
2020-7-9,467754,0
2020-7-10,491600,23846
2020-7-11,501367,9767
2020-7-12,510827,9460
2020-7-13,518827,8000
2020-7-14,528275,9448
2020-7-15,540207,11932
2020-7-16,550179,9972
2020-7-17,562135,11956
2020-7-18,573441,11306
2020-7-19,584387,10946
2020-7-20,592608,8221
2020-7-21,599098,6490
2020-7-22,608088,8990
2020-7-23,618011,9923
2020-7-24,627344,9333
2020-7-25,639795,12451
2020-7-26,647743,7948
2020-7-27,655973,8230
2020-7-28,663342,7369
2020-7-29,666065,2723
2020-7-30,677841,11776
2020-7-31,687022,9181
2020-8-1,694802,7780
2020-8-2,703437,8635
2020-8-3,711317,7880
2020-8-4,719489,8172
2020-8-5,724582,5093
2020-8-6,736594,12012
2020-8-7,745942,9348
2020-8-8,745942,0
2020-8-9,758852,12910
2020-8-10,776937,18085
2020-8-11,779764,2827
2020-8-12,791786,12022
2020-8-13,798501,6715
2020-8-14,820871,22370
2020-8-15,832794,11923
2020-8-16,842070,9276
2020-8-17,848514,6444
2020-8-18,863713,15199
2020-8-19,880652,16939
2020-8-20,891813,11161
2020-8-21,891813,0
2020-8-22,911316,19503
2020-8-23,916703,5387
2020-8-24,916364,0
2020-8-25,920989,4625
2020-8-26,936557,15568
2020-8-27,948580,12023
2020-8-28,956401,7821
2020-8-29,967213,10812
2020-8-30,972283,5070
2020-8-31,976381,4098
2020-9-1,949438,0
2020-9-2,954214,4776
2020-9-3,955290,1076
2020-9-4,959309,4019
2020-9-5,966497,7188
2020-9-6,972809,6312
2020-9-7,976496,3687
2020-9-8,980668,4172
2020-9-9,986562,5894
2020-9-10,993440,6878
2020-9-11,998316,4876
2020-9-12,1003546,5230
2020-9-13,1010227,6681
2020-9-14,1014391,4164
2020-9-15,1019623,5232
2020-9-16,1027207,7584
2020-9-17,1031253,4046
2020-9-18,1039010,7757
2020-9-19,1048422,9412
2020-9-20,1054017,5595
2020-9-21,1059517,5500
2020-9-22,1065553,6036
2020-9-23,1070903,5350
2020-9-24,1078180,7277
2020-9-25,1097595,19415
2020-9-26,1104932,7337
2020-9-27,1111239,6307
2020-9-28,1116346,5107
2020-9-29,1119712,3366
2020-9-30,1132039,12327
2020-10-1,1138732,6693
2020-10-2,1145601,6869
2020-10-3,1156045,10444
2020-10-4,1162518,6473
2020-10-5,1167513,4995
2020-10-6,1172847,5334
2020-10-7,1180818,7971
2020-10-8,1184710,3892
2020-10-9,1196452,11742
2020-10-10,1204320,7868
2020-10-11,1210007,5687
2020-10-12,1214610,4603
2020-10-13,1221207,6597
2020-10-14,1226221,5014
2020-10-15,1234074,7853
2020-10-16,1241182,7108
2020-10-17,1248795,7613
2020-10-18,1253896,5101
2020-10-19,1260100,6204
2020-10-20,1265575,5475
2020-10-21,1273523,7948
2020-10-22,1280695,7172
2020-10-23,1289773,9078
2020-10-24,1295868,6095
2020-10-25,1302666,6798
2020-10-26,1307694,5028
2020-10-27,1312887,5193
2020-10-28,1320306,7419
2020-10-29,1327435,7129
2020-10-30,1335689,8254
2020-10-31,1346253,10564
2020-11-1,1352580,6327
2020-11-2,1356420,3840
2020-11-3,1363049,6629
2020-11-4,1371612,8563
2020-11-5,1379107,7495
2020-11-6,1387448,8341
2020-11-7,1396368,8920
2020-11-8,1402691,6323
2020-11-9,1406829,4138
2020-11-10,1406139,0
2020-11-11,1421590,15451
2020-11-12,1421590,0
2020-11-13,1440875,19285
2020-11-14,1453155,12280
2020-11-15,1459406,6251
2020-11-16,1466603,7197
2020-11-17,1473546,6943
2020-11-18,1481668,8122
2020-11-19,1496717,15049
2020-11-20,1508212,11495
2020-11-21,1518186,9974
2020-11-22,1525386,7200
2020-11-23,1533628,8242
2020-11-24,1544865,11237
2020-11-25,1553587,8722
2020-11-26,1562942,9355
2020-11-27,1567713,4771
2020-11-28,1573902,6189
2020-11-29,1579713,5811
2020-11-30,1584347,4634
2020-12-1,1593842,9495
2020-12-2,1603523,9681
2020-12-3,1615948,12425
2020-12-4,1626368,10420
2020-12-5,1637161,10793
2020-12-6,1645041,7880
2020-12-7,1651573,6532
2020-12-8,1664090,12517
2020-12-9,1673164,9074
2020-12-10,1684362,11198
2020-12-11,1696439,12077
2020-12-12,1696439,0
2020-12-13,1696439,0
2020-12-14,1723669,27230
2020-12-15,1732185,8516
2020-12-16,1741128,8943
2020-12-17,1752713,11585
2020-12-18,1764750,12037
2020-12-19,1775428,10678
2020-12-20,1783890,8462
2020-12-21,1790301,6411
2020-12-22,1800979,10678
2020-12-23,1813351,12372
2020-12-24,1824681,11330
2020-12-25,1834424,9743
2020-12-26,1839635,5211
2020-12-27,1843740,4105
2020-12-28,1848117,4377
2020-12-29,1855192,7075
2020-12-30,1862248,7056
2020-12-31,1874000,11752
2021-1-1,1885216,11216
2021-1-2,1891468,6252
2021-1-3,1900070,8602
2021-1-4,1903388,3318
2021-1-5,1910881,7493
2021-1-6,1921210,10329
2021-1-7,1932031,10821
