Date,ARDATA.TotalTestResults,ARDATA.TotalTestResultsInc
2020-3-6,6,0
2020-3-7,6,0
2020-3-8,6,0
2020-3-9,12,6
2020-3-10,12,0
2020-3-11,12,0
2020-3-12,30,18
2020-3-13,39,9
2020-3-14,77,38
2020-3-15,119,42
2020-3-16,154,35
2020-3-17,219,65
2020-3-18,269,50
2020-3-19,356,87
2020-3-20,447,91
2020-3-21,685,238
2020-3-22,876,191
2020-3-23,1080,204
2020-3-24,1165,85
2020-3-25,1717,552
2020-3-26,1839,122
2020-3-27,1926,87
2020-3-28,3342,1416
2020-3-29,3453,111
2020-3-30,5735,2282
2020-3-31,6482,747
2020-4-1,7938,1456
2020-4-2,8523,585
2020-4-3,9699,1176
2020-4-4,10370,671
2020-4-5,11242,872
2020-4-6,12845,1603
2020-4-7,13638,793
2020-4-8,14530,892
2020-4-9,14951,421
2020-4-10,17120,2169
2020-4-11,18578,1458
2020-4-12,19722,1144
2020-4-13,20804,1082
2020-4-14,21131,327
2020-4-15,21834,703
2020-4-16,22675,841
2020-4-17,23494,819
2020-4-18,24141,647
2020-4-19,24209,68
2020-4-20,26553,2344
2020-4-21,27441,888
2020-4-22,29713,2272
2020-4-23,31590,1877
2020-4-24,35578,3988
2020-4-25,38053,2475
2020-4-26,39469,1416
2020-4-27,40457,988
2020-4-28,40671,214
2020-4-29,45449,4778
2020-4-30,48379,2930
2020-5-1,49676,1297
2020-5-2,51582,1906
2020-5-3,52890,1308
2020-5-4,54442,1552
2020-5-5,54635,193
2020-5-6,59003,4368
2020-5-7,59995,992
2020-5-8,63994,3999
2020-5-9,65528,1534
2020-5-10,65528,0
2020-5-11,69030,3502
2020-5-12,70444,1414
2020-5-13,73215,2771
2020-5-14,75818,2603
2020-5-15,81529,5711
2020-5-16,81529,0
2020-5-17,85185,3656
2020-5-18,85185,0
2020-5-19,93701,8516
2020-5-20,96258,2557
2020-5-21,99276,3018
2020-5-22,103047,3771
2020-5-23,103047,0
2020-5-24,108581,5534
2020-5-25,111622,3041
2020-5-26,111622,0
2020-5-27,115499,3877
2020-5-28,118641,3142
2020-5-29,119768,1127
2020-5-30,126497,6729
2020-5-31,129515,3018
2020-6-1,133236,3721
2020-6-2,133236,0
2020-6-3,142480,9244
2020-6-4,147385,4905
2020-6-5,150975,3590
