Date,AZDATA.TotalTestResults,AZDATA.TotalTestResultsInc
2020-3-4,33,0
2020-3-5,63,30
2020-3-6,80,17
2020-3-7,117,37
2020-3-8,130,13
2020-3-9,147,17
2020-3-10,222,75
2020-3-11,285,63
2020-3-12,422,137
2020-3-13,813,391
2020-3-14,1291,478
2020-3-15,1552,261
2020-3-16,1855,303
2020-3-17,2898,1043
2020-3-18,4294,1396
2020-3-19,5743,1449
2020-3-20,7395,1652
2020-3-21,9314,1919
2020-3-22,10120,806
2020-3-23,10844,724
2020-3-24,13392,2548
2020-3-25,15978,2586
2020-3-26,18707,2729
2020-3-27,21133,2426
2020-3-28,23540,2407
2020-3-29,24777,1237
2020-3-30,25558,781
2020-3-31,27999,2441
2020-4-1,30273,2274
2020-4-2,32656,2383
2020-4-3,35068,2412
2020-4-4,37309,2241
2020-4-5,38447,1138
2020-4-6,39395,948
2020-4-7,43059,3664
2020-4-8,45479,2420
2020-4-9,47368,1889
2020-4-10,49474,2106
2020-4-11,51435,1961
2020-4-12,52289,854
2020-4-13,53187,898
2020-4-14,55491,2304
2020-4-15,57662,2171
2020-4-16,59878,2216
2020-4-17,62213,2335
2020-4-18,64671,2458
2020-4-19,65652,981
2020-4-20,66619,967
2020-4-21,69364,2745
2020-4-22,71814,2450
2020-4-23,74324,2510
2020-4-24,76906,2582
2020-4-25,79897,2991
2020-4-26,81060,1163
2020-4-27,81952,892
2020-4-28,85487,3535
2020-4-29,89547,4060
2020-4-30,93389,3842
2020-5-1,97494,4105
2020-5-2,102618,5124
2020-5-3,109167,6549
2020-5-4,110799,1632
2020-5-5,116484,5685
2020-5-6,122269,5785
2020-5-7,127971,5702
2020-5-8,135077,7106
2020-5-9,142107,7030
2020-5-10,153090,10983
2020-5-11,155246,2156
2020-5-12,163441,8195
2020-5-13,171535,8094
2020-5-14,178980,7445
2020-5-15,186249,7269
2020-5-16,195923,9674
2020-5-17,208265,12342
2020-5-18,211546,3281
2020-5-19,220668,9122
2020-5-20,228719,8051
2020-5-21,235548,6829
2020-5-22,243094,7546
2020-5-23,251250,8156
2020-5-24,257617,6367
2020-5-25,261004,3387
2020-5-26,264185,3181
2020-5-27,273336,9151
2020-5-28,281591,8255
2020-5-29,290737,9146
2020-5-30,301559,10822
2020-5-31,310662,9103
2020-6-1,314143,3481
2020-6-2,325216,11073
2020-6-3,336357,11141
2020-6-4,347401,11044
2020-6-5,359497,12096
2020-6-6,373325,13828
2020-6-7,379633,6308
2020-6-8,384447,4814
2020-6-9,398903,14456
2020-6-10,414015,15112
2020-6-11,429051,15036
2020-6-12,444139,15088
2020-6-13,460476,16337
2020-6-14,469793,9317
2020-6-15,476074,6281
2020-6-16,493848,17774
2020-6-17,511836,17988
2020-6-18,529559,17723
2020-6-19,550195,20636
2020-6-20,572516,22321
2020-6-21,585644,13128
2020-6-22,593334,7690
2020-6-23,615298,21964
2020-6-24,638775,23477
2020-6-25,662473,23698
2020-6-26,686142,23669
2020-6-27,709826,23684
2020-6-28,723634,13808
2020-6-29,733199,9565
2020-6-30,759832,26633
2020-7-1,786501,26669
2020-7-2,812675,26174
2020-7-3,839264,26589
2020-7-4,856727,17463
2020-7-5,864800,8073
2020-7-6,873294,8494
2020-7-7,898487,25193
2020-7-8,924637,26150
2020-7-9,949463,24826
2020-7-10,975259,25796
2020-7-11,998781,23522
2020-7-12,1011370,12589
2020-7-13,1019870,8500
2020-7-14,1042118,22248
2020-7-15,1066295,24177
2020-7-16,1089641,23346
2020-7-17,1110415,20774
2020-7-18,1132328,21913
2020-7-19,1145119,12791
2020-7-20,1152482,7363
2020-7-21,1171347,18865
2020-7-22,1190282,18935
2020-7-23,1208695,18413
2020-7-24,1224884,16189
2020-7-25,1241053,16169
2020-7-26,1252779,11726
2020-7-27,1260447,7668
2020-7-28,1279558,19111
2020-7-29,1296819,17261
2020-7-30,1313170,16351
2020-7-31,1328836,15666
2020-8-1,1345780,16944
2020-8-2,1357545,11765
2020-8-3,1364256,6711
2020-8-4,1381739,17483
2020-8-5,1397596,15857
2020-8-6,1414087,16491
2020-8-7,1428778,14691
2020-8-8,1443202,14424
2020-8-9,1452522,9320
2020-8-10,1460286,7764
2020-8-11,1478449,18163
2020-8-12,1496412,17963
2020-8-13,1513889,17477
2020-8-14,1527959,14070
2020-8-15,1544331,16372
2020-8-16,1553885,9554
2020-8-17,1561050,7165
2020-8-18,1578782,17732
2020-8-19,1596418,17636
2020-8-20,1613909,17491
2020-8-21,1628519,14610
2020-8-22,1644455,15936
2020-8-23,1652279,7824
2020-8-24,1658513,6234
2020-8-25,1676568,18055
2020-8-26,1693858,17290
2020-8-27,1714771,20913
2020-8-28,1729437,14666
2020-8-29,1743437,14000
2020-8-30,1749788,6351
2020-8-31,1754165,4377
2020-9-1,1774187,20022
2020-9-2,1794201,20014
2020-9-3,1811773,17572
2020-9-4,1827793,16020
2020-9-5,1843841,16048
2020-9-6,1848768,4927
2020-9-7,1853118,4350
2020-9-8,1857703,4585
2020-9-9,1876469,18766
2020-9-10,1894723,18254
2020-9-11,1909700,14977
2020-9-12,1924587,14887
2020-9-13,1931715,7128
2020-9-14,1936977,5262
2020-9-15,1955538,18561
2020-9-16,1974359,18821
2020-9-17,1994345,19986
2020-9-18,2010969,16624
2020-9-19,2026942,15973
2020-9-20,2035326,8384
2020-9-21,2042448,7122
2020-9-22,2063747,21299
2020-9-23,2085450,21703
2020-9-24,2105548,20098
2020-9-25,2123314,17766
2020-9-26,2139926,16612
2020-9-27,2148819,8893
2020-9-28,2155348,6529
2020-9-29,2174410,19062
2020-9-30,2193467,19057
2020-10-1,2216176,22709
2020-10-2,2236164,19988
2020-10-3,2255630,19466
2020-10-4,2266217,10587
2020-10-5,2273690,7473
2020-10-6,2297490,23800
2020-10-7,2321782,24292
2020-10-8,2344730,22948
2020-10-9,2365848,21118
2020-10-10,2385045,19197
2020-10-11,2395150,10105
2020-10-12,2403048,7898
2020-10-13,2425141,22093
2020-10-14,2447427,22286
2020-10-15,2471838,24411
2020-10-16,2493039,21201
2020-10-17,2514031,20992
2020-10-18,2526396,12365
2020-10-19,2536524,10128
2020-10-20,2563078,26554
2020-10-21,2590386,27308
2020-10-22,2619925,29539
2020-10-23,2644780,24855
2020-10-24,2667371,22591
2020-10-25,2681115,13744
2020-10-26,2690075,8960
2020-10-27,2718140,28065
2020-10-28,2747224,29084
2020-10-29,2775736,28512
2020-10-30,2804634,28898
2020-10-31,2829519,24885
2020-11-1,2842876,13357
2020-11-2,2855088,12212
2020-11-3,2888318,33230
2020-11-4,2922813,34495
2020-11-5,2958069,35256
2020-11-6,2992772,34703
2020-11-7,3024516,31744
2020-11-8,3043793,19277
2020-11-9,3058628,14835
2020-11-10,3094865,36237
2020-11-11,3133703,38838
2020-11-12,3162058,28355
2020-11-13,3200928,38870
2020-11-14,3235173,34245
2020-11-15,3257981,22808
2020-11-16,3274985,17004
2020-11-17,3318826,43841
2020-11-18,3365609,46783
2020-11-19,3415337,49728
2020-11-20,3464193,48856
2020-11-21,3509195,45002
2020-11-22,3540180,30985
2020-11-23,3563416,23236
2020-11-24,3620556,57140
2020-11-25,3671613,51057
2020-11-26,3719276,47663
2020-11-27,3729756,10480
2020-11-28,3757165,27409
2020-11-29,3780594,23429
2020-11-30,3803094,22500
2020-12-1,3860609,57515
2020-12-2,3914647,54038
2020-12-3,3965378,50731
2020-12-4,4012371,46993
2020-12-5,4045775,33404
2020-12-6,4061215,15440
2020-12-7,4065296,4081
2020-12-8,4065339,43
2020-12-9,4091817,26478
2020-12-10,4136075,44258
2020-12-11,4187860,51785
2020-12-12,4245154,57294
2020-12-13,4305888,60734
2020-12-14,4344693,38805
2020-12-15,4374452,29759
2020-12-16,4409083,34631
2020-12-17,4462666,53583
