Date,CADATA.TotalTestResults,CADATA.TotalTestResultsInc
2020-3-4,515,0
2020-3-5,515,0
2020-3-6,522,7
2020-3-7,531,9
2020-3-8,550,19
2020-3-9,804,254
2020-3-10,823,19
2020-3-11,1073,250
2020-3-12,1118,45
2020-3-13,1118,0
2020-3-14,1168,50
2020-3-15,1209,41
2020-3-16,8316,7107
2020-3-17,8464,148
2020-3-18,8592,128
2020-3-19,9711,1119
2020-3-20,11487,1776
2020-3-21,12528,1041
2020-3-22,12840,312
2020-3-23,14300,1460
2020-3-24,15554,1254
2020-3-25,18276,2722
2020-3-26,20386,2110
2020-3-27,21259,873
2020-3-28,25192,3933
2020-3-29,26257,1065
2020-3-30,26996,739
2020-3-31,29254,2258
2020-4-1,29927,673
2020-4-2,33000,3073
2020-4-3,35300,2300
2020-4-4,113700,78400
2020-4-5,116533,2833
2020-4-6,117431,898
2020-4-7,131229,13798
2020-4-8,144264,13035
2020-4-9,163500,19236
2020-4-10,164863,1363
2020-4-11,173219,8356
2020-4-12,190328,17109
2020-4-13,190882,554
2020-4-14,202208,11326
2020-4-15,216486,14278
2020-4-16,246400,29914
2020-4-17,251614,5214
2020-4-18,259666,8052
2020-4-19,280900,21234
2020-4-20,290500,9600
2020-4-21,300100,9600
2020-4-22,465327,165227
2020-4-23,482097,16770
2020-4-24,494173,12076
2020-4-25,506035,11862
2020-4-26,526084,20049
2020-4-27,553409,27325
2020-4-28,577608,24199
2020-4-29,603139,25531
2020-4-30,625337,22198
2020-5-1,654985,29648
2020-5-2,685048,30063
2020-5-3,715751,30703
2020-5-4,747874,32123
2020-5-5,779902,32028
2020-5-6,809036,29134
2020-5-7,842874,33838
2020-5-8,875272,32398
2020-5-9,912570,37298
2020-5-10,955664,43094
2020-5-11,991897,36233
2020-5-12,1033370,41473
2020-5-13,1065592,32222
2020-5-14,1104651,39059
2020-5-15,1133906,29255
2020-5-16,1179126,45220
2020-5-17,1235243,56117
2020-5-18,1292672,57429
2020-5-19,1339316,46644
2020-5-20,1380120,40804
2020-5-21,1421127,41007
2020-5-22,1466773,45646
2020-5-23,1515306,48533
2020-5-24,1582745,67439
2020-5-25,1644102,61357
2020-5-26,1696396,52294
2020-5-27,1736894,40498
2020-5-28,1790559,53665
2020-5-29,1835478,44919
2020-5-30,1888595,53117
2020-5-31,1944848,56253
2020-6-1,2012583,67735
2020-6-2,2071591,59008
2020-6-3,2131294,59703
2020-6-4,2182671,51377
2020-6-5,2238463,55792
2020-6-6,2308300,69837
2020-6-7,2362218,53918
2020-6-8,2431190,68972
2020-6-9,2486245,55055
2020-6-10,2540798,54553
2020-6-11,2597647,56849
2020-6-12,2662258,64611
2020-6-13,2724393,62135
2020-6-14,2801996,77603
2020-6-15,2868182,66186
2020-6-16,2937755,69573
2020-6-17,2997988,60233
2020-6-18,3074530,76542
2020-6-19,3155702,81172
2020-6-20,3234412,78710
2020-6-21,3319256,84844
2020-6-22,3411686,92430
2020-6-23,3496929,85243
2020-6-24,3592899,95970
2020-6-25,3694345,101446
2020-6-26,3771314,76969
2020-6-27,3862310,90996
2020-6-28,3955952,93642
2020-6-29,4061692,105740
2020-6-30,4167139,105447
2020-7-1,4254176,87037
2020-7-2,4338718,84542
2020-7-3,4448176,109458
2020-7-4,4553031,104855
2020-7-5,4680138,127107
2020-7-6,4793353,113215
2020-7-7,4896370,103017
2020-7-8,4996175,99805
2020-7-9,5078434,82259
2020-7-10,5175737,97303
2020-7-11,5275695,99958
2020-7-12,5406599,130904
2020-7-13,5544365,137766
2020-7-14,5674955,130590
2020-7-15,5793276,118321
2020-7-16,5915508,122232
2020-7-17,6044099,128591
2020-7-18,6167218,123119
2020-7-19,6286852,119634
2020-7-20,6414321,127469
2020-7-21,6536932,122611
2020-7-22,6664419,127487
2020-7-23,6778304,113885
2020-7-24,6915876,137572
2020-7-25,7047355,131479
2020-7-26,7168139,120784
2020-7-27,7296578,128439
2020-7-28,7417866,121288
2020-7-29,7517466,99600
2020-7-30,7633840,116374
2020-7-31,7811041,177201
2020-8-1,7886587,75546
2020-8-2,8035975,149388
2020-8-3,8184696,148721
2020-8-4,8305713,121017
2020-8-5,8409400,103687
2020-8-6,8500463,91063
2020-8-7,8596882,96419
2020-8-8,8707527,110645
2020-8-9,8826119,118592
2020-8-10,8998353,172234
2020-8-11,9186279,187926
2020-8-12,9303467,117188
2020-8-13,9445493,142026
2020-8-14,9556598,111105
2020-8-15,9681111,124513
2020-8-16,9798135,117024
2020-8-17,9933780,135645
2020-8-18,10049039,115259
2020-8-19,10140683,91644
2020-8-20,10227966,87283
2020-8-21,10329372,101406
2020-8-22,10436352,106980
2020-8-23,10541031,104679
2020-8-24,10652487,111456
2020-8-25,10762506,110019
2020-8-26,10832757,70251
2020-8-27,10918415,85658
2020-8-28,11010637,92222
2020-8-29,11109630,98993
2020-8-30,11231829,122199
2020-8-31,11373305,141476
2020-9-1,11470696,97391
2020-9-2,11580370,109674
2020-9-3,11663924,83554
2020-9-4,11796970,133046
2020-9-5,11916323,119353
2020-9-6,12047191,130868
2020-9-7,12158292,111101
2020-9-8,12267948,109656
2020-9-9,12343797,75849
2020-9-10,12389991,46194
2020-9-11,12451660,61669
2020-9-12,12556967,105307
2020-9-13,12690016,133049
2020-9-14,12806189,116173
2020-9-15,12928170,121981
2020-9-16,13000522,72352
2020-9-17,13080037,79515
2020-9-18,13177186,97149
2020-9-19,13343886,166700
2020-9-20,13523158,179272
2020-9-21,13672782,149624
2020-9-22,13804055,131273
2020-9-23,13879423,75368
2020-9-24,13952857,73434
2020-9-25,14052247,99390
2020-9-26,14182730,130483
2020-9-27,14333498,150768
2020-9-28,14484852,151354
2020-9-29,14613545,128693
2020-9-30,14705202,91657
2020-10-1,14771851,66649
2020-10-2,14868431,96580
2020-10-3,14998888,130457
2020-10-4,15160287,161399
2020-10-5,15301681,141394
2020-10-6,15430421,128740
2020-10-7,15556706,126285
2020-10-8,15623623,66917
2020-10-9,15736497,112874
2020-10-10,15878445,141948
2020-10-11,16047004,168559
2020-10-12,16191341,144337
2020-10-13,16333717,142376
2020-10-14,16425487,91770
2020-10-15,16517812,92325
2020-10-16,16621956,104144
2020-10-17,16756711,134755
2020-10-18,16892062,135351
2020-10-19,17042408,150346
2020-10-20,17189070,146662
2020-10-21,17293139,104069
2020-10-22,17358770,65631
2020-10-23,17483293,124523
2020-10-24,17609179,125886
2020-10-25,17787885,178706
2020-10-26,17982829,194944
2020-10-27,18127049,144220
2020-10-28,18223596,96547
2020-10-29,18323771,100175
2020-10-30,18444523,120752
2020-10-31,18602317,157794
2020-11-1,18743315,140998
2020-11-2,18912501,169186
2020-11-3,19074921,162420
2020-11-4,19181012,106091
2020-11-5,19266363,85351
2020-11-6,19396349,129986
2020-11-7,19565151,168802
2020-11-8,19724628,159477
2020-11-9,19918479,193851
2020-11-10,20094641,176162
2020-11-11,20222093,127452
2020-11-12,20342072,119979
2020-11-13,20478500,136428
2020-11-14,20671596,193096
2020-11-15,20866785,195189
2020-11-16,21068894,202109
2020-11-17,21259076,190182
2020-11-18,21418543,159467
2020-11-19,21552528,133985
2020-11-20,21730551,178023
2020-11-21,21971832,241281
2020-11-22,22237309,265477
2020-11-23,22457544,220235
2020-11-24,22741363,283819
2020-11-25,22910351,168988
2020-11-26,23096745,186394
2020-11-27,23315918,219173
2020-11-28,23573182,257264
2020-11-29,23807501,234319
2020-11-30,24025171,217670
2020-12-1,24161313,136142
2020-12-2,24299126,137813
2020-12-3,24474642,175516
2020-12-4,24675478,200836
2020-12-5,24901975,226497
2020-12-6,25195046,293071
2020-12-7,25493351,298305
2020-12-8,25789775,296424
2020-12-9,26042071,252296
2020-12-10,26324332,282261
2020-12-11,26572343,248011
2020-12-12,26886130,313787
