Date,CODATA.TotalTestResults,CODATA.TotalTestResultsInc
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,70,70
2020-3-12,198,128
2020-3-13,333,135
2020-3-14,525,192
2020-3-15,704,179
2020-3-16,1007,303
2020-3-17,1468,461
2020-3-18,2204,736
2020-3-19,2728,524
2020-3-20,3535,807
2020-3-21,4367,832
2020-3-22,5789,1422
2020-3-23,6713,924
2020-3-24,7944,1231
2020-3-25,9078,1134
2020-3-26,10911,1833
2020-3-27,12504,1593
2020-3-28,14191,1687
2020-3-29,15474,1283
2020-3-30,17107,1633
2020-3-31,18514,1407
2020-4-1,20206,1692
2020-4-2,21795,1589
2020-4-3,23611,1816
2020-4-4,25579,1968
2020-4-5,27699,2120
2020-4-6,28901,1202
2020-4-7,30535,1634
2020-4-8,31768,1233
2020-4-9,33967,2199
2020-4-10,35642,1675
2020-4-11,38104,2462
2020-4-12,40689,2585
2020-4-13,42483,1794
2020-4-14,43501,1018
2020-4-15,44683,1182
2020-4-16,46178,1495
2020-4-17,47884,1706
2020-4-18,49465,1581
2020-4-19,51291,1826
2020-4-20,52768,1477
2020-4-21,54244,1476
2020-4-22,56411,2167
2020-4-23,58315,1904
2020-4-24,63564,5249
2020-4-25,66507,2943
2020-4-26,69744,3237
2020-4-27,72403,2659
2020-4-28,75105,2702
2020-4-29,77859,2754
2020-4-30,81171,3312
2020-5-1,84507,3336
2020-5-2,87842,3335
2020-5-3,91424,3582
2020-5-4,93656,2232
2020-5-5,96666,3010
2020-5-6,99827,3161
2020-5-7,103133,3306
2020-5-8,108509,5376
2020-5-9,113189,4680
2020-5-10,117213,4024
2020-5-11,120284,3071
2020-5-12,123213,2929
2020-5-13,127034,3821
2020-5-14,131051,4017
2020-5-15,135313,4262
2020-5-16,139735,4422
2020-5-17,143149,3414
2020-5-18,146418,3269
2020-5-19,149432,3014
2020-5-20,153797,4365
