Date,CTDATA.TotalTestResults,CTDATA.TotalTestResultsInc
2020-2-29,3,0
2020-3-1,4,1
2020-3-2,8,4
2020-3-3,12,4
2020-3-4,24,12
2020-3-5,36,12
2020-3-6,51,15
2020-3-7,64,13
2020-3-8,87,23
2020-3-9,122,35
2020-3-10,168,46
2020-3-11,195,27
2020-3-12,256,61
2020-3-13,353,97
2020-3-14,496,143
2020-3-15,619,123
2020-3-16,755,136
2020-3-17,1325,570
2020-3-18,2314,989
2020-3-19,3663,1349
2020-3-20,5189,1526
2020-3-21,6874,1685
2020-3-22,7848,974
2020-3-23,8541,693
2020-3-24,10345,1804
2020-3-25,12393,2048
2020-3-26,14349,1956
2020-3-27,16611,2262
2020-3-28,18834,2223
2020-3-29,20162,1328
2020-3-30,20991,829
2020-3-31,23118,2127
2020-4-1,25348,2230
2020-4-2,27832,2484
2020-4-3,30227,2395
2020-4-4,32667,2440
2020-4-5,34376,1709
2020-4-6,35533,1157
2020-4-7,38323,2790
2020-4-8,41196,2873
2020-4-9,44202,3006
2020-4-10,46776,2574
2020-4-11,49577,2801
2020-4-12,51382,1805
2020-4-13,52436,1054
2020-4-14,54031,1595
2020-4-15,57689,3658
2020-4-16,60799,3110
2020-4-17,63966,3167
2020-4-18,67664,3698
2020-4-19,69891,2227
2020-4-20,71485,1594
2020-4-21,74978,3493
2020-4-22,78002,3024
2020-4-23,82011,4009
2020-4-24,86072,4061
2020-4-25,90408,4336
2020-4-26,92889,2481
2020-4-27,94779,1890
2020-4-28,99181,4402
2020-4-29,103030,3849
2020-4-30,107736,4706
2020-5-1,111297,3561
2020-5-2,115325,4028
2020-5-3,118513,3188
2020-5-4,120846,2333
2020-5-5,125209,4363
2020-5-6,130021,4812
2020-5-7,134297,4276
2020-5-8,138816,4519
2020-5-9,144888,6072
2020-5-10,147796,2908
2020-5-11,150082,2286
2020-5-12,156179,6097
2020-5-13,164360,8181
2020-5-14,172010,7650
2020-5-15,179711,7701
2020-5-16,187222,7511
2020-5-17,190939,3717
2020-5-18,193621,2682
2020-5-19,200465,6844
2020-5-20,207380,6915
2020-5-21,214445,7065
2020-5-22,221751,7306
2020-5-23,228976,7225
2020-5-24,232376,3400
2020-5-25,234946,2570
2020-5-26,237201,2255
2020-5-27,246223,9022
2020-5-28,254807,8584
2020-5-29,263155,8348
2020-5-30,270608,7453
2020-5-31,274354,3746
2020-6-1,276843,2489
2020-6-2,285068,8225
2020-6-3,292631,7563
2020-6-4,300239,7608
2020-6-5,308515,8276
2020-6-6,316555,8040
2020-6-7,320150,3595
2020-6-8,322572,2422
2020-6-9,331368,8796
2020-6-10,339772,8404
2020-6-11,349054,9282
2020-6-12,356317,7263
2020-6-13,362824,6507
2020-6-14,365832,3008
2020-6-15,368225,2393
2020-6-16,377177,8952
2020-6-17,387057,9880
2020-6-18,397241,10184
2020-6-19,406107,8866
2020-6-20,412718,6611
2020-6-21,417048,4330
2020-6-22,420223,3175
2020-6-23,432257,12034
2020-6-24,444259,12002
2020-6-25,457793,13534
2020-6-26,471664,13871
2020-6-27,482865,11201
2020-6-28,488190,5325
2020-6-29,492033,3843
2020-6-30,505320,13287
2020-7-1,520354,15034
2020-7-2,534217,13863
2020-7-3,548321,14104
2020-7-4,554143,5822
2020-7-5,556266,2123
2020-7-6,560582,4316
2020-7-7,575788,15206
2020-7-8,590350,14562
2020-7-9,605418,15068
2020-7-10,618109,12691
2020-7-11,630390,12281
2020-7-12,635511,5121
2020-7-13,639773,4262
2020-7-14,654208,14435
2020-7-15,670091,15883
2020-7-16,684447,14356
2020-7-17,697658,13211
2020-7-18,710591,12933
2020-7-19,714544,3953
2020-7-20,720641,6097
2020-7-21,733689,13048
2020-7-22,747508,13819
2020-7-23,761800,14292
2020-7-24,777284,15484
2020-7-25,789504,12220
2020-7-26,794909,5405
2020-7-27,802172,7263
2020-7-28,815632,13460
2020-7-29,830025,14393
2020-7-30,845262,15237
2020-7-31,859758,14496
2020-8-1,871439,11681
2020-8-2,876891,5452
2020-8-3,884263,7372
2020-8-4,897166,12903
2020-8-5,909639,12473
2020-8-6,923020,13381
2020-8-7,938176,15156
2020-8-8,949700,11524
2020-8-9,955009,5309
2020-8-10,961507,6498
2020-8-11,977662,16155
2020-8-12,992993,15331
2020-8-13,1009402,16409
2020-8-14,1025258,15856
2020-8-15,1039857,14599
2020-8-16,1047096,7239
2020-8-17,1056306,9210
2020-8-18,1075819,19513
2020-8-19,1092816,16997
2020-8-20,1110632,17816
2020-8-21,1128475,17843
2020-8-22,1142990,14515
2020-8-23,1149750,6760
2020-8-24,1155574,5824
2020-8-25,1175587,20013
2020-8-26,1196461,20874
2020-8-27,1217047,20586
2020-8-28,1236317,19270
