Date,DEDATA.TotalTestResults,DEDATA.TotalTestResultsInc
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,10,10
2020-3-12,12,2
2020-3-13,19,7
2020-3-14,28,9
2020-3-15,60,32
2020-3-16,120,60
2020-3-17,351,231
2020-3-18,417,66
2020-3-19,897,480
2020-3-20,1201,304
2020-3-21,1386,185
2020-3-22,1732,346
2020-3-23,2102,370
2020-3-24,2366,264
2020-3-25,2729,363
2020-3-26,3148,419
2020-3-27,3562,414
2020-3-28,3993,431
2020-3-29,4469,476
2020-3-30,5011,542
2020-3-31,5468,457
2020-4-1,6058,590
2020-4-2,6600,542
2020-4-3,7170,570
2020-4-4,8376,1206
2020-4-5,9447,1071
2020-4-6,10694,1247
2020-4-7,11555,861
2020-4-8,12216,661
2020-4-9,13434,1218
2020-4-10,14303,869
2020-4-11,14964,661
2020-4-12,16062,1098
2020-4-13,16750,688
2020-4-14,17303,553
2020-4-15,17794,491
2020-4-16,18509,715
2020-4-17,19223,714
2020-4-18,20194,971
2020-4-19,20985,791
2020-4-20,21927,942
2020-4-21,22628,701
2020-4-22,23011,383
2020-4-23,24107,1096
2020-4-24,24876,769
2020-4-25,26109,1233
2020-4-26,27375,1266
2020-4-27,28423,1048
2020-4-28,29153,730
2020-4-29,29984,831
2020-4-30,30832,848
2020-5-1,31575,743
2020-5-2,32497,922
2020-5-3,33660,1163
2020-5-4,34829,1169
2020-5-5,35679,850
2020-5-6,36804,1125
2020-5-7,38181,1377
2020-5-8,39891,1710
2020-5-9,41950,2059
2020-5-10,43897,1947
2020-5-11,45527,1630
2020-5-12,46480,953
2020-5-13,47226,746
2020-5-14,48330,1104
2020-5-15,49672,1342
2020-5-16,51064,1392
2020-5-17,54098,3034
2020-5-18,56191,2093
2020-5-19,57174,983
2020-5-20,58054,880
2020-5-21,59225,1171
2020-5-22,60331,1106
2020-5-23,61809,1478
2020-5-24,64095,2286
2020-5-25,65225,1130
2020-5-26,66239,1014
2020-5-27,67983,1744
2020-5-28,68777,794
2020-5-29,69829,1052
2020-5-30,72538,2709
2020-5-31,74820,2282
