Date,FLDATA.TotalTestResults,FLDATA.TotalTestResultsInc
2020-1-29,1,0
2020-1-30,1,0
2020-1-31,4,3
2020-2-1,4,0
2020-2-2,4,0
2020-2-3,4,0
2020-2-4,6,2
2020-2-5,6,0
2020-2-6,6,0
2020-2-7,6,0
2020-2-8,7,1
2020-2-9,7,0
2020-2-10,7,0
2020-2-11,8,1
2020-2-12,8,0
2020-2-13,9,1
2020-2-14,9,0
2020-2-15,12,3
2020-2-16,12,0
2020-2-17,13,1
2020-2-18,13,0
2020-2-19,13,0
2020-2-20,13,0
2020-2-21,13,0
2020-2-22,14,1
2020-2-23,14,0
2020-2-24,14,0
2020-2-25,15,1
2020-2-26,15,0
2020-2-27,15,0
2020-2-28,15,0
2020-2-29,15,0
2020-3-1,15,0
2020-3-2,15,0
2020-3-3,19,4
2020-3-4,22,3
2020-3-5,41,19
2020-3-6,68,27
2020-3-7,116,48
2020-3-8,143,27
2020-3-9,179,36
2020-3-10,263,84
2020-3-11,334,71
2020-3-12,387,53
2020-3-13,505,118
2020-3-14,704,199
2020-3-15,1140,436
2020-3-16,1321,181
2020-3-17,1912,591
2020-3-18,2616,704
2020-3-19,3671,1055
2020-3-20,4773,1102
2020-3-21,6192,1419
2020-3-22,8487,2295
2020-3-23,11284,2797
2020-3-24,12954,1670
2020-3-25,15835,2881
2020-3-26,22737,6902
2020-3-27,28363,5626
2020-3-28,34607,6244
2020-3-29,40982,6375
2020-3-30,48119,7137
2020-3-31,55046,6927
2020-4-1,63259,8213
2020-4-2,71703,8444
2020-4-3,84386,12683
2020-4-4,95124,10738
2020-4-5,107267,12143
2020-4-6,114285,7018
2020-4-7,125348,11063
2020-4-8,136858,11510
2020-4-9,143351,6493
2020-4-10,157362,14011
2020-4-11,166804,9442
2020-4-12,178055,11251
2020-4-13,186752,8697
2020-4-14,195443,8691
2020-4-15,201864,6421
2020-4-16,211489,9625
2020-4-17,226950,15461
2020-4-18,239745,12795
2020-4-19,248903,9158
2020-4-20,258121,9218
2020-4-21,268700,10579
2020-4-22,280934,12234
2020-4-23,291998,11064
2020-4-24,310609,18611
2020-4-25,324016,13407
2020-4-26,340916,16900
2020-4-27,349793,8877
2020-4-28,361556,11763
2020-4-29,368569,7013
2020-4-30,378239,9670
2020-5-1,396464,18225
2020-5-2,412850,16386
2020-5-3,425243,12393
2020-5-4,440615,15372
2020-5-5,461682,21067
2020-5-6,476485,14803
2020-5-7,490296,13811
2020-5-8,507598,17302
2020-5-9,524343,16745
2020-5-10,538027,13684
2020-5-11,555807,17780
2020-5-12,576962,21155
2020-5-13,591519,14557
2020-5-14,607219,15700
2020-5-15,622753,15534
2020-5-16,629359,6606
2020-5-17,650908,21549
2020-5-18,670220,19312
2020-5-19,700701,30481
2020-5-20,772023,71322
2020-5-21,817226,45203
2020-5-22,841067,23841
2020-5-23,866920,25853
2020-5-24,882626,15706
2020-5-25,920104,37478
2020-5-26,938170,18066
2020-5-27,952142,13972
2020-5-28,971639,19497
2020-5-29,1008376,36737
2020-5-30,1022691,14315
2020-5-31,1049404,26713
2020-6-1,1073626,24222
2020-6-2,1083794,10168
2020-6-3,1109419,25625
2020-6-4,1143981,34562
2020-6-5,1172244,28263
2020-6-6,1208092,35848
2020-6-7,1258807,50715
2020-6-8,1283747,24940
2020-6-9,1312922,29175
2020-6-10,1334261,21339
2020-6-11,1362057,27796
2020-6-12,1392549,30492
2020-6-13,1427556,35007
2020-6-14,1473348,45792
2020-6-15,1504255,30907
2020-6-16,1538668,34413
2020-6-17,1561493,22825
2020-6-18,1590585,29092
2020-6-19,1622106,31521
2020-6-20,1653080,30974
2020-6-21,1690172,37092
2020-6-22,1724166,33994
2020-6-23,1757843,33677
2020-6-24,1790441,32598
2020-6-25,1843506,53065
2020-6-26,1908520,65014
2020-6-27,1979724,71204
2020-6-28,2044514,64790
2020-6-29,2082221,37707
2020-6-30,2121648,39427
2020-7-1,2163496,41848
2020-7-2,2225989,62493
2020-7-3,2286612,60623
2020-7-4,2364452,77840
2020-7-5,2428240,63788
2020-7-6,2468749,40509
2020-7-7,2512111,43362
2020-7-8,2579547,67436
2020-7-9,2626323,46776
2020-7-10,2711279,84956
2020-7-11,2788787,77508
2020-7-12,2917932,129145
2020-7-13,3018914,100982
2020-7-14,3078403,59489
2020-7-15,3149444,71041
2020-7-16,3252528,103084
2020-7-17,3344252,91724
2020-7-18,3424946,80694
2020-7-19,3526542,101596
2020-7-20,3595456,68914
2020-7-21,3661911,66455
2020-7-22,3750496,88585
2020-7-23,3830539,80043
2020-7-24,3921208,90669
2020-7-25,4023711,102503
2020-7-26,4105191,81480
2020-7-27,4180523,75332
2020-7-28,4256937,76414
2020-7-29,4331458,74521
2020-7-30,4411574,80116
2020-7-31,4493776,82202
2020-8-1,4578231,84455
