Date,GADATA.TotalTestResults,GADATA.TotalTestResultsInc
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,6,6
2020-3-10,29,23
2020-3-11,44,15
2020-3-12,81,37
2020-3-13,336,255
2020-3-14,466,130
2020-3-15,707,241
2020-3-16,959,252
2020-3-17,1500,541
2020-3-18,1866,366
2020-3-19,2468,602
2020-3-20,3115,647
2020-3-21,3981,866
2020-3-22,4762,781
2020-3-23,5959,1197
2020-3-24,6806,847
2020-3-25,9307,2501
2020-3-26,9962,655
2020-3-27,11021,1059
2020-3-28,14080,3059
2020-3-29,14629,549
2020-3-30,16225,1596
2020-3-31,19910,3685
2020-4-1,20338,428
2020-4-2,22970,2632
2020-4-3,25286,2316
2020-4-4,26337,1051
2020-4-5,27941,1604
2020-4-6,31350,3409
2020-4-7,37997,6647
2020-4-8,40999,3002
2020-4-9,44828,3829
2020-4-10,46188,1360
2020-4-11,51769,5581
2020-4-12,56613,4844
2020-4-13,57089,476
2020-4-14,61808,4719
2020-4-15,65232,3424
2020-4-16,69766,4534
2020-4-17,71686,1920
2020-4-18,79350,7664
2020-4-19,83327,3977
2020-4-20,87423,4096
2020-4-21,92422,4999
2020-4-22,94071,1649
2020-4-23,100979,6908
2020-4-24,107085,6106
2020-4-25,121027,13942
2020-4-26,124429,3402
2020-4-27,136179,11750
2020-4-28,139914,3735
2020-4-29,145225,5311
2020-4-30,161181,15956
2020-5-1,166062,4881
2020-5-2,172523,6461
2020-5-3,172968,445
2020-5-4,185541,12573
2020-5-5,190322,4781
2020-5-6,199225,8903
2020-5-7,209510,10285
2020-5-8,214344,4834
2020-5-9,219147,4803
2020-5-10,224474,5327
2020-5-11,234892,10418
2020-5-12,245165,10273
2020-5-13,250862,5697
2020-5-14,261860,10998
2020-5-15,275764,13904
2020-5-16,300697,24933
2020-5-17,308931,8234
2020-5-18,318260,9329
2020-5-19,322427,4167
2020-5-20,338911,16484
