Date,HIDATA.TotalTestResults,HIDATA.TotalTestResultsInc
2020-3-4,2,0
2020-3-5,3,1
2020-3-6,7,4
2020-3-7,7,0
2020-3-8,9,2
2020-3-9,11,2
2020-3-10,12,1
2020-3-11,15,3
2020-3-12,16,1
2020-3-13,21,5
2020-3-14,28,7
2020-3-15,59,31
2020-3-16,189,130
2020-3-17,306,117
2020-3-18,486,180
2020-3-19,719,233
2020-3-20,1157,438
2020-3-21,1809,652
2020-3-22,2571,762
2020-3-23,3058,487
2020-3-24,3664,606
2020-3-25,4217,553
2020-3-26,4554,337
2020-3-27,5068,514
2020-3-28,5797,729
2020-3-29,6955,1158
2020-3-30,8145,1190
2020-3-31,8830,685
2020-4-1,9318,488
2020-4-2,10656,1338
2020-4-3,11573,917
2020-4-4,12488,915
2020-4-5,13248,760
2020-4-6,13698,450
2020-4-7,14399,701
2020-4-8,15229,830
2020-4-9,15985,756
2020-4-10,16538,553
2020-4-11,17255,717
2020-4-12,18268,1013
2020-4-13,19135,867
2020-4-14,19837,702
2020-4-15,20241,404
2020-4-16,21146,905
2020-4-17,22438,1292
2020-4-18,23154,716
2020-4-19,24096,942
2020-4-20,25009,913
2020-4-21,25656,647
2020-4-22,26199,543
2020-4-23,27001,802
2020-4-24,27838,837
2020-4-25,28565,727
2020-4-26,29182,617
2020-4-27,29758,576
2020-4-28,30007,249
2020-4-29,30313,306
2020-4-30,31637,1324
2020-5-1,32373,736
2020-5-2,33240,867
2020-5-3,33854,614
2020-5-4,34364,510
2020-5-5,34862,498
2020-5-6,35725,863
2020-5-7,36312,587
2020-5-8,36998,686
2020-5-9,37668,670
2020-5-10,38237,569
2020-5-11,38922,685
2020-5-12,39192,270
2020-5-13,39833,641
2020-5-14,40589,756
2020-5-15,41421,832
2020-5-16,42160,739
2020-5-17,42905,745
2020-5-18,43622,717
2020-5-19,44100,478
2020-5-20,44936,836
2020-5-21,45969,1033
2020-5-22,46855,886
2020-5-23,47593,738
2020-5-24,48439,846
2020-5-25,49163,724
2020-5-26,49608,445
2020-5-27,50062,454
2020-5-28,50672,610
2020-5-29,51570,898
2020-5-30,52550,980
2020-5-31,53379,829
2020-6-1,54104,725
2020-6-2,54628,524
2020-6-3,55445,817
2020-6-4,56746,1301
2020-6-5,58536,1790
2020-6-6,59673,1137
2020-6-7,60704,1031
2020-6-8,61649,945
2020-6-9,62260,611
2020-6-10,63155,895
2020-6-11,64663,1508
2020-6-12,66127,1464
2020-6-13,67076,949
2020-6-14,68281,1205
2020-6-15,69483,1202
2020-6-16,70154,671
2020-6-17,71352,1198
2020-6-18,72804,1452
2020-6-19,74694,1890
2020-6-20,76055,1361
2020-6-21,77337,1282
2020-6-22,78773,1436
2020-6-23,79480,707
2020-6-24,80755,1275
2020-6-25,82801,2046
2020-6-26,84370,1569
2020-6-27,86000,1630
2020-6-28,87457,1457
2020-6-29,89358,1901
2020-6-30,90238,880
2020-7-1,91692,1454
2020-7-2,93693,2001
2020-7-3,95391,1698
2020-7-4,97354,1963
2020-7-5,98778,1424
2020-7-6,99913,1135
2020-7-7,100579,666
2020-7-8,102118,1539
2020-7-9,104186,2068
2020-7-10,106431,2245
2020-7-11,108406,1975
2020-7-12,110405,1999
2020-7-13,112301,1896
2020-7-14,113501,1200
2020-7-15,115225,1724
2020-7-16,118030,2805
2020-7-17,120447,2417
2020-7-18,122867,2420
2020-7-19,125235,2368
2020-7-20,127218,1983
2020-7-21,128458,1240
2020-7-22,130126,1668
2020-7-23,132740,2614
2020-7-24,135152,2412
2020-7-25,137103,1951
2020-7-26,139350,2247
2020-7-27,141891,2541
2020-7-28,143125,1234
2020-7-29,144156,1031
2020-7-30,146896,2740
2020-7-31,149396,2500
2020-8-1,152086,2690
2020-8-2,154514,2428
2020-8-3,157304,2790
2020-8-4,159093,1789
2020-8-5,161400,2307
2020-8-6,164727,3327
2020-8-7,168130,3403
2020-8-8,171105,2975
2020-8-9,174234,3129
2020-8-10,176980,2746
2020-8-11,179422,2442
2020-8-12,181834,2412
2020-8-13,185482,3648
2020-8-14,190131,4649
2020-8-15,193806,3675
2020-8-16,198185,4379
2020-8-17,202025,3840
2020-8-18,205271,3246
2020-8-19,207990,2719
2020-8-20,211731,3741
2020-8-21,215251,3520
2020-8-22,219057,3806
2020-8-23,223447,4390
2020-8-24,227288,3841
2020-8-25,230375,3087
2020-8-26,233739,3364
2020-8-27,237803,4064
2020-8-28,241485,3682
2020-8-29,246067,4582
2020-8-30,251377,5310
2020-8-31,255699,4322
2020-9-1,257701,2002
2020-9-2,263069,5368
2020-9-3,270378,7309
2020-9-4,278860,8482
2020-9-5,288846,9986
2020-9-6,299571,10725
2020-9-7,306470,6899
2020-9-8,309629,3159
2020-9-9,310873,1244
2020-9-10,313583,2710
2020-9-11,323497,9914
2020-9-12,329221,5724
2020-9-13,336570,7349
2020-9-14,342976,6406
2020-9-15,346521,3545
2020-9-16,349374,2853
2020-9-17,355827,6453
2020-9-18,360427,4600
2020-9-19,367402,6975
2020-9-20,376654,9252
2020-9-21,380308,3654
2020-9-22,382173,1865
2020-9-23,385252,3079
2020-9-24,390360,5108
2020-9-25,393721,3361
2020-9-26,396996,3275
2020-9-27,401251,4255
2020-9-28,405531,4280
2020-9-29,407960,2429
2020-9-30,411384,3424
2020-10-1,415967,4583
2020-10-2,419196,3229
2020-10-3,422861,3665
2020-10-4,427843,4982
2020-10-5,431404,3561
2020-10-6,433154,1750
2020-10-7,436498,3344
2020-10-8,440089,3591
2020-10-9,443992,3903
2020-10-10,447810,3818
2020-10-11,454713,6903
2020-10-12,454713,0
2020-10-13,456118,1405
2020-10-14,458472,2354
2020-10-15,462541,4069
2020-10-16,466030,3489
2020-10-17,469684,3654
2020-10-18,473581,3897
2020-10-19,477316,3735
2020-10-20,479301,1985
2020-10-21,482982,3681
2020-10-22,487311,4329
2020-10-23,491450,4139
2020-10-24,496293,4843
2020-10-25,500456,4163
2020-10-26,505255,4799
2020-10-27,508490,3235
2020-10-28,512612,4122
2020-10-29,517005,4393
2020-10-30,521859,4854
2020-10-31,526030,4171
2020-11-1,530264,4234
2020-11-2,533672,3408
2020-11-3,537421,3749
2020-11-4,541485,4064
2020-11-5,547333,5848
2020-11-6,551803,4470
2020-11-7,556096,4293
2020-11-8,562270,6174
2020-11-9,566994,4724
2020-11-10,570008,3014
2020-11-11,574852,4844
2020-11-12,580075,5223
2020-11-13,584937,4862
2020-11-14,589797,4860
2020-11-15,595115,5318
