Date,IADATA.TotalTestResults,IADATA.TotalTestResultsInc
2020-3-6,15,0
2020-3-7,15,0
2020-3-8,15,0
2020-3-9,29,14
2020-3-10,40,11
2020-3-11,59,19
2020-3-12,81,22
2020-3-13,99,18
2020-3-14,100,1
2020-3-15,101,1
2020-3-16,105,4
2020-3-17,106,1
2020-3-18,112,6
2020-3-19,121,9
2020-3-20,687,566
2020-3-21,1117,430
2020-3-22,1305,188
2020-3-23,2148,843
2020-3-24,2439,291
2020-3-25,2723,284
2020-3-26,2757,34
2020-3-27,3975,1218
2020-3-28,4673,698
2020-3-29,5349,676
2020-3-30,6586,1237
2020-3-31,7385,799
2020-4-1,7853,468
2020-4-2,8668,815
2020-4-3,9453,785
2020-4-4,10240,787
2020-4-5,10841,601
2020-4-6,11599,758
2020-4-7,12718,1119
2020-4-8,13966,1248
2020-4-9,14973,1007
2020-4-10,15953,980
2020-4-11,17132,1179
2020-4-12,17592,460
2020-4-13,18696,1104
2020-4-14,18885,189
2020-4-15,19869,984
2020-4-16,20675,806
2020-4-17,21792,1117
2020-4-18,22947,1155
2020-4-19,24550,1603
2020-4-20,25820,1270
2020-4-21,27615,1795
2020-4-22,28244,629
2020-4-23,29262,1018
2020-4-24,31973,2711
2020-4-25,34350,2377
2020-4-26,36090,1740
2020-4-27,38150,2060
2020-4-28,39823,1673
2020-4-29,41337,1514
2020-4-30,42667,1330
2020-5-1,45592,2925
2020-5-2,46349,757
2020-5-3,53186,6837
2020-5-4,57161,3975
2020-5-5,60569,3408
2020-5-6,63171,2602
2020-5-7,66427,3256
2020-5-8,70261,3834
2020-5-9,71476,1215
2020-5-10,74174,2698
2020-5-11,77792,3618
2020-5-12,81288,3496
2020-5-13,85719,4431
2020-5-14,89294,3575
2020-5-15,93566,4272
2020-5-16,96300,2734
2020-5-17,100241,3941
2020-5-18,103148,2907
2020-5-19,107648,4500
2020-5-20,110748,3100
2020-5-21,116565,5817
2020-5-22,120250,3685
2020-5-23,123941,3691
2020-5-24,127756,3815
2020-5-25,132715,4959
2020-5-26,135004,2289
2020-5-27,139526,4522
2020-5-28,142933,3407
2020-5-29,147320,4387
2020-5-30,150423,3103
2020-5-31,156296,5873
2020-6-1,159081,2785
2020-6-2,163690,4609
2020-6-3,164445,755
2020-6-4,174935,10490
2020-6-5,180663,5728
2020-6-6,184714,4051
2020-6-7,188192,3478
2020-6-8,193622,5430
2020-6-9,197723,4101
2020-6-10,202829,5106
2020-6-11,208539,5710
2020-6-12,214544,6005
2020-6-13,219608,5064
2020-6-14,224634,5026
2020-6-15,227388,2754
2020-6-16,230638,3250
2020-6-17,235131,4493
2020-6-18,240931,5800
2020-6-19,246649,5718
2020-6-20,250207,3558
2020-6-21,257152,6945
2020-6-22,258632,1480
2020-6-23,264703,6071
2020-6-24,269959,5256
2020-6-25,277054,7095
2020-6-26,283643,6589
2020-6-27,289752,6109
2020-6-28,295915,6163
2020-6-29,300845,4930
2020-6-30,304188,3343
2020-7-1,309790,5602
2020-7-2,317538,7748
2020-7-3,321461,3923
2020-7-4,329011,7550
2020-7-5,332472,3461
2020-7-6,335462,2990
2020-7-7,339298,3836
2020-7-8,346351,7053
2020-7-9,354659,8308
2020-7-10,362248,7589
2020-7-11,368361,6113
