Date,IDDATA.TotalTestResults,IDDATA.TotalTestResultsInc
2020-3-7,27,0
2020-3-8,27,0
2020-3-9,41,14
2020-3-10,41,0
2020-3-11,67,26
2020-3-12,93,26
2020-3-13,131,38
2020-3-14,176,45
2020-3-15,179,3
2020-3-16,270,91
2020-3-17,353,83
2020-3-18,468,115
2020-3-19,470,2
2020-3-20,613,143
2020-3-21,911,298
2020-3-22,1217,306
2020-3-23,1356,139
2020-3-24,1937,581
2020-3-25,1960,23
2020-3-26,2188,228
2020-3-27,2857,669
2020-3-28,3572,715
2020-3-29,4282,710
2020-3-30,4706,424
2020-3-31,5712,1006
2020-4-1,6601,889
2020-4-2,7282,681
2020-4-3,7945,663
2020-4-4,8870,925
2020-4-5,10261,1391
2020-4-6,10995,734
2020-4-7,11246,251
2020-4-8,11898,652
2020-4-9,12531,633
2020-4-10,13094,563
2020-4-11,13764,670
2020-4-12,14308,544
2020-4-13,14881,573
2020-4-14,15114,233
2020-4-15,15398,284
2020-4-16,16242,844
2020-4-17,16652,410
2020-4-18,16947,295
2020-4-19,17441,494
2020-4-20,17445,4
2020-4-21,17807,362
2020-4-22,18170,363
2020-4-23,19172,1002
2020-4-24,19447,275
2020-4-25,19481,34
2020-4-26,19498,17
2020-4-27,20024,526
2020-4-28,20052,28
2020-4-29,28240,8188
2020-4-30,28693,453
2020-5-1,29070,377
2020-5-2,29335,265
2020-5-3,29651,316
2020-5-4,29651,0
2020-5-5,30146,495
2020-5-6,30375,229
2020-5-7,30718,343
2020-5-8,31099,381
2020-5-9,31628,529
2020-5-10,31961,333
2020-5-11,31961,0
2020-5-12,32518,557
2020-5-13,32934,416
2020-5-14,33556,622
2020-5-15,34546,990
2020-5-16,35485,939
2020-5-17,36456,971
2020-5-18,36456,0
2020-5-19,37847,1391
2020-5-20,38344,497
2020-5-21,38660,316
2020-5-22,39362,702
2020-5-23,40370,1008
2020-5-24,41167,797
2020-5-25,41167,0
2020-5-26,41167,0
2020-5-27,42776,1609
2020-5-28,43629,853
2020-5-29,44511,882
2020-5-30,45172,661
2020-5-31,46436,1264
2020-6-1,46436,0
2020-6-2,47870,1434
2020-6-3,48669,799
2020-6-4,49524,855
2020-6-5,53333,3809
2020-6-6,54949,1616
2020-6-7,55742,793
2020-6-8,55742,0
2020-6-9,57376,1634
2020-6-10,58746,1370
2020-6-11,59802,1056
2020-6-12,61114,1312
2020-6-13,62328,1214
2020-6-14,62642,314
2020-6-15,62642,0
2020-6-16,65306,2664
2020-6-17,66441,1135
2020-6-18,67638,1197
2020-6-19,69156,1518
2020-6-20,70791,1635
2020-6-21,72547,1756
2020-6-22,72547,0
2020-6-23,75730,3183
2020-6-24,77376,1646
2020-6-25,80060,2684
2020-6-26,81871,1811
2020-6-27,83537,1666
2020-6-28,85816,2279
2020-6-29,85816,0
2020-6-30,88763,2947
2020-7-1,90476,1713
2020-7-2,94537,4061
2020-7-3,98119,3582
2020-7-4,100474,2355
2020-7-5,103675,3201
2020-7-6,105876,2201
2020-7-7,107925,2049
2020-7-8,110676,2751
2020-7-9,113958,3282
2020-7-10,117390,3432
2020-7-11,121640,4250
2020-7-12,124531,2891
2020-7-13,126393,1862
2020-7-14,129540,3147
2020-7-15,133142,3602
2020-7-16,136055,2913
2020-7-17,139481,3426
2020-7-18,141636,2155
2020-7-19,145303,3667
2020-7-20,146994,1691
2020-7-21,150142,3148
2020-7-22,153009,2867
2020-7-23,155825,2816
2020-7-24,159163,3338
2020-7-25,162384,3221
2020-7-26,165132,2748
2020-7-27,166903,1771
2020-7-28,169588,2685
2020-7-29,171892,2304
2020-7-30,174343,2451
2020-7-31,177884,3541
2020-8-1,180615,2731
2020-8-2,183034,2419
2020-8-3,184060,1026
2020-8-4,186475,2415
2020-8-5,190520,4045
2020-8-6,193154,2634
2020-8-7,197217,4063
2020-8-8,201457,4240
2020-8-9,203289,1832
2020-8-10,204928,1639
2020-8-11,206830,1902
2020-8-12,210599,3769
2020-8-13,212898,2299
2020-8-14,216473,3575
2020-8-15,219224,2751
2020-8-16,221406,2182
2020-8-17,222668,1262
2020-8-18,225018,2350
2020-8-19,227228,2210
2020-8-20,229205,1977
2020-8-21,231799,2594
2020-8-22,233855,2056
2020-8-23,235255,1400
2020-8-24,236547,1292
2020-8-25,238014,1467
2020-8-26,242719,4705
2020-8-27,244447,1728
2020-8-28,246906,2459
2020-8-29,248754,1848
2020-8-30,252022,3268
2020-8-31,253702,1680
2020-9-1,255348,1646
2020-9-2,256697,1349
2020-9-3,258963,2266
2020-9-4,261289,2326
2020-9-5,263183,1894
2020-9-6,264694,1511
2020-9-7,265703,1009
2020-9-8,266742,1039
2020-9-9,267996,1254
2020-9-10,269542,1546
2020-9-11,271142,1600
2020-9-12,272888,1746
2020-9-13,274367,1479
2020-9-14,275840,1473
2020-9-15,277368,1528
2020-9-16,278779,1411
2020-9-17,280426,1647
2020-9-18,282522,2096
2020-9-19,285137,2615
2020-9-20,286830,1693
2020-9-21,289163,2333
2020-9-22,290911,1748
2020-9-23,292159,1248
2020-9-24,294063,1904
2020-9-25,296412,2349
2020-9-26,298652,2240
2020-9-27,301206,2554
2020-9-28,303252,2046
2020-9-29,304891,1639
2020-9-30,306706,1815
2020-10-1,309156,2450
2020-10-2,311337,2181
2020-10-3,314442,3105
2020-10-4,316370,1928
2020-10-5,318167,1797
2020-10-6,319945,1778
2020-10-7,321794,1849
2020-10-8,324328,2534
2020-10-9,326789,2461
2020-10-10,330962,4173
2020-10-11,333839,2877
2020-10-12,335670,1831
2020-10-13,338000,2330
2020-10-14,340776,2776
2020-10-15,342870,2094
2020-10-16,345585,2715
2020-10-17,348518,2933
2020-10-18,350312,1794
2020-10-19,353190,2878
2020-10-20,355382,2192
2020-10-21,357833,2451
2020-10-22,360185,2352
2020-10-23,363048,2863
2020-10-24,366047,2999
2020-10-25,368569,2522
2020-10-26,370741,2172
2020-10-27,373337,2596
2020-10-28,375400,2063
2020-10-29,378214,2814
2020-10-30,381008,2794
2020-10-31,383914,2906
2020-11-1,385982,2068
2020-11-2,387935,1953
2020-11-3,390291,2356
2020-11-4,392973,2682
2020-11-5,395676,2703
2020-11-6,398721,3045
2020-11-7,403088,4367
2020-11-8,405569,2481
2020-11-9,408308,2739
2020-11-10,410495,2187
2020-11-11,413838,3343
2020-11-12,417446,3608
2020-11-13,420783,3337
2020-11-14,424415,3632
2020-11-15,427954,3539
2020-11-16,430423,2469
2020-11-17,433222,2799
2020-11-18,436033,2811
2020-11-19,440355,4322
2020-11-20,444226,3871
2020-11-21,448001,3775
2020-11-22,451245,3244
2020-11-23,453872,2627
2020-11-24,457108,3236
2020-11-25,460021,2913
2020-11-26,464446,4425
2020-11-27,464446,0
2020-11-28,468895,4449
2020-11-29,471144,2249
2020-11-30,473037,1893
2020-12-1,474676,1639
2020-12-2,477248,2572
2020-12-3,480700,3452
2020-12-4,484192,3492
2020-12-5,487460,3268
2020-12-6,490387,2927
2020-12-7,492725,2338
2020-12-8,494914,2189
2020-12-9,492265,0
2020-12-10,495738,3473
2020-12-11,499102,3364
2020-12-12,502070,2968
2020-12-13,504213,2143
2020-12-14,505958,1745
2020-12-15,507379,1421
2020-12-16,511544,4165
2020-12-17,514800,3256
2020-12-18,519125,4325
2020-12-19,521917,2792
2020-12-20,524916,2999
2020-12-21,526368,1452
2020-12-22,528495,2127
2020-12-23,530538,2043
2020-12-24,532715,2177
2020-12-25,534632,1917
2020-12-26,534632,0
2020-12-27,536767,2135
2020-12-28,537536,769
2020-12-29,538880,1344
2020-12-30,540470,1590
2020-12-31,543268,2798
2021-1-1,545485,2217
2021-1-2,545485,0
2021-1-3,548008,2523
2021-1-4,549099,1091
2021-1-5,550308,1209
2021-1-6,552026,1718
2021-1-7,554296,2270
2021-1-8,557144,2848
2021-1-9,559371,2227
2021-1-10,561307,1936
2021-1-11,562715,1408
2021-1-12,564715,2000
2021-1-13,566225,1510
2021-1-14,569199,2974
2021-1-15,571813,2614
2021-1-16,574288,2475
2021-1-17,576008,1720
2021-1-18,577938,1930
2021-1-19,577938,0
2021-1-20,581299,3361
2021-1-21,583441,2142
2021-1-22,585359,1918
2021-1-23,587827,2468
2021-1-24,589629,1802
2021-1-25,590967,1338
2021-1-26,592647,1680
2021-1-27,595187,2540
2021-1-28,597513,2326
2021-1-29,599636,2123
2021-1-30,601646,2010
2021-1-31,603115,1469
2021-2-1,603115,0
2021-2-2,605237,2122
2021-2-3,607115,1878
2021-2-4,608896,1781
2021-2-5,610636,1740
2021-2-6,612081,1445
2021-2-7,613210,1129
2021-2-8,613210,0
2021-2-9,615270,2060
2021-2-10,616857,1587
2021-2-11,618223,1366
2021-2-12,619943,1720
2021-2-13,621427,1484
2021-2-14,622353,926
2021-2-15,622353,0
2021-2-16,622353,0
2021-2-17,625319,2966
2021-2-18,626676,1357
2021-2-19,628267,1591
2021-2-20,629647,1380
2021-2-21,630724,1077
2021-2-22,630724,0
2021-2-23,632561,1837
2021-2-24,633858,1297
2021-2-25,635314,1456
2021-2-26,636533,1219
2021-2-27,637883,1350
2021-2-28,638919,1036
2021-3-1,638919,0
2021-3-2,640412,1493
2021-3-3,641917,1505
2021-3-4,643358,1441
2021-3-5,644796,1438
2021-3-6,645442,646
2021-3-7,645838,396
