Date,ILDATA.TotalTestResults,ILDATA.TotalTestResultsInc
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,326,326
2020-3-11,367,41
2020-3-12,418,51
2020-3-13,444,26
2020-3-14,708,264
2020-3-15,932,224
2020-3-16,1143,211
2020-3-17,1500,357
2020-3-18,2052,552
2020-3-19,3151,1099
2020-3-20,4286,1135
2020-3-21,6247,1961
2020-3-22,8374,2127
2020-3-23,9868,1494
2020-3-24,11485,1617
2020-3-25,14209,2724
2020-3-26,16631,2422
2020-3-27,21542,4911
2020-3-28,25429,3887
2020-3-29,27762,2333
2020-3-30,30446,2684
2020-3-31,35225,4779
2020-4-1,40384,5159
2020-4-2,43656,3272
2020-4-3,48048,4392
2020-4-4,53581,5533
2020-4-5,58983,5402
2020-4-6,62942,3959
2020-4-7,68732,5790
2020-4-8,75066,6334
2020-4-9,80857,5791
2020-4-10,87527,6670
2020-4-11,92779,5252
2020-4-12,100735,7956
2020-4-13,105768,5033
2020-4-14,110616,4848
2020-4-15,116929,6313
2020-4-16,122589,5660
2020-4-17,130163,7574
2020-4-18,137404,7241
2020-4-19,143318,5914
2020-4-20,148358,5040
2020-4-21,154997,6639
2020-4-22,164346,9349
2020-4-23,173508,9162
2020-4-24,189632,16124
2020-4-25,201617,11985
2020-4-26,214952,13335
2020-4-27,227628,12676
2020-4-28,242189,14561
2020-4-29,256667,14478
2020-4-30,269867,13200
2020-5-1,284688,14821
2020-5-2,299896,15208
2020-5-3,319313,19417
2020-5-4,333147,13834
2020-5-5,346286,13139
2020-5-6,361260,14974
2020-5-7,379043,17783
2020-5-8,399714,20671
2020-5-9,416331,16617
2020-5-10,429984,13653
2020-5-11,442425,12441
2020-5-12,471691,29266
2020-5-13,489359,17668
2020-5-14,512037,22678
2020-5-15,538602,26565
2020-5-16,561649,23047
2020-5-17,581944,20295
2020-5-18,603241,21297
2020-5-19,621684,18443
