Date,INDATA.TotalTestResults,INDATA.TotalTestResultsInc
2020-2-27,1,0
2020-2-28,2,1
2020-2-29,4,2
2020-3-1,6,2
2020-3-2,6,0
2020-3-3,8,2
2020-3-4,12,4
2020-3-5,17,5
2020-3-6,19,2
2020-3-7,27,8
2020-3-8,33,6
2020-3-9,42,9
2020-3-10,75,33
2020-3-11,133,58
2020-3-12,201,68
2020-3-13,411,210
2020-3-14,675,264
2020-3-15,963,288
2020-3-16,1122,159
2020-3-17,1807,685
2020-3-18,2597,790
2020-3-19,3494,897
2020-3-20,4672,1178
2020-3-21,6495,1823
2020-3-22,7239,744
2020-3-23,8302,1063
2020-3-24,9869,1567
2020-3-25,11592,1723
2020-3-26,14049,2457
2020-3-27,16789,2740
2020-3-28,19139,2350
2020-3-29,20572,1433
2020-3-30,22281,1709
2020-3-31,24340,2059
2020-4-1,26892,2552
2020-4-2,29590,2698
2020-4-3,32452,2862
2020-4-4,35461,3009
2020-4-5,37250,1789
2020-4-6,38481,1231
2020-4-7,41178,2697
2020-4-8,44194,3016
2020-4-9,47575,3381
2020-4-10,50625,3050
2020-4-11,53756,3131
2020-4-12,55481,1725
2020-4-13,56357,876
2020-4-14,60244,3887
2020-4-15,64305,4061
2020-4-16,68118,3813
2020-4-17,72663,4545
2020-4-18,77494,4831
2020-4-19,79500,2006
2020-4-20,80838,1338
2020-4-21,85700,4862
2020-4-22,90226,4526
2020-4-23,94811,4585
2020-4-24,100093,5282
2020-4-25,104423,4330
2020-4-26,107168,2745
2020-4-27,109455,2287
2020-4-28,115095,5640
2020-4-29,121134,6039
2020-4-30,127373,6239
2020-5-1,134209,6836
2020-5-2,141843,7634
2020-5-3,145722,3879
2020-5-4,147943,2221
2020-5-5,154860,6917
2020-5-6,162664,7804
2020-5-7,169707,7043
2020-5-8,177366,7659
2020-5-9,185185,7819
2020-5-10,189024,3839
2020-5-11,190674,1650
2020-5-12,199304,8630
2020-5-13,207694,8390
2020-5-14,216287,8593
2020-5-15,225848,9561
2020-5-16,237155,11307
2020-5-17,240832,3677
2020-5-18,243140,2308
2020-5-19,253183,10043
2020-5-20,262053,8870
2020-5-21,270213,8160
2020-5-22,279315,9102
2020-5-23,289048,9733
2020-5-24,292444,3396
2020-5-25,294681,2237
2020-5-26,296939,2258
2020-5-27,306808,9869
2020-5-28,314752,7944
2020-5-29,323632,8880
2020-5-30,332937,9305
2020-5-31,336335,3398
2020-6-1,338510,2175
2020-6-2,348480,9970
2020-6-3,355700,7220
2020-6-4,364008,8308
2020-6-5,372653,8645
2020-6-6,382160,9507
2020-6-7,386499,4339
2020-6-8,388864,2365
2020-6-9,400544,11680
2020-6-10,409083,8539
2020-6-11,419177,10094
2020-6-12,431249,12072
2020-6-13,444384,13135
2020-6-14,451117,6733
2020-6-15,453963,2846
2020-6-16,467821,13858
2020-6-17,480962,13141
2020-6-18,494589,13627
2020-6-19,508258,13669
2020-6-20,521714,13456
2020-6-21,528107,6393
2020-6-22,530904,2797
2020-6-23,544538,13634
2020-6-24,557421,12883
2020-6-25,569065,11644
2020-6-26,581209,12144
2020-6-27,593997,12788
2020-6-28,599421,5424
2020-6-29,603189,3768
2020-6-30,616453,13264
2020-7-1,628495,12042
2020-7-2,639174,10679
2020-7-3,651177,12003
2020-7-4,657897,6720
2020-7-5,660576,2679
2020-7-6,663982,3406
2020-7-7,678639,14657
2020-7-8,691531,12892
2020-7-9,703050,11519
2020-7-10,715415,12365
2020-7-11,728990,13575
2020-7-12,735038,6048
2020-7-13,739500,4462
2020-7-14,756068,16568
2020-7-15,771713,15645
2020-7-16,786654,14941
2020-7-17,803680,17026
2020-7-18,820953,17273
2020-7-19,828193,7240
2020-7-20,832400,4207
2020-7-21,850089,17689
2020-7-22,867123,17034
2020-7-23,883439,16316
2020-7-24,900019,16580
2020-7-25,917369,17350
2020-7-26,924160,6791
2020-7-27,927753,3593
2020-7-28,946073,18320
2020-7-29,963913,17840
2020-7-30,980125,16212
2020-7-31,996265,16140
2020-8-1,1013342,17077
2020-8-2,1020137,6795
2020-8-3,1024232,4095
2020-8-4,1044015,19783
2020-8-5,1063832,19817
2020-8-6,1083179,19347
2020-8-7,1103047,19868
2020-8-8,1123961,20914
2020-8-9,1131749,7788
2020-8-10,1137072,5323
2020-8-11,1160241,23169
2020-8-12,1180636,20395
2020-8-13,1202347,21711
2020-8-14,1225095,22748
2020-8-15,1249665,24570
2020-8-16,1257312,7647
2020-8-17,1265033,7721
2020-8-18,1291302,26269
2020-8-19,1318432,27130
2020-8-20,1345081,26649
2020-8-21,1370254,25173
2020-8-22,1394044,23790
2020-8-23,1403132,9088
2020-8-24,1409869,6737
2020-8-25,1431571,21702
2020-8-26,1453258,21687
2020-8-27,1475272,22014
2020-8-28,1496996,21724
2020-8-29,1517663,20667
2020-8-30,1524731,7068
2020-8-31,1529332,4601
2020-9-1,1550884,21552
2020-9-2,1573617,22733
2020-9-3,1597586,23969
2020-9-4,1621012,23426
2020-9-5,1642534,21522
2020-9-6,1649026,6492
2020-9-7,1653702,4676
2020-9-8,1659683,5981
2020-9-9,1691283,31600
2020-9-10,1719488,28205
2020-9-11,1747306,27818
2020-9-12,1771905,24599
2020-9-13,1778789,6884
2020-9-14,1783169,4380
2020-9-15,1809547,26378
2020-9-16,1838954,29407
2020-9-17,1866052,27098
2020-9-18,1892398,26346
2020-9-19,1914449,22051
2020-9-20,1920887,6438
2020-9-21,1925159,4272
2020-9-22,1952598,27439
2020-9-23,1983626,31028
2020-9-24,2009701,26075
2020-9-25,2036233,26532
2020-9-26,2058965,22732
2020-9-27,2066481,7516
2020-9-28,2071583,5102
2020-9-29,2101635,30052
2020-9-30,2133262,31627
2020-10-1,2159880,26618
2020-10-2,2186481,26601
2020-10-3,2212210,25729
2020-10-4,2220593,8383
2020-10-5,2226835,6242
2020-10-6,2258611,31776
2020-10-7,2293378,34767
2020-10-8,2323256,29878
2020-10-9,2353729,30473
2020-10-10,2378319,24590
2020-10-11,2387385,9066
2020-10-12,2393732,6347
2020-10-13,2421127,27395
2020-10-14,2442572,21445
2020-10-15,2450279,7707
2020-10-16,2451285,1006
2020-10-17,2485506,34221
2020-10-18,2512174,26668
2020-10-19,2533863,21689
2020-10-20,2551406,17543
2020-10-21,2574800,23394
2020-10-22,2611265,36465
2020-10-23,2642522,31257
2020-10-24,2681197,38675
2020-10-25,2711078,29881
2020-10-26,2734945,23867
2020-10-27,2754311,19366
2020-10-28,2783748,29437
2020-10-29,2822852,39104
2020-10-30,2863919,41067
2020-10-31,2910617,46698
2020-11-1,2941037,30420
2020-11-2,2970330,29293
2020-11-3,2995343,25013
2020-11-4,3032762,37419
2020-11-5,3073855,41093
2020-11-6,3117069,43214
2020-11-7,3167518,50449
2020-11-8,3210666,43148
2020-11-9,3239034,28368
2020-11-10,3269653,30619
2020-11-11,3307845,38192
2020-11-12,3370098,62253
2020-11-13,3414373,44275
2020-11-14,3482745,68372
2020-11-15,3536082,53337
2020-11-16,3569955,33873
2020-11-17,3612076,42121
2020-11-18,3668049,55973
2020-11-19,3725334,57285
2020-11-20,3785422,60088
2020-11-21,3846380,60958
2020-11-22,3897545,51165
2020-11-23,3939645,42100
2020-11-24,3976683,37038
2020-11-25,4038194,61511
2020-11-26,4100250,62056
2020-11-27,4148596,48346
2020-11-28,4183401,34805
2020-11-29,4222028,38627
2020-11-30,4259964,37936
2020-12-1,4295987,36023
2020-12-2,4342486,46499
2020-12-3,4402956,60470
2020-12-4,4464492,61536
2020-12-5,4525760,61268
2020-12-6,4577211,51451
2020-12-7,4614540,37329
2020-12-8,4656827,42287
2020-12-9,4706966,50139
2020-12-10,4762893,55927
2020-12-11,4818990,56097
2020-12-12,4879677,60687
2020-12-13,4927385,47708
2020-12-14,4961368,33983
2020-12-15,5000278,38910
2020-12-16,5050163,49885
2020-12-17,5102994,52831
2020-12-18,5157016,54022
2020-12-19,5196436,39420
2020-12-20,5260527,64091
2020-12-21,5288642,28115
2020-12-22,5330603,41961
