Date,KSDATA.TotalTestResults,KSDATA.TotalTestResultsInc
2020-3-6,4,0
2020-3-7,11,7
2020-3-8,12,1
2020-3-9,12,0
2020-3-10,18,6
2020-3-11,42,24
2020-3-12,45,3
2020-3-13,99,54
2020-3-14,99,0
2020-3-15,143,44
2020-3-16,177,34
2020-3-17,397,220
2020-3-18,433,36
2020-3-19,451,18
2020-3-20,461,10
2020-3-21,472,11
2020-3-22,481,9
2020-3-23,499,18
2020-3-24,2184,1685
2020-3-25,2486,302
2020-3-26,3037,551
2020-3-27,3431,394
2020-3-28,3932,501
2020-3-29,4513,581
2020-3-30,4922,409
2020-3-31,5424,502
2020-4-1,5893,469
2020-4-2,6611,718
2020-4-3,7074,463
2020-4-4,7578,504
2020-4-5,8223,645
2020-4-6,9084,861
2020-4-7,9514,430
2020-4-8,10183,669
2020-4-9,10775,592
2020-4-10,11414,639
2020-4-11,12343,929
2020-4-12,13253,910
2020-4-13,13864,611
2020-4-14,14147,283
2020-4-15,14668,521
2020-4-16,16122,1454
2020-4-17,16901,779
2020-4-18,17676,775
2020-4-19,18130,454
2020-4-20,18761,631
2020-4-21,19101,340
2020-4-22,20203,1102
2020-4-23,21318,1115
2020-4-24,23588,2270
2020-4-25,25199,1611
2020-4-26,26227,1028
2020-4-27,27167,940
2020-4-28,28090,923
2020-4-29,29458,1368
2020-4-30,31626,2168
2020-5-1,33034,1408
2020-5-2,34942,1908
2020-5-3,36778,1836
2020-5-4,38603,1825
2020-5-5,40092,1489
2020-5-6,42114,2022
2020-5-7,44822,2708
2020-5-8,47708,2886
2020-5-9,49933,2225
2020-5-10,52505,2572
2020-5-11,54109,1604
2020-5-12,54109,0
2020-5-13,57628,3519
2020-5-14,57628,0
2020-5-15,61592,3964
2020-5-16,61592,0
2020-5-17,61592,0
2020-5-18,66990,5398
2020-5-19,66990,0
2020-5-20,71203,4213
2020-5-21,71203,0
2020-5-22,76434,5231
2020-5-23,76434,0
2020-5-24,76434,0
2020-5-25,81399,4965
2020-5-26,81399,0
2020-5-27,84488,3089
2020-5-28,84488,0
2020-5-29,94949,10461
2020-5-30,94949,0
2020-5-31,94949,0
2020-6-1,95241,292
2020-6-2,103312,8071
2020-6-3,108053,4741
2020-6-4,108053,0
2020-6-5,113653,5600
2020-6-6,113653,0
2020-6-7,113653,0
2020-6-8,119509,5856
2020-6-9,119509,0
2020-6-10,123742,4233
2020-6-11,123742,0
2020-6-12,129152,5410
2020-6-13,129152,0
2020-6-14,129152,0
2020-6-15,136962,7810
2020-6-16,136962,0
2020-6-17,142124,5162
2020-6-18,142124,0
2020-6-19,147649,5525
2020-6-20,147649,0
2020-6-21,147649,0
2020-6-22,155013,7364
2020-6-23,155013,0
2020-6-24,161705,6692
2020-6-25,161705,0
2020-6-26,167859,6154
2020-6-27,167859,0
2020-6-28,167859,0
2020-6-29,176725,8866
2020-6-30,176725,0
2020-7-1,183173,6448
2020-7-2,183173,0
2020-7-3,191561,8388
2020-7-4,191561,0
2020-7-5,191561,0
2020-7-6,202219,10658
2020-7-7,202219,0
2020-7-8,208482,6263
2020-7-9,208482,0
2020-7-10,217779,9297
2020-7-11,217779,0
2020-7-12,217779,0
2020-7-13,231175,13396
2020-7-14,231175,0
2020-7-15,239374,8199
2020-7-16,239374,0
2020-7-17,249353,9979
2020-7-18,249353,0
2020-7-19,249353,0
2020-7-20,261531,12178
2020-7-21,261531,0
2020-7-22,268686,7155
2020-7-23,268686,0
2020-7-24,277967,9281
2020-7-25,277967,0
2020-7-26,277967,0
2020-7-27,278936,969
2020-7-28,278936,0
2020-7-29,284949,6013
2020-7-30,284949,0
2020-7-31,292507,7558
2020-8-1,292507,0
2020-8-2,292507,0
2020-8-3,301839,9332
2020-8-4,301839,0
2020-8-5,308718,6879
2020-8-6,308718,0
2020-8-7,316512,7794
2020-8-8,316512,0
2020-8-9,316512,0
2020-8-10,326669,10157
2020-8-11,326669,0
2020-8-12,334563,7894
2020-8-13,334563,0
2020-8-14,343043,8480
2020-8-15,343043,0
2020-8-16,343043,0
2020-8-17,354262,11219
2020-8-18,354262,0
2020-8-19,359840,5578
2020-8-20,359840,0
2020-8-21,366315,6475
2020-8-22,366315,0
2020-8-23,366315,0
2020-8-24,386957,20642
2020-8-25,386957,0
2020-8-26,395097,8140
2020-8-27,395097,0
2020-8-28,403147,8050
2020-8-29,403147,0
2020-8-30,403147,0
2020-8-31,413249,10102
2020-9-1,413249,0
2020-9-2,419247,5998
2020-9-3,419247,0
2020-9-4,427205,7958
2020-9-5,427205,0
2020-9-6,427205,0
2020-9-7,436686,9481
2020-9-8,436686,0
2020-9-9,441414,4728
2020-9-10,441414,0
2020-9-11,448930,7516
2020-9-12,448930,0
2020-9-13,448930,0
2020-9-14,458381,9451
2020-9-15,458381,0
2020-9-16,464226,5845
2020-9-17,464226,0
2020-9-18,474749,10523
2020-9-19,474749,0
2020-9-20,474749,0
2020-9-21,484691,9942
2020-9-22,484691,0
2020-9-23,492281,7590
2020-9-24,492281,0
