Date,KYDATA.TotalTestResults,KYDATA.TotalTestResultsInc
2020-3-6,7,0
2020-3-7,10,3
2020-3-8,14,4
2020-3-9,21,7
2020-3-10,34,13
2020-3-11,54,20
2020-3-12,64,10
2020-3-13,118,54
2020-3-14,153,35
2020-3-15,155,2
2020-3-16,255,100
2020-3-17,317,62
2020-3-18,380,63
2020-3-19,489,109
2020-3-20,639,150
2020-3-21,768,129
2020-3-22,1571,803
2020-3-23,1866,295
2020-3-24,1886,20
2020-3-25,3022,1136
2020-3-26,3300,278
2020-3-27,4016,716
2020-3-28,5123,1107
2020-3-29,5541,418
2020-3-30,6018,477
2020-3-31,6810,792
2020-4-1,7556,746
2020-4-2,7900,344
2020-4-3,12804,4904
2020-4-4,15572,2768
2020-4-5,16663,1091
2020-4-6,18767,2104
2020-4-7,19955,1188
2020-4-8,21604,1649
2020-4-9,21801,197
2020-4-10,24288,2487
2020-4-11,24288,0
2020-4-12,24567,279
2020-4-13,25866,1299
2020-4-14,26683,817
2020-4-15,27697,1014
2020-4-16,28324,627
2020-4-17,29747,1423
2020-4-18,30596,849
2020-4-19,32225,1629
2020-4-20,32572,347
2020-4-21,32820,248
2020-4-22,33328,508
2020-4-23,36075,2747
2020-4-24,42844,6769
2020-4-25,44962,2118
2020-4-26,46558,1596
2020-4-27,48474,1916
2020-4-28,48798,324
2020-4-29,52410,3612
2020-4-30,54101,1691
2020-5-1,56611,2510
2020-5-2,57648,1037
2020-5-3,57648,0
2020-5-4,58408,760
2020-5-5,60046,1638
2020-5-6,61013,967
2020-5-7,78603,17590
2020-5-8,81391,2788
2020-5-9,86428,5037
2020-5-10,86900,472
2020-5-11,86900,0
2020-5-12,104001,17101
2020-5-13,104001,0
2020-5-14,110609,6608
2020-5-15,121246,10637
2020-5-16,127698,6452
2020-5-17,129405,1707
2020-5-18,129405,0
2020-5-19,153800,24395
2020-5-20,153800,0
2020-5-21,158672,4872
2020-5-22,166240,7568
2020-5-23,171338,5098
2020-5-24,169736,0
2020-5-25,169736,0
2020-5-26,169736,0
2020-5-27,181948,12212
2020-5-28,181948,0
2020-5-29,202006,20058
2020-5-30,208034,6028
2020-5-31,213586,5552
2020-6-1,215853,2267
2020-6-2,227056,11203
2020-6-3,232199,5143
2020-6-4,235925,3726
2020-6-5,242174,6249
2020-6-6,248806,6632
2020-6-7,248806,0
2020-6-8,252593,3787
2020-6-9,259649,7056
2020-6-10,274107,14458
2020-6-11,280786,6679
2020-6-12,280786,0
2020-6-13,294265,13479
2020-6-14,294265,0
2020-6-15,295530,1265
2020-6-16,294700,0
2020-6-17,299520,4820
2020-6-18,306029,6509
2020-6-19,310870,4841
2020-6-20,316784,5914
2020-6-21,316784,0
2020-6-22,321642,4858
2020-6-23,330889,9247
2020-6-24,335276,4387
2020-6-25,342447,7171
2020-6-26,350296,7849
2020-6-27,350296,0
2020-6-28,357928,7632
2020-6-29,360929,3001
2020-6-30,370400,9471
2020-7-1,376534,6134
2020-7-2,385223,8689
2020-7-3,395052,9829
2020-7-4,395052,0
2020-7-5,395052,0
2020-7-6,399715,4663
2020-7-7,409217,9502
2020-7-8,415204,5987
2020-7-9,423259,8055
2020-7-10,431910,8651
2020-7-11,437088,5178
2020-7-12,437088,0
2020-7-13,441056,3968
2020-7-14,454682,13626
2020-7-15,458247,3565
2020-7-16,467039,8792
2020-7-17,482064,15025
2020-7-18,489145,7081
2020-7-19,491658,2513
2020-7-20,493068,1410
2020-7-21,507549,14481
2020-7-22,517871,10322
2020-7-23,523530,5659
2020-7-24,532160,8630
2020-7-25,540209,8049
2020-7-26,540209,0
2020-7-27,546058,5849
2020-7-28,556243,10185
2020-7-29,566787,10544
2020-7-30,577636,10849
2020-7-31,586076,8440
2020-8-1,594873,8797
2020-8-2,594873,0
2020-8-3,598408,3535
2020-8-4,605896,7488
2020-8-5,618793,12897
2020-8-6,630336,11543
2020-8-7,639833,9497
2020-8-8,646187,6354
2020-8-9,646187,0
2020-8-10,655494,9307
2020-8-11,665941,10447
2020-8-12,672245,6304
2020-8-13,684970,12725
2020-8-14,697909,12939
2020-8-15,709163,11254
2020-8-16,709163,0
2020-8-17,713949,4786
2020-8-18,723905,9956
2020-8-19,727742,3837
2020-8-20,736567,8825
2020-8-21,745270,8703
2020-8-22,745270,0
2020-8-23,745270,0
2020-8-24,764058,18788
2020-8-25,771954,7896
2020-8-26,779726,7772
2020-8-27,789076,9350
2020-8-28,800704,11628
2020-8-29,811589,10885
2020-8-30,811589,0
2020-8-31,817136,5547
2020-9-1,826060,8924
2020-9-2,832717,6657
2020-9-3,839705,6988
2020-9-4,847609,7904
2020-9-5,866842,19233
2020-9-6,866842,0
2020-9-7,864125,0
2020-9-8,865472,1347
2020-9-9,872912,7440
2020-9-10,878917,6005
2020-9-11,894965,16048
2020-9-12,924342,29377
2020-9-13,924342,0
2020-9-14,990610,66268
2020-9-15,1000301,9691
2020-9-16,1021452,21151
2020-9-17,1032202,10750
2020-9-18,1045232,13030
2020-9-19,1047995,2763
2020-9-20,1047995,0
2020-9-21,1058483,10488
2020-9-22,1068466,9983
2020-9-23,1216779,148313
2020-9-24,1226385,9606
2020-9-25,1244628,18243
2020-9-26,1274688,30060
2020-9-27,1274688,0
2020-9-28,1293140,18452
2020-9-29,1362929,69789
2020-9-30,1375987,13058
2020-10-1,1399762,23775
2020-10-2,1422520,22758
2020-10-3,1434524,12004
2020-10-4,1434524,0
2020-10-5,1453778,19254
2020-10-6,1465910,12132
2020-10-7,1481331,15421
2020-10-8,1500613,19282
2020-10-9,1525264,24651
2020-10-10,1536175,10911
2020-10-11,1536175,0
2020-10-12,1565097,28922
2020-10-13,1591005,25908
2020-10-14,1601887,10882
2020-10-15,1633080,31193
2020-10-16,1653847,20767
2020-10-17,1674648,20801
2020-10-18,1674648,0
2020-10-19,1698815,24167
2020-10-20,1706897,8082
2020-10-21,1714875,7978
2020-10-22,1744003,29128
2020-10-23,1762731,18728
