Date,LADATA.TotalTestResults,LADATA.TotalTestResultsInc
2020-3-7,0,0
2020-3-8,5,5
2020-3-9,6,1
2020-3-10,12,6
2020-3-11,43,31
2020-3-12,51,8
2020-3-13,73,22
2020-3-14,160,87
2020-3-15,246,86
2020-3-16,303,57
2020-3-17,423,120
2020-3-18,575,152
2020-3-19,805,230
2020-3-20,1041,236
2020-3-21,2760,1719
2020-3-22,3498,738
2020-3-23,5948,2450
2020-3-24,8603,2655
2020-3-25,11451,2848
2020-3-26,18029,6578
2020-3-27,21359,3330
2020-3-28,25161,3802
2020-3-29,27871,2710
2020-3-30,34033,6162
2020-3-31,38967,4934
2020-4-1,45776,6809
2020-4-2,51086,5310
2020-4-3,53645,2559
2020-4-4,58498,4853
2020-4-5,60325,1827
2020-4-6,69166,8841
2020-4-7,74655,5489
2020-4-8,81406,6751
2020-4-9,86919,5513
2020-4-10,92280,5361
2020-4-11,96915,4635
2020-4-12,104045,7130
2020-4-13,108091,4046
2020-4-14,118422,10331
2020-4-15,121928,3506
2020-4-16,126586,4658
2020-4-17,131987,5401
2020-4-18,137999,6012
2020-4-19,135348,0
2020-4-20,136111,763
2020-4-21,136442,331
2020-4-22,136846,404
2020-4-23,137513,667
2020-4-24,138112,599
2020-4-25,139002,890
2020-4-26,143036,4034
2020-4-27,146989,3953
2020-4-28,151108,4119
2020-4-29,156568,5460
2020-4-30,161309,4741
2020-5-1,168251,6942
2020-5-2,172858,4607
2020-5-3,176160,3302
2020-5-4,180931,4771
2020-5-5,188231,7300
2020-5-6,194672,6441
2020-5-7,200767,6095
2020-5-8,202416,1649
2020-5-9,212157,9741
2020-5-10,215872,3715
2020-5-11,220830,4958
2020-5-12,228012,7182
2020-5-13,237904,9892
2020-5-14,247588,9684
2020-5-15,253189,5601
2020-5-16,259742,6553
2020-5-17,265170,5428
2020-5-18,269748,4578
2020-5-19,278073,8325
2020-5-20,285970,7897
2020-5-21,305381,19411
2020-5-22,311808,6427
2020-5-23,314447,2639
2020-5-24,316036,1589
2020-5-25,330898,14862
2020-5-26,341026,10128
2020-5-27,347647,6621
2020-5-28,355027,7380
2020-5-29,355027,0
2020-5-30,368819,13792
2020-5-31,375109,6290
2020-6-1,387370,12261
2020-6-2,393133,5763
2020-6-3,402087,8954
2020-6-4,411186,9099
2020-6-5,420786,9600
2020-6-6,428069,7283
2020-6-7,434065,5996
2020-6-8,442602,8537
2020-6-9,453668,11066
2020-6-10,460120,6452
2020-6-11,469673,9553
2020-6-12,479534,9861
2020-6-13,504383,24849
2020-6-14,509332,4949
2020-6-15,518725,9393
2020-6-16,532717,13992
2020-6-17,545221,12504
2020-6-18,545221,0
2020-6-19,590909,45688
2020-6-20,604816,13907
2020-6-21,610812,5996
2020-6-22,618064,7252
2020-6-23,635939,17875
2020-6-24,648505,12566
2020-6-25,660665,12160
2020-6-26,678006,17341
2020-6-27,678006,0
2020-6-28,696111,18105
2020-6-29,704637,8526
2020-6-30,728511,23874
2020-7-1,752088,23577
2020-7-2,767374,15286
