Date,MADATA.TotalTestResults,MADATA.TotalTestResultsInc
2020-1-22,1,0
2020-1-23,2,1
2020-1-24,2,0
2020-1-25,2,0
2020-1-26,2,0
2020-1-27,3,1
2020-1-28,3,0
2020-1-29,4,1
2020-1-30,4,0
2020-1-31,4,0
2020-2-1,4,0
2020-2-2,4,0
2020-2-3,7,3
2020-2-4,9,2
2020-2-5,9,0
2020-2-6,10,1
2020-2-7,10,0
2020-2-8,11,1
2020-2-9,11,0
2020-2-10,12,1
2020-2-11,12,0
2020-2-12,13,1
2020-2-13,13,0
2020-2-14,13,0
2020-2-15,13,0
2020-2-16,13,0
2020-2-17,13,0
2020-2-18,13,0
2020-2-19,13,0
2020-2-20,14,1
2020-2-21,14,0
2020-2-22,14,0
2020-2-23,14,0
2020-2-24,16,2
2020-2-25,16,0
2020-2-26,16,0
2020-2-27,16,0
2020-2-28,18,2
2020-2-29,19,1
2020-3-1,23,4
2020-3-2,29,6
2020-3-3,44,15
2020-3-4,66,22
2020-3-5,102,36
2020-3-6,151,49
2020-3-7,251,100
2020-3-8,312,61
2020-3-9,393,81
2020-3-10,502,109
2020-3-11,684,182
2020-3-12,1116,432
2020-3-13,2101,985
2020-3-14,3036,935
2020-3-15,4120,1084
2020-3-16,6355,2235
2020-3-17,9145,2790
2020-3-18,12371,3226
2020-3-19,15509,3138
2020-3-20,19384,3875
2020-3-21,22155,2771
2020-3-22,24257,2102
2020-3-23,28354,4097
2020-3-24,32673,4319
2020-3-25,37157,4484
2020-3-26,41993,4836
2020-3-27,46808,4815
2020-3-28,50010,3202
2020-3-29,52483,2473
2020-3-30,58064,5581
2020-3-31,63994,5930
2020-4-1,69570,5576
2020-4-2,75574,6004
2020-4-3,82141,6567
2020-4-4,86885,4744
2020-4-5,90987,4102
2020-4-6,98567,7580
2020-4-7,106189,7622
2020-4-8,114147,7958
2020-4-9,121922,7775
2020-4-10,130773,8851
2020-4-11,136079,5306
2020-4-12,139881,3802
2020-4-13,147385,7504
2020-4-14,158730,11345
2020-4-15,170383,11653
2020-4-16,181089,10706
2020-4-17,194214,13125
2020-4-18,201692,7478
2020-4-19,207288,5596
2020-4-20,220251,12963
2020-4-21,232074,11823
2020-4-22,247471,15397
2020-4-23,260896,13425
2020-4-24,275799,14903
2020-4-25,286065,10266
2020-4-26,292273,6208
2020-4-27,306068,13795
2020-4-28,321343,15275
2020-4-29,336857,15514
2020-4-30,353731,16874
2020-5-1,371021,17290
2020-5-2,380218,9197
2020-5-3,386680,6462
