Date,MDDATA.TotalTestResults,MDDATA.TotalTestResultsInc
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,955,955
2020-3-25,2075,1120
2020-3-26,5416,3341
2020-3-27,7236,1820
2020-3-28,10311,3075
2020-3-29,11619,1308
2020-3-30,13204,1585
2020-3-31,15258,2054
2020-4-1,18203,2945
2020-4-2,20739,2536
2020-4-3,23775,3036
2020-4-4,26404,2629
2020-4-5,29805,3401
2020-4-6,32438,2633
2020-4-7,33842,1404
2020-4-8,41778,7936
2020-4-9,44933,3155
2020-4-10,48857,3924
2020-4-11,52489,3632
2020-4-12,54664,2175
2020-4-13,58468,3804
2020-4-14,60051,1583
2020-4-15,62457,2406
2020-4-16,66035,3578
2020-4-17,69474,3439
2020-4-18,73250,3776
2020-4-19,75989,2739
2020-4-20,79941,3952
2020-4-21,82129,2188
2020-4-22,85427,3298
2020-4-23,89333,3906
2020-4-24,94203,4870
2020-4-25,98689,4486
2020-4-26,102977,4288
2020-4-27,107010,4033
2020-4-28,109837,2827
2020-4-29,112892,3055
2020-4-30,118325,5433
2020-5-1,123603,5278
2020-5-2,128731,5128
2020-5-3,133367,4636
2020-5-4,138984,5617
2020-5-5,142127,3143
2020-5-6,146664,4537
2020-5-7,153021,6357
2020-5-8,158069,5048
2020-5-9,164118,6049
2020-5-10,171458,7340
2020-5-11,179388,7930
2020-5-12,183142,3754
2020-5-13,188567,5425
2020-5-14,194595,6028
2020-5-15,201862,7267
2020-5-16,209460,7598
2020-5-17,215795,6335
2020-5-18,222501,6706
2020-5-19,228258,5757
2020-5-20,235793,7535
2020-5-21,245385,9592
2020-5-22,251847,6462
2020-5-23,260562,8715
2020-5-24,267293,6731
2020-5-25,278124,10831
2020-5-26,284250,6126
2020-5-27,294806,10556
2020-5-28,311160,16354
2020-5-29,322879,11719
2020-5-30,333724,10845
2020-5-31,343136,9412
2020-6-1,351908,8772
2020-6-2,360694,8786
2020-6-3,375079,14385
2020-6-4,386603,11524
2020-6-5,399813,13210
2020-6-6,412303,12490
2020-6-7,421554,9251
2020-6-8,429655,8101
2020-6-9,437773,8118
2020-6-10,446269,8496
2020-6-11,457816,11547
2020-6-12,467564,9748
2020-6-13,478119,10555
2020-6-14,486599,8480
2020-6-15,495085,8486
2020-6-16,505582,10497
2020-6-17,521176,15594
2020-6-18,529738,8562
2020-6-19,538366,8628
2020-6-20,550168,11802
2020-6-21,559592,9424
2020-6-22,567025,7433
2020-6-23,577385,10360
2020-6-24,586272,8887
2020-6-25,597909,11637
2020-6-26,607823,9914
2020-6-27,618237,10414
2020-6-28,625801,7564
2020-6-29,638337,12536
2020-6-30,647019,8682
2020-7-1,656590,9571
2020-7-2,670249,13659
2020-7-3,685813,15564
2020-7-4,698768,12955
2020-7-5,707844,9076
2020-7-6,718781,10937
2020-7-7,728660,9879
2020-7-8,740594,11934
2020-7-9,755713,15119
2020-7-10,769011,13298
2020-7-11,781140,12129
2020-7-12,802280,21140
2020-7-13,813347,11067
2020-7-14,828762,15415
2020-7-15,850297,21535
2020-7-16,867188,16891
2020-7-17,891359,24171
2020-7-18,909412,18053
2020-7-19,938311,28899
2020-7-20,953066,14755
2020-7-21,973616,20550
2020-7-22,994637,21021
2020-7-23,1010681,16044
2020-7-24,1034901,24220
2020-7-25,1069775,34874
2020-7-26,1091816,22041
2020-7-27,1115211,23395
2020-7-28,1139155,23944
2020-7-29,1154902,15747
2020-7-30,1180591,25689
2020-7-31,1209223,28632
2020-8-1,1240227,31004
2020-8-2,1264012,23785
2020-8-3,1288496,24484
2020-8-4,1304873,16377
2020-8-5,1326635,21762
2020-8-6,1343334,16699
2020-8-7,1371917,28583
2020-8-8,1392724,20807
2020-8-9,1433396,40672
2020-8-10,1462928,29532
2020-8-11,1480073,17145
2020-8-12,1498088,18015
2020-8-13,1527930,29842
2020-8-14,1552070,24140
2020-8-15,1585670,33600
2020-8-16,1611241,25571
2020-8-17,1645642,34401
2020-8-18,1661701,16059
2020-8-19,1675530,13829
2020-8-20,1693571,18041
2020-8-21,1722957,29386
2020-8-22,1751515,28558
2020-8-23,1772656,21141
2020-8-24,1794703,22047
2020-8-25,1807573,12870
2020-8-26,1819950,12377
2020-8-27,1841425,21475
2020-8-28,1868927,27502
2020-8-29,1894410,25483
2020-8-30,1919515,25105
2020-8-31,1938846,19331
2020-9-1,1952501,13655
2020-9-2,1964931,12430
2020-9-3,1989891,24960
2020-9-4,2019324,29433
2020-9-5,2047516,28192
2020-9-6,2064239,16723
2020-9-7,2086609,22370
2020-9-8,2099562,12953
2020-9-9,2109473,9911
2020-9-10,2128024,18551
2020-9-11,2150638,22614
2020-9-12,2183941,33303
2020-9-13,2207458,23517
2020-9-14,2226655,19197
2020-9-15,2245666,19011
2020-9-16,2272265,26599
2020-9-17,2299608,27343
2020-9-18,2324252,24644
2020-9-19,2361383,37131
2020-9-20,2390269,28886
2020-9-21,2407618,17349
2020-9-22,2422067,14449
2020-9-23,2441225,19158
2020-9-24,2464927,23702
2020-9-25,2494019,29092
2020-9-26,2525658,31639
2020-9-27,2555705,30047
2020-9-28,2573607,17902
2020-9-29,2588690,15083
2020-9-30,2605913,17223
2020-10-1,2629898,23985
2020-10-2,2660800,30902
2020-10-3,2688866,28066
2020-10-4,2715230,26364
2020-10-5,2734800,19570
2020-10-6,2752546,17746
2020-10-7,2773280,20734
2020-10-8,2802303,29023
2020-10-9,2829423,27120
2020-10-10,2863083,33660
2020-10-11,2892265,29182
2020-10-12,2916220,23955
2020-10-13,2934933,18713
2020-10-14,2956824,21891
2020-10-15,2985460,28636
2020-10-16,3013107,27647
2020-10-17,3049634,36527
2020-10-18,3079162,29528
2020-10-19,3103833,24671
2020-10-20,3121799,17966
2020-10-21,3138875,17076
2020-10-22,3169302,30427
2020-10-23,3201774,32472
2020-10-24,3234284,32510
2020-10-25,3266149,31865
2020-10-26,3287956,21807
2020-10-27,3311143,23187
2020-10-28,3333562,22419
2020-10-29,3361281,27719
2020-10-30,3389678,28397
2020-10-31,3422662,32984
2020-11-1,3452416,29754
2020-11-2,3479230,26814
2020-11-3,3499117,19887
2020-11-4,3524387,25270
2020-11-5,3552331,27944
2020-11-6,3587697,35366
2020-11-7,3624193,36496
2020-11-8,3654459,30266
2020-11-9,3678109,23650
2020-11-10,3702658,24549
