Date,MEDATA.TotalTestResults,MEDATA.TotalTestResultsInc
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,43,43
2020-3-12,66,23
2020-3-13,136,70
2020-3-14,219,83
2020-3-15,515,296
2020-3-16,750,235
2020-3-17,1165,415
2020-3-18,1659,494
2020-3-19,2008,349
2020-3-20,2210,202
2020-3-21,2565,355
2020-3-22,2962,397
2020-3-23,3259,297
2020-3-24,3606,347
2020-3-25,3963,357
2020-3-26,4447,484
2020-3-27,5143,696
2020-3-28,6081,938
2020-3-29,7317,1236
2020-3-30,8012,695
2020-3-31,8643,631
2020-4-1,9203,560
2020-4-2,10106,903
2020-4-3,10826,720
2020-4-4,11427,601
2020-4-5,11799,372
2020-4-6,12293,494
2020-4-7,13244,951
2020-4-8,13950,706
2020-4-9,14430,480
2020-4-10,14919,489
2020-4-11,15502,583
2020-4-12,15937,435
2020-4-13,16257,320
2020-4-14,16771,514
2020-4-15,17318,547
2020-4-16,17979,661
2020-4-17,18710,731
2020-4-18,19301,591
2020-4-19,19818,517
2020-4-20,20315,497
2020-4-21,20687,372
2020-4-22,21196,509
2020-4-23,21830,634
2020-4-24,22462,632
2020-4-25,22960,498
2020-4-26,23369,409
2020-4-27,23790,421
2020-4-28,24249,459
2020-4-29,24851,602
2020-4-30,25462,611
2020-5-1,26004,542
2020-5-2,26395,391
2020-5-3,26857,462
2020-5-4,27184,327
2020-5-5,27490,306
2020-5-6,28141,651
2020-5-7,28895,754
2020-5-8,29620,725
2020-5-9,30222,602
2020-5-10,30811,589
2020-5-11,31148,337
2020-5-12,31536,388
2020-5-13,32317,781
2020-5-14,33324,1007
2020-5-15,34262,938
2020-5-16,35116,854
2020-5-17,35902,786
2020-5-18,36541,639
2020-5-19,37377,836
2020-5-20,38639,1262
2020-5-21,39726,1087
2020-5-22,40965,1239
2020-5-23,43035,2070
2020-5-24,44463,1428
2020-5-25,45144,681
2020-5-26,46016,872
2020-5-27,46920,904
2020-5-28,48133,1213
2020-5-29,49553,1420
2020-5-30,50809,1256
2020-5-31,52225,1416
2020-6-1,53450,1225
2020-6-2,54199,749
2020-6-3,55882,1683
2020-6-4,57424,1542
2020-6-5,58825,1401
2020-6-6,60232,1407
2020-6-7,61755,1523
2020-6-8,62926,1171
2020-6-9,63707,781
2020-6-10,65234,1527
2020-6-11,66737,1503
2020-6-12,68156,1419
2020-6-13,69618,1462
2020-6-14,71112,1494
2020-6-15,72204,1092
2020-6-16,73551,1347
2020-6-17,75220,1669
2020-6-18,76793,1573
2020-6-19,78331,1538
2020-6-20,79636,1305
2020-6-21,81036,1400
2020-6-22,82287,1251
2020-6-23,83279,992
2020-6-24,85146,1867
2020-6-25,87544,2398
2020-6-26,89755,2211
2020-6-27,91807,2052
2020-6-28,93330,1523
2020-6-29,94568,1238
2020-6-30,95994,1426
2020-7-1,98230,2236
2020-7-2,100448,2218
2020-7-3,103011,2563
2020-7-4,105428,2417
2020-7-5,107377,1949
2020-7-6,108948,1571
2020-7-7,110291,1343
2020-7-8,112282,1991
2020-7-9,115003,2721
2020-7-10,117564,2561
2020-7-11,119096,1532
2020-7-12,121472,2376
2020-7-13,123081,1609
2020-7-14,124569,1488
2020-7-15,126987,2418
2020-7-16,129436,2449
2020-7-17,132286,2850
2020-7-18,133719,1433
2020-7-19,136140,2421
2020-7-20,137883,1743
2020-7-21,140849,2966
2020-7-22,143585,2736
2020-7-23,146154,2569
2020-7-24,149039,2885
2020-7-25,151704,2665
2020-7-26,153603,1899
2020-7-27,155666,2063
2020-7-28,157288,1622
2020-7-29,160179,2891
2020-7-30,162842,2663
2020-7-31,165140,2298
2020-8-1,167611,2471
2020-8-2,169882,2271
2020-8-3,171894,2012
2020-8-4,173471,1577
2020-8-5,175895,2424
2020-8-6,178459,2564
2020-8-7,181165,2706
2020-8-8,183738,2573
2020-8-9,186221,2483
2020-8-10,188071,1850
2020-8-11,189590,1519
2020-8-12,194914,5324
2020-8-13,197976,3062
2020-8-14,200645,2669
2020-8-15,202856,2211
2020-8-16,205624,2768
2020-8-17,207842,2218
2020-8-18,209534,1692
2020-8-19,212350,2816
2020-8-20,215011,2661
2020-8-21,218569,3558
2020-8-22,222359,3790
2020-8-23,226239,3880
2020-8-24,229324,3085
2020-8-25,231756,2432
2020-8-26,236289,4533
2020-8-27,240069,3780
2020-8-28,245192,5123
2020-8-29,249259,4067
2020-8-30,253470,4211
2020-8-31,256669,3199
2020-9-1,262240,5571
2020-9-2,266430,4190
2020-9-3,274336,7906
2020-9-4,279733,5397
2020-9-5,284960,5227
2020-9-6,289720,4760
2020-9-7,292951,3231
2020-9-8,295577,2626
2020-9-9,302352,6775
2020-9-10,306470,4118
2020-9-11,312449,5979
2020-9-12,317333,4884
2020-9-13,322382,5049
2020-9-14,325924,3542
2020-9-15,328458,2534
2020-9-16,333982,5524
2020-9-17,343156,9174
2020-9-18,356029,12873
2020-9-19,363363,7334
2020-9-20,371222,7859
2020-9-21,373981,2759
2020-9-22,377262,3281
2020-9-23,382974,5712
2020-9-24,390964,7990
2020-9-25,397287,6323
2020-9-26,403601,6314
2020-9-27,411927,8326
2020-9-28,414070,2143
2020-9-29,418629,4559
2020-9-30,425591,6962
2020-10-1,432785,7194
2020-10-2,439568,6783
2020-10-3,444593,5025
2020-10-4,452527,7934
2020-10-5,456763,4236
2020-10-6,459241,2478
2020-10-7,465660,6419
2020-10-8,472395,6735
2020-10-9,480498,8103
2020-10-10,486384,5886
2020-10-11,494158,7774
2020-10-12,499701,5543
2020-10-13,502840,3139
2020-10-14,508841,6001
2020-10-15,514246,5405
2020-10-16,521755,7509
2020-10-17,527534,5779
2020-10-18,534184,6650
2020-10-19,537428,3244
2020-10-20,541977,4549
2020-10-21,548418,6441
2020-10-22,554869,6451
2020-10-23,561724,6855
2020-10-24,568091,6367
2020-10-25,573589,5498
2020-10-26,576120,2531
2020-10-27,582845,6725
2020-10-28,590274,7429
2020-10-29,598824,8550
2020-10-30,610224,11400
2020-10-31,619704,9480
2020-11-1,620060,356
2020-11-2,631068,11008
2020-11-3,634420,3352
2020-11-4,643723,9303
2020-11-5,654230,10507
2020-11-6,662352,8122
2020-11-7,672354,10002
2020-11-8,680364,8010
2020-11-9,684496,4132
2020-11-10,690328,5832
2020-11-11,699566,9238
2020-11-12,710453,10887
2020-11-13,719143,8690
2020-11-14,729588,10445
2020-11-15,738134,8546
2020-11-16,740639,2505
2020-11-17,749061,8422
2020-11-18,759368,10307
2020-11-19,772113,12745
2020-11-20,779178,7065
2020-11-21,791087,11909
2020-11-22,800820,9733
2020-11-23,808539,7719
2020-11-24,816479,7940
2020-11-25,823789,7310
2020-11-26,837194,13405
2020-11-27,845017,7823
2020-11-28,848207,3190
2020-11-29,854240,6033
2020-11-30,858919,4679
2020-12-1,863125,4206
2020-12-2,873684,10559
2020-12-3,882919,9235
2020-12-4,894518,11599
2020-12-5,903133,8615
2020-12-6,911843,8710
2020-12-7,916813,4970
2020-12-8,922590,5777
2020-12-9,931052,8462
2020-12-10,941190,10138
2020-12-11,951400,10210
2020-12-12,959984,8584
2020-12-13,967147,7163
2020-12-14,972398,5251
2020-12-15,978021,5623
2020-12-16,986453,8432
2020-12-17,994239,7786
2020-12-18,1003359,9120
2020-12-19,1010228,6869
2020-12-20,1017516,7288
2020-12-21,1020857,3341
2020-12-22,1027509,6652
2020-12-23,1035201,7692
2020-12-24,1044446,9245
2020-12-25,1053655,9209
2020-12-26,1059111,5456
2020-12-27,1061979,2868
2020-12-28,1067310,5331
2020-12-29,1071613,4303
2020-12-30,1077338,5725
2020-12-31,1085982,8644
2021-1-1,1095386,9404
2021-1-2,1101137,5751
2021-1-3,1104271,3134
2021-1-4,1110337,6066
2021-1-5,1116407,6070
2021-1-6,1123995,7588
2021-1-7,1134922,10927
2021-1-8,1145167,10245
2021-1-9,1153535,8368
2021-1-10,1162686,9151
2021-1-11,1168144,5458
2021-1-12,1175249,7105
2021-1-13,1185886,10637
2021-1-14,1194873,8987
2021-1-15,1209067,14194
2021-1-16,1218633,9566
