Date,MIDATA.TotalTestResults,MIDATA.TotalTestResultsInc
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,3,3
2020-3-11,4,1
2020-3-12,28,24
2020-3-13,49,21
2020-3-14,76,27
2020-3-15,109,33
2020-3-16,265,156
2020-3-17,1100,835
2020-3-18,1852,752
2020-3-19,2590,738
2020-3-20,3845,1255
2020-3-21,5203,1358
2020-3-22,6223,1020
2020-3-23,7676,1453
2020-3-24,9356,1680
2020-3-25,11782,2426
2020-3-26,15597,3815
2020-3-27,19133,3536
2020-3-28,21920,2787
2020-3-29,24312,2392
2020-3-30,32172,7860
2020-3-31,37055,4883
2020-4-1,43188,6133
2020-4-2,49095,5907
2020-4-3,55096,6001
2020-4-4,62205,7109
2020-4-5,67055,4850
2020-4-6,72281,5226
2020-4-7,77133,4852
2020-4-8,81186,4053
2020-4-9,85972,4786
2020-4-10,90552,4580
2020-4-11,94307,3755
2020-4-12,97593,3286
2020-4-13,101183,3590
2020-4-14,106183,5000
2020-4-15,110766,4583
2020-4-16,116440,5674
2020-4-17,122507,6067
2020-4-18,127391,4884
2020-4-19,130677,3286
2020-4-20,135204,4527
2020-4-21,142813,7609
2020-4-22,151154,8341
2020-4-23,160853,9699
2020-4-24,169942,9089
2020-4-25,176663,6721
2020-4-26,182757,6094
2020-4-27,190156,7399
2020-4-28,199206,9050
2020-4-29,209855,10649
2020-4-30,221578,11723
2020-5-1,232528,10950
2020-5-2,243366,10838
2020-5-3,250589,7223
2020-5-4,258536,7947
2020-5-5,269955,11419
2020-5-6,282451,12496
2020-5-7,295016,12565
2020-5-8,307801,12785
2020-5-9,319680,11879
2020-5-10,328334,8654
2020-5-11,339843,11509
2020-5-12,353909,14066
2020-5-13,373484,19575
2020-5-14,391176,17692
2020-5-15,407180,16004
2020-5-16,419366,12186
2020-5-17,430802,11436
2020-5-18,444305,13503
2020-5-19,461365,17060
2020-5-20,475714,14349
2020-5-21,492412,16698
2020-5-22,512752,20340
2020-5-23,527621,14869
2020-5-24,539550,11929
2020-5-25,549107,9557
2020-5-26,561095,11988
2020-5-27,579682,18587
2020-5-28,597828,18146
2020-5-29,615138,17310
2020-5-30,631367,16229
2020-5-31,644519,13152
2020-6-1,659153,14634
2020-6-2,675320,16167
2020-6-3,692016,16696
2020-6-4,707130,15114
2020-6-5,720088,12958
2020-6-6,730837,10749
2020-6-7,741368,10531
2020-6-8,754408,13040
2020-6-9,771552,17144
2020-6-10,771552,0
2020-6-11,786154,14602
2020-6-12,802036,15882
2020-6-13,815374,13338
2020-6-14,829523,14149
2020-6-15,839866,10343
2020-6-16,851830,11964
2020-6-17,866277,14447
2020-6-18,866277,0
2020-6-19,896382,30105
2020-6-20,911028,14646
2020-6-21,923961,12933
2020-6-22,934545,10584
2020-6-23,945209,10664
2020-6-24,961368,16159
2020-6-25,979418,18050
2020-6-26,998490,19072
2020-6-27,1017855,19365
2020-6-28,1033820,15965
2020-6-29,1046545,12725
2020-6-30,1062116,15571
2020-7-1,1078989,16873
2020-7-2,1102412,23423
2020-7-3,1125738,23326
2020-7-4,1147836,22098
2020-7-5,1164666,16830
2020-7-6,1177247,12581
2020-7-7,1194318,17071
2020-7-8,1218053,23735
2020-7-9,1241962,23909
2020-7-10,1265344,23382
2020-7-11,1292951,27607
2020-7-12,1315305,22354
2020-7-13,1332667,17362
2020-7-14,1353182,20515
2020-7-15,1387545,34363
2020-7-16,1414802,27257
2020-7-17,1445361,30559
2020-7-18,1476385,31024
2020-7-19,1505204,28819
2020-7-20,1527804,22600
2020-7-21,1550697,22893
2020-7-22,1581285,30588
2020-7-23,1608660,27375
2020-7-24,1637017,28357
2020-7-25,1637017,0
2020-7-26,1693712,56695
2020-7-27,1723892,30180
2020-7-28,1751875,27983
2020-7-29,1819805,67930
2020-7-30,1836584,16779
2020-7-31,1868156,31572
2020-8-1,1900915,32759
2020-8-2,1926348,25433
2020-8-3,1951555,25207
2020-8-4,1979257,27702
2020-8-5,2005494,26237
2020-8-6,2031654,26160
2020-8-7,2061956,30302
2020-8-8,2100848,38892
2020-8-9,2127348,26500
2020-8-10,2148786,21438
2020-8-11,2172898,24112
2020-8-12,2208812,35914
2020-8-13,2249441,40629
