Date,MNDATA.TotalTestResults,MNDATA.TotalTestResultsInc
2020-3-6,37,0
2020-3-7,50,13
2020-3-8,50,0
2020-3-9,85,35
2020-3-10,143,58
2020-3-11,238,95
2020-3-12,350,112
2020-3-13,603,253
2020-3-14,937,334
2020-3-15,1515,578
2020-3-16,2018,503
2020-3-17,2522,504
2020-3-18,2954,432
2020-3-19,3236,282
2020-3-20,4044,808
2020-3-21,4279,235
2020-3-22,4860,581
2020-3-23,4904,44
2020-3-24,5994,1090
2020-3-25,11690,5696
2020-3-26,13169,1479
2020-3-27,14245,1076
2020-3-28,18082,3837
2020-3-29,19291,1209
2020-3-30,20335,1044
2020-3-31,21851,1516
2020-4-1,22853,1002
2020-4-2,24836,1983
2020-4-3,26182,1346
2020-4-4,27845,1663
2020-4-5,29307,1462
2020-4-6,30485,1178
2020-4-7,32035,1550
2020-4-8,33488,1453
2020-4-9,35319,1831
2020-4-10,37078,1759
2020-4-11,38704,1626
2020-4-12,39894,1190
2020-4-13,40679,785
2020-4-14,41870,1191
2020-4-15,43566,1696
2020-4-16,45022,1456
2020-4-17,46488,1466
2020-4-18,47970,1482
2020-4-19,49202,1232
2020-4-20,50044,842
2020-4-21,51793,1749
2020-4-22,53923,2130
2020-4-23,56414,2491
2020-4-24,59494,3080
2020-4-25,62109,2615
2020-4-26,64673,2564
2020-4-27,66690,2017
2020-4-28,70036,3346
2020-4-29,77118,7082
2020-4-30,81465,4347
2020-5-1,85950,4485
2020-5-2,89680,3730
2020-5-3,92844,3164
2020-5-4,96912,4068
2020-5-5,100078,3166
2020-5-6,104557,4479
2020-5-7,109572,5015
2020-5-8,114448,4876
2020-5-9,119361,4913
2020-5-10,124661,5300
2020-5-11,129964,5303
2020-5-12,133977,4013
2020-5-13,141274,7297
2020-5-14,148008,6734
2020-5-15,157136,9128
2020-5-16,165104,7968
2020-5-17,171077,5973
2020-5-18,177474,6397
2020-5-19,183851,6377
2020-5-20,190808,6957
2020-5-21,199088,8280
2020-5-22,208810,9722
