Date,MODATA.TotalTestResults,MODATA.TotalTestResultsInc
2020-3-7,23,0
2020-3-8,31,8
2020-3-9,36,5
2020-3-10,42,6
2020-3-11,54,12
2020-3-12,65,11
2020-3-13,87,22
2020-3-14,115,28
2020-3-15,188,73
2020-3-16,287,99
2020-3-17,405,118
2020-3-18,845,440
2020-3-19,1530,685
2020-3-20,2327,797
2020-3-21,3455,1128
2020-3-22,4642,1187
2020-3-23,5455,813
2020-3-24,6165,710
2020-3-25,7980,1815
2020-3-26,10044,2064
2020-3-27,12479,2435
2020-3-28,14889,2410
2020-3-29,17025,2136
2020-3-30,18299,1274
2020-3-31,19189,890
2020-4-1,21956,2767
2020-4-2,24415,2459
2020-4-3,26710,2295
2020-4-4,28877,2167
2020-4-5,30851,1974
2020-4-6,31954,1103
2020-4-7,32855,901
2020-4-8,35599,2744
2020-4-9,37902,2303
2020-4-10,40173,2271
2020-4-11,42151,1978
2020-4-12,44241,2090
2020-4-13,45189,948
2020-4-14,45977,788
2020-4-15,48233,2256
2020-4-16,50402,2169
2020-4-17,52444,2042
2020-4-18,54507,2063
2020-4-19,56834,2327
2020-4-20,58076,1242
2020-4-21,59056,980
2020-4-22,61646,2590
2020-4-23,64187,2541
2020-4-24,67165,2978
2020-4-25,69988,2823
2020-4-26,72715,2727
2020-4-27,74013,1298
2020-4-28,75149,1136
2020-4-29,79128,3979
2020-4-30,84070,4942
2020-5-1,88989,4919
2020-5-2,93120,4131
2020-5-3,97614,4494
2020-5-4,99201,1587
2020-5-5,100383,1182
2020-5-6,104488,4105
2020-5-7,109282,4794
2020-5-8,113490,4208
2020-5-9,117301,3811
2020-5-10,121559,4258
2020-5-11,123746,2187
2020-5-12,125042,1296
2020-5-13,130101,5059
2020-5-14,134975,4874
2020-5-15,139740,4765
2020-5-16,143966,4226
2020-5-17,146255,2289
2020-5-18,152320,6065
2020-5-19,154773,2453
2020-5-20,159636,4863
2020-5-21,163684,4048
2020-5-22,167199,3515
2020-5-23,169050,1851
2020-5-24,169732,682
2020-5-25,180120,10388
2020-5-26,183650,3530
2020-5-27,183650,0
2020-5-28,183650,0
2020-5-29,183650,0
2020-5-30,183650,0
2020-5-31,183650,0
2020-6-1,183650,0
2020-6-2,183650,0
2020-6-3,183650,0
2020-6-4,183650,0
2020-6-5,254990,71340
2020-6-6,270232,15242
2020-6-7,270232,0
2020-6-8,270232,0
2020-6-9,270232,0
2020-6-10,270232,0
2020-6-11,270232,0
2020-6-12,270232,0
2020-6-13,270232,0
2020-6-14,270232,0
2020-6-15,270232,0
2020-6-16,270232,0
2020-6-17,270232,0
2020-6-18,270232,0
2020-6-19,270232,0
2020-6-20,270232,0
2020-6-21,270232,0
2020-6-22,270232,0
2020-6-23,382610,112378
2020-6-24,382610,0
2020-6-25,382610,0
2020-6-26,424214,41604
2020-6-27,424214,0
2020-6-28,424214,0
2020-6-29,424214,0
2020-6-30,424214,0
2020-7-1,424214,0
2020-7-2,424214,0
2020-7-3,424214,0
2020-7-4,424214,0
2020-7-5,424214,0
2020-7-6,528835,104621
2020-7-7,539395,10560
2020-7-8,547352,7957
2020-7-9,563325,15973
2020-7-10,576537,13212
2020-7-11,590426,13889
2020-7-12,605046,14620
2020-7-13,621043,15997
2020-7-14,633226,12183
2020-7-15,646880,13654
2020-7-16,664810,17930
2020-7-17,677038,12228
2020-7-18,696291,19253
2020-7-19,709043,12752
2020-7-20,728137,19094
2020-7-21,739140,11003
2020-7-22,749051,9911
2020-7-23,769616,20565
2020-7-24,784770,15154
2020-7-25,795966,11196
2020-7-26,806753,10787
2020-7-27,830014,23261
2020-7-28,846657,16643
2020-7-29,856436,9779
2020-7-30,877684,21248
2020-7-31,895691,18007
2020-8-1,910956,15265
2020-8-2,920290,9334
2020-8-3,936013,15723
2020-8-4,946923,10910
2020-8-5,957863,10940
2020-8-6,968131,10268
2020-8-7,996617,28486
2020-8-8,996617,0
2020-8-9,996617,0
2020-8-10,1028968,32351
2020-8-11,1046810,17842
2020-8-12,1057708,10898
2020-8-13,1074461,16753
2020-8-14,1093970,19509
2020-8-15,1106583,12613
2020-8-16,1119127,12544
2020-8-17,1138890,19763
2020-8-18,1150637,11747
2020-8-19,1158444,7807
2020-8-20,1172659,14215
2020-8-21,1185535,12876
2020-8-22,1196542,11007
2020-8-23,1218097,21555
2020-8-24,1214456,0
2020-8-25,1223471,9015
2020-8-26,1230039,6568
2020-8-27,1243050,13011
2020-8-28,1258585,15535
2020-8-29,1271859,13274
2020-8-30,1283056,11197
2020-8-31,1294127,11071
2020-9-1,1305031,10904
2020-9-2,1311023,5992
2020-9-3,1323249,12226
2020-9-4,1339671,16422
2020-9-5,1360462,20791
2020-9-6,1368585,8123
2020-9-7,1378643,10058
2020-9-8,1387279,8636
2020-9-9,1399957,12678
2020-9-10,1419455,19498
2020-9-11,1437730,18275
2020-9-12,1456844,19114
2020-9-13,1475583,18739
2020-9-14,1495313,19730
2020-9-15,1510342,15029
2020-9-16,1519434,9092
2020-9-17,1538232,18798
2020-9-18,1554625,16393
2020-9-19,1571002,16377
2020-9-20,1583984,12982
2020-9-21,1592975,8991
2020-9-22,1628323,35348
2020-9-23,1633863,5540
2020-9-24,1649352,15489
2020-9-25,1667432,18080
2020-9-26,1687509,20077
2020-9-27,1699319,11810
2020-9-28,1813137,113818
2020-9-29,1826199,13062
2020-9-30,1847369,21170
2020-10-1,1855986,8617
2020-10-2,1875678,19692
2020-10-3,1898178,22500
2020-10-4,1916747,18569
2020-10-5,1930086,13339
2020-10-6,1946604,16518
2020-10-7,1958461,11857
2020-10-8,1979390,20929
2020-10-9,2000979,21589
2020-10-10,2075699,74720
2020-10-11,2075699,0
2020-10-12,2075699,0
