Date,MSDATA.TotalTestResults,MSDATA.TotalTestResultsInc
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,20,20
2020-3-12,42,22
2020-3-13,45,3
2020-3-14,90,45
2020-3-15,94,4
2020-3-16,289,195
2020-3-17,389,100
2020-3-18,513,124
2020-3-19,602,89
2020-3-20,775,173
2020-3-21,835,60
2020-3-22,1321,486
2020-3-23,1392,71
2020-3-24,1872,480
2020-3-25,1943,71
2020-3-26,2776,833
2020-3-27,3139,363
2020-3-28,3223,84
2020-3-29,3318,95
2020-3-30,3836,518
2020-3-31,4474,638
2020-4-1,4785,311
2020-4-2,5930,1145
2020-4-3,6111,181
2020-4-4,6588,477
2020-4-5,7218,630
2020-4-6,20370,13152
2020-4-7,20547,177
2020-4-8,20635,88
2020-4-9,20892,257
2020-4-10,21101,209
2020-4-11,21274,173
2020-4-12,21413,139
2020-4-13,30984,9571
2020-4-14,37878,6894
2020-4-15,38151,273
2020-4-16,38415,264
2020-4-17,38584,169
2020-4-18,38765,181
2020-4-19,39065,300
2020-4-20,51434,12369
2020-4-21,52364,930
2020-4-22,53835,1471
2020-4-23,55389,1554
2020-4-24,55670,281
2020-4-25,58957,3287
2020-4-26,60788,1831
2020-4-27,63462,2674
2020-4-28,64412,950
2020-4-29,66094,1682
2020-4-30,66340,246
2020-5-1,71548,5208
2020-5-2,74475,2927
2020-5-3,77593,3118
2020-5-4,79677,2084
2020-5-5,80308,631
2020-5-6,80525,217
2020-5-7,80787,262
2020-5-8,81191,404
2020-5-9,81479,288
2020-5-10,81602,123
2020-5-11,95885,14283
2020-5-12,97692,1807
2020-5-13,100048,2356
2020-5-14,105326,5278
2020-5-15,106823,1497
2020-5-16,108476,1653
2020-5-17,113126,4650
2020-5-18,115767,2641
2020-5-19,117760,1993
2020-5-20,120680,2920
2020-5-21,125970,5290
2020-5-22,137973,12003
2020-5-23,134220,0
2020-5-24,137902,3682
2020-5-25,143917,6015
2020-5-26,147819,3902
2020-5-27,148132,313
2020-5-28,156497,8365
2020-5-29,166308,9811
2020-5-30,165932,0
2020-5-31,171837,5905
2020-6-1,176254,4417
2020-6-2,179498,3244
2020-6-3,184747,5249
2020-6-4,184985,238
2020-6-5,193113,8128
2020-6-6,193123,10
2020-6-7,203249,10126
2020-6-8,208212,4963
2020-6-9,208212,0
2020-6-10,213885,5673
2020-6-11,213885,0
2020-6-12,214493,608
2020-6-13,213885,0
2020-6-14,214053,168
2020-6-15,230503,16450
2020-6-16,234165,3662
2020-6-17,238715,4550
2020-6-18,238715,0
2020-6-19,238715,0
2020-6-20,238715,0
2020-6-21,238715,0
2020-6-22,253249,14534
2020-6-23,253860,611
2020-6-24,261661,7801
2020-6-25,265997,4336
2020-6-26,271894,5897
2020-6-27,277321,5427
2020-6-28,280188,2867
2020-6-29,283522,3334
2020-6-30,287546,4024
2020-7-1,293752,6206
2020-7-2,299039,5287
2020-7-3,299039,0
2020-7-4,309915,10876
2020-7-5,310141,226
2020-7-6,314688,4547
2020-7-7,315645,957
2020-7-8,316319,674
2020-7-9,324804,8485
2020-7-10,330312,5508
2020-7-11,334343,4031
2020-7-12,335211,868
2020-7-13,343415,8204
2020-7-14,350213,6798
2020-7-15,356857,6644
2020-7-16,363900,7043
2020-7-17,371464,7564
2020-7-18,377285,5821
2020-7-19,378077,792
2020-7-20,389975,11898
2020-7-21,395198,5223
2020-7-22,403030,7832
2020-7-23,404012,982
2020-7-24,411480,7468
2020-7-25,421886,10406
2020-7-26,423093,1207
2020-7-27,427597,4504
2020-7-28,433133,5536
2020-7-29,443304,10171
2020-7-30,449881,6577
2020-7-31,454505,4624
2020-8-1,461473,6968
2020-8-2,462145,672
2020-8-3,462717,572
2020-8-4,463791,1074
2020-8-5,477822,14031
2020-8-6,482541,4719
2020-8-7,487212,4671
2020-8-8,493590,6378
2020-8-9,494117,527
2020-8-10,494593,476
2020-8-11,504404,9811
2020-8-12,507814,3410
2020-8-13,508426,612
2020-8-14,511042,2616
2020-8-15,519765,8723
2020-8-16,520146,381
2020-8-17,524589,4443
2020-8-18,525384,795
2020-8-19,526732,1348
2020-8-20,527626,894
2020-8-21,529802,2176
2020-8-22,533622,3820
2020-8-23,534248,626
2020-8-24,542662,8414
2020-8-25,547261,4599
2020-8-26,551790,4529
2020-8-27,556638,4848
2020-8-28,562882,6244
2020-8-29,568517,5635
2020-8-30,569164,647
2020-8-31,573865,4701
2020-9-1,577517,3652
2020-9-2,581586,4069
2020-9-3,586581,4995
2020-9-4,587404,823
2020-9-5,597399,9995
2020-9-6,597809,410
2020-9-7,598051,242
2020-9-8,606461,8410
2020-9-9,609638,3177
2020-9-10,613238,3600
2020-9-11,618379,5141
2020-9-12,622539,4160
2020-9-13,622793,254
2020-9-14,625806,3013
2020-9-15,626311,505
2020-9-16,632731,6420
2020-9-17,633432,701
2020-9-18,633432,0
2020-9-19,702886,69454
2020-9-20,703163,277
2020-9-21,706906,3743
2020-9-22,712501,5595
2020-9-23,716711,4210
2020-9-24,721759,5048
2020-9-25,726386,4627
2020-9-26,730713,4327
2020-9-27,730895,182
2020-9-28,735892,4997
2020-9-29,736481,589
2020-9-30,737033,552
2020-10-1,737729,696
2020-10-2,738401,672
2020-10-3,739010,609
2020-10-4,739331,321
2020-10-5,805358,66027
2020-10-6,805358,0
2020-10-7,806896,1538
2020-10-8,807474,578
2020-10-9,808336,862
2020-10-10,809293,957
2020-10-11,809587,294
2020-10-12,809883,296
2020-10-13,810596,713
2020-10-14,811472,876
2020-10-15,812794,1322
2020-10-16,838799,26005
2020-10-17,839550,751
2020-10-18,839550,0
2020-10-19,840136,586
2020-10-20,840866,730
2020-10-21,841667,801
2020-10-22,842625,958
2020-10-23,843420,795
2020-10-24,844632,1212
2020-10-25,844632,0
2020-10-26,845307,675
2020-10-27,846161,854
2020-10-28,881604,35443
2020-10-29,922851,41247
2020-10-30,923600,749
2020-10-31,924424,824
2020-11-1,924764,340
2020-11-2,958073,33309
2020-11-3,958717,644
2020-11-4,959483,766
2020-11-5,961095,1612
2020-11-6,962062,967
2020-11-7,963093,1031
2020-11-8,963897,804
2020-11-9,1001068,37171
2020-11-10,1002001,933
2020-11-11,1003257,1256
2020-11-12,1004528,1271
2020-11-13,1005833,1305
2020-11-14,1007203,1370
2020-11-15,1008172,969
2020-11-16,1041889,33717
2020-11-17,1042794,905
2020-11-18,1044387,1593
2020-11-19,1045782,1395
2020-11-20,1047420,1638
2020-11-21,1049392,1972
2020-11-22,1050171,779
2020-11-23,1091151,40980
2020-11-24,1091816,665
2020-11-25,1092908,1092
2020-11-26,1094654,1746
2020-11-27,1095659,1005
2020-11-28,1097212,1553
2020-11-29,1099057,1845
2020-11-30,1135665,36608
2020-12-1,1136806,1141
2020-12-2,1139263,2457
2020-12-3,1141431,2168
2020-12-4,1143911,2480
2020-12-5,1145853,1942
2020-12-6,1147326,1473
2020-12-7,1192494,45168
2020-12-8,1194226,1732
2020-12-9,1196972,2746
2020-12-10,1199255,2283
2020-12-11,1201582,2327
2020-12-12,1204247,2665
2020-12-13,1205747,1500
2020-12-14,1260755,55008
2020-12-15,1262960,2205
2020-12-16,1265303,2343
2020-12-17,1267564,2261
2020-12-18,1270071,2507
2020-12-19,1271771,1700
2020-12-20,1273993,2222
2020-12-21,1323158,49165
2020-12-22,1325349,2191
2020-12-23,1327983,2634
2020-12-24,1330309,2326
2020-12-25,1331836,1527
2020-12-26,1332681,845
2020-12-27,1334046,1365
2020-12-28,1335747,1701
2020-12-29,1337690,1943
2020-12-30,1340713,3023
2020-12-31,1343469,2756
2021-1-1,1346044,2575
2021-1-2,1347935,1891
2021-1-3,1349719,1784
2021-1-4,1351335,1616
2021-1-5,1409022,57687
2021-1-6,1411813,2791
2021-1-7,1415068,3255
2021-1-8,1417243,2175
2021-1-9,1420446,3203
2021-1-10,1422660,2214
2021-1-11,1463235,40575
2021-1-12,1464883,1648
2021-1-13,1466825,1942
2021-1-14,1468773,1948
2021-1-15,1471115,2342
2021-1-16,1473795,2680
2021-1-17,1475401,1606
