Date,MTDATA.TotalTestResults,MTDATA.TotalTestResultsInc
2020-3-7,11,0
2020-3-8,11,0
2020-3-9,11,0
2020-3-10,15,4
2020-3-11,21,6
2020-3-12,35,14
2020-3-13,56,21
2020-3-14,108,52
2020-3-15,110,2
2020-3-16,205,95
2020-3-17,311,106
2020-3-18,509,198
2020-3-19,773,264
2020-3-20,947,174
2020-3-21,1166,219
2020-3-22,1166,0
2020-3-23,1166,0
2020-3-24,1688,522
2020-3-25,2001,313
2020-3-26,2193,192
2020-3-27,3178,985
2020-3-28,3417,239
2020-3-29,3885,468
2020-3-30,3885,0
2020-3-31,3885,0
2020-4-1,4845,960
2020-4-2,5188,343
2020-4-3,5718,530
2020-4-4,6229,511
2020-4-5,6603,374
2020-4-6,6789,186
2020-4-7,6985,196
2020-4-8,7398,413
2020-4-9,7860,462
2020-4-10,8297,437
2020-4-11,8581,284
2020-4-12,8913,332
2020-4-13,9098,185
2020-4-14,9234,136
2020-4-15,9583,349
2020-4-16,9936,353
2020-4-17,10244,308
2020-4-18,10569,325
2020-4-19,10898,329
2020-4-20,11051,153
2020-4-21,11241,190
2020-4-22,11583,342
2020-4-23,11875,292
2020-4-24,12127,252
2020-4-25,12497,370
2020-4-26,12862,365
2020-4-27,13033,171
2020-4-28,13191,158
2020-4-29,13528,337
2020-4-30,13914,386
2020-5-1,14203,289
2020-5-2,14635,432
2020-5-3,15007,372
2020-5-4,15088,81
2020-5-5,15272,184
2020-5-6,19704,4432
2020-5-7,20247,543
2020-5-8,20945,698
2020-5-9,21329,384
2020-5-10,21704,375
2020-5-11,22572,868
2020-5-12,23035,463
2020-5-13,23852,817
2020-5-14,24549,697
2020-5-15,25418,869
2020-5-16,26091,673
2020-5-17,26885,794
2020-5-18,28167,1282
2020-5-19,28950,783
2020-5-20,29726,776
2020-5-21,30524,798
2020-5-22,31857,1333
2020-5-23,32652,795
2020-5-24,33381,729
2020-5-25,33682,301
2020-5-26,33834,152
2020-5-27,35643,1809
2020-5-28,36793,1150
2020-5-29,38529,1736
2020-5-30,39284,755
2020-5-31,39798,514
2020-6-1,40657,859
2020-6-2,42212,1555
2020-6-3,43448,1236
2020-6-4,44642,1194
2020-6-5,45888,1246
2020-6-6,46754,866
2020-6-7,47378,624
2020-6-8,51592,4214
2020-6-9,53184,1592
2020-6-10,54616,1432
2020-6-11,55777,1161
2020-6-12,57022,1245
2020-6-13,58004,982
2020-6-14,58907,903
2020-6-15,60937,2030
2020-6-16,63577,2640
2020-6-17,65515,1938
2020-6-18,66870,1355
2020-6-19,68422,1552
2020-6-20,69530,1108
2020-6-21,70357,827
2020-6-22,71305,948
2020-6-23,73923,2618
2020-6-24,75066,1143
2020-6-25,78332,3266
2020-6-26,80161,1829
2020-6-27,81247,1086
2020-6-28,82474,1227
2020-6-29,88743,6269
2020-6-30,90861,2118
2020-7-1,93330,2469
2020-7-2,95149,1819
2020-7-3,97503,2354
2020-7-4,98950,1447
2020-7-5,100106,1156
2020-7-6,102926,2820
2020-7-7,105327,2401
2020-7-8,106421,1094
2020-7-9,108765,2344
2020-7-10,112178,3413
2020-7-11,113359,1181
2020-7-12,114661,1302
2020-7-13,118695,4034
2020-7-14,121396,2701
2020-7-15,123758,2362
2020-7-16,127840,4082
2020-7-17,130404,2564
2020-7-18,131879,1475
2020-7-19,133159,1280
2020-7-20,139042,5883
2020-7-21,141002,1960
2020-7-22,143518,2516
2020-7-23,146218,2700
2020-7-24,149200,2982
2020-7-25,151015,1815
2020-7-26,152315,1300
2020-7-27,158655,6340
2020-7-28,161408,2753
2020-7-29,165355,3947
2020-7-30,168616,3261
2020-7-31,169970,1354
2020-8-1,171553,1583
2020-8-2,174295,2742
2020-8-3,179508,5213
2020-8-4,181236,1728
2020-8-5,183124,1888
2020-8-6,185815,2691
2020-8-7,187756,1941
2020-8-8,188846,1090
2020-8-9,189946,1100
2020-8-10,193405,3459
2020-8-11,194412,1007
2020-8-12,196036,1624
2020-8-13,197820,1784
2020-8-14,199861,2041
2020-8-15,200936,1075
2020-8-16,201924,988
2020-8-17,204725,2801
2020-8-18,205512,787
2020-8-19,206533,1021
2020-8-20,207560,1027
2020-8-21,208627,1067
2020-8-22,209716,1089
2020-8-23,210749,1033
2020-8-24,233673,22924
2020-8-25,236507,2834
2020-8-26,238260,1753
2020-8-27,240659,2399
2020-8-28,242875,2216
2020-8-29,245381,2506
2020-8-30,246661,1280
2020-8-31,250238,3577
2020-9-1,252296,2058
2020-9-2,253873,1577
2020-9-3,255660,1787
2020-9-4,259988,4328
2020-9-5,261050,1062
2020-9-6,262026,976
2020-9-7,267125,5099
2020-9-8,268780,1655
2020-9-9,271150,2370
2020-9-10,273353,2203
2020-9-11,274658,1305
2020-9-12,278728,4070
2020-9-13,280124,1396
2020-9-14,285870,5746
2020-9-15,289368,3498
2020-9-16,292401,3033
2020-9-17,295299,2898
2020-9-18,298555,3256
2020-9-19,300840,2285
2020-9-20,302813,1973
2020-9-21,311262,8449
2020-9-22,314009,2747
2020-9-23,317160,3151
2020-9-24,321518,4358
2020-9-25,326116,4598
2020-9-26,329285,3169
2020-9-27,330307,1022
2020-9-28,337196,6889
2020-9-29,339926,2730
2020-9-30,343158,3232
2020-10-1,348709,5551
2020-10-2,353362,4653
2020-10-3,354783,1421
2020-10-4,357413,2630
2020-10-5,369975,12562
2020-10-6,372720,2745
2020-10-7,376176,3456
2020-10-8,381665,5489
2020-10-9,386746,5081
2020-10-10,388649,1903
2020-10-11,390258,1609
2020-10-12,400458,10200
2020-10-13,409651,9193
2020-10-14,414579,4928
2020-10-15,419832,5253
2020-10-16,425462,5630
2020-10-17,428128,2666
2020-10-18,431134,3006
2020-10-19,442366,11232
2020-10-20,445021,2655
2020-10-21,447994,2973
2020-10-22,452846,4852
2020-10-23,461000,8154
2020-10-24,464032,3032
2020-10-25,465607,1575
2020-10-26,476325,10718
2020-10-27,481322,4997
2020-10-28,484470,3148
2020-10-29,487607,3137
2020-10-30,492629,5022
2020-10-31,498915,6286
2020-11-1,501704,2789
2020-11-2,508931,7227
2020-11-3,512524,3593
2020-11-4,517288,4764
2020-11-5,520024,2736
2020-11-6,523596,3572
2020-11-7,525176,1580
2020-11-8,526591,1415
2020-11-9,540913,14322
2020-11-10,544566,3653
2020-11-11,547728,3162
2020-11-12,557951,10223
2020-11-13,566544,8593
2020-11-14,569694,3150
2020-11-15,572561,2867
2020-11-16,573334,773
2020-11-17,583828,10494
2020-11-18,591406,7578
2020-11-19,595829,4423
2020-11-20,601675,5846
2020-11-21,608502,6827
2020-11-22,613009,4507
2020-11-23,617974,4965
2020-11-24,622796,4822
2020-11-25,627851,5055
2020-11-26,631927,4076
2020-11-27,642514,10587
2020-11-28,645393,2879
2020-11-29,650223,4830
2020-11-30,656021,5798
2020-12-1,660895,4874
2020-12-2,663581,2686
2020-12-3,669081,5500
2020-12-4,675262,6181
2020-12-5,682583,7321
2020-12-6,688214,5631
2020-12-7,692763,4549
2020-12-8,696878,4115
2020-12-9,699468,2590
2020-12-10,702525,3057
2020-12-11,711734,9209
2020-12-12,718502,6768
2020-12-13,722308,3806
2020-12-14,727059,4751
2020-12-15,732739,5680
2020-12-16,736059,3320
2020-12-17,742540,6481
2020-12-18,747802,5262
2020-12-19,752243,4441
2020-12-20,755291,3048
2020-12-21,758979,3688
2020-12-22,762854,3875
2020-12-23,766196,3342
2020-12-24,771693,5497
2020-12-25,771693,0
2020-12-26,778541,6848
2020-12-27,780119,1578
2020-12-28,782018,1899
2020-12-29,783495,1477
2020-12-30,786808,3313
2020-12-31,791589,4781
2021-1-1,791589,0
2021-1-2,792779,1190
2021-1-3,795796,3017
2021-1-4,810880,15084
2021-1-5,813082,2202
2021-1-6,817142,4060
2021-1-7,823279,6137
2021-1-8,831887,8608
2021-1-9,837136,5249
2021-1-10,842250,5114
2021-1-11,845439,3189
2021-1-12,851594,6155
2021-1-13,855069,3475
2021-1-14,862427,7358
2021-1-15,869564,7137
2021-1-16,874943,5379
2021-1-17,879728,4785
2021-1-18,881412,1684
2021-1-19,883672,2260
2021-1-20,887884,4212
