Date,NCDATA.TotalTestResults,NCDATA.TotalTestResultsInc
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,936,936
2020-3-18,1231,295
2020-3-19,1436,205
2020-3-20,3132,1696
2020-3-21,4075,943
2020-3-22,6267,2192
2020-3-23,7656,1389
2020-3-24,9819,2163
2020-3-25,10348,529
2020-3-26,12794,2446
2020-3-27,15587,2793
2020-3-28,18254,2667
2020-3-29,21164,2910
2020-3-30,22802,1638
2020-3-31,24884,2082
2020-4-1,27671,2787
2020-4-2,31106,3435
2020-4-3,33989,2883
2020-4-4,37393,3404
2020-4-5,45022,7629
2020-4-6,46365,1343
2020-4-7,47217,852
2020-4-8,48130,913
2020-4-9,50561,2431
2020-4-10,55823,5262
2020-4-11,66034,10211
2020-4-12,68909,2875
2020-4-13,76908,7999
2020-4-14,78206,1298
2020-4-15,80174,1968
2020-4-16,83389,3215
2020-4-17,86965,3576
2020-4-18,89437,2472
2020-4-19,93037,3600
2020-4-20,95629,2592
2020-4-21,96402,773
2020-4-22,100922,4520
2020-4-23,108718,7796
2020-4-24,115124,6406
2020-4-25,119912,4788
2020-4-26,125210,5298
2020-4-27,128195,2985
2020-4-28,130329,2134
2020-4-29,134080,3751
2020-4-30,139398,5318
2020-5-1,145996,6598
2020-5-2,151486,5490
2020-5-3,157447,5961
2020-5-4,162649,5202
2020-5-5,165350,2701
2020-5-6,171322,5972
2020-5-7,180652,9330
2020-5-8,187523,6871
2020-5-9,195440,7917
2020-5-10,202897,7457
2020-5-11,208215,5318
2020-5-12,210956,2741
2020-5-13,217642,6686
2020-5-14,225561,7919
2020-5-15,234878,9317
2020-5-16,248801,13923
2020-5-17,259509,10708
2020-5-18,269017,9508
2020-5-19,277414,8397
2020-5-20,286061,8647
