Date,NDDATA.TotalTestResults,NDDATA.TotalTestResultsInc
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,7,7
2020-3-11,9,2
2020-3-12,17,8
2020-3-13,29,12
2020-3-14,50,21
2020-3-15,74,24
2020-3-16,96,22
2020-3-17,130,34
2020-3-18,246,116
2020-3-19,471,225
2020-3-20,764,293
2020-3-21,1096,332
2020-3-22,1246,150
2020-3-23,1344,98
2020-3-24,1456,112
2020-3-25,1743,287
2020-3-26,2087,344
2020-3-27,2549,462
2020-3-28,3052,503
2020-3-29,3574,522
2020-3-30,3868,294
2020-3-31,4075,207
2020-4-1,4640,565
2020-4-2,5289,649
2020-4-3,5824,535
2020-4-4,6320,496
2020-4-5,6760,440
2020-4-6,7117,357
2020-4-7,7554,437
2020-4-8,8431,877
2020-4-9,8974,543
2020-4-10,9401,427
2020-4-11,10011,610
2020-4-12,10407,396
2020-4-13,10864,457
2020-4-14,11070,206
2020-4-15,11410,340
2020-4-16,11810,400
2020-4-17,12629,819
2020-4-18,13325,696
2020-4-19,14257,932
2020-4-20,15150,893
2020-4-21,15419,269
2020-4-22,16096,677
2020-4-23,16916,820
2020-4-24,18251,1335
2020-4-25,20293,2042
2020-4-26,21481,1188
2020-4-27,23475,1994
2020-4-28,24929,1454
2020-4-29,26973,2044
2020-4-30,29003,2030
2020-5-1,31092,2089
2020-5-2,33206,2114
2020-5-3,35095,1889
2020-5-4,36556,1461
2020-5-5,38434,1878
2020-5-6,40988,2554
2020-5-7,43506,2518
2020-5-8,45424,1918
2020-5-9,47315,1891
2020-5-10,48661,1346
2020-5-11,51107,2446
2020-5-12,52390,1283
2020-5-13,54093,1703
2020-5-14,56410,2317
2020-5-15,58496,2086
2020-5-16,61180,2684
2020-5-17,63653,2473
2020-5-18,65675,2022
2020-5-19,67514,1839
2020-5-20,69496,1982
2020-5-21,72120,2624
2020-5-22,74611,2491
2020-5-23,76868,2257
2020-5-24,79149,2281
2020-5-25,81074,1925
2020-5-26,81994,920
2020-5-27,82994,1000
2020-5-28,84884,1890
2020-5-29,87671,2787
2020-5-30,90627,2956
2020-5-31,92659,2032
2020-6-1,94967,2308
2020-6-2,96505,1538
2020-6-3,99073,2568
2020-6-4,102544,3471
2020-6-5,105094,2550
2020-6-6,109014,3920
2020-6-7,111261,2247
2020-6-8,112648,1387
2020-6-9,114250,1602
2020-6-10,117015,2765
2020-6-11,120318,3303
2020-6-12,123650,3332
2020-6-13,126897,3247
2020-6-14,128955,2058
2020-6-15,130950,1995
2020-6-16,132720,1770
2020-6-17,137063,4343
2020-6-18,141150,4087
2020-6-19,144928,3778
2020-6-20,148824,3896
2020-6-21,152685,3861
2020-6-22,154869,2184
2020-6-23,155189,320
2020-6-24,159052,3863
2020-6-25,161946,2894
2020-6-26,166289,4343
2020-6-27,170374,4085
2020-6-28,173483,3109
2020-6-29,176775,3292
2020-6-30,178468,1693
2020-7-1,180927,2459
2020-7-2,184430,3503
2020-7-3,189006,4576
2020-7-4,193349,4343
2020-7-5,197091,3742
2020-7-6,198310,1219
2020-7-7,200236,1926
2020-7-8,203745,3509
2020-7-9,209551,5806
2020-7-10,214889,5338
2020-7-11,218947,4058
2020-7-12,223258,4311
2020-7-13,227543,4285
2020-7-14,229925,2382
2020-7-15,232878,2953
2020-7-16,236849,3971
2020-7-17,240870,4021
2020-7-18,245492,4622
2020-7-19,250904,5412
2020-7-20,256413,5509
2020-7-21,259986,3573
2020-7-22,264021,4035
2020-7-23,268233,4212
2020-7-24,272538,4305
2020-7-25,276549,4011
2020-7-26,281073,4524
2020-7-27,285314,4241
2020-7-28,289315,4001
2020-7-29,292614,3299
2020-7-30,296478,3864
2020-7-31,301509,5031
2020-8-1,307324,5815
2020-8-2,311152,3828
2020-8-3,315710,4558
2020-8-4,320395,4685
2020-8-5,325826,5431
2020-8-6,331004,5178
2020-8-7,336501,5497
2020-8-8,342078,5577
2020-8-9,347516,5438
2020-8-10,351979,4463
2020-8-11,357433,5454
2020-8-12,361551,4118
2020-8-13,368309,6758
2020-8-14,373550,5241
2020-8-15,379816,6266
2020-8-16,385231,5415
2020-8-17,387834,2603
2020-8-18,389618,1784
2020-8-19,394303,4685
2020-8-20,401757,7454
2020-8-21,408284,6527
2020-8-22,414907,6623
2020-8-23,419309,4402
2020-8-24,421705,2396
2020-8-25,424792,3087
2020-8-26,429052,4260
2020-8-27,435666,6614
2020-8-28,443180,7514
2020-8-29,450858,7678
2020-8-30,454409,3551
2020-8-31,456190,1781
2020-9-1,458586,2396
2020-9-2,464111,5525
2020-9-3,470423,6312
2020-9-4,476793,6370
2020-9-5,483824,7031
2020-9-6,488286,4462
2020-9-7,490368,2082
2020-9-8,491742,1374
2020-9-9,494769,3027
2020-9-10,500924,6155
2020-9-11,506398,5474
2020-9-12,515420,9022
2020-9-13,523570,8150
2020-9-14,527535,3965
2020-9-15,529202,1667
2020-9-16,534223,5021
2020-9-17,540625,6402
2020-9-18,550324,9699
2020-9-19,556862,6538
2020-9-20,562599,5737
2020-9-21,565843,3244
2020-9-22,568540,2697
2020-9-23,575479,6939
2020-9-24,582104,6625
2020-9-25,587564,5460
2020-9-26,594628,7064
2020-9-27,600067,5439
2020-9-28,603922,3855
2020-9-29,608385,4463
2020-9-30,613487,5102
2020-10-1,619331,5844
2020-10-2,626450,7119
2020-10-3,632299,5849
2020-10-4,638320,6021
2020-10-5,642669,4349
2020-10-6,648406,5737
2020-10-7,654648,6242
2020-10-8,661206,6558
2020-10-9,670039,8833
2020-10-10,678197,8158
2020-10-11,685711,7514
2020-10-12,691049,5338
2020-10-13,696068,5019
2020-10-14,703534,7466
2020-10-15,710266,6732
2020-10-16,719017,8751
2020-10-17,726187,7170
2020-10-18,733088,6901
2020-10-19,741160,8072
2020-10-20,746364,5204
2020-10-21,752495,6131
2020-10-22,760318,7823
2020-10-23,768409,8091
2020-10-24,775786,7377
2020-10-25,784157,8371
2020-10-26,790536,6379
2020-10-27,796514,5978
2020-10-28,804167,7653
2020-10-29,812012,7845
2020-10-30,823327,11315
2020-10-31,832109,8782
2020-11-1,841049,8940
2020-11-2,848765,7716
2020-11-3,856372,7607
2020-11-4,864328,7956
2020-11-5,873345,9017
2020-11-6,884732,11387
2020-11-7,894384,9652
2020-11-8,900448,6064
2020-11-9,907372,6924
2020-11-10,907372,0
2020-11-11,917951,10579
2020-11-12,930981,13030
2020-11-13,942125,11144
2020-11-14,955475,13350
2020-11-15,962925,7450
2020-11-16,970684,7759
2020-11-17,976806,6122
2020-11-18,986340,9534
2020-11-19,995870,9530
2020-11-20,1005269,9399
2020-11-21,1017029,11760
2020-11-22,1026922,9893
2020-11-23,1033394,6472
2020-11-24,1040798,7404
2020-11-25,1049728,8930
2020-11-26,1058014,8286
2020-11-27,1065157,7143
2020-11-28,1072080,6923
2020-11-29,1081000,8920
2020-11-30,1088089,7089
2020-12-1,1091144,3055
2020-12-2,1096339,5195
2020-12-3,1106508,10169
2020-12-4,1116803,10295
2020-12-5,1125121,8318
2020-12-6,1132025,6904
2020-12-7,1136485,4460
2020-12-8,1136485,0
2020-12-9,1140695,4210
2020-12-10,1149006,8311
2020-12-11,1157011,8005
2020-12-12,1163049,6038
2020-12-13,1168660,5611
2020-12-14,1171849,3189
2020-12-15,1175174,3325
2020-12-16,1179668,4494
2020-12-17,1186154,6486
2020-12-18,1193656,7502
2020-12-19,1198805,5149
2020-12-20,1202864,4059
2020-12-21,1204292,1428
2020-12-22,1208471,4179
2020-12-23,1211720,3249
2020-12-24,1218701,6981
2020-12-25,1218701,0
2020-12-26,1228197,9496
2020-12-27,1229770,1573
2020-12-28,1231724,1954
2020-12-29,1233204,1480
2020-12-30,1233181,0
2020-12-31,1244308,11127
2021-1-1,1249797,5489
2021-1-2,1253895,4098
2021-1-3,1254421,526
2021-1-4,1256505,2084
2021-1-5,1258364,1859
2021-1-6,1262673,4309
2021-1-7,1268083,5410
2021-1-8,1273911,5828
2021-1-9,1275907,1996
2021-1-10,1278553,2646
2021-1-11,1280626,2073
2021-1-12,1282799,2173
