Date,NEDATA.TotalTestResults,NEDATA.TotalTestResultsInc
2020-2-15,1,0
2020-2-16,3,2
2020-2-17,3,0
2020-2-18,3,0
2020-2-19,9,6
2020-2-20,9,0
2020-2-21,10,1
2020-2-22,10,0
2020-2-23,10,0
2020-2-24,10,0
2020-2-25,10,0
2020-2-26,10,0
2020-2-27,10,0
2020-2-28,10,0
2020-2-29,25,15
2020-3-1,36,11
2020-3-2,36,0
2020-3-3,48,12
2020-3-4,48,0
2020-3-5,66,18
2020-3-6,72,6
2020-3-7,79,7
2020-3-8,92,13
2020-3-9,101,9
2020-3-10,116,15
2020-3-11,150,34
2020-3-12,171,21
2020-3-13,204,33
2020-3-14,217,13
2020-3-15,246,29
2020-3-16,300,54
2020-3-17,376,76
2020-3-18,473,97
2020-3-19,567,94
2020-3-20,684,117
2020-3-21,769,85
2020-3-22,933,164
2020-3-23,1035,102
2020-3-24,1213,178
2020-3-25,1409,196
2020-3-26,1532,123
2020-3-27,1731,199
2020-3-28,1920,189
2020-3-29,2258,338
2020-3-30,2611,353
2020-3-31,3002,391
2020-4-1,3419,417
2020-4-2,4137,718
2020-4-3,4899,762
2020-4-4,5290,391
2020-4-5,5949,659
2020-4-6,6372,423
2020-4-7,7455,1083
2020-4-8,8016,561
2020-4-9,8683,667
2020-4-10,9495,812
2020-4-11,10170,675
2020-4-12,10979,809
2020-4-13,11713,734
2020-4-14,12168,455
2020-4-15,12956,788
2020-4-16,13687,731
2020-4-17,14477,790
2020-4-18,15002,525
2020-4-19,16066,1064
2020-4-20,17191,1125
2020-4-21,17999,808
2020-4-22,18446,447
2020-4-23,18959,513
2020-4-24,20516,1557
2020-4-25,22148,1632
2020-4-26,23621,1473
2020-4-27,24902,1281
2020-4-28,26151,1249
2020-4-29,26169,18
2020-4-30,28127,1958
2020-5-1,30799,2672
2020-5-2,32923,2124
2020-5-3,34695,1772
2020-5-4,36346,1651
2020-5-5,38499,2153
2020-5-6,40236,1737
2020-5-7,42223,1987
2020-5-8,45277,3054
2020-5-9,49756,4479
2020-5-10,51912,2156
2020-5-11,52594,682
2020-5-12,54441,1847
2020-5-13,57988,3547
2020-5-14,60769,2781
2020-5-15,65690,4921
2020-5-16,69863,4173
2020-5-17,75273,5410
2020-5-18,76698,1425
2020-5-19,80744,4046
2020-5-20,84055,3311
2020-5-21,88023,3968
2020-5-22,90943,2920
2020-5-23,95557,4614
2020-5-24,97216,1659
2020-5-25,101086,3870
2020-5-26,103800,2714
2020-5-27,105776,1976
2020-5-28,109141,3365
2020-5-29,111224,2083
2020-5-30,116649,5425
2020-5-31,120146,3497
2020-6-1,122396,2250
2020-6-2,126594,4198
2020-6-3,129608,3014
2020-6-4,133514,3906
2020-6-5,136640,3126
2020-6-6,139332,2692
2020-6-7,142120,2788
2020-6-8,144308,2188
2020-6-9,146827,2519
2020-6-10,150265,3438
2020-6-11,153687,3422
2020-6-12,157824,4137
2020-6-13,161666,3842
2020-6-14,164146,2480
2020-6-15,166881,2735
2020-6-16,170229,3348
2020-6-17,173553,3324
2020-6-18,177205,3652
2020-6-19,180796,3591
2020-6-20,184230,3434
2020-6-21,187172,2942
2020-6-22,189997,2825
2020-6-23,193505,3508
2020-6-24,196390,2885
2020-6-25,199287,2897
2020-6-26,201697,2410
2020-6-27,207925,6228
2020-6-28,214296,6371
2020-6-29,217232,2936
2020-6-30,221183,3951
2020-7-1,224300,3117
2020-7-2,226650,2350
2020-7-3,229237,2587
2020-7-4,234689,5452
2020-7-5,238228,3539
2020-7-6,239498,1270
2020-7-7,241218,1720
2020-7-8,244586,3368
2020-7-9,248882,4296
2020-7-10,252902,4020
2020-7-11,256833,3931
2020-7-12,262284,5451
2020-7-13,267700,5416
2020-7-14,272138,4438
2020-7-15,277296,5158
2020-7-16,282012,4716
2020-7-17,285813,3801
2020-7-18,290645,4832
2020-7-19,293481,2836
2020-7-20,296371,2890
2020-7-21,300777,4406
2020-7-22,307468,6691
2020-7-23,311679,4211
2020-7-24,316152,4473
2020-7-25,321996,5844
2020-7-26,325579,3583
2020-7-27,329420,3841
2020-7-28,332449,3029
2020-7-29,338010,5561
2020-7-30,341533,3523
2020-7-31,347418,5885
2020-8-1,351821,4403
2020-8-2,356565,4744
2020-8-3,361468,4903
2020-8-4,364592,3124
2020-8-5,367751,3159
2020-8-6,373143,5392
2020-8-7,378945,5802
2020-8-8,382701,3756
2020-8-9,385560,2859
2020-8-10,389822,4262
2020-8-11,394321,4499
2020-8-12,398463,4142
2020-8-13,401540,3077
2020-8-14,406588,5048
2020-8-15,411000,4412
2020-8-16,415610,4610
2020-8-17,420046,4436
2020-8-18,422230,2184
2020-8-19,426389,4159
2020-8-20,430546,4157
2020-8-21,434967,4421
2020-8-22,438898,3931
2020-8-23,441586,2688
2020-8-24,443525,1939
2020-8-25,449299,5774
2020-8-26,451233,1934
2020-8-27,456951,5718
2020-8-28,462924,5973
2020-8-29,467256,4332
2020-8-30,471498,4242
2020-8-31,476273,4775
2020-9-1,479055,2782
2020-9-2,482661,3606
2020-9-3,487819,5158
2020-9-4,493076,5257
2020-9-5,495998,2922
2020-9-6,497838,1840
2020-9-7,499136,1298
2020-9-8,500169,1033
2020-9-9,511721,11552
2020-9-10,517249,5528
2020-9-11,523014,5765
2020-9-12,528751,5737
2020-9-13,533660,4909
2020-9-14,538300,4640
2020-9-15,542279,3979
2020-9-16,546069,3790
2020-9-17,551790,5721
2020-9-18,557757,5967
2020-9-19,563340,5583
2020-9-20,568357,5017
2020-9-21,572024,3667
2020-9-22,576444,4420
2020-9-23,580140,3696
2020-9-24,585096,4956
2020-9-25,590209,5113
2020-9-26,595287,5078
2020-9-27,601536,6249
2020-9-28,606842,5306
2020-9-29,611080,4238
2020-9-30,618352,7272
2020-10-1,624954,6602
2020-10-2,634687,9733
2020-10-3,644632,9945
2020-10-4,649868,5236
2020-10-5,655531,5663
2020-10-6,663598,8067
2020-10-7,675015,11417
2020-10-8,687689,12674
2020-10-9,696252,8563
2020-10-10,715692,19440
2020-10-11,723250,7558
2020-10-12,728422,5172
2020-10-13,734692,6270
2020-10-14,744183,9491
2020-10-15,756460,12277
2020-10-16,770507,14047
2020-10-17,784435,13928
2020-10-18,791630,7195
2020-10-19,799579,7949
2020-10-20,810498,10919
2020-10-21,822904,12406
2020-10-22,836802,13898
2020-10-23,847269,10467
2020-10-24,862880,15611
2020-10-25,869163,6283
2020-10-26,873565,4402
2020-10-27,882620,9055
2020-10-28,894385,11765
2020-10-29,905290,10905
2020-10-30,920664,15374
2020-10-31,938123,17459
2020-11-1,945178,7055
2020-11-2,950497,5319
2020-11-3,960464,9967
2020-11-4,975532,15068
2020-11-5,987498,11966
2020-11-6,1000225,12727
2020-11-7,1021846,21621
2020-11-8,1032275,10429
2020-11-9,1039698,7423
2020-11-10,1049078,9380
2020-11-11,1071705,22627
2020-11-12,1085792,14087
2020-11-13,1102377,16585
2020-11-14,1117259,14882
2020-11-15,1130232,12973
2020-11-16,1137246,7014
2020-11-17,1166243,28997
2020-11-18,1181195,14952
2020-11-19,1203114,21919
2020-11-20,1221265,18151
2020-11-21,1243253,21988
2020-11-22,1255767,12514
2020-11-23,1262563,6796
2020-11-24,1277910,15347
2020-11-25,1292683,14773
2020-11-26,1313816,21133
2020-11-27,1332601,18785
2020-11-28,1339345,6744
2020-11-29,1348226,8881
2020-11-30,1354171,5945
2020-12-1,1370335,16164
2020-12-2,1386201,15866
2020-12-3,1406323,20122
2020-12-4,1421703,15380
2020-12-5,1435777,14074
2020-12-6,1456368,20591
2020-12-7,1464841,8473
2020-12-8,1474341,9500
2020-12-9,1491439,17098
2020-12-10,1505293,13854
2020-12-11,1524345,19052
2020-12-12,1539401,15056
2020-12-13,1548615,9214
2020-12-14,1556527,7912
2020-12-15,1562744,6217
2020-12-16,1582241,19497
2020-12-17,1595977,13736
2020-12-18,1609385,13408
2020-12-19,1624350,14965
2020-12-20,1632447,8097
2020-12-21,1640048,7601
2020-12-22,1648559,8511
2020-12-23,1662324,13765
2020-12-24,1681771,19447
2020-12-25,1690283,8512
2020-12-26,1699527,9244
2020-12-27,1701178,1651
2020-12-28,1705602,4424
2020-12-29,1717483,11881
2020-12-30,1726330,8847
2020-12-31,1743719,17389
2021-1-1,1755820,12101
2021-1-2,1766104,10284
2021-1-3,1769798,3694
2021-1-4,1775908,6110
2021-1-5,1781797,5889
2021-1-6,1795682,13885
2021-1-7,1813522,17840
2021-1-8,1825632,12110
2021-1-9,1837671,12039
2021-1-10,1848089,10418
2021-1-11,1852051,3962
2021-1-12,1861366,9315
2021-1-13,1874707,13341
2021-1-14,1887154,12447
2021-1-15,1894614,7460
2021-1-16,1908692,14078
2021-1-17,1908692,0
2021-1-18,1941744,33052
2021-1-19,1944011,2267
2021-1-20,1944011,0
2021-1-21,1966167,22156
2021-1-22,1988904,22737
2021-1-23,1998438,9534
2021-1-24,2021416,22978
2021-1-25,2026028,4612
2021-1-26,2040787,14759
2021-1-27,2052707,11920
2021-1-28,2064234,11527
2021-1-29,2075362,11128
2021-1-30,2090962,15600
2021-1-31,2100123,9161
2021-2-1,2102977,2854
2021-2-2,2110148,7171
2021-2-3,2132924,22776
2021-2-4,2146271,13347
2021-2-5,2158971,12700
2021-2-6,2171505,12534
2021-2-7,2181508,10003
2021-2-8,2183665,2157
2021-2-9,2190059,6394
2021-2-10,2205128,15069
2021-2-11,2214571,9443
2021-2-12,2231446,16875
2021-2-13,2247248,15802
2021-2-14,2252919,5671
2021-2-15,2254558,1639
2021-2-16,2257793,3235
2021-2-17,2279925,22132
2021-2-18,2290311,10386
2021-2-19,2301258,10947
