Date,NHDATA.TotalTestResults,NHDATA.TotalTestResultsInc
2020-3-4,6,0
2020-3-5,9,3
2020-3-6,37,28
2020-3-7,46,9
2020-3-8,76,30
2020-3-9,93,17
2020-3-10,118,25
2020-3-11,162,44
2020-3-12,204,42
2020-3-13,249,45
2020-3-14,319,70
2020-3-15,405,86
2020-3-16,686,281
2020-3-17,833,147
2020-3-18,1049,216
2020-3-19,1312,263
2020-3-20,1623,311
2020-3-21,1981,358
2020-3-22,2493,512
2020-3-23,2717,224
2020-3-24,3175,458
2020-3-25,3561,386
2020-3-26,4338,777
2020-3-27,5000,662
2020-3-28,5477,477
2020-3-29,5477,0
2020-3-30,5990,513
2020-3-31,6240,250
2020-4-1,6689,449
2020-4-2,7746,1057
2020-4-3,8282,536
2020-4-4,8761,479
2020-4-5,9097,336
2020-4-6,9457,360
2020-4-7,9457,0
2020-4-8,9888,431
2020-4-9,10789,901
2020-4-10,11338,549
2020-4-11,11713,375
2020-4-12,12098,385
2020-4-13,12323,225
2020-4-14,12323,0
2020-4-15,12654,331
2020-4-16,13125,471
2020-4-17,13535,410
2020-4-18,14701,1166
2020-4-19,15354,653
2020-4-20,15354,0
2020-4-21,15948,594
2020-4-22,17667,1719
2020-4-23,18259,592
2020-4-24,19568,1309
2020-4-25,20398,830
2020-4-26,21029,631
2020-4-27,21676,647
2020-4-28,22258,582
2020-4-29,23863,1605
2020-4-30,25142,1279
2020-5-1,26262,1120
2020-5-2,27484,1222
2020-5-3,27484,0
2020-5-4,27910,426
2020-5-5,30120,2210
2020-5-6,31540,1420
2020-5-7,32660,1120
2020-5-8,34174,1514
2020-5-9,35846,1672
2020-5-10,35846,0
2020-5-11,37116,1270
2020-5-12,39618,2502
2020-5-13,42287,2669
2020-5-14,42287,0
2020-5-15,44206,1919
2020-5-16,48386,4180
2020-5-17,50987,2601
2020-5-18,52260,1273
2020-5-19,55687,3427
2020-5-20,58218,2531
2020-5-21,60573,2355
2020-5-22,60573,0
2020-5-23,62612,2039
2020-5-24,65977,3365
2020-5-25,68081,2104
2020-5-26,70514,2433
2020-5-27,72316,1802
2020-5-28,74980,2664
2020-5-29,77127,2147
2020-5-30,79859,2732
2020-5-31,81238,1379
2020-6-1,82744,1506
2020-6-2,85514,2770
2020-6-3,89448,3934
2020-6-4,92308,2860
2020-6-5,92308,0
2020-6-6,95044,2736
2020-6-7,99518,4474
2020-6-8,101466,1948
2020-6-9,103235,1769
2020-6-10,106470,3235
2020-6-11,109502,3032
2020-6-12,112141,2639
2020-6-13,114722,2581
2020-6-14,114722,0
2020-6-15,116817,2095
2020-6-16,120476,3659
2020-6-17,123112,2636
2020-6-18,125637,2525
2020-6-19,128632,2995
2020-6-20,130833,2201
2020-6-21,132120,1287
2020-6-22,133499,1379
2020-6-23,136661,3162
2020-6-24,139436,2775
2020-6-25,139436,0
2020-6-26,141945,2509
2020-6-27,147282,5337
2020-6-28,147282,0
2020-6-29,149399,2117
2020-6-30,152928,3529
2020-7-1,156642,3714
2020-7-2,158920,2278
2020-7-3,161306,2386
2020-7-4,161306,0
2020-7-5,164672,3366
2020-7-6,166872,2200
2020-7-7,168570,1698
2020-7-8,170463,1893
2020-7-9,172485,2022
2020-7-10,175092,2607
2020-7-11,177819,2727
2020-7-12,181329,3510
2020-7-13,183598,2269
2020-7-14,185226,1628
2020-7-15,188096,2870
2020-7-16,191354,3258
2020-7-17,194852,3498
2020-7-18,197057,2205
2020-7-19,200204,3147
2020-7-20,203205,3001
2020-7-21,205035,1830
2020-7-22,207241,2206
2020-7-23,210911,3670
2020-7-24,215135,4224
2020-7-25,218182,3047
2020-7-26,220316,2134
2020-7-27,222691,2375
2020-7-28,225655,2964
2020-7-29,228352,2697
2020-7-30,231494,3142
2020-7-31,234028,2534
2020-8-1,237035,3007
2020-8-2,240675,3640
2020-8-3,243785,3110
2020-8-4,246591,2806
2020-8-5,249006,2415
2020-8-6,251509,2503
2020-8-7,254522,3013
2020-8-8,257597,3075
2020-8-9,260008,2411
2020-8-10,262950,2942
2020-8-11,265028,2078
2020-8-12,267620,2592
2020-8-13,272051,4431
2020-8-14,275503,3452
2020-8-15,278912,3409
2020-8-16,281010,2098
2020-8-17,283133,2123
2020-8-18,284757,1624
2020-8-19,287074,2317
2020-8-20,290010,2936
2020-8-21,290010,0
2020-8-22,298850,8840
2020-8-23,301316,2466
2020-8-24,304499,3183
2020-8-25,307293,2794
2020-8-26,310869,3576
2020-8-27,315112,4243
2020-8-28,319071,3959
2020-8-29,321864,2793
2020-8-30,325575,3711
2020-8-31,328095,2520
2020-9-1,329116,1021
2020-9-2,329116,0
2020-9-3,337403,8287
2020-9-4,341985,4582
2020-9-5,346063,4078
2020-9-6,350528,4465
2020-9-7,354070,3542
2020-9-8,356180,2110
2020-9-9,356180,0
2020-9-10,361968,5788
2020-9-11,365645,3677
2020-9-12,369691,4046
2020-9-13,372948,3257
2020-9-14,377392,4444
2020-9-15,380393,3001
2020-9-16,383551,3158
2020-9-17,383551,0
2020-9-18,393166,9615
2020-9-19,393166,0
2020-9-20,401689,8523
2020-9-21,407333,5644
2020-9-22,410466,3133
2020-9-23,413391,2925
2020-9-24,417689,4298
2020-9-25,422591,4902
2020-9-26,422591,0
2020-9-27,432396,9805
2020-9-28,432396,0
2020-9-29,438972,6576
2020-9-30,445475,6503
2020-10-1,450814,5339
2020-10-2,455869,5055
2020-10-3,461049,5180
2020-10-4,465878,4829
2020-10-5,465878,0
2020-10-6,469392,3514
2020-10-7,476514,7122
2020-10-8,482118,5604
2020-10-9,487369,5251
2020-10-10,493109,5740
2020-10-11,497910,4801
2020-10-12,503076,5166
2020-10-13,508079,5003
2020-10-14,513452,5373
2020-10-15,518144,4692
2020-10-16,523340,5196
2020-10-17,523341,1
2020-10-18,538613,15272
2020-10-19,543562,4949
2020-10-20,543562,0
2020-10-21,552925,9363
2020-10-22,561032,8107
2020-10-23,567595,6563
2020-10-24,574187,6592
2020-10-25,579186,4999
2020-10-26,585210,6024
2020-10-27,590364,5154
2020-10-28,595707,5343
2020-10-29,602730,7023
2020-10-30,609924,7194
2020-10-31,616594,6670
2020-11-1,616594,0
2020-11-2,626532,9938
2020-11-3,631044,4512
2020-11-4,635270,4226
2020-11-5,644591,9321
2020-11-6,651044,6453
2020-11-7,657595,6551
2020-11-8,663080,5485
2020-11-9,665787,2707
2020-11-10,673987,8200
2020-11-11,673987,0
2020-11-12,690359,16372
2020-11-13,690359,0
2020-11-14,690359,0
2020-11-15,690359,0
2020-11-16,717889,27530
2020-11-17,723047,5158
2020-11-18,729146,6099
2020-11-19,738062,8916
2020-11-20,747056,8994
2020-11-21,755503,8447
2020-11-22,764919,9416
2020-11-23,770791,5872
2020-11-24,775598,4807
2020-11-25,785563,9965
2020-11-26,785563,0
2020-11-27,785563,0
2020-11-28,785563,0
2020-11-29,810663,25100
2020-11-30,817159,6496
2020-12-1,825100,7941
2020-12-2,831649,6549
2020-12-3,838700,7051
2020-12-4,845200,6500
2020-12-5,854085,8885
2020-12-6,861473,7388
2020-12-7,867283,5810
2020-12-8,873290,6007
2020-12-9,880944,7654
2020-12-10,888929,7985
2020-12-11,898485,9556
2020-12-12,905779,7294
2020-12-13,912917,7138
2020-12-14,920461,7544
2020-12-15,926610,6149
2020-12-16,932529,5919
2020-12-17,940070,7541
2020-12-18,949737,9667
2020-12-19,957505,7768
2020-12-20,963251,5746
2020-12-21,968602,5351
2020-12-22,973681,5079
2020-12-23,979534,5853
2020-12-24,992283,12749
2020-12-25,992283,0
2020-12-26,1005609,13326
2020-12-27,1009807,4198
2020-12-28,1015480,5673
2020-12-29,1019799,4319
2020-12-30,1025226,5427
2020-12-31,1032929,7703
2021-1-1,1032929,0
2021-1-2,1032929,0
2021-1-3,1051054,18125
2021-1-4,1055767,4713
2021-1-5,1061333,5566
2021-1-6,1068111,6778
2021-1-7,1075687,7576
2021-1-8,1085829,10142
2021-1-9,1085829,0
2021-1-10,1091708,5879
2021-1-11,1098825,7117
2021-1-12,1104602,5777
2021-1-13,1112047,7445
2021-1-14,1122237,10190
2021-1-15,1130805,8568
2021-1-16,1138549,7744
2021-1-17,1146577,8028
2021-1-18,1152396,5819
2021-1-19,1158106,5710
2021-1-20,1169547,11441
2021-1-21,1179465,9918
2021-1-22,1187904,8439
2021-1-23,1197947,10043
2021-1-24,1205021,7074
2021-1-25,1211251,6230
2021-1-26,1215219,3968
2021-1-27,1224489,9270
2021-1-28,1234754,10265
2021-1-29,1243827,9073
2021-1-30,1254902,11075
2021-1-31,1262157,7255
2021-2-1,1267372,5215
2021-2-2,1267372,0
2021-2-3,1281021,13649
2021-2-4,1287829,6808
2021-2-5,1297471,9642
2021-2-6,1307603,10132
2021-2-7,1314190,6587
2021-2-8,1314658,468
2021-2-9,1322008,7350
2021-2-10,1330432,8424
2021-2-11,1341481,11049
2021-2-12,1341481,0
2021-2-13,1355252,13771
2021-2-14,1363148,7896
2021-2-15,1366416,3268
2021-2-16,1370889,4473
2021-2-17,1377103,6214
2021-2-18,1386911,9808
2021-2-19,1393693,6782
2021-2-20,1403242,9549
2021-2-21,1410731,7489
2021-2-22,1413885,3154
2021-2-23,1413885,0
2021-2-24,1419496,5611
2021-2-25,1436668,17172
2021-2-26,1436668,0
2021-2-27,1451685,15017
2021-2-28,1458750,7065
2021-3-1,1461579,2829
2021-3-2,1465475,3896
2021-3-3,1467389,1914
2021-3-4,1474441,7052
2021-3-5,1481488,7047
2021-3-6,1481488,0
2021-3-7,1497185,15697
