Date,NJDATA.TotalTestResults,NJDATA.TotalTestResultsInc
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,2,2
2020-3-6,4,2
2020-3-7,4,0
2020-3-8,37,33
2020-3-9,50,13
2020-3-10,60,10
2020-3-11,80,20
2020-3-12,106,26
2020-3-13,154,48
2020-3-14,175,21
2020-3-15,218,43
2020-3-16,298,80
2020-3-17,430,132
2020-3-18,619,189
2020-3-19,952,333
2020-3-20,1154,202
2020-3-21,1621,467
2020-3-22,2241,620
2020-3-23,3203,962
2020-3-24,12000,8797
2020-3-25,14854,2854
2020-3-26,20537,5683
2020-3-27,25372,4835
2020-3-28,30510,5138
2020-3-29,35602,5092
2020-3-30,41860,6258
2020-3-31,45773,3913
2020-4-1,52642,6869
2020-4-2,59110,6468
2020-4-3,67503,8393
2020-4-4,75356,7853
2020-4-5,82166,6810
2020-4-6,89032,6866
2020-4-7,94974,5942
2020-4-8,100416,5442
2020-4-9,107192,6776
2020-4-10,113523,6331
2020-4-11,120193,6670
2020-4-12,126735,6542
2020-4-13,129469,2734
2020-4-14,139774,10305
2020-4-15,144021,4247
2020-4-16,151830,7809
2020-4-17,157449,5619
2020-4-18,162536,5087
2020-4-19,170688,8152
2020-4-20,178057,7369
2020-4-21,184826,6769
2020-4-22,191659,6833
2020-4-23,200148,8489
2020-4-24,205962,5814
2020-4-25,213686,7724
2020-4-26,223144,9458
2020-4-27,227775,4631
2020-4-28,234359,6584
2020-4-29,241318,6959
2020-4-30,247918,6600
2020-5-1,256545,8627
2020-5-2,262326,5781
2020-5-3,275084,12758
2020-5-4,277239,2155
2020-5-5,287650,10411
2020-5-6,288958,1308
2020-5-7,292700,3742
2020-5-8,298809,6109
2020-5-9,305271,6462
2020-5-10,312522,7251
2020-5-11,426010,113488
2020-5-12,433152,7142
2020-5-13,441558,8406
2020-5-14,451817,10259
2020-5-15,463111,11294
2020-5-16,475376,12265
2020-5-17,487723,12347
2020-5-18,505734,18011
2020-5-19,520361,14627
2020-5-20,531541,11180
2020-5-21,544499,12958
2020-5-22,555557,11058
2020-5-23,579003,23446
2020-5-24,604080,25077
2020-5-25,624075,19995
2020-5-26,636174,12099
2020-5-27,660623,24449
2020-5-28,686172,25549
2020-5-29,716747,30575
2020-5-30,745658,28911
2020-5-31,746504,846
2020-6-1,795960,49456
2020-6-2,818050,22090
2020-6-3,837824,19774
2020-6-4,858151,20327
2020-6-5,919329,61178
2020-6-6,943473,24144
2020-6-7,960891,17418
2020-6-8,975563,14672
2020-6-9,989986,14423
2020-6-10,1009440,19454
2020-6-11,1031315,21875
2020-6-12,1055943,24628
2020-6-13,1078781,22838
2020-6-14,1098196,19415
2020-6-15,1116671,18475
2020-6-16,1132392,15721
2020-6-17,1148481,16089
2020-6-18,1172398,23917
2020-6-19,1195028,22630
2020-6-20,1219587,24559
2020-6-21,1245698,26111
2020-6-22,1268143,22445
2020-6-23,1284227,16084
2020-6-24,1300459,16232
2020-6-25,1321744,21285
2020-6-26,1347537,25793
2020-6-27,1368139,20602
2020-6-28,1388744,20605
2020-6-29,1404911,16167
2020-6-30,1423344,18433
2020-7-1,1443945,20601
2020-7-2,1464961,21016
2020-7-3,1486598,21637
2020-7-4,1509677,23079
2020-7-5,1535782,26105
2020-7-6,1550375,14593
2020-7-7,1561338,10963
2020-7-8,1579107,17769
2020-7-9,1600718,21611
2020-7-10,1624510,23792
2020-7-11,1662672,38162
2020-7-12,1687031,24359
2020-7-13,1701846,14815
2020-7-14,1722754,20908
2020-7-15,1743920,21166
2020-7-16,1761525,17605
2020-7-17,1770598,9073
2020-7-18,1783165,12567
2020-7-19,1792876,9711
2020-7-20,1804634,11758
2020-7-21,1819775,15141
2020-7-22,1842803,23028
2020-7-23,1861564,18761
2020-7-24,1889614,28050
2020-7-25,1890168,554
2020-7-26,1955334,65166
