Date,NMDATA.TotalTestResults,NMDATA.TotalTestResultsInc
2020-3-5,0,0
2020-3-6,10,10
2020-3-7,10,0
2020-3-8,46,36
2020-3-9,57,11
2020-3-10,57,0
2020-3-11,87,30
2020-3-12,129,42
2020-3-13,173,44
2020-3-14,247,74
2020-3-15,495,248
2020-3-16,583,88
2020-3-17,1270,687
2020-3-18,1720,450
2020-3-19,2354,634
2020-3-20,2797,443
2020-3-21,3814,1017
2020-3-22,4779,965
2020-3-23,5386,607
2020-3-24,5973,587
2020-3-25,6842,869
2020-3-26,7793,951
2020-3-27,8513,720
2020-3-28,9387,874
2020-3-29,10977,1590
2020-3-30,11006,29
2020-3-31,12527,1521
2020-4-1,13240,713
2020-4-2,14011,771
2020-4-3,14778,767
2020-4-4,15632,854
2020-4-5,16828,1196
2020-4-6,19136,2308
2020-4-7,21825,2689
2020-4-8,21933,108
2020-4-9,23807,1874
2020-4-10,23931,124
2020-4-11,27098,3167
2020-4-12,28692,1594
2020-4-13,30515,1823
2020-4-14,31970,1455
2020-4-15,33394,1424
2020-4-16,34488,1094
2020-4-17,35613,1125
2020-4-18,36632,1019
2020-4-19,37042,410
2020-4-20,38755,1713
2020-4-21,40877,2122
2020-4-22,41232,355
2020-4-23,46563,5331
2020-4-24,51510,4947
2020-4-25,53735,2225
2020-4-26,56615,2880
2020-4-27,58803,2188
2020-4-28,61745,2942
2020-4-29,65085,3340
2020-4-30,67869,2784
2020-5-1,71118,3249
2020-5-2,74944,3826
2020-5-3,77977,3033
2020-5-4,81720,3743
2020-5-5,83251,1531
2020-5-6,85684,2433
2020-5-7,89032,3348
2020-5-8,93262,4230
2020-5-9,97053,3791
2020-5-10,102498,5445
2020-5-11,106721,4223
2020-5-12,110289,3568
2020-5-13,115011,4722
2020-5-14,119601,4590
2020-5-15,124458,4857
2020-5-16,128574,4116
2020-5-17,133253,4679
2020-5-18,137620,4367
2020-5-19,142246,4626
2020-5-20,147344,5098
2020-5-21,152767,5423
2020-5-22,158383,5616
2020-5-23,169119,10736
2020-5-24,173481,4362
2020-5-25,177361,3880
2020-5-26,180646,3285
2020-5-27,179543,0
2020-5-28,183544,4001
2020-5-29,188261,4717
2020-5-30,194447,6186
2020-5-31,199604,5157
2020-6-1,203115,3511
2020-6-2,206837,3722
2020-6-3,212996,6159
2020-6-4,217757,4761
2020-6-5,224640,6883
2020-6-6,229147,4507
2020-6-7,234375,5228
2020-6-8,238801,4426
2020-6-9,241657,2856
2020-6-10,245557,3900
2020-6-11,250880,5323
2020-6-12,255284,4404
2020-6-13,258994,3710
2020-6-14,263665,4671
2020-6-15,267921,4256
2020-6-16,271553,3632
2020-6-17,275897,4344
2020-6-18,275897,0
2020-6-19,284602,8705
2020-6-20,288637,4035
2020-6-21,293431,4794
2020-6-22,298076,4645
2020-6-23,302083,4007
2020-6-24,308105,6022
2020-6-25,314670,6565
2020-6-26,320638,5968
2020-6-27,322959,2321
2020-6-28,331048,8089
2020-6-29,337720,6672
2020-6-30,344181,6461
2020-7-1,350060,5879
2020-7-2,356637,6577
2020-7-3,363374,6737
2020-7-4,372288,8914
2020-7-5,375054,2766
2020-7-6,380240,5186
2020-7-7,385242,5002
2020-7-8,389687,4445
2020-7-9,395881,6194
2020-7-10,403581,7700
2020-7-11,410754,7173
2020-7-12,418357,7603
2020-7-13,424355,5998
2020-7-14,430006,5651
2020-7-15,437005,6999
2020-7-16,443368,6363
2020-7-17,452298,8930
2020-7-18,460664,8366
2020-7-19,469215,8551
2020-7-20,476497,7282
2020-7-21,481531,5034
2020-7-22,489334,7803
2020-7-23,496985,7651
2020-7-24,505177,8192
2020-7-25,512425,7248
2020-7-26,520718,8293
2020-7-27,528890,8172
2020-7-28,536853,7963
2020-7-29,544611,7758
2020-7-30,551637,7026
2020-7-31,558012,6375
2020-8-1,565886,7874
2020-8-2,574253,8367
2020-8-3,577810,3557
2020-8-4,590825,13015
2020-8-5,597408,6583
2020-8-6,604382,6974
2020-8-7,612854,8472
2020-8-8,620128,7274
2020-8-9,627627,7499
2020-8-10,632997,5370
2020-8-11,640337,7340
2020-8-12,644823,4486
2020-8-13,650491,5668
2020-8-14,659042,8551
2020-8-15,665291,6249
2020-8-16,670573,5282
2020-8-17,677150,6577
2020-8-18,683053,5903
2020-8-19,688495,5442
2020-8-20,694824,6329
2020-8-21,704955,10131
2020-8-22,712321,7366
2020-8-23,719300,6979
2020-8-24,723801,4501
2020-8-25,728627,4826
2020-8-26,734220,5593
2020-8-27,740366,6146
2020-8-28,747277,6911
2020-8-29,752522,5245
2020-8-30,756933,4411
2020-8-31,760874,3941
2020-9-1,765399,4525
2020-9-2,770959,5560
2020-9-3,776796,5837
2020-9-4,782044,5248
2020-9-5,787811,5767
2020-9-6,791836,4025
2020-9-7,795247,3411
2020-9-8,799673,4426
2020-9-9,803101,3428
2020-9-10,806999,3898
2020-9-11,812050,5051
2020-9-12,817270,5220
2020-9-13,823145,5875
2020-9-14,826619,3474
2020-9-15,831995,5376
2020-9-16,837400,5405
2020-9-17,845167,7767
2020-9-18,850963,5796
2020-9-19,857456,6493
2020-9-20,862899,5443
2020-9-21,866683,3784
2020-9-22,872331,5648
2020-9-23,878406,6075
2020-9-24,885373,6967
2020-9-25,893489,8116
2020-9-26,899937,6448
2020-9-27,905329,5392
2020-9-28,909505,4176
2020-9-29,914986,5481
2020-9-30,921009,6023
2020-10-1,928389,7380
2020-10-2,935401,7012
2020-10-3,941512,6111
2020-10-4,947945,6433
2020-10-5,954596,6651
2020-10-6,960934,6338
2020-10-7,965319,4385
2020-10-8,973945,8626
2020-10-9,980053,6108
2020-10-10,989652,9599
2020-10-11,997373,7721
2020-10-12,1002906,5533
2020-10-13,1011320,8414
2020-10-14,1019029,7709
2020-10-15,1027392,8363
2020-10-16,1035851,8459
2020-10-17,1046727,10876
2020-10-18,1054891,8164
2020-10-19,1061268,6377
2020-10-20,1070481,9213
2020-10-21,1078087,7606
2020-10-22,1089150,11063
2020-10-23,1099484,10334
2020-10-24,1109095,9611
2020-10-25,1118844,9749
2020-10-26,1124922,6078
2020-10-27,1129419,4497
2020-10-28,1141186,11767
2020-10-29,1153185,11999
2020-10-30,1161887,8702
2020-10-31,1172720,10833
2020-11-1,1182514,9794
2020-11-2,1191327,8813
2020-11-3,1202347,11020
2020-11-4,1218805,16458
2020-11-5,1230205,11400
2020-11-6,1238575,8370
2020-11-7,1250724,12149
