Date,NVDATA.TotalTestResults,NVDATA.TotalTestResultsInc
2020-3-5,32,0
2020-3-6,48,16
2020-3-7,73,25
2020-3-8,103,30
2020-3-9,126,23
2020-3-10,201,75
2020-3-11,308,107
2020-3-12,454,146
2020-3-13,801,347
2020-3-14,1245,444
2020-3-15,1669,424
2020-3-16,2077,408
2020-3-17,2990,913
2020-3-18,4046,1056
2020-3-19,5019,973
2020-3-20,5865,846
2020-3-21,6753,888
2020-3-22,7241,488
2020-3-23,7550,309
2020-3-24,8272,722
2020-3-25,9117,845
2020-3-26,10175,1058
2020-3-27,11365,1190
2020-3-28,12561,1196
2020-3-29,13121,560
2020-3-30,13576,455
2020-3-31,14826,1250
2020-4-1,16075,1249
2020-4-2,17623,1548
2020-4-3,18899,1276
2020-4-4,20357,1458
2020-4-5,21206,849
2020-4-6,21742,536
2020-4-7,23070,1328
2020-4-8,24151,1081
2020-4-9,25396,1245
2020-4-10,26537,1141
2020-4-11,27776,1239
2020-4-12,28591,815
2020-4-13,28978,387
2020-4-14,30241,1263
2020-4-15,31276,1035
2020-4-16,32746,1470
2020-4-17,33881,1135
2020-4-18,35197,1316
2020-4-19,36007,810
2020-4-20,36465,458
2020-4-21,37826,1361
2020-4-22,40315,2489
2020-4-23,41357,1042
2020-4-24,42274,917
2020-4-25,43390,1116
2020-4-26,44108,718
2020-4-27,44607,499
2020-4-28,46089,1482
2020-4-29,47354,1265
2020-4-30,48928,1574
2020-5-1,50472,1544
2020-5-2,52351,1879
2020-5-3,53438,1087
2020-5-4,54359,921
2020-5-5,56400,2041
2020-5-6,59093,2693
2020-5-7,61661,2568
2020-5-8,65441,3780
2020-5-9,69240,3799
2020-5-10,71496,2256
2020-5-11,72724,1228
2020-5-12,79043,6319
2020-5-13,85951,6908
2020-5-14,92181,6230
2020-5-15,98902,6721
2020-5-16,106263,7361
2020-5-17,110164,3901
2020-5-18,112789,2625
2020-5-19,119054,6265
2020-5-20,126109,7055
2020-5-21,134021,7912
2020-5-22,141262,7241
2020-5-23,148277,7015
2020-5-24,151052,2775
2020-5-25,152341,1289
2020-5-26,154140,1799
2020-5-27,160590,6450
2020-5-28,168803,8213
2020-5-29,175450,6647
2020-5-30,183373,7923
2020-5-31,187248,3875
2020-6-1,188247,999
2020-6-2,193701,5454
2020-6-3,200503,6802
2020-6-4,205972,5469
2020-6-5,211148,5176
2020-6-6,216694,5546
2020-6-7,219754,3060
2020-6-8,220746,992
2020-6-9,226238,5492
2020-6-10,233312,7074
2020-6-11,239587,6275
2020-6-12,244346,4759
2020-6-13,249534,5188
2020-6-14,252007,2473
2020-6-15,253390,1383
2020-6-16,257719,4329
2020-6-17,262952,5233
2020-6-18,270046,7094
2020-6-19,276716,6670
2020-6-20,283084,6368
2020-6-21,286700,3616
2020-6-22,288363,1663
2020-6-23,294616,6253
2020-6-24,303151,8535
2020-6-25,311949,8798
2020-6-26,320472,8523
2020-6-27,330278,9806
2020-6-28,336695,6417
2020-6-29,339414,2719
2020-6-30,349209,9795
2020-7-1,361694,12485
2020-7-2,373157,11463
2020-7-3,385234,12077
2020-7-4,390307,5073
2020-7-5,392263,1956
2020-7-6,395211,2948
2020-7-7,408026,12815
2020-7-8,420323,12297
2020-7-9,434217,13894
2020-7-10,446609,12392
2020-7-11,461263,14654
2020-7-12,469636,8373
2020-7-13,472288,2652
2020-7-14,481966,9678
2020-7-15,495678,13712
2020-7-16,509699,14021
2020-7-17,522482,12783
2020-7-18,536657,14175
2020-7-19,543833,7176
2020-7-20,546553,2720
2020-7-21,555374,8821
2020-7-22,567180,11806
2020-7-23,579242,12062
2020-7-24,589823,10581
2020-7-25,600129,10306
2020-7-26,605594,5465
2020-7-27,608138,2544
2020-7-28,617087,8949
2020-7-29,625843,8756
2020-7-30,634438,8595
2020-7-31,642189,7751
2020-8-1,649784,7595
2020-8-2,652849,3065
2020-8-3,654894,2045
2020-8-4,662997,8103
2020-8-5,671522,8525
2020-8-6,680168,8646
2020-8-7,687621,7453
2020-8-8,695752,8131
2020-8-9,699900,4148
2020-8-10,701885,1985
2020-8-11,708805,6920
2020-8-12,717575,8770
2020-8-13,726658,9083
2020-8-14,734982,8324
2020-8-15,742932,7950
2020-8-16,747378,4446
2020-8-17,749971,2593
2020-8-18,758251,8280
2020-8-19,767996,9745
2020-8-20,775720,7724
2020-8-21,782167,6447
2020-8-22,788799,6632
2020-8-23,792578,3779
2020-8-24,794147,1569
2020-8-25,799765,5618
2020-8-26,807391,7626
2020-8-27,813890,6499
2020-8-28,820159,6269
2020-8-29,825850,5691
2020-8-30,829352,3502
2020-8-31,830862,1510
2020-9-1,838627,7765
2020-9-2,847175,8548
2020-9-3,856086,8911
2020-9-4,864696,8610
2020-9-5,871821,7125
2020-9-6,876355,4534
2020-9-7,877813,1458
2020-9-8,880393,2580
2020-9-9,891310,10917
2020-9-10,898862,7552
2020-9-11,905905,7043
2020-9-12,912914,7009
2020-9-13,916029,3115
2020-9-14,917748,1719
2020-9-15,926326,8578
2020-9-16,935072,8746
2020-9-17,943167,8095
2020-9-18,950955,7788
2020-9-19,958201,7246
2020-9-20,961371,3170
2020-9-21,963475,2104
2020-9-22,971181,7706
2020-9-23,981810,10629
2020-9-24,990172,8362
2020-9-25,997075,6903
2020-9-26,1004513,7438
2020-9-27,1007988,3475
2020-9-28,1010266,2278
2020-9-29,1017298,7032
2020-9-30,1026287,8989
2020-10-1,1032653,6366
2020-10-2,1041566,8913
2020-10-3,1048907,7341
2020-10-4,1053674,4767
2020-10-5,1056059,2385
2020-10-6,1063694,7635
2020-10-7,1074720,11026
2020-10-8,1082722,8002
2020-10-9,1092036,9314
2020-10-10,1100315,8279
2020-10-11,1105227,4912
2020-10-12,1107492,2265
2020-10-13,1114916,7424
2020-10-14,1124508,9592
2020-10-15,1133788,9280
2020-10-16,1142263,8475
2020-10-17,1150423,8160
2020-10-18,1154653,4230
2020-10-19,1156001,1348
