Date,NYDATA.TotalTestResults,NYDATA.TotalTestResultsInc
2020-3-2,0,0
2020-3-3,1,1
2020-3-4,10,9
2020-3-5,30,20
2020-3-6,122,92
2020-3-7,188,66
2020-3-8,388,200
2020-3-9,695,307
2020-3-10,1096,401
2020-3-11,1521,425
2020-3-12,2074,553
2020-3-13,2836,762
2020-3-14,4126,1290
2020-3-15,5419,1293
2020-3-16,7355,1936
2020-3-17,10262,2907
2020-3-18,14815,4553
2020-3-19,22513,7698
2020-3-20,32637,10124
2020-3-21,45724,13087
2020-3-22,61753,16029
2020-3-23,78565,16812
2020-3-24,91517,12952
2020-3-25,103659,12142
2020-3-26,122310,18651
2020-3-27,138625,16315
2020-3-28,156069,17444
2020-3-29,172470,16401
2020-3-30,186585,14115
2020-3-31,205233,18648
2020-4-1,220934,15701
2020-4-2,238965,18031
2020-4-3,260520,21555
2020-4-4,283621,23101
2020-4-5,302280,18659
2020-4-6,320811,18531
2020-4-7,340058,19247
2020-4-8,365153,25095
2020-4-9,391549,26396
2020-4-10,417885,26336
2020-4-11,440980,23095
2020-4-12,461601,20621
2020-4-13,478357,16756
2020-4-14,499143,20786
2020-4-15,526012,26869
2020-4-16,550579,24567
2020-4-17,573223,22644
2020-4-18,596532,23309
2020-4-19,617555,21023
2020-4-20,633861,16306
2020-4-21,649325,15464
2020-4-22,669982,20657
2020-4-23,695920,25938
2020-4-24,730656,34736
2020-4-25,777568,46912
2020-4-26,805350,27782
2020-4-27,826095,20745
2020-4-28,844994,18899
2020-4-29,872481,27487
2020-4-30,900636,28155
2020-5-1,927438,26802
2020-5-2,959017,31579
2020-5-3,985911,26894
2020-5-4,1007310,21399
2020-5-5,1028899,21589
2020-5-6,1055921,27022
2020-5-7,1089916,33995
2020-5-8,1121543,31627
2020-5-9,1153768,32225
2020-5-10,1182998,29230
2020-5-11,1204650,21652
2020-5-12,1225113,20463
2020-5-13,1258907,33794
2020-5-14,1298757,39850
2020-5-15,1338048,39291
2020-5-16,1378717,40669
2020-5-17,1413396,34679
2020-5-18,1439557,26161
2020-5-19,1467739,28182
2020-5-20,1505836,38097
2020-5-21,1555055,49219
2020-5-22,1600793,45738
2020-5-23,1652061,51268
2020-5-24,1699826,47765
2020-5-25,1739449,39623
2020-5-26,1774128,34679
2020-5-27,1811544,37416
2020-5-28,1876789,65245
2020-5-29,1944130,67341
2020-5-30,2005381,61251
2020-5-31,2063825,58444
2020-6-1,2113777,49952
2020-6-2,2167831,54054
2020-6-3,2229473,61642
2020-6-4,2293032,63559
2020-6-5,2359512,66480
2020-6-6,2437407,77895
2020-6-7,2497842,60435
2020-6-8,2555896,58054
2020-6-9,2605869,49973
2020-6-10,2668166,62297
2020-6-11,2729005,60839
2020-6-12,2801400,72395
2020-6-13,2872240,70840
2020-6-14,2934599,62359
2020-6-15,2991210,56611
2020-6-16,3051778,60568
2020-6-17,3111119,59341
2020-6-18,3179660,68541
2020-6-19,3258963,79303
2020-6-20,3327793,68830
2020-6-21,3395319,67526
2020-6-22,3452099,56780
2020-6-23,3500808,48709
2020-6-24,3551952,51144
2020-6-25,3619594,67642
2020-6-26,3681317,61723
2020-6-27,3754579,73262
2020-6-28,3816485,61906
2020-6-29,3862913,46428
2020-6-30,3914938,52025
2020-7-1,3971648,56710
2020-7-2,4041593,69945
2020-7-3,4107985,66392
2020-7-4,4170388,62403
2020-7-5,4233803,63415
2020-7-6,4288131,54328
2020-7-7,4344867,56736
2020-7-8,4402452,57585
2020-7-9,4468016,65564
2020-7-10,4541574,73558
2020-7-11,4610777,69203
2020-7-12,4673195,62418
2020-7-13,4724882,51687
2020-7-14,4784927,60045
2020-7-15,4848525,63598
2020-7-16,4921210,72685
2020-7-17,4999449,78239
2020-7-18,5069266,69817
2020-7-19,5115470,46204
2020-7-20,5164812,49342
2020-7-21,5230981,66169
2020-7-22,5298640,67659
2020-7-23,5368338,69698
2020-7-24,5444845,76507
2020-7-25,5516311,71466
2020-7-26,5569879,53568
2020-7-27,5627149,57270
2020-7-28,5684546,57397
2020-7-29,5746822,62276
2020-7-30,5820368,73546
2020-7-31,5889237,68869
2020-8-1,5971974,82737
2020-8-2,6030935,58961
2020-8-3,6082774,51839
2020-8-4,6153767,70993
2020-8-5,6226435,72668
2020-8-6,6298805,72370
2020-8-7,6368975,70170
2020-8-8,6443832,74857
2020-8-9,6509644,65812
2020-8-10,6563646,54002
2020-8-11,6640705,77059
2020-8-12,6728481,87776
2020-8-13,6816381,87900
2020-8-14,6901836,85455
2020-8-15,6990504,88668
2020-8-16,7068196,77692
2020-8-17,7125087,56891
2020-8-18,7191978,66891
2020-8-19,7272403,80425
2020-8-20,7353387,80984
2020-8-21,7452267,98880
2020-8-22,7547116,94849
2020-8-23,7621159,74043
2020-8-24,7683190,62031
2020-8-25,7750445,67255
2020-8-26,7821634,71189
2020-8-27,7905071,83437
2020-8-28,8002897,97826
2020-8-29,8096770,93873
2020-8-30,8196792,100022
2020-8-31,8263033,66241
2020-9-1,8340030,76997
2020-9-2,8428477,88447
2020-9-3,8517458,88981
2020-9-4,8610853,93395
2020-9-5,8710614,99761
2020-9-6,8796244,85630
2020-9-7,8855109,58865
2020-9-8,8912935,57826
2020-9-9,8976165,63230
2020-9-10,9052978,76813
2020-9-11,9142700,89722
2020-9-12,9245625,102925
2020-9-13,9318293,72668
2020-9-14,9381651,63358
2020-9-15,9455329,73678
2020-9-16,9530416,75087
2020-9-17,9621920,91504
2020-9-18,9711647,89727
2020-9-19,9822091,110444
2020-9-20,9922446,100355
2020-9-21,9980765,58319
2020-9-22,10064762,83997
2020-9-23,10135692,70930
2020-9-24,10228645,92953
2020-9-25,10323463,94818
2020-9-26,10423416,99953
2020-9-27,10508186,84770
2020-9-28,10561122,52936
2020-9-29,10649353,88231
2020-9-30,10747313,97960
2020-10-1,10856531,109218
2020-10-2,10976024,119493
2020-10-3,11110291,134267
2020-10-4,11220620,110329
2020-10-5,11297024,76404
2020-10-6,11393383,96359
2020-10-7,11501629,108246
2020-10-8,11647440,145811
2020-10-9,11786740,139300
2020-10-10,11921319,134579
2020-10-11,12039573,118254
2020-10-12,12131366,91793
2020-10-13,12230436,99070
2020-10-14,12342180,111744
2020-10-15,12475392,133212
2020-10-16,12611431,136039
2020-10-17,12771403,159972
2020-10-18,12900166,128763
2020-10-19,12982175,82009
2020-10-20,13072715,90540
2020-10-21,13197504,124789
2020-10-22,13332845,135341
2020-10-23,13474353,141508
2020-10-24,13631293,156940
2020-10-25,13752123,120830
2020-10-26,13834240,82117
2020-10-27,13945858,111618
2020-10-28,14075518,129660
2020-10-29,14243871,168353
2020-10-30,14390756,146885
2020-10-31,14527718,136962
2020-11-1,14676653,148935
2020-11-2,14772754,96101
2020-11-3,14900623,127869
2020-11-4,15034157,133534
2020-11-5,15195176,161019
2020-11-6,15355881,160705
2020-11-7,15519172,163291
2020-11-8,15664814,145642
2020-11-9,15776230,111416
2020-11-10,15904266,128036
2020-11-11,16068566,164300
2020-11-12,16231193,162627
2020-11-13,16434914,203721
2020-11-14,16619076,184162
2020-11-15,16752278,133202
2020-11-16,16876843,124565
2020-11-17,17036695,159852
2020-11-18,17191129,154434
2020-11-19,17386368,195239
2020-11-20,17591834,205466
2020-11-21,17799741,207907
2020-11-22,17996351,196610
2020-11-23,18187840,191489
2020-11-24,18352601,164761
2020-11-25,18525686,173085
2020-11-26,18743407,217721
2020-11-27,18962849,219442
2020-11-28,19115204,152355
2020-11-29,19272524,157320
2020-11-30,19421498,148974
2020-12-1,19568173,146675
2020-12-2,19761724,193551
2020-12-3,19965164,203440
2020-12-4,20173461,208297
2020-12-5,20388862,215401
2020-12-6,20594694,205832
2020-12-7,20746981,152287
2020-12-8,20909445,162464
2020-12-9,21104040,194595
2020-12-10,21301446,197406
2020-12-11,21514118,212672
2020-12-12,21757045,242927
2020-12-13,21962295,205250
2020-12-14,22122139,159844
2020-12-15,22316327,194188
2020-12-16,22477274,160947
2020-12-17,22680046,202772
2020-12-18,22929431,249385
2020-12-19,23120907,191476
2020-12-20,23318158,197251
2020-12-21,23474668,156510
2020-12-22,23639536,164868
2020-12-23,23843897,204361
2020-12-24,24070193,226296
2020-12-25,24296753,226560
2020-12-26,24498195,201442
2020-12-27,24628494,130299
2020-12-28,24753360,124866
2020-12-29,24913524,160164
2020-12-30,25068473,154949
2020-12-31,25285060,216587
2021-1-1,25504313,219253
2021-1-2,25706759,202446
2021-1-3,25849104,142345
2021-1-4,25983464,134360
2021-1-5,26135866,152402
2021-1-6,26333682,197816
2021-1-7,26572232,238550
2021-1-8,26816135,243903
2021-1-9,27074166,258031
2021-1-10,27321002,246836
2021-1-11,27524906,203904
2021-1-12,27721577,196671
2021-1-13,27918445,196868
2021-1-14,28131034,212589
2021-1-15,28455705,324671
2021-1-16,28732991,277286
2021-1-17,28979498,246507
2021-1-18,29165703,186205
2021-1-19,29342972,177269
2021-1-20,29538381,195409
2021-1-21,29762950,224569
2021-1-22,30030951,268001
2021-1-23,30293057,262106
2021-1-24,30543012,249955
2021-1-25,30762550,219538
2021-1-26,30925488,162938
2021-1-27,31128149,202661
2021-1-28,31378817,250668
2021-1-29,31649335,270518
2021-1-30,31918685,269350
2021-1-31,32161751,243066
2021-2-1,32336789,175038
2021-2-2,32486988,150199
2021-2-3,32613477,126489
2021-2-4,32782663,169186
2021-2-5,32986290,203627
2021-2-6,33247575,261285
2021-2-7,33498467,250892
2021-2-8,33695650,197183
2021-2-9,33849298,153648
2021-2-10,34026048,176750
2021-2-11,34311547,285499
2021-2-12,34548681,237134
2021-2-13,34802244,253563
2021-2-14,35036952,234708
2021-2-15,35217456,180504
2021-2-16,35353848,136392
2021-2-17,35523811,169963
2021-2-18,35739542,215731
2021-2-19,35988790,249248
2021-2-20,36240435,251645
2021-2-21,36461592,221157
2021-2-22,36603611,142019
2021-2-23,36760944,157333
2021-2-24,36977757,216813
2021-2-25,37256699,278942
2021-2-26,37547888,291189
2021-2-27,37833195,285307
2021-2-28,38106915,273720
2021-3-1,38281073,174158
2021-3-2,38409107,128034
2021-3-3,38627176,218069
2021-3-4,38897265,270089
2021-3-5,39194200,296935
2021-3-6,39467332,273132
2021-3-7,39695100,227768
