Date,OHDATA.TotalTestResults,OHDATA.TotalTestResultsInc
2020-3-5,0,0
2020-3-6,3,3
2020-3-7,5,2
2020-3-8,6,1
2020-3-9,8,2
2020-3-10,19,11
2020-3-11,62,43
2020-3-12,143,81
2020-3-13,271,128
2020-3-14,445,174
2020-3-15,855,410
2020-3-16,1298,443
2020-3-17,2362,1064
2020-3-18,4168,1806
2020-3-19,6108,1940
2020-3-20,7780,1672
2020-3-21,9008,1228
2020-3-22,10286,1278
2020-3-23,11545,1259
2020-3-24,13286,1741
2020-3-25,14007,721
2020-3-26,15099,1092
2020-3-27,17088,1989
2020-3-28,20115,3027
2020-3-29,23301,3186
2020-3-30,25402,2101
2020-3-31,27610,2208
2020-4-1,30153,2543
2020-4-2,32866,2713
2020-4-3,35811,2945
2020-4-4,39964,4153
2020-4-5,43660,3696
2020-4-6,46654,2994
2020-4-7,49870,3216
2020-4-8,52405,2535
2020-4-9,55620,3215
2020-4-10,58740,3120
2020-4-11,61851,3111
2020-4-12,64900,3049
2020-4-13,67573,2673
2020-4-14,69825,2252
2020-4-15,72327,2502
2020-4-16,75940,3613
2020-4-17,79947,4007
2020-4-18,83824,3877
2020-4-19,88242,4418
2020-4-20,92639,4397
2020-4-21,96404,3765
2020-4-22,100098,3694
2020-4-23,104064,3966
2020-4-24,108988,4924
2020-4-25,114491,5503
2020-4-26,119680,5189
2020-4-27,123877,4197
2020-4-28,127396,3519
2020-4-29,132493,5097
2020-4-30,137884,5391
2020-5-1,143887,6003
2020-5-2,151237,7350
2020-5-3,157757,6520
2020-5-4,164698,6941
2020-5-5,170395,5697
2020-5-6,177215,6820
2020-5-7,185922,8707
2020-5-8,194778,8856
2020-5-9,204636,9858
2020-5-10,213838,9202
2020-5-11,222582,8744
2020-5-12,229357,6775
2020-5-13,237140,7783
2020-5-14,247186,10046
2020-5-15,259269,12083
2020-5-16,269835,10566
2020-5-17,280890,11055
2020-5-18,290812,9922
2020-5-19,298335,7523
2020-5-20,307640,9305
2020-5-21,319212,11572
2020-5-22,330677,11465
2020-5-23,340660,9983
2020-5-24,352193,11533
2020-5-25,361174,8981
2020-5-26,369671,8497
2020-5-27,377291,7620
2020-5-28,386073,8782
2020-5-29,398165,12092
2020-5-30,409949,11784
2020-5-31,422208,12259
2020-6-1,433337,11129
2020-6-2,442167,8830
2020-6-3,452558,10391
2020-6-4,465346,12788
2020-6-5,477751,12405
2020-6-6,490990,13239
2020-6-7,502086,11096
2020-6-8,513175,11089
2020-6-9,521613,8438
2020-6-10,531591,9978
2020-6-11,544775,13184
2020-6-12,557808,13033
2020-6-13,569678,11870
2020-6-14,582246,12568
2020-6-15,593189,10943
2020-6-16,602515,9326
2020-6-17,613239,10724
2020-6-18,629892,16653
2020-6-19,645598,15706
2020-6-20,660147,14549
2020-6-21,674903,14756
2020-6-22,689703,14800
2020-6-23,701194,11491
2020-6-24,712727,11533
2020-6-25,731072,18345
2020-6-26,752458,21386
2020-6-27,773210,20752
2020-6-28,794228,21018
2020-6-29,811992,17764
2020-6-30,825320,13328
2020-7-1,843895,18575
2020-7-2,865924,22029
2020-7-3,887918,21994
2020-7-4,910110,22192
2020-7-5,932565,22455
2020-7-6,945929,13364
2020-7-7,961506,15577
2020-7-8,980865,19359
2020-7-9,1002543,21678
2020-7-10,1026815,24272
2020-7-11,1051622,24807
2020-7-12,1077197,25575
2020-7-13,1098908,21711
2020-7-14,1116238,17330
2020-7-15,1136711,20473
2020-7-16,1165420,28709
2020-7-17,1194612,29192
2020-7-18,1218753,24141
2020-7-19,1245113,26360
2020-7-20,1267448,22335
2020-7-21,1285976,18528
2020-7-22,1308662,22686
2020-7-23,1332906,24244
2020-7-24,1356995,24089
2020-7-25,1384979,27984
2020-7-26,1410969,25990
2020-7-27,1431453,20484
