Date,OKDATA.TotalTestResults,OKDATA.TotalTestResultsInc
2020-3-7,1,0
2020-3-8,9,8
2020-3-9,9,0
2020-3-10,17,8
2020-3-11,17,0
2020-3-12,39,22
2020-3-13,39,0
2020-3-14,40,1
2020-3-15,127,87
2020-3-16,184,57
2020-3-17,264,80
2020-3-18,407,143
2020-3-19,510,103
2020-3-20,587,77
2020-3-21,613,26
2020-3-22,736,123
2020-3-23,775,39
2020-3-24,841,66
2020-3-25,969,128
2020-3-26,1206,237
2020-3-27,1406,200
2020-3-28,1557,151
2020-3-29,1634,77
2020-3-30,1688,54
2020-3-31,1794,106
2020-4-1,1967,173
2020-4-2,2144,177
2020-4-3,2303,159
2020-4-4,2521,218
2020-4-5,2653,132
2020-4-6,2749,96
2020-4-7,13293,10544
2020-4-8,13345,52
2020-4-9,20279,6934
2020-4-10,22164,1885
2020-4-11,22658,494
2020-4-12,22760,102
2020-4-13,22859,99
2020-4-14,28269,5410
2020-4-15,29219,950
2020-4-16,30899,1680
2020-4-17,33620,2721
2020-4-18,35536,1916
2020-4-19,35565,29
2020-4-20,35646,81
2020-4-21,44344,8698
2020-4-22,45913,1569
2020-4-23,46036,123
2020-4-24,46140,104
2020-4-25,53084,6944
2020-4-26,53144,60
2020-4-27,53171,27
2020-4-28,59699,6528
2020-4-29,61267,1568
2020-4-30,63422,2155
2020-5-1,63552,130
2020-5-2,63655,103
2020-5-3,63776,121
2020-5-4,63848,72
2020-5-5,79417,15569
2020-5-6,82890,3473
2020-5-7,86887,3997
2020-5-8,89857,2970
2020-5-9,95869,6012
2020-5-10,95968,99
2020-5-11,95992,24
2020-5-12,96111,119
2020-5-13,109127,13016
2020-5-14,112183,3056
2020-5-15,118192,6009
2020-5-16,123399,5207
2020-5-17,123472,73
2020-5-18,123560,88
2020-5-19,139147,15587
2020-5-20,144371,5224
2020-5-21,149595,5224
2020-5-22,153167,3572
2020-5-23,160903,7736
2020-5-24,160980,77
2020-5-25,161033,53
2020-5-26,159941,0
2020-5-27,178638,18697
2020-5-28,182406,3768
2020-5-29,187398,4992
2020-5-30,193118,5720
2020-5-31,193206,88
2020-6-1,193273,67
2020-6-2,204657,11384
2020-6-3,208052,3395
2020-6-4,211722,3670
2020-6-5,216471,4749
2020-6-6,221601,5130
2020-6-7,221748,147
2020-6-8,221803,55
2020-6-9,234041,12238
2020-6-10,237297,3256
2020-6-11,241445,4148
2020-6-12,246214,4769
2020-6-13,246439,225
2020-6-14,250818,4379
2020-6-15,251004,186
2020-6-16,261805,10801
2020-6-17,265432,3627
2020-6-18,269553,4121
2020-6-19,274578,5025
2020-6-20,281962,7384
2020-6-21,282440,478
2020-6-22,282658,218
2020-6-23,295057,12399
2020-6-24,298278,3221
2020-6-25,304965,6687
2020-6-26,310777,5812
2020-6-27,325663,14886
2020-6-28,325965,302
2020-6-29,326193,228
2020-6-30,341597,15404
2020-7-1,346313,4716
2020-7-2,353050,6737
2020-7-3,363854,10804
2020-7-4,364434,580
2020-7-5,364717,283
2020-7-6,365151,434
2020-7-7,389018,23867
2020-7-8,394823,5805
2020-7-9,401754,6931
2020-7-10,411074,9320
2020-7-11,419816,8742
2020-7-12,420272,456
2020-7-13,420782,510
2020-7-14,441294,20512
2020-7-15,447325,6031
2020-7-16,456817,9492
2020-7-17,465044,8227
2020-7-18,475731,10687
2020-7-19,475940,209
2020-7-20,476108,168
2020-7-21,498383,22275
2020-7-22,505598,7215
2020-7-23,513175,7577
2020-7-24,523042,9867
2020-7-25,565709,42667
2020-7-26,566913,1204
2020-7-27,568314,1401
2020-7-28,589126,20812
2020-7-29,606513,17387
2020-7-30,615016,8503
2020-7-31,625578,10562
2020-8-1,637192,11614
2020-8-2,637686,494
2020-8-3,638063,377
2020-8-4,657276,19213
2020-8-5,664730,7454
2020-8-6,674653,9923
2020-8-7,685815,11162
2020-8-8,693565,7750
2020-8-9,694051,486
2020-8-10,694448,397
2020-8-11,714235,19787
