Date,ORDATA.TotalTestResults,ORDATA.TotalTestResultsInc
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,1336,1336
2020-3-31,2542,1206
2020-4-1,3606,1064
2020-4-2,5528,1922
2020-4-3,7310,1782
2020-4-4,9569,2259
2020-4-5,12322,2753
2020-4-6,14206,1884
2020-4-7,15730,1524
2020-4-8,18021,2291
2020-4-9,20189,2168
2020-4-10,22105,1916
2020-4-11,24290,2185
2020-4-12,26548,2258
2020-4-13,28316,1768
2020-4-14,30144,1828
2020-4-15,31387,1243
2020-4-16,32861,1474
2020-4-17,35283,2422
2020-4-18,37583,2300
2020-4-19,39641,2058
2020-4-20,42029,2388
2020-4-21,43975,1946
2020-4-22,45328,1353
2020-4-23,47837,2509
2020-4-24,50259,2422
2020-4-25,53845,3586
2020-4-26,56494,2649
2020-4-27,58802,2308
2020-4-28,61789,2987
2020-4-29,64418,2629
2020-4-30,68053,3635
2020-5-1,70846,2793
2020-5-2,74149,3303
2020-5-3,77517,3368
2020-5-4,81009,3492
2020-5-5,83706,2697
2020-5-6,86610,2904
2020-5-7,89702,3092
2020-5-8,93518,3816
2020-5-9,96598,3080
2020-5-10,100588,3990
2020-5-11,103775,3187
2020-5-12,107202,3427
2020-5-13,110253,3051
2020-5-14,114574,4321
2020-5-15,118247,3673
2020-5-16,122177,3930
2020-5-17,127653,5476
2020-5-18,131630,3977
2020-5-19,134343,2713
2020-5-20,138367,4024
2020-5-21,142154,3787
