Date,PADATA.TotalTestResults,PADATA.TotalTestResultsInc
2020-3-3,0,0
2020-3-4,5,5
2020-3-5,7,2
2020-3-6,11,4
2020-3-7,27,16
2020-3-8,39,12
2020-3-9,56,17
2020-3-10,72,16
2020-3-11,105,33
2020-3-12,145,40
2020-3-13,218,73
2020-3-14,393,175
2020-3-15,553,160
2020-3-16,751,198
2020-3-17,991,240
2020-3-18,1347,356
2020-3-19,1814,467
2020-3-20,2885,1071
2020-3-21,4270,1385
2020-3-22,5584,1314
2020-3-23,7443,1859
2020-3-24,9768,2325
2020-3-25,12592,2824
2020-3-26,18627,6035
2020-3-27,23752,5125
2020-3-28,28683,4931
2020-3-29,34183,5500
2020-3-30,38677,4494
2020-3-31,43493,4816
2020-4-1,49527,6034
2020-4-2,56194,6667
2020-4-3,63756,7562
2020-4-4,72037,8281
2020-4-5,79939,7902
2020-4-6,86375,6436
2020-4-7,93981,7606
2020-4-8,101744,7763
2020-4-9,109148,7404
2020-4-10,116940,7792
2020-4-11,124697,7757
2020-4-12,129733,5036
2020-4-13,134868,5135
2020-4-14,139078,4210
2020-4-15,143470,4392
2020-4-16,147831,4361
2020-4-17,154082,6251
2020-4-18,161231,7149
2020-4-19,166548,5317
2020-4-20,170878,4330
2020-4-21,174946,4068
2020-4-22,180769,5823
2020-4-23,189024,8255
2020-4-24,196947,7923
2020-4-25,204238,7291
2020-4-26,210844,6606
2020-4-27,216298,5454
2020-4-28,222866,6568
2020-4-29,229202,6336
2020-4-30,236918,7716
2020-5-1,243945,7027
2020-5-2,252932,8987
2020-5-3,258986,6054
2020-5-4,264726,5740
2020-5-5,271071,6345
2020-5-6,277573,6502
2020-5-7,285820,8247
2020-5-8,294860,9040
2020-5-9,302677,7817
2020-5-10,312051,9374
2020-5-11,317433,5382
2020-5-12,326127,8694
2020-5-13,334131,8004
2020-5-14,344206,10075
2020-5-15,354816,10610
2020-5-16,364493,9677
2020-5-17,370473,5980
2020-5-18,379448,8975
