Date,RIDATA.TotalTestResults,RIDATA.TotalTestResultsInc
2020-3-1,0,0
2020-3-2,4,4
2020-3-3,5,1
2020-3-4,7,2
2020-3-5,19,12
2020-3-6,23,4
2020-3-7,36,13
2020-3-8,55,19
2020-3-9,73,18
2020-3-10,89,16
2020-3-11,116,27
2020-3-12,150,34
2020-3-13,201,51
2020-3-14,257,56
2020-3-15,347,90
2020-3-16,402,55
2020-3-17,499,97
2020-3-18,673,174
2020-3-19,798,125
2020-3-20,1075,277
2020-3-21,1286,211
2020-3-22,1424,138
2020-3-23,1733,309
2020-3-24,1916,183
2020-3-25,2179,263
2020-3-26,2387,208
2020-3-27,2603,216
2020-3-28,2844,241
2020-3-29,3163,319
2020-3-30,3613,450
2020-3-31,3897,284
2020-4-1,4337,440
2020-4-2,5134,797
2020-4-3,5663,529
2020-4-4,6545,882
2020-4-5,7348,803
2020-4-6,8691,1343
2020-4-7,10615,1924
2020-4-8,12528,1913
2020-4-9,14538,2010
2020-4-10,16337,1799
2020-4-11,19330,2993
2020-4-12,21532,2202
2020-4-13,23516,1984
2020-4-14,24612,1096
2020-4-15,26688,2076
2020-4-16,28838,2150
2020-4-17,31779,2941
2020-4-18,33904,2125
2020-4-19,35950,2046
2020-4-20,38378,2428
2020-4-21,40679,2301
2020-4-22,43233,2554
2020-4-23,46041,2808
2020-4-24,48990,2949
2020-4-25,52765,3775
2020-4-26,55364,2599
2020-4-27,57989,2625
2020-4-28,59858,1869
2020-4-29,62531,2673
2020-4-30,66350,3819
2020-5-1,69551,3201
2020-5-2,73091,3540
2020-5-3,75274,2183
2020-5-4,77717,2443
2020-5-5,80202,2485
2020-5-6,83508,3306
2020-5-7,86825,3317
2020-5-8,90219,3394
2020-5-9,93176,2957
2020-5-10,96976,3800
2020-5-11,99373,2397
2020-5-12,101487,2114
2020-5-13,104485,2998
2020-5-14,108466,3981
2020-5-15,112203,3737
2020-5-16,116042,3839
2020-5-17,120632,4590
2020-5-18,123631,2999
2020-5-19,125882,2251
2020-5-20,129465,3583
2020-5-21,132561,3096
2020-5-22,136692,4131
2020-5-23,140202,3510
2020-5-24,143184,2982
2020-5-25,144705,1521
2020-5-26,146224,1519
2020-5-27,149128,2904
2020-5-28,151469,2341
2020-5-29,155185,3716
2020-5-30,159525,4340
2020-5-31,163648,4123
2020-6-1,165474,1826
2020-6-2,168468,2994
2020-6-3,171766,3298
2020-6-4,175501,3735
2020-6-5,180235,4734
2020-6-6,183962,3727
2020-6-7,186766,2804
2020-6-8,188453,1687
2020-6-9,190419,1966
2020-6-10,193309,2890
2020-6-11,196488,3179
2020-6-12,200175,3687
2020-6-13,204980,4805
2020-6-14,208110,3130
2020-6-15,210220,2110
2020-6-16,213504,3284
2020-6-17,216622,3118
2020-6-18,219563,2941
2020-6-19,222743,3180
2020-6-20,226642,3899
2020-6-21,228600,1958
2020-6-22,229672,1072
2020-6-23,233518,3846
2020-6-24,237506,3988
2020-6-25,241120,3614
2020-6-26,244091,2971
2020-6-27,246628,2537
2020-6-28,249912,3284
2020-6-29,251398,1486
2020-6-30,255154,3756
2020-7-1,257151,1997
2020-7-2,261389,4238
2020-7-3,264265,2876
2020-7-4,266322,2057
2020-7-5,268696,2374
2020-7-6,271658,2962
2020-7-7,274545,2887
2020-7-8,278058,3513
2020-7-9,281535,3477
2020-7-10,285282,3747
2020-7-11,289789,4507
2020-7-12,292723,2934
2020-7-13,294527,1804
2020-7-14,297749,3222
2020-7-15,301062,3313
2020-7-16,305294,4232
2020-7-17,309068,3774
2020-7-18,313327,4259
2020-7-19,316540,3213
2020-7-20,319187,2647
2020-7-21,321849,2662
2020-7-22,326177,4328
2020-7-23,330072,3895
2020-7-24,334238,4166
2020-7-25,340063,5825
2020-7-26,344434,4371
2020-7-27,347435,3001
2020-7-28,351472,4037
2020-7-29,355196,3724
2020-7-30,360095,4899
2020-7-31,364126,4031
2020-8-1,369302,5176
2020-8-2,373276,3974
2020-8-3,376009,2733
2020-8-4,380973,4964
2020-8-5,384487,3514
2020-8-6,389969,5482
2020-8-7,394749,4780
2020-8-8,398976,4227
2020-8-9,402375,3399
2020-8-10,403932,1557
2020-8-11,408074,4142
2020-8-12,412049,3975
2020-8-13,416203,4154
2020-8-14,420733,4530
2020-8-15,425315,4582
2020-8-16,428977,3662
2020-8-17,431005,2028
2020-8-18,436191,5186
2020-8-19,440127,3936
2020-8-20,444574,4447
2020-8-21,454977,10403
2020-8-22,464672,9695
2020-8-23,470162,5490
2020-8-24,473670,3508
2020-8-25,479383,5713
2020-8-26,485026,5643
2020-8-27,495575,10549
2020-8-28,504904,9329
2020-8-29,515142,10238
2020-8-30,520478,5336
2020-8-31,524414,3936
