Date,SCDATA.TotalTestResults,SCDATA.TotalTestResultsInc
2020-3-4,5,0
2020-3-5,5,0
2020-3-6,5,0
2020-3-7,10,5
2020-3-8,10,0
2020-3-9,31,21
2020-3-10,31,0
2020-3-11,41,10
2020-3-12,58,17
2020-3-13,87,29
2020-3-14,123,36
2020-3-15,173,50
2020-3-16,263,90
2020-3-17,344,81
2020-3-18,643,299
2020-3-19,643,0
2020-3-20,914,271
2020-3-21,1407,493
2020-3-22,1661,254
2020-3-23,1764,103
2020-3-24,2310,546
2020-3-25,2727,417
2020-3-26,2763,36
2020-3-27,2763,0
2020-3-28,2947,184
2020-3-29,3789,842
2020-3-30,5085,1296
2020-3-31,5699,614
2020-4-1,6326,627
2020-4-2,6995,669
2020-4-3,6995,0
2020-4-4,18314,11319
2020-4-5,18976,662
2020-4-6,18976,0
2020-4-7,23680,4704
2020-4-8,24634,954
2020-4-9,27367,2733
2020-4-10,28183,816
2020-4-11,30093,1910
2020-4-12,31425,1332
2020-4-13,31425,0
2020-4-14,33872,2447
2020-4-15,34733,861
2020-4-16,34733,0
2020-4-17,36284,1551
2020-4-18,38833,2549
2020-4-19,40480,1647
2020-4-20,40480,0
2020-4-21,41277,797
2020-4-22,43111,1834
2020-4-23,44463,1352
2020-4-24,44463,0
2020-4-25,49014,4551
2020-4-26,50761,1747
2020-4-27,50761,0
2020-4-28,52145,1384
2020-4-29,54217,2072
2020-4-30,56512,2295
2020-5-1,59379,2867
2020-5-2,61616,2237
2020-5-3,64188,2572
2020-5-4,64188,0
2020-5-5,67771,3583
2020-5-6,77482,9711
2020-5-7,77482,0
2020-5-8,73442,0
2020-5-9,80963,7521
2020-5-10,84457,3494
2020-5-11,84457,0
2020-5-12,93140,8683
2020-5-13,93140,0
2020-5-14,102535,9395
2020-5-15,109616,7081
2020-5-16,109616,0
2020-5-17,120486,10870
2020-5-18,131559,11073
2020-5-19,135063,3504
2020-5-20,135063,0
2020-5-21,138238,3175
2020-5-22,150023,11785
2020-5-23,158910,8887
2020-5-24,163947,5037
2020-5-25,166020,2073
2020-5-26,172734,6714
2020-5-27,175683,2949
2020-5-28,182249,6566
2020-5-29,188257,6008
2020-5-30,189519,1262
2020-5-31,200216,10697
2020-6-1,204688,4472
2020-6-2,218777,14089
2020-6-3,222925,4148
2020-6-4,230851,7926
2020-6-5,231299,448
2020-6-6,232744,1445
2020-6-7,237859,5115
2020-6-8,244661,6802
2020-6-9,247982,3321
2020-6-10,252532,4550
2020-6-11,230057,0
2020-6-12,236059,6002
2020-6-13,241906,5847
2020-6-14,248336,6430
2020-6-15,255557,7221
2020-6-16,267679,12122
2020-6-17,272754,5075
2020-6-18,280523,7769
2020-6-19,288300,7777
