Date,SDDATA.TotalTestResults,SDDATA.TotalTestResultsInc
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,17,17
2020-3-13,34,17
2020-3-14,50,16
2020-3-15,95,45
2020-3-16,179,84
2020-3-17,263,84
2020-3-18,422,159
2020-3-19,570,148
2020-3-20,608,38
2020-3-21,675,67
2020-3-22,801,126
2020-3-23,914,113
2020-3-24,1227,313
2020-3-25,1462,235
2020-3-26,1751,289
2020-3-27,2148,397
2020-3-28,2594,446
2020-3-29,3008,414
2020-3-30,3433,425
2020-3-31,3723,290
2020-4-1,3968,245
2020-4-2,4325,357
2020-4-3,4667,342
2020-4-4,5081,414
2020-4-5,5579,498
2020-4-6,6014,435
2020-4-7,6370,356
2020-4-8,6814,444
2020-4-9,7312,498
2020-4-10,7688,376
2020-4-11,8228,540
2020-4-12,8678,450
2020-4-13,9256,578
2020-4-14,9651,395
2020-4-15,9989,338
2020-4-16,10608,619
2020-4-17,11258,650
2020-4-18,11847,589
2020-4-19,12467,620
2020-4-20,12829,362
2020-4-21,13201,372
2020-4-22,13700,499
2020-4-23,14355,655
2020-4-24,15030,675
2020-4-25,15777,747
2020-4-26,16349,572
2020-4-27,16874,525
2020-4-28,17122,248
2020-4-29,17421,299
2020-4-30,17925,504
2020-5-1,18446,521
2020-5-2,18996,550
2020-5-3,19516,520
2020-5-4,19929,413
2020-5-5,20222,293
2020-5-6,20573,351
2020-5-7,21143,570
2020-5-8,22076,933
2020-5-9,23384,1308
2020-5-10,25572,2188
2020-5-11,26736,1164
2020-5-12,27588,852
2020-5-13,28130,542
2020-5-14,29009,879
2020-5-15,29908,899
2020-5-16,31058,1150
2020-5-17,31911,853
2020-5-18,32792,881
2020-5-19,33246,454
2020-5-20,34008,762
2020-5-21,34800,792
2020-5-22,36070,1270
2020-5-23,37311,1241
2020-5-24,38484,1173
2020-5-25,40007,1523
2020-5-26,41445,1438
2020-5-27,42118,673
2020-5-28,42887,769
2020-5-29,44275,1388
2020-5-30,46081,1806
2020-5-31,48714,2633
2020-6-1,50298,1584
2020-6-2,51844,1546
2020-6-3,53136,1292
2020-6-4,55105,1969
2020-6-5,59767,4662
2020-6-6,61365,1598
2020-6-7,63241,1876
2020-6-8,64920,1679
2020-6-9,66143,1223
2020-6-10,67189,1046
2020-6-11,69014,1825
2020-6-12,70582,1568
2020-6-13,71987,1405
2020-6-14,73400,1413
2020-6-15,74364,964
2020-6-16,75494,1130
2020-6-17,76545,1051
2020-6-18,78833,2288
2020-6-19,80509,1676
2020-6-20,81583,1074
2020-6-21,82724,1141
2020-6-22,83690,966
2020-6-23,84430,740
2020-6-24,85198,768
2020-6-25,86523,1325
2020-6-26,87762,1239
2020-6-27,89203,1441
2020-6-28,90424,1221
2020-6-29,91619,1195
2020-6-30,92082,463
2020-7-1,93298,1216
2020-7-2,94614,1316
2020-7-3,96266,1652
2020-7-4,97539,1273
2020-7-5,98484,945
2020-7-6,98950,466
2020-7-7,99356,406
2020-7-8,101178,1822
2020-7-9,102634,1456
2020-7-10,104227,1593
2020-7-11,106182,1955
2020-7-12,107645,1463
2020-7-13,109314,1669
2020-7-14,110144,830
2020-7-15,111604,1460
2020-7-16,113126,1522
2020-7-17,115354,2228
2020-7-18,116957,1603
2020-7-19,119036,2079
2020-7-20,119728,692
2020-7-21,120397,669
2020-7-22,122652,2255
2020-7-23,124366,1714
2020-7-24,126296,1930
2020-7-25,128932,2636
2020-7-26,130947,2015
2020-7-27,131953,1006
2020-7-28,132811,858
2020-7-29,134302,1491
2020-7-30,136287,1985
2020-7-31,138012,1725
2020-8-1,140108,2096
2020-8-2,141691,1583
2020-8-3,142745,1054
2020-8-4,143571,826
2020-8-5,145089,1518
2020-8-6,146846,1757
2020-8-7,148425,1579
2020-8-8,150575,2150
2020-8-9,152383,1808
2020-8-10,152943,560
2020-8-11,154063,1120
2020-8-12,155671,1608
2020-8-13,157828,2157
2020-8-14,159619,1791
2020-8-15,161645,2026
2020-8-16,163814,2169
2020-8-17,165094,1280
2020-8-18,166040,946
2020-8-19,167487,1447
2020-8-20,169366,1879
2020-8-21,171866,2500
2020-8-22,173995,2129
2020-8-23,176348,2353
2020-8-24,177662,1314
2020-8-25,178777,1115
2020-8-26,180606,1829
2020-8-27,183225,2619
2020-8-28,185654,2429
2020-8-29,188049,2395
2020-8-30,190372,2323
2020-8-31,192132,1760
2020-9-1,193614,1482
2020-9-2,195612,1998
2020-9-3,197855,2243
2020-9-4,200386,2531
2020-9-5,203150,2764
2020-9-6,205954,2804
2020-9-7,208084,2130
2020-9-8,209109,1025
2020-9-9,210668,1559
2020-9-10,212672,2004
2020-9-11,215167,2495
2020-9-12,218268,3101
2020-9-13,220980,2712
2020-9-14,223148,2168
2020-9-15,225380,2232
2020-9-16,227968,2588
2020-9-17,233856,5888
2020-9-18,236743,2887
2020-9-19,240498,3755
2020-9-20,243210,2712
2020-9-21,244991,1781
2020-9-22,246977,1986
2020-9-23,249650,2673
2020-9-24,252537,2887
2020-9-25,255928,3391
2020-9-26,259834,3906
2020-9-27,263344,3510
2020-9-28,265059,1715
2020-9-29,266845,1786
2020-9-30,269742,2897
2020-10-1,272734,2992
2020-10-2,282666,9932
2020-10-3,285823,3157
2020-10-4,289884,4061
2020-10-5,292618,2734
2020-10-6,294520,1902
2020-10-7,297689,3169
2020-10-8,302503,4814
2020-10-9,307125,4622
2020-10-10,312979,5854
2020-10-11,317060,4081
2020-10-12,320057,2997
2020-10-13,322801,2744
2020-10-14,325341,2540
2020-10-15,328246,2905
2020-10-16,332106,3860
2020-10-17,336748,4642
2020-10-18,341036,4288
2020-10-19,344942,3906
2020-10-20,348174,3232
2020-10-21,351804,3630
2020-10-22,354765,2961
2020-10-23,359112,4347
2020-10-24,363853,4741
2020-10-25,367159,3306
2020-10-26,371623,4464
2020-10-27,374709,3086
2020-10-28,378146,3437
2020-10-29,381727,3581
2020-10-30,386286,4559
2020-10-31,391904,5618
2020-11-1,397091,5187
2020-11-2,399944,2853
2020-11-3,401835,1891
2020-11-4,406072,4237
2020-11-5,409972,3900
2020-11-6,414055,4083
2020-11-7,419873,5818
2020-11-8,424196,4323
2020-11-9,428691,4495
2020-11-10,431816,3125
2020-11-11,436042,4226
2020-11-12,440893,4851
2020-11-13,445314,4421
2020-11-14,451101,5787
2020-11-15,455798,4697
2020-11-16,458817,3019
2020-11-17,462373,3556
2020-11-18,467140,4767
2020-11-19,470965,3825
2020-11-20,476202,5237
2020-11-21,480778,4576
2020-11-22,485023,4245
2020-11-23,489256,4233
2020-11-24,492563,3307
2020-11-25,497704,5141
2020-11-26,502650,4946
2020-11-27,507465,4815
2020-11-28,509676,2211
2020-11-29,514513,4837
2020-11-30,516999,2486
2020-12-1,519710,2711
2020-12-2,522673,2963
2020-12-3,525976,3303
2020-12-4,529909,3933
2020-12-5,533176,3267
2020-12-6,536887,3711
2020-12-7,539534,2647
2020-12-8,541562,2028
2020-12-9,544888,3326
2020-12-10,546558,1670
2020-12-11,550879,4321
2020-12-12,554466,3587
2020-12-13,557962,3496
2020-12-14,559680,1718
2020-12-15,561365,1685
2020-12-16,562278,913
2020-12-17,567197,4919
2020-12-18,569690,2493
2020-12-19,572064,2374
2020-12-20,575121,3057
2020-12-21,577054,1933
2020-12-22,578931,1877
2020-12-23,580783,1852
2020-12-24,583516,2733
2020-12-25,585943,2427
2020-12-26,587697,1754
2020-12-27,588607,910
2020-12-28,589542,935
2020-12-29,590458,916
2020-12-30,592654,2196
2020-12-31,594876,2222
2021-1-1,597286,2410
2021-1-2,599967,2681
2021-1-3,601226,1259
2021-1-4,602460,1234
2021-1-5,603392,932
2021-1-6,605714,2322
2021-1-7,607942,2228
2021-1-8,610790,2848
2021-1-9,613696,2906
2021-1-10,615506,1810
2021-1-11,617105,1599
2021-1-12,617976,871
2021-1-13,620320,2344
2021-1-14,622598,2278
2021-1-15,625111,2513
2021-1-16,627435,2324
2021-1-17,629331,1896
2021-1-18,630680,1349
2021-1-19,631474,794
2021-1-20,632612,1138
