Date,TNDATA.TotalTestResults,TNDATA.TotalTestResultsInc
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,11144,11144
2020-3-25,11796,652
2020-3-26,14909,3113
2020-3-27,16091,1182
2020-3-28,18338,2247
2020-3-29,20574,2236
2020-3-30,23304,2730
2020-3-31,27360,4056
2020-4-1,32452,5092
2020-4-2,34611,2159
2020-4-3,37839,3228
2020-4-4,41391,3552
2020-4-5,45300,3909
2020-4-6,47350,2050
2020-4-7,52874,5524
2020-4-8,56618,3744
2020-4-9,59849,3231
2020-4-10,62799,2950
2020-4-11,66828,4029
2020-4-12,70747,3919
2020-4-13,76195,5448
2020-4-14,78831,2636
2020-4-15,80896,2065
2020-4-16,85049,4153
2020-4-17,87273,2224
2020-4-18,90586,3313
2020-4-19,97098,6512
2020-4-20,100689,3591
2020-4-21,108182,7493
2020-4-22,114980,6798
2020-4-23,123100,8120
2020-4-24,131328,8228
2020-4-25,141406,10078
2020-4-26,147474,6068
2020-4-27,154402,6928
2020-4-28,161928,7526
2020-4-29,168549,6621
2020-4-30,177626,9077
2020-5-1,186132,8506
2020-5-2,196276,10144
2020-5-3,204607,8331
2020-5-4,211443,6836
2020-5-5,218796,7353
2020-5-6,227101,8305
2020-5-7,236328,9227
2020-5-8,243578,7250
2020-5-9,252748,9170
2020-5-10,261869,9121
2020-5-11,273277,11408
2020-5-12,283924,10647
2020-5-13,292917,8993
2020-5-14,302317,9400
2020-5-15,309756,7439
2020-5-16,320201,10445
2020-5-17,325280,5079
2020-5-18,337428,12148
2020-5-19,346123,8695
2020-5-20,354013,7890
2020-5-21,360583,6570
2020-5-22,368170,7587
2020-5-23,373758,5588
2020-5-24,383576,9818
2020-5-25,396219,12643
2020-5-26,403504,7285
2020-5-27,409630,6126
2020-5-28,415989,6359
2020-5-29,421967,5978
2020-5-30,427046,5079
2020-5-31,435977,8931
2020-6-1,448493,12516
2020-6-2,462136,13643
2020-6-3,470779,8643
2020-6-4,476138,5359
2020-6-5,482172,6034
2020-6-6,491421,9249
2020-6-7,498768,7347
2020-6-8,512763,13995
2020-6-9,521197,8434
2020-6-10,528635,7438
2020-6-11,535096,6461
2020-6-12,594960,59864
2020-6-13,601161,6201
2020-6-14,615043,13882
2020-6-15,629769,14726
2020-6-16,638772,9003
2020-6-17,644344,5572
2020-6-18,652160,7816
2020-6-19,667336,15176
2020-6-20,675101,7765
2020-6-21,685381,10280
2020-6-22,699854,14473
2020-6-23,705164,5310
2020-6-24,718038,12874
2020-6-25,727268,9230
2020-6-26,741737,14469
2020-6-27,748229,6492
2020-6-28,748229,0
2020-6-29,776858,28629
2020-6-30,792779,15921
2020-7-1,817522,24743
2020-7-2,838084,20562
2020-7-3,862121,24037
2020-7-4,878230,16109
2020-7-5,895796,17566
2020-7-6,904237,8441
2020-7-7,920801,16564
2020-7-8,950540,29739
2020-7-9,972276,21736
2020-7-10,994114,21838
2020-7-11,1006616,12502
2020-7-12,1017498,10882
2020-7-13,1053424,35926
2020-7-14,1071320,17896
2020-7-15,1097053,25733
2020-7-16,1123038,25985
2020-7-17,1149991,26953
2020-7-18,1172913,22922
2020-7-19,1196543,23630
2020-7-20,1214383,17840
2020-7-21,1237411,23028
2020-7-22,1262993,25582
2020-7-23,1295115,32122
2020-7-24,1321707,26592
2020-7-25,1331428,9721
2020-7-26,1381859,50431
2020-7-27,1410396,28537
2020-7-28,1435433,25037
2020-7-29,1455120,19687
2020-7-30,1479669,24549
2020-7-31,1512224,32555
2020-8-1,1541615,29391
2020-8-2,1561021,19406
2020-8-3,1573222,12201
2020-8-4,1591310,18088
2020-8-5,1610604,19294
2020-8-6,1633642,23038
2020-8-7,1660337,26695
2020-8-8,1683722,23385
2020-8-9,1711319,27597
2020-8-10,1726090,14771
2020-8-11,1738875,12785
2020-8-12,1757690,18815
2020-8-13,1785646,27956
2020-8-14,1809900,24254
2020-8-15,1827520,17620
2020-8-16,1855015,27495
2020-8-17,1868761,13746
2020-8-18,1891875,23114
2020-8-19,1926357,34482
2020-8-20,1949404,23047
2020-8-21,1978409,29005
2020-8-22,2004861,26452
2020-8-23,2042256,37395
2020-8-24,2056341,14085
2020-8-25,2071446,15105
2020-8-26,2098828,27382
2020-8-27,2124793,25965
2020-8-28,2152015,27222
2020-8-29,2173406,21391
2020-8-30,2185364,11958
2020-8-31,2197316,11952
2020-9-1,2213949,16633
2020-9-2,2234298,20349
2020-9-3,2260931,26633
2020-9-4,2279035,18104
2020-9-5,2306032,26997
2020-9-6,2326868,20836
2020-9-7,2340380,13512
2020-9-8,2346581,6201
2020-9-9,2362943,16362
2020-9-10,2388318,25375
2020-9-11,2415529,27211
2020-9-12,2437765,22236
2020-9-13,2451124,13359
2020-9-14,2487707,36583
2020-9-15,2510091,22384
2020-9-16,2537723,27632
2020-9-17,2559192,21469
2020-9-18,2597482,38290
2020-9-19,2621091,23609
2020-9-20,2661006,39915
2020-9-21,2673187,12181
2020-9-22,2685015,11828
2020-9-23,2706717,21702
2020-9-24,2722637,15920
2020-9-25,2755933,33296
2020-9-26,2782844,26911
2020-9-27,2825374,42530
2020-9-28,2840109,14735
2020-9-29,2853067,12958
2020-9-30,2876722,23655
2020-10-1,2894875,18153
2020-10-2,2910999,16124
2020-10-3,2928809,17810
2020-10-4,2962084,33275
2020-10-5,3006185,44101
2020-10-6,3031530,25345
2020-10-7,3053493,21963
2020-10-8,3080509,27016
2020-10-9,3107299,26790
2020-10-10,3131539,24240
2020-10-11,3162492,30953
2020-10-12,3201707,39215
2020-10-13,3215401,13694
2020-10-14,3233299,17898
2020-10-15,3257952,24653
2020-10-16,3263702,5750
2020-10-17,3294056,30354
2020-10-18,3329487,35431
2020-10-19,3371897,42410
2020-10-20,3385051,13154
2020-10-21,3404261,19210
2020-10-22,3424085,19824
2020-10-23,3465912,41827
2020-10-24,3492224,26312
2020-10-25,3533469,41245
2020-10-26,3556087,22618
2020-10-27,3572591,16504
2020-10-28,3594591,22000
2020-10-29,3623338,28747
2020-10-30,3647487,24149
2020-10-31,3657005,9518
2020-11-1,3668310,11305
2020-11-2,3705426,37116
2020-11-3,3719198,13772
2020-11-4,3744640,25442
2020-11-5,3764081,19441
2020-11-6,3775108,11027
2020-11-7,3819604,44496
2020-11-8,3855628,36024
2020-11-9,3910208,54580
