Date,UTDATA.TotalTestResults,UTDATA.TotalTestResultsInc
2020-3-7,16,0
2020-3-8,27,11
2020-3-9,34,7
2020-3-10,46,12
2020-3-11,72,26
2020-3-12,130,58
2020-3-13,223,93
2020-3-14,395,172
2020-3-15,691,296
2020-3-16,1037,346
2020-3-17,1502,465
2020-3-18,2055,553
2020-3-19,2660,605
2020-3-20,3518,858
2020-3-21,4146,628
2020-3-22,4768,622
2020-3-23,5921,1153
2020-3-24,6728,807
2020-3-25,8032,1304
2020-3-26,9824,1792
2020-3-27,12545,2721
2020-3-28,15441,2896
2020-3-29,18167,2726
2020-3-30,19567,1400
2020-3-31,21930,2363
2020-4-1,24843,2913
2020-4-2,27219,2376
2020-4-3,29937,2718
2020-4-4,32429,2492
2020-4-5,34477,2048
2020-4-6,35915,1438
2020-4-7,38310,2395
2020-4-8,40803,2493
2020-4-9,43090,2287
2020-4-10,45241,2151
2020-4-11,47426,2185
2020-4-12,48937,1511
2020-4-13,49776,839
2020-4-14,51520,1744
2020-4-15,54721,3201
2020-4-16,57890,3169
2020-4-17,62151,4261
2020-4-18,66815,4664
2020-4-19,71179,4364
2020-4-20,74337,3158
2020-4-21,80029,5692
2020-4-22,85088,5059
2020-4-23,90692,5604
2020-4-24,95384,4692
2020-4-25,100071,4687
2020-4-26,104400,4329
2020-4-27,106737,2337
2020-4-28,110440,3703
2020-4-29,115190,4750
2020-4-30,119239,4049
2020-5-1,123002,3763
2020-5-2,128759,5757
2020-5-3,132150,3391
2020-5-4,135825,3675
2020-5-5,139119,3294
2020-5-6,143697,4578
2020-5-7,148629,4932
2020-5-8,153639,5010
2020-5-9,158508,4869
2020-5-10,161647,3139
2020-5-11,163829,2182
2020-5-12,167238,3409
2020-5-13,172196,4958
2020-5-14,175957,3761
2020-5-15,180170,4213
2020-5-16,184268,4098
2020-5-17,188334,4066
2020-5-18,191634,3300
2020-5-19,195851,4217
2020-5-20,200417,4566
2020-5-21,204647,4230
2020-5-22,208571,3924
2020-5-23,212887,4316
2020-5-24,216999,4112
2020-5-25,219775,2776
2020-5-26,222051,2276
2020-5-27,225400,3349
2020-5-28,229920,4520
2020-5-29,233996,4076
2020-5-30,238969,4973
2020-5-31,243809,4840
2020-6-1,247517,3708
2020-6-2,252408,4891
2020-6-3,256527,4119
2020-6-4,261621,5094
2020-6-5,266259,4638
2020-6-6,272206,5947
2020-6-7,277043,4837
2020-6-8,280841,3798
2020-6-9,286208,5367
2020-6-10,292607,6399
2020-6-11,298016,5409
2020-6-12,303200,5184
2020-6-13,309611,6411
2020-6-14,314902,5291
2020-6-15,319410,4508
2020-6-16,324516,5106
2020-6-17,329482,4966
2020-6-18,334477,4995
2020-6-19,340914,6437
2020-6-20,347717,6803
2020-6-21,353834,6117
2020-6-22,358297,4463
2020-6-23,364018,5721
2020-6-24,370357,6339
2020-6-25,377231,6874
2020-6-26,383439,6208
2020-6-27,391199,7760
2020-6-28,398641,7442
2020-6-29,405451,6810
2020-6-30,412688,7237
2020-7-1,419399,6711
2020-7-2,427339,7940
2020-7-3,435246,7907
2020-7-4,442733,7487
2020-7-5,446901,4168
2020-7-6,451063,4162
2020-7-7,458873,7810
