Date,VADATA.TotalTestResults,VADATA.TotalTestResultsInc
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,6445,6445
2020-2-28,6445,0
2020-2-29,6447,2
2020-3-1,6449,2
2020-3-2,6450,1
2020-3-3,6451,1
2020-3-4,6452,1
2020-3-5,6453,1
2020-3-6,6455,2
2020-3-7,6457,2
2020-3-8,6462,5
2020-3-9,6463,1
2020-3-10,6473,10
2020-3-11,6484,11
2020-3-12,6516,32
2020-3-13,6601,85
2020-3-14,6680,79
2020-3-15,6739,59
2020-3-16,6827,88
2020-3-17,7152,325
2020-3-18,7376,224
2020-3-19,7800,424
2020-3-20,8393,593
2020-3-21,8988,595
2020-3-22,9895,907
2020-3-23,10393,498
2020-3-24,11203,810
2020-3-25,12277,1074
2020-3-26,13374,1097
2020-3-27,14778,1404
2020-3-28,16724,1946
2020-3-29,18322,1598
2020-3-30,19708,1386
2020-3-31,21393,1685
2020-4-1,23290,1897
2020-4-2,25682,2392
2020-4-3,27646,1964
2020-4-4,30355,2709
2020-4-5,32548,2193
2020-4-6,36357,3809
2020-4-7,39319,2962
2020-4-8,41710,2391
2020-4-9,44020,2310
2020-4-10,47392,3372
2020-4-11,50191,2799
2020-4-12,52556,2365
2020-4-13,54698,2142
2020-4-14,56311,1613
2020-4-15,58358,2047
2020-4-16,61384,3026
2020-4-17,64655,3271
2020-4-18,67960,3305
2020-4-19,70666,2706
2020-4-20,73105,2439
2020-4-21,75079,1974
2020-4-22,77795,2716
2020-4-23,82606,4811
2020-4-24,87596,4990
2020-4-25,91125,3529
2020-4-26,95186,4061
2020-4-27,98928,3742
2020-4-28,102182,3254
2020-4-29,106271,4089
2020-4-30,112915,6644
2020-5-1,118355,5440
2020-5-2,124968,6613
2020-5-3,130820,5852
2020-5-4,135641,4821
2020-5-5,138936,3295
2020-5-6,145121,6185
2020-5-7,153833,8712
2020-5-8,161115,7282
2020-5-9,169541,8426
2020-5-10,176658,7117
2020-5-11,182211,5553
2020-5-12,186415,4204
2020-5-13,192424,6009
2020-5-14,201159,8735
2020-5-15,209111,7952
2020-5-16,216321,7210
2020-5-17,224126,7805
2020-5-18,232634,8508
2020-5-19,238274,5640
2020-5-20,246428,8154
2020-5-21,257480,11052
2020-5-22,265667,8187
2020-5-23,276297,10630
2020-5-24,283616,7319
2020-5-25,291201,7585
2020-5-26,296427,5226
2020-5-27,307928,11501
2020-5-28,319685,11757
2020-5-29,332047,12362
2020-5-30,344000,11953
2020-5-31,353839,9839
2020-6-1,361797,7958
2020-6-2,369281,7484
2020-6-3,381549,12268
2020-6-4,392951,11402
2020-6-5,404882,11931
2020-6-6,414775,9893
2020-6-7,424012,9237
2020-6-8,432667,8655
2020-6-9,440721,8054
2020-6-10,451588,10867
2020-6-11,463688,12100
2020-6-12,473654,9966
2020-6-13,484215,10561
2020-6-14,493715,9500
2020-6-15,502392,8677
2020-6-16,509881,7489
2020-6-17,520100,10219
2020-6-18,531435,11335
2020-6-19,541308,9873
2020-6-20,550142,8834
2020-6-21,564397,14255
2020-6-22,573171,8774
2020-6-23,581308,8137
2020-6-24,592071,10763
2020-6-25,603811,11740
2020-6-26,615504,11693
2020-6-27,626022,10518
2020-6-28,636714,10692
2020-6-29,645759,9045
2020-6-30,655404,9645
2020-7-1,671918,16514
2020-7-2,684558,12640
2020-7-3,696041,11483
2020-7-4,707750,11709
2020-7-5,718139,10389
2020-7-6,727501,9362
2020-7-7,738299,10798
2020-7-8,751199,12900
2020-7-9,767920,16721
2020-7-10,781377,13457
2020-7-11,797916,16539
2020-7-12,813923,16007
2020-7-13,826461,12538
2020-7-14,840502,14041
2020-7-15,854366,13864
2020-7-16,867931,13565
2020-7-17,880326,12395
2020-7-18,897264,16938
2020-7-19,910003,12739
2020-7-20,917501,7498
2020-7-21,937148,19647
2020-7-22,951174,14026
2020-7-23,969145,17971
2020-7-24,987188,18043
2020-7-25,1007314,20126
2020-7-26,1025066,17752
2020-7-27,1036010,10944
2020-7-28,1056148,20138
2020-7-29,1073463,17315
2020-7-30,1091615,18152
2020-7-31,1107360,15745
2020-8-1,1123927,16567
2020-8-2,1136568,12641
2020-8-3,1151604,15036
2020-8-4,1164515,12911
2020-8-5,1176180,11665
2020-8-6,1191304,15124
2020-8-7,1205004,13700
2020-8-8,1219165,14161
2020-8-9,1240339,21174
2020-8-10,1257605,17266
2020-8-11,1267512,9907
2020-8-12,1283409,15897
2020-8-13,1301909,18500
2020-8-14,1316037,14128
2020-8-15,1332938,16901
2020-8-16,1349460,16522
2020-8-17,1369037,19577
2020-8-18,1385832,16795
2020-8-19,1402471,16639
2020-8-20,1418335,15864
2020-8-21,1437278,18943
2020-8-22,1453671,16393
2020-8-23,1466033,12362
2020-8-24,1479117,13084
2020-8-25,1495014,15897
2020-8-26,1502521,7507
2020-8-27,1502521,0
2020-8-28,1539290,36769
2020-8-29,1555487,16197
2020-8-30,1568194,12707
2020-8-31,1581291,13097
2020-9-1,1593368,12077
2020-9-2,1605290,11922
2020-9-3,1619053,13763
2020-9-4,1634308,15255
2020-9-5,1652020,17712
2020-9-6,1664475,12455
2020-9-7,1676446,11971
2020-9-8,1684048,7602
2020-9-9,1694203,10155
2020-9-10,1710556,16353
2020-9-11,1728110,17554
2020-9-12,1744020,15910
2020-9-13,1760096,16076
2020-9-14,1773158,13062
2020-9-15,1785553,12395
2020-9-16,1799851,14298
2020-9-17,1822012,22161
2020-9-18,1831623,9611
2020-9-19,1866666,35043
2020-9-20,1882028,15362
2020-9-21,1898637,16609
2020-9-22,1911580,12943
2020-9-23,1922606,11026
2020-9-24,1952965,30359
2020-9-25,1973499,20534
2020-9-26,1993344,19845
2020-9-27,2003129,9785
2020-9-28,2027168,24039
2020-9-29,2039510,12342
2020-9-30,2049988,10478
2020-10-1,2074236,24248
2020-10-2,2094361,20125
2020-10-3,2113878,19517
2020-10-4,2113878,0
2020-10-5,2139991,26113
2020-10-6,2154168,14177
2020-10-7,2170313,16145
2020-10-8,2189792,19479
2020-10-9,2219510,29718
2020-10-10,2238204,18694
2020-10-11,2256820,18616
2020-10-12,2271842,15022
2020-10-13,2292562,20720
2020-10-14,2304369,11807
2020-10-15,2326802,22433
2020-10-16,2346899,20097
2020-10-17,2366380,19481
2020-10-18,2386778,20398
2020-10-19,2398111,11333
2020-10-20,2411940,13829
2020-10-21,2431736,19796
2020-10-22,2451698,19962
2020-10-23,2472061,20363
2020-10-24,2489017,16956
2020-10-25,2510113,21096
2020-10-26,2525421,15308
2020-10-27,2543515,18094
2020-10-28,2563313,19798
2020-10-29,2583805,20492
2020-10-30,2606664,22859
2020-10-31,2626052,19388
2020-11-1,2647659,21607
2020-11-2,2663155,15496
2020-11-3,2685669,22514
2020-11-4,2700765,15096
2020-11-5,2719206,18441
2020-11-6,2743229,24023
2020-11-7,2766353,23124
2020-11-8,2787106,20753
2020-11-9,2802850,15744
2020-11-10,2820659,17809
2020-11-11,2841807,21148
2020-11-12,2853797,11990
2020-11-13,2864009,10212
2020-11-14,2887002,22993
2020-11-15,2920737,33735
2020-11-16,2938133,17396
2020-11-17,2963157,25024
2020-11-18,2983430,20273
2020-11-19,3007461,24031
2020-11-20,3035632,28171
2020-11-21,3071135,35503
2020-11-22,3118894,47759
2020-11-23,3161059,42165
2020-11-24,3187267,26208
2020-11-25,3213866,26599
2020-11-26,3236893,23027
2020-11-27,3269710,32817
2020-11-28,3295208,25498
2020-11-29,3309343,14135
2020-11-30,3326327,16984
2020-12-1,3341426,15099
2020-12-2,3350896,9470
2020-12-3,3361001,10105
2020-12-4,3386624,25623
2020-12-5,3436348,49724
2020-12-6,3492201,55853
2020-12-7,3522052,29851
2020-12-8,3545869,23817
2020-12-9,3573299,27430
2020-12-10,3600741,27442
2020-12-11,3634492,33751
2020-12-12,3670781,36289
2020-12-13,3702747,31966
2020-12-14,3729013,26266
2020-12-15,3754756,25743
2020-12-16,3780026,25270
2020-12-17,3810790,30764
2020-12-18,3831683,20893
2020-12-19,3888669,56986
2020-12-20,3937968,49299
2020-12-21,3975016,37048
2020-12-22,3993232,18216
2020-12-23,4029903,36671
2020-12-24,4070000,40097
2020-12-25,4070000,0
2020-12-26,4128799,58799
2020-12-27,4149987,21188
2020-12-28,4168673,18686
2020-12-29,4191183,22510
2020-12-30,4220943,29760
2020-12-31,4255991,35048
2021-1-1,4291320,35329
2021-1-2,4337939,46619
2021-1-3,4365480,27541
2021-1-4,4383477,17997
2021-1-5,4404641,21164
2021-1-6,4428211,23570
2021-1-7,4463768,35557
2021-1-8,4500002,36234
2021-1-9,4537960,37958
2021-1-10,4588152,50192
2021-1-11,4621140,32988
2021-1-12,4640967,19827
2021-1-13,4674630,33663
2021-1-14,4706714,32084
2021-1-15,4730680,23966
2021-1-16,4764813,34133
2021-1-17,4807396,42583
2021-1-18,4852729,45333
2021-1-19,4878157,25428
2021-1-20,4899081,20924
2021-1-21,4923610,24529
2021-1-22,4948485,24875
2021-1-23,4977971,29486
2021-1-24,5007050,29079
2021-1-25,5056432,49382
2021-1-26,5079311,22879
2021-1-27,5112697,33386
2021-1-28,5146985,34288
2021-1-29,5180202,33217
2021-1-30,5210235,30033
2021-1-31,5234155,23920
2021-2-1,5261801,27646
2021-2-2,5281726,19925
2021-2-3,5300826,19100
2021-2-4,5316450,15624
2021-2-5,5371049,54599
2021-2-6,5410417,39368
2021-2-7,5437773,27356
2021-2-8,5449974,12201
2021-2-9,5469777,19803
2021-2-10,5486136,16359
2021-2-11,5518735,32599
2021-2-12,5553955,35220
2021-2-13,5583255,29300
2021-2-14,5607650,24395
2021-2-15,5622345,14695
2021-2-16,5633818,11473
2021-2-17,5653212,19394
2021-2-18,5679834,26622
2021-2-19,5703634,23800
2021-2-20,5728208,24574
2021-2-21,5749734,21526
2021-2-22,5762389,12655
2021-2-23,5778994,16605
2021-2-24,5799799,20805
2021-2-25,5830467,30668
2021-2-26,5854653,24186
2021-2-27,5879000,24347
2021-2-28,5902722,23722
2021-3-1,5915914,13192
2021-3-2,5928679,12765
2021-3-3,5946972,18293
2021-3-4,5972272,25300
2021-3-5,5996828,24556
2021-3-6,6018284,21456
2021-3-7,6038209,19925
