Date,VTDATA.TotalTestResults,VTDATA.TotalTestResultsInc
2020-3-3,0,0
2020-3-4,3,3
2020-3-5,6,3
2020-3-6,10,4
2020-3-7,17,7
2020-3-8,26,9
2020-3-9,31,5
2020-3-10,38,7
2020-3-11,66,28
2020-3-12,99,33
2020-3-13,149,50
2020-3-14,238,89
2020-3-15,370,132
2020-3-16,428,58
2020-3-17,549,121
2020-3-18,811,262
2020-3-19,1135,324
2020-3-20,1422,287
2020-3-21,1457,35
2020-3-22,1547,90
2020-3-23,1724,177
2020-3-24,1878,154
2020-3-25,2144,266
2020-3-26,3051,907
2020-3-27,3248,197
2020-3-28,3608,360
2020-3-29,3917,309
2020-3-30,4102,185
2020-3-31,4447,345
2020-4-1,4662,215
2020-4-2,4871,209
2020-4-3,5380,509
2020-4-4,5891,511
2020-4-5,6493,602
2020-4-6,6882,389
2020-4-7,7394,512
2020-4-8,7787,393
2020-4-9,8164,377
2020-4-10,8472,308
2020-4-11,9061,589
2020-4-12,9609,548
2020-4-13,10115,506
2020-4-14,10342,227
2020-4-15,10768,426
2020-4-16,11133,365
2020-4-17,11684,551
2020-4-18,12186,502
2020-4-19,12481,295
2020-4-20,12788,307
2020-4-21,12947,159
2020-4-22,13326,379
2020-4-23,13929,603
2020-4-24,14408,479
2020-4-25,15166,758
2020-4-26,15566,400
2020-4-27,16137,571
2020-4-28,16430,293
2020-4-29,16595,165
2020-4-30,16851,256
2020-5-1,17899,1048
2020-5-2,18383,484
2020-5-3,18851,468
2020-5-4,19414,563
2020-5-5,19605,191
2020-5-6,20063,458
2020-5-7,20285,222
2020-5-8,20899,614
2020-5-9,21414,515
2020-5-10,21962,548
2020-5-11,22680,718
2020-5-12,23023,343
2020-5-13,23439,416
2020-5-14,24168,729
2020-5-15,24785,617
2020-5-16,25386,601
2020-5-17,26034,648
2020-5-18,26706,672
2020-5-19,27349,643
2020-5-20,27944,595
2020-5-21,29221,1277
2020-5-22,30046,825
2020-5-23,31412,1366
2020-5-24,32620,1208
2020-5-25,33503,883
2020-5-26,34175,672
2020-5-27,34411,236
2020-5-28,35332,921
2020-5-29,36266,934
2020-5-30,37761,1495
2020-5-31,39281,1520
2020-6-1,40736,1455
2020-6-2,41413,677
2020-6-3,42152,739
2020-6-4,43602,1450
2020-6-5,44752,1150
2020-6-6,46064,1312
2020-6-7,47855,1791
2020-6-8,49482,1627
2020-6-9,50029,547
2020-6-10,51248,1219
2020-6-11,52922,1674
2020-6-12,54627,1705
2020-6-13,56187,1560
2020-6-14,57427,1240
2020-6-15,59263,1836
2020-6-16,59734,471
2020-6-17,60726,992
2020-6-18,62072,1346
2020-6-19,63535,1463
2020-6-20,65045,1510
2020-6-21,66074,1029
2020-6-22,67251,1177
2020-6-23,68167,916
2020-6-24,68918,751
2020-6-25,70078,1160
2020-6-26,71531,1453
2020-6-27,72995,1464
2020-6-28,74536,1541
2020-6-29,75975,1439
2020-6-30,77029,1054
2020-7-1,78000,971
2020-7-2,79525,1525
2020-7-3,80955,1430
2020-7-4,82269,1314
2020-7-5,83102,833
2020-7-6,83564,462
2020-7-7,84664,1100
2020-7-8,85979,1315
2020-7-9,87373,1394
2020-7-10,89352,1979
2020-7-11,90550,1198
2020-7-12,91715,1165
2020-7-13,92670,955
2020-7-14,94198,1528
2020-7-15,95378,1180
2020-7-16,96784,1406
2020-7-17,98419,1635
2020-7-18,99757,1338
2020-7-19,102452,2695
2020-7-20,104242,1790
2020-7-21,105576,1334
2020-7-22,107034,1458
2020-7-23,108130,1096
2020-7-24,109744,1614
2020-7-25,111251,1507
2020-7-26,112641,1390
2020-7-27,113784,1143
2020-7-28,114994,1210
2020-7-29,115839,845
2020-7-30,117054,1215
2020-7-31,118674,1620
2020-8-1,120143,1469
2020-8-2,121982,1839
2020-8-3,122592,610
2020-8-4,124805,2213
2020-8-5,126278,1473
2020-8-6,127874,1596
2020-8-7,129262,1388
2020-8-8,130464,1202
2020-8-9,131933,1469
2020-8-10,132879,946
2020-8-11,134316,1437
2020-8-12,135986,1670
2020-8-13,137198,1212
2020-8-14,139485,2287
2020-8-15,143082,3597
2020-8-16,144707,1625
2020-8-17,147660,2953
2020-8-18,148846,1186
2020-8-19,150144,1298
2020-8-20,152759,2615
2020-8-21,154874,2115
2020-8-22,157618,2744
2020-8-23,159766,2148
2020-8-24,162323,2557
2020-8-25,164034,1711
2020-8-26,165571,1537
2020-8-27,169043,3472
2020-8-28,172016,2973
2020-8-29,176934,4918
