Date,WADATA.TotalTestResults,WADATA.TotalTestResultsInc
2020-1-13,0,0
2020-1-14,0,0
2020-1-15,0,0
2020-1-16,0,0
2020-1-17,0,0
2020-1-18,0,0
2020-1-19,0,0
2020-1-20,0,0
2020-1-21,0,0
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,42,42
2020-3-1,117,75
2020-3-2,305,188
2020-3-3,531,226
2020-3-4,782,251
2020-3-5,1156,374
2020-3-6,1667,511
2020-3-7,2092,425
2020-3-8,2632,540
2020-3-9,3673,1041
2020-3-10,5486,1813
2020-3-11,7805,2319
2020-3-12,11614,3809
2020-3-13,15940,4326
2020-3-14,18316,2376
2020-3-15,20059,1743
2020-3-16,25055,4996
2020-3-17,29870,4815
2020-3-18,34696,4826
2020-3-19,39156,4460
2020-3-20,43276,4120
2020-3-21,45706,2430
2020-3-22,47738,2032
2020-3-23,53245,5507
2020-3-24,58745,5500
2020-3-25,63993,5248
2020-3-26,68680,4687
2020-3-27,73297,4617
2020-3-28,76094,2797
2020-3-29,78081,1987
2020-3-30,83531,5450
2020-3-31,88412,4881
2020-4-1,93374,4962
2020-4-2,98545,5171
2020-4-3,103598,5053
2020-4-4,106297,2699
2020-4-5,108393,2096
2020-4-6,113776,5383
2020-4-7,119252,5476
2020-4-8,124317,5065
2020-4-9,128808,4491
2020-4-10,133289,4481
