Date,WIDATA.TotalTestResults,WIDATA.TotalTestResultsInc
2020-3-3,7,0
2020-3-4,7,0
2020-3-5,12,5
2020-3-6,21,9
2020-3-7,31,10
2020-3-8,31,0
2020-3-9,31,0
2020-3-10,40,9
2020-3-11,59,19
2020-3-12,105,46
2020-3-13,176,71
2020-3-14,306,130
2020-3-15,577,271
2020-3-16,942,365
2020-3-17,1320,378
2020-3-18,2130,810
2020-3-19,3185,1055
2020-3-20,4448,1263
2020-3-21,6050,1602
2020-3-22,7360,1310
2020-3-23,8347,987
2020-3-24,9606,1259
2020-3-25,11252,1646
2020-3-26,12877,1625
2020-3-27,14689,1812
2020-3-28,16392,1703
2020-3-29,17721,1329
2020-3-30,18995,1274
2020-3-31,20389,1394
2020-4-1,22446,2057
2020-4-2,24139,1693
2020-4-3,26043,1904
2020-4-4,28196,2153
2020-4-5,30034,1838
2020-4-6,31637,1603
2020-4-7,33057,1420
2020-4-8,34835,1778
2020-4-9,36705,1870
2020-4-10,38703,1998
2020-4-11,40490,1787
2020-4-12,42017,1527
2020-4-13,43120,1103
2020-4-14,44493,1373
2020-4-15,46244,1751
2020-4-16,48018,1774
2020-4-17,49983,1965
2020-4-18,52091,2108
2020-4-19,54081,1990
2020-4-20,55407,1326
2020-4-21,57413,2006
2020-4-22,60111,2698
2020-4-23,63003,2892
2020-4-24,65802,2799
2020-4-25,68761,2959
2020-4-26,71627,2866
2020-4-27,73875,2248
2020-4-28,76980,3105
2020-4-29,80656,3676
2020-4-30,84901,4245
2020-5-1,88707,3806
2020-5-2,92814,4107
2020-5-3,97080,4266
2020-5-4,100579,3499
2020-5-5,104493,3914
2020-5-6,109754,5261
2020-5-7,116121,6367
2020-5-8,121754,5633
2020-5-9,127535,5781
2020-5-10,133144,5609
2020-5-11,137837,4693
2020-5-12,142841,5004
2020-5-13,149648,6807
2020-5-14,157960,8312
2020-5-15,166706,8746
2020-5-16,176642,9936
2020-5-17,184461,7819
2020-5-18,190832,6371
2020-5-19,198904,8072
2020-5-20,210815,11911
2020-5-21,224508,13693
2020-5-22,236020,11512
2020-5-23,247037,11017
2020-5-24,258534,11497
2020-5-25,270195,11661
2020-5-26,280179,9984
2020-5-27,293814,13635
2020-5-28,306408,12594
2020-5-29,318485,12077
2020-5-30,330781,12296
2020-5-31,342196,11415
2020-6-1,353637,11441
2020-6-2,365608,11971
2020-6-3,376851,11243
2020-6-4,390200,13349
2020-6-5,403728,13528
2020-6-6,415936,12208
2020-6-7,426055,10119
2020-6-8,434433,8378
2020-6-9,442511,8078
2020-6-10,454358,11847
2020-6-11,468731,14373
2020-6-12,481690,12959
2020-6-13,495117,13427
2020-6-14,505127,10010
2020-6-15,513940,8813
2020-6-16,521515,7575
2020-6-17,533187,11672
2020-6-18,547362,14175
2020-6-19,561349,13987
2020-6-20,575029,13680
2020-6-21,585943,10914
2020-6-22,594804,8861
2020-6-23,603428,8624
2020-6-24,616024,12596
2020-6-25,633173,17149
2020-6-26,646391,13218
2020-6-27,661113,14722
2020-6-28,674035,12922
2020-6-29,687226,13191
2020-6-30,697998,10772
2020-7-1,711741,13743
2020-7-2,727814,16073
2020-7-3,744970,17156
2020-7-4,762789,17819
2020-7-5,775047,12258
2020-7-6,784115,9068
2020-7-7,793502,9387
2020-7-8,810157,16655
2020-7-9,828148,17991
2020-7-10,847824,19676
2020-7-11,865483,17659
2020-7-12,882641,17158
2020-7-13,897045,14404
2020-7-14,913302,16257
2020-7-15,933612,20310
2020-7-16,953377,19765
2020-7-17,976125,22748
2020-7-18,998378,22253
2020-7-19,1018322,19944
2020-7-20,1034736,16414
2020-7-21,1052376,17640
2020-7-22,1074345,21969
2020-7-23,1094528,20183
2020-7-24,1118188,23660
2020-7-25,1138167,19979
2020-7-26,1154619,16452
2020-7-27,1169575,14956
2020-7-28,1181765,12190
2020-7-29,1202789,21024
2020-7-30,1226990,24201
2020-7-31,1247008,20018
2020-8-1,1265723,18715
2020-8-2,1281022,15299
2020-8-3,1294013,12991
2020-8-4,1307072,13059
2020-8-5,1326425,19353
2020-8-6,1348281,21856
2020-8-7,1369431,21150
2020-8-8,1387228,17797
2020-8-9,1401171,13943
2020-8-10,1413538,12367
2020-8-11,1424070,10532
2020-8-12,1440290,16220
2020-8-13,1459937,19647
2020-8-14,1480116,20179
2020-8-15,1499647,19531
2020-8-16,1513039,13392
2020-8-17,1523891,10852
2020-8-18,1533771,9880
2020-8-19,1550617,16846
2020-8-20,1571354,20737
2020-8-21,1589087,17733
2020-8-22,1605324,16237
2020-8-23,1616301,10977
2020-8-24,1629764,13463
2020-8-25,1639656,9892
2020-8-26,1657496,17840
2020-8-27,1675074,17578
2020-8-28,1699431,24357
2020-8-29,1715293,15862
2020-8-30,1728511,13218
2020-8-31,1739813,11302
2020-9-1,1753134,13321
2020-9-2,1770546,17412
2020-9-3,1786144,15598
2020-9-4,1807631,21487
2020-9-5,1827201,19570
2020-9-6,1841797,14596
2020-9-7,1853736,11939
2020-9-8,1864876,11140
2020-9-9,1874616,9740
2020-9-10,1898237,23621
2020-9-11,1917996,19759
2020-9-12,1935503,17507
2020-9-13,1954360,18857
2020-9-14,1966795,12435
2020-9-15,1982324,15529
2020-9-16,2001116,18792
2020-9-17,2029596,28480
2020-9-18,2057042,27446
2020-9-19,2084412,27370
2020-9-20,2104220,19808
2020-9-21,2121214,16994
2020-9-22,2139687,18473
2020-9-23,2161328,21641
2020-9-24,2192451,31123
2020-9-25,2220895,28444
2020-9-26,2251324,30429
2020-9-27,2279551,28227
2020-9-28,2302936,23385
2020-9-29,2323864,20928
2020-9-30,2346977,23113
2020-10-1,2379952,32975
2020-10-2,2411834,31882
2020-10-3,2440309,28475
2020-10-4,2466174,25865
2020-10-5,2487949,21775
2020-10-6,2511073,23124
2020-10-7,2538419,27346
2020-10-8,2568842,30423
2020-10-9,2603653,34811
2020-10-10,2636412,32759
2020-10-11,2664673,28261
2020-10-12,2689612,24939
2020-10-13,2719579,29967
2020-10-14,2746785,27206
2020-10-15,2780644,33859
2020-10-16,2815801,35157
2020-10-17,2848236,32435
2020-10-18,2875130,26894
2020-10-19,2895243,20113
2020-10-20,2910573,15330
2020-10-21,2924206,13633
2020-10-22,2965073,40867
2020-10-23,3005516,40443
2020-10-24,3046677,41161
2020-10-25,3075804,29127
2020-10-26,3103682,27878
2020-10-27,3138375,34693
2020-10-28,3160380,22005
2020-10-29,3198101,37721
2020-10-30,3235669,37568
2020-10-31,3289120,53451
2020-11-1,3310356,21236
2020-11-2,3327915,17559
2020-11-3,3377088,49173
2020-11-4,3408453,31365
2020-11-5,3440030,31577
2020-11-6,3497021,56991
2020-11-7,3540075,43054
2020-11-8,3564737,24662
2020-11-9,3597294,32557
2020-11-10,3644867,47573
2020-11-11,3679124,34257
2020-11-12,3728583,49459
2020-11-13,3768197,39614
2020-11-14,3822407,54210
2020-11-15,3865176,42769
2020-11-16,3893526,28350
2020-11-17,3946276,52750
2020-11-18,3986414,40138
2020-11-19,4032192,45778
2020-11-20,4082743,50551
2020-11-21,4122179,39436
2020-11-22,4162656,40477
2020-11-23,4196070,33414
2020-11-24,4234962,38892
2020-11-25,4281647,46685
2020-11-26,4318215,36568
2020-11-27,4351880,33665
2020-11-28,4373089,21209
2020-11-29,4398150,25061
2020-11-30,4426030,27880
2020-12-1,4453101,27071
2020-12-2,4479199,26098
2020-12-3,4517462,38263
2020-12-4,4556566,39104
2020-12-5,4595523,38957
2020-12-6,4623227,27704
2020-12-7,4651055,27828
2020-12-8,4676749,25694
2020-12-9,4708409,31660
2020-12-10,4745656,37247
2020-12-11,4777544,31888
